name,cost,artist,number,type,text,printings
Ajani Goldmane,,Aleksi Briclot,1,Planeswalker — Ajani,+1: You gain 2 life.\n−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Put a white Avatar creature token onto the battlefield. It has "This creature's power and toughness are each equal to your life total.","pPRO,LRW,M10,M11"
Ajani's Mantra,,James Paick,2,Enchantment,"At the beginning of your upkeep, you may gain 1 life.","M11,DDH"
Ajani's Pridemate,,Svetlin Velinov,3,Creature — Cat Soldier,"Whenever you gain life, you may put a +1/+1 counter on Ajani's Pridemate.","M11,DDH,C13,M15"
Angelic Arbiter,,Steve Argyle,4,Creature — Angel,Flying\nEach opponent who cast a spell this turn can't attack with creatures.
Each opponent who attacked with a creature this turn can't cast spells.,"M11,CMD"
Armored Ascension,,Jesper Ejsing,5,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each Plains you control and has flying.,"SHM,M10,M11"
Assault Griffin,,Jesper Ejsing,6,Creature — Griffin,Flying,"M11,M12,GTC"
Baneslayer Angel,,Greg Staples,7,Creature — Angel,"Flying, first strike, lifelink, protection from Demons and from Dragons","M10,M11,V15"
Blinding Mage,,Eric Deschamps,8,Creature — Human Wizard,"{W}, {T}: Tap target creature.","M10,M11"
Celestial Purge,,David Palumbo,9,Instant,Exile target black or red permanent.,"pMPR,CON,M10,M11,M12,MM2"
Cloud Crusader,,Aleksi Briclot,10,Creature — Human Knight,Flying\nFirst strike (This creature deals combat damage before creatures without first strike.),M11
Condemn,,Daren Bader,11,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14"
Day of Judgment,,Vincent Proce,12,Sorcery,Destroy all creatures.,"pMEI,pMPR,ZEN,M11,M12"
Elite Vanguard,,Mark Tedin,13,Creature — Human Soldier,,"M10,M11,DDF,M12"
Excommunicate,,Matt Stewart,14,Sorcery,Put target creature on top of its owner's library.,"ALA,M10,M11"
Goldenglow Moth,,Howard Lyon,15,Creature — Insect,"Flying\nWhenever Goldenglow Moth blocks, you may gain 4 life.","SHM,M11"
Holy Strength,,Terese Nielsen,16,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+2.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,7ED,8ED,9ED,10E,M10,M11"
Honor of the Pure,,Greg Staples,17,Enchantment,White creatures you control get +1/+1.,"pMEI,M10,M11,M12,MD1"
Infantry Veteran,,Christopher Rush,18,Creature — Human Soldier,{T}: Target attacking creature gets +1/+1 until end of turn.,"VIS,ATH,6ED,BRB,9ED,M11,DDF,DDN"
Inspired Charge,,Wayne Reynolds,19,Instant,Creatures you control get +2/+1 until end of turn.,"M11,M15,BFZ"
Knight Exemplar,,Jason Chan,20,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.)\nOther Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say "destroy" don't destroy them.),"pMEI,M11,DDG"
Leyline of Sanctity,,Ryan Pancoast,21,Enchantment,"If Leyline of Sanctity is in your opening hand, you may begin the game with it on the battlefield.\nYou have hexproof. (You can't be the target of spells or abilities your opponents control.)","M11,MM2"
Mighty Leap,,rk post,22,Instant,Target creature gets +2/+2 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"M11,DDF,DDG,M12,DDO,MM2,ORI"
Pacifism,,Robert Bliss,23,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR"
Palace Guard,,Volkan Baga,24,Creature — Human Soldier,Palace Guard can block any number of creatures.,"M10,M11"
Roc Egg,,Paul Bonner,25,Creature — Bird,"Defender (This creature can't attack.)\nWhen Roc Egg dies, put a 3/3 white Bird creature token with flying onto the battlefield.","M11,M12"
Safe Passage,,Christopher Moeller,26,Instant,Prevent all damage that would be dealt to you and creatures you control this turn.,"M10,M11,DDI,M13"
Serra Angel,,Greg Staples,27,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15"
Serra Ascendant,,Anthony Palumbo,28,Creature — Human Monk,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)\nAs long as you have 30 or more life, Serra Ascendant gets +5/+5 and has flying.",M11
Siege Mastodon,,Matt Cavotta,29,Creature — Elephant,,"M10,M11,M12,M14"
Silence,,Wayne Reynolds,30,Instant,Your opponents can't cast spells this turn. (Spells cast before this resolves are unaffected.),"M10,M11,M14"
Silvercoat Lion,,Terese Nielsen,31,Creature — Cat,,"M10,M11,M13"
Solemn Offering,,Sam Wood,32,Sorcery,Destroy target artifact or enchantment. You gain 4 life.,"M10,M11,M14,M15"
Squadron Hawk,,Rob Alexander,33,Creature — Bird,"Flying\nWhen Squadron Hawk enters the battlefield, you may search your library for up to three cards named Squadron Hawk, reveal them, put them into your hand, then shuffle your library.","pFNM,M11"
Stormfront Pegasus,,rk post,34,Creature — Pegasus,Flying,"M10,M11,M12"
Sun Titan,,Todd Lockwood,35,Creature — Giant,"Vigilance\nWhenever Sun Titan enters the battlefield or attacks, you may return target permanent card with converted mana cost 3 or less from your graveyard to the battlefield.","pPRE,M11,M12,DDL,C14,C15"
Tireless Missionaries,,Dave Kendall,36,Creature — Human Cleric,"When Tireless Missionaries enters the battlefield, you gain 3 life.","M11,M15"
Vengeful Archon,,Greg Staples,37,Creature — Archon,"Flying\n{X}: Prevent the next X damage that would be dealt to you this turn. If damage is prevented this way, Vengeful Archon deals that much damage to target player.",M11
War Priest of Thune,,Izzy,38,Creature — Human Cleric,"When War Priest of Thune enters the battlefield, you may destroy target enchantment.","M11,M13"
White Knight,,Christopher Moeller,39,Creature — Human Knight,"First strike (This creature deals combat damage before creatures without first strike.)\nProtection from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything black.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,pFNM,LGN,M10,M11,ME4,DDG"
Wild Griffin,,Matt Cavotta,40,Creature — Griffin,Flying,"PO2,S99,S00,10E,M11,ME4"
Æther Adept,,Eric Deschamps,41,Creature — Human Wizard,"When Æther Adept enters the battlefield, return target creature to its owner's hand.","M11,M12,DDM"
Air Servant,,Lars Grant-West,42,Creature — Elemental,Flying\n{2}{U}: Tap target creature with flying.,"M11,M14,CNS,MM2"
Alluring Siren,,Chippy,43,Creature — Siren,{T}: Target creature an opponent controls attacks you this turn if able.,"M10,M11,M12"
Armored Cancrix,,Tomasz Jedruszek,44,Creature — Crab,,"M11,M14"
Augury Owl,,Jim Nelson,45,Creature — Bird,"Flying\nWhen Augury Owl enters the battlefield, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","M11,DDI,PC2"
Azure Drake,,Janine Johnston,46,Creature — Drake,Flying,"LEG,CHR,5ED,BRB,9ED,M11"
Call to Mind,,Terese Nielsen,47,Sorcery,Return target instant or sorcery card from your graveyard to your hand.,"M11,C14"
Cancel,,David Palumbo,48,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK"
Clone,,Kev Walker,49,Creature — Shapeshifter,You may have Clone enter the battlefield as a copy of any creature on the battlefield.,"LEA,LEB,2ED,CED,CEI,3ED,ONS,9ED,10E,M10,M11,DDI,M13,M14"
Cloud Elemental,,Michael Sutfin,50,Creature — Elemental,Flying\nCloud Elemental can block only creatures with flying.,"VIS,BTD,10E,M11,MM2"
Conundrum Sphinx,,Michael Komarck,51,Creature — Sphinx,"Flying\nWhenever Conundrum Sphinx attacks, each player names a card. Then each player reveals the top card of his or her library. If the card a player revealed is the card he or she named, that player puts it into his or her hand. If it's not, that player puts it on the bottom of his or her library.","M11,CMD"
Diminish,,Eric Deschamps,52,Instant,Target creature has base power and toughness 1/1 until end of turn.,M11
Flashfreeze,,Brian Despain,53,Instant,Counter target red or green spell.,"CSP,10E,M10,M11,M12,MM2"
Foresee,,Ron Spears,54,Sorcery,"Scry 4, then draw two cards. (To scry 4, look at the top four cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","FUT,M11"
Frost Titan,,Mike Bierek,55,Creature — Giant,"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays {2}.\nWhenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step.","pMEI,M11,M12,C14"
Harbor Serpent,,Daarken,56,Creature — Serpent,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nHarbor Serpent can't attack unless there are five or more Islands on the battlefield.,"M11,M12,M13"
Ice Cage,,Mike Bierek,57,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.
When enchanted creature becomes the target of a spell or ability, destroy Ice Cage.","M10,M11,M12"
Jace Beleren,,Aleksi Briclot,58,Planeswalker — Jace,+2: Each player draws a card.\n−1: Target player draws a card.
−10: Target player puts the top twenty cards of his or her library into his or her graveyard.,"pMEI,LRW,DD2,M10,M11,DD3_JVC"
Jace's Erasure,,Jason Chan,59,Enchantment,"Whenever you draw a card, you may have target player put the top card of his or her library into his or her graveyard.","M11,M12"
Jace's Ingenuity,,Igor Kieryluk,60,Instant,Draw three cards.,"pFNM,M11,DDM,M15"
Leyline of Anticipation,,Charles Urbach,61,Enchantment,"If Leyline of Anticipation is in your opening hand, you may begin the game with it on the battlefield.\nYou may cast nonland cards as though they had flash. (You may cast them any time you could cast an instant.)",M11
Mana Leak,,Howard Lyon,62,Instant,Counter target spell unless its controller pays {3}.,"pARL,STH,BRB,pMPR,8ED,9ED,M11,M12,DDN,TPR,MM2"
Maritime Guard,,Allen Williams,63,Creature — Merfolk Soldier,,"M11,ORI"
