name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Soul Warden,{W},1,W,Randy Gallegos,1,Creature — Human Cleric,"Whenever another creature enters the battlefield, you gain 1 life.","EXO,BRB,9ED,10E,M10,HOP,MD1","""One does not question the size or shape of the grains of sand in an hourglass. Nor do I question the temperament of the souls under my guidance.""",normal,382197,1,1,Common,"Human,Cleric",Creature
Tidehollow Sculler,{W}{B},2,"W,B",rk post,2,Artifact Creature — Zombie,"When Tidehollow Sculler enters the battlefield, target opponent reveals his or her hand and you choose a nonland card from it. Exile that card.\nWhen Tidehollow Sculler leaves the battlefield, return the exiled card to its owner's hand.","pFNM,ALA,MMA,MD1",,normal,382201,2,2,Uncommon,Zombie,"Artifact,Creature"
Path to Exile,{W},1,W,Todd Lockwood,3,Instant,"Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.","pWPN,CON,ARC,CMD,DDI,MMA,MD1",,normal,382192,,,Uncommon,,Instant
Inquisition of Kozilek,{B},1,B,Tomasz Jedruszek,4,Sorcery,Target player reveals his or her hand. You choose a nonland card from it with converted mana cost 3 or less. That player discards that card.,"ROE,MD1",You will scream out your innermost secrets just to make it stop.,normal,382187,,,Uncommon,,Sorcery
Shrine of Loyal Legions,{2},2,,Igor Kieryluk,5,Artifact,"At the beginning of your upkeep or whenever you cast a white spell, put a charge counter on Shrine of Loyal Legions.\n{3}, {T}, Sacrifice Shrine of Loyal Legions: Put a 1/1 colorless Myr artifact creature token onto the battlefield for each charge counter on Shrine of Loyal Legions.","NPH,MD1",,normal,382196,,,Uncommon,,Artifact
Honor of the Pure,{1}{W},2,W,Greg Staples,6,Enchantment,White creatures you control get +1/+1.,"pMEI,M10,M11,M12,MD1","Together the soldiers were like a golden blade, cutting down their enemies and scarring the darkness.",normal,382186,,,Rare,,Enchantment
Intangible Virtue,{1}{W},2,W,Clint Cearley,7,Enchantment,Creature tokens you control get +1/+1 and have vigilance.,"ISD,MD1,CNS,EMA","In life, they were a motley crew: farmers, lords, cutpurses, priests. In death, they are united in singular, benevolent purpose.",normal,382188,,,Uncommon,,Enchantment
Raise the Alarm,{1}{W},2,W,John Matson,8,Instant,Put two 1/1 white Soldier creature tokens onto the battlefield.,"MRD,DDF,MD1,M15,DDO,MM2,EMA","""The nim raid our homes without warning. We must defend our homes without hesitation.""",normal,382194,,,Common,,Instant
Zealous Persecution,{W}{B},2,"W,B",Christopher Moeller,9,Instant,"Until end of turn, creatures you control get +1/+1 and creatures your opponents control get -1/-1.","ARB,DDK,MD1,EMA","""Jharic returned from Grixis changed, a haunted look in her eyes. She destroyed them with an unholy glee that made me shudder.""\n—Knight-Captain Wyhorn",normal,382204,,,Uncommon,,Instant
Sword of Feast and Famine,{3},3,,Chris Rahn,10,Artifact — Equipment,"Equipped creature gets +2/+2 and has protection from black and from green.\nWhenever equipped creature deals combat damage to a player, that player discards a card and you untap all lands you control.\nEquip {2}","pJGP,MBS,MD1",,normal,382200,,,Mythic Rare,Equipment,Artifact
Lingering Souls,{2}{W},3,"W,B",Bud Cook,11,Sorcery,Put two 1/1 white Spirit creature tokens with flying onto the battlefield.\nFlashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.),"pFNM,DKA,DDK,MD1",The murdered inhabitants of Hollowhenge impart to the living the terror they felt in death.,normal,382191,,,Uncommon,,Sorcery
Spectral Procession,{2/W}{2/W}{2/W},6,W,Tomasz Jedruszek,12,Sorcery,Put three 1/1 white Spirit creature tokens with flying onto the battlefield.,"SHM,DDK,MD1,C14,MM2","""I need never remember my past associates, my victims, my mistakes. Innistrad preserves them all for me.""\n—Sorin Markov",normal,382198,,,Uncommon,,Sorcery
"Elspeth, Knight-Errant",{2}{W}{W},4,W,Volkan Baga,13,Planeswalker — Elspeth,"+1: Put a 1/1 white Soldier creature token onto the battlefield.\n+1: Target creature gets +3/+3 and gains flying until end of turn.\n−8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""","ALA,DDF,MMA,MD1",,normal,382184,,,Mythic Rare,Elspeth,Planeswalker
Caves of Koilos,,,"W,B",Jim Nelson,14,Land,{T}: Add {C} to your mana pool.\n{T}: Add {W} or {B} to your mana pool. Caves of Koilos deals 1 damage to you.,"APC,9ED,10E,MD1,M15,ORI",,normal,382180,,,Rare,,Land
City of Brass,,,,Jung Park,15,Land,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color to your mana pool.","ARN,CHR,5ED,6ED,pSUS,7ED,8ED,ME4,MMA,MD1","""There is much to learn here, but few can endure the ringing of the spires.""\n—Nulakam the Archivist",normal,382181,,,Rare,,Land
Isolated Chapel,,,"W,B",Cliff Childs,16,Land,Isolated Chapel enters the battlefield tapped unless you control a Plains or a Swamp.\n{T}: Add {W} or {B} to your mana pool.,"ISD,MD1",Not every church is a place of faith.,normal,382189,,,Rare,,Land
Vault of the Archangel,,,"W,B",John Avon,17,Land,"{T}: Add {C} to your mana pool.\n{2}{W}{B}, {T}: Creatures you control gain deathtouch and lifelink until end of turn.","DKA,MD1","""For centuries my creation kept this world in balance. Now only her shadow remains.""\n—Sorin Markov",normal,382202,,,Rare,,Land
Windbrisk Heights,,,W,Omar Rayyan,18,Land,"Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)\n{T}: Add {W} to your mana pool.\n{W}, {T}: You may play the exiled card without paying its mana cost if you attacked with three or more creatures this turn.","LRW,V12,MD1",,normal,382203,,,Rare,,Land
Plains,,,W,Adam Paquette,19,Basic Land — Plains,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,pPRE,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,H09,DDE,ROE,ARC,M11,DDF,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,RTR,DDK,M14,DDL,THS,C13,MD1,M15,DDN,KTK,C14,DD3_DVD,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,DDQ,SOI",,normal,382193,,,Basic Land,Plains,Land
Swamp,,,B,Adam Paquette,20,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15,DDQ,SOI",,normal,382199,,,Basic Land,Swamp,Land
Relic of Progenitus,{1},1,,Jean-Sébastien Rossbach,21,Artifact,"{T}: Target player exiles a card from his or her graveyard.\n{1}, Exile Relic of Progenitus: Exile all cards from all graveyards. Draw a card.","ALA,HOP,MMA,MD1,EMA","Elves believe the hydra-god Progenitus sleeps beneath Naya, feeding on forgotten magics.",normal,382195,,,Uncommon,,Artifact
Burrenton Forge-Tender,{W},1,W,Chuck Lukacs,22,Creature — Kithkin Wizard,Protection from red\nSacrifice Burrenton Forge-Tender: Prevent all damage a red source of your choice would deal this turn.,"LRW,MD1","""We are a clachan of smiths. The forge is as comfortable to us as a small fire during a cool winter's evening.""",normal,382179,1,1,Uncommon,"Kithkin,Wizard",Creature
Duress,{B},1,B,Steven Belledin,23,Sorcery,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.","pMEI,pARL,USG,pFNM,7ED,DDC,M10,M11,PD3,M13,M14,MD1,DD3_DVD,DTK,EMA","""It hurts more if you think about it.""\n—Hooks, Cabal torturer",normal,382183,,,Common,,Sorcery
"Kataki, War's Wage",{1}{W},2,W,Matt Thompson,24,Legendary Creature — Spirit,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {1}.""","SOK,MMA,MD1","""Before the war, we prayed to Kataki to sharpen our swords and harden our armor. Without his blessing our weapons are all but useless against the kami hordes.""\n—Kenzo the Hardhearted",normal,382190,2,1,Rare,Spirit,Creature
Dismember,{1}{B/P}{B/P},3,B,Terese Nielsen,25,Instant,({B/P} can be paid with either {B} or 2 life.)\nTarget creature gets -5/-5 until end of turn.,"pFNM,NPH,MD1,MM2","""You serve Phyrexia. Your pieces would better serve Phyrexia elsewhere.""\n—Azax-Azog, the Demon Thane",normal,382182,,,Uncommon,,Instant
Ghost Quarter,,,,Peter Mohrbacher,26,Land,"{T}: Add {C} to your mana pool.\n{T}, Sacrifice Ghost Quarter: Destroy target land. Its controller may search his or her library for a basic land card, put it onto the battlefield, then shuffle his or her library.","DIS,ISD,MD1,C14,C15","Deserted, but not uninhabited.",normal,382185,,,Uncommon,,Land
