name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abbey Gargoyles,{2}{W}{W}{W},5,W,Christopher Rush,1,Creature — Gargoyle,"Flying, protection from red","HML,5ED,ME2","""Though Serra has not been seen for twenty years, her gargoyles still watch over our city and punish the guilty.""\n—Gulsen, abbey matron",normal,184585,3,4,Uncommon,Gargoyle,Creature
Angel of Fury,{4}{W}{W},6,W,Keith Parkinson,2,Creature — Angel,"Flying\nWhen Angel of Fury dies, you may shuffle it into its owner's library.","PO2,ME2",,normal,184746,3,5,Rare,Angel,Creature
Angel of Light,{4}{W},5,W,Todd Lockwood,3,Creature — Angel,"Flying, vigilance","S99,ME2",,normal,184753,3,3,Uncommon,Angel,Creature
Armor of Faith,{W},1,W,Anson Maddocks,4,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1.\n{W}: Enchanted creature gets +0/+1 until end of turn.,"ICE,5ED,ME2","""Keep your chainmail, warrior. I have my own form of protection.""\n—Halvor Arenson, Kjeldoran priest",normal,184726,,,Common,Aura,Enchantment
Armored Griffin,{3}{W},4,W,Bradley Williams,5,Creature — Griffin,"Flying, vigilance","PO2,ME2,PC2",,normal,184728,2,3,Common,Griffin,Creature
Aysen Bureaucrats,{1}{W},2,W,Alan Rabinowitz,6,Creature — Human Advisor,{T}: Tap target creature with power 2 or less.,"HML,5ED,ME2","""I would say that our bureaucrats are no better than vipers—but I shouldn't insult the vipers.""\n—Murat, death speaker",normal,184490,1,1,Common,"Human,Advisor",Creature
Aysen Crusader,{2}{W}{W},4,W,NéNé Thomas,7,Creature — Human Knight,Aysen Crusader's power and toughness are each equal to 2 plus the number of Soldiers and Warriors you control.,"HML,ME2","""A renegade rallying the rabble does not a true crusader make.""\n—Irini Sengir",normal,184587,2+*,2+*,Uncommon,"Human,Knight",Creature
Caribou Range,{2}{W}{W},4,W,Ruth Thompson,8,Enchantment — Aura,"Enchant land you control\nEnchanted land has ""{W}{W}, {T}: Put a 0/1 white Caribou creature token onto the battlefield.""\nSacrifice a Caribou token: You gain 1 life.","ICE,5ED,ME2",,normal,184607,,,Rare,Aura,Enchantment
Combat Medic,{2}{W},3,W,Anson Maddocks,9,Creature — Human Cleric Soldier,{1}{W}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,"FEM,ATH,ME2","""Without combat medics, Icatia would probably not have withstood the forces of chaos as long as it did.""\n—Sarpadian Empires, vol. VI",normal,184686,0,2,Common,"Human,Cleric,Soldier",Creature
Disenchant,{1}{W},2,W,Brian Snõddy,10,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR","""I implore you not to forget the horrors of the past. You would have us start the Brothers' War anew!""\n—Sorine Relicbane, Soldevi heretic",normal,184689,,,Common,,Instant
Energy Storm,{1}{W},2,W,Sandra Everingham,11,Enchantment,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nPrevent all damage that would be dealt by instant and sorcery spells.\nCreatures with flying don't untap during their controllers' untap steps.","ICE,ME2",,normal,184621,,,Rare,,Enchantment
Errand of Duty,{1}{W},2,W,Julie Baroh,12,Instant,"Put a 1/1 white Knight creature token with banding onto the battlefield. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","ALL,ME2","""May they speed to their task, for the skyknights alone cannot hold Kjeldor safe.""\n—Arna Kennerüd, skycaptain",normal,184730,,,Uncommon,,Instant
Farrel's Mantle,{2}{W},3,W,Anthony S. Waters,13,Enchantment — Aura,"Enchant creature\nWhenever enchanted creature attacks and isn't blocked, its controller may have it deal damage equal to its power plus 2 to another target creature. If that player does, the attacking creature assigns no combat damage this turn.","FEM,ME2",,normal,184643,,,Uncommon,Aura,Enchantment
Farrel's Zealot,{1}{W}{W},3,W,Richard Kane Ferguson,14,Creature — Human,"Whenever Farrel's Zealot attacks and isn't blocked, you may have it deal 3 damage to target creature. If you do, Farrel's Zealot assigns no combat damage this turn.","FEM,ME2","Farrel and his followers became a formidable band of vigilantes, battling Icatians and followers of Tourach.",normal,184729,2,2,Uncommon,Human,Creature
Icatian Javelineers,{W},1,W,Melissa A. Benson,15,Creature — Human Soldier,"Icatian Javelineers enters the battlefield with a javelin counter on it.\n{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.","FEM,ATH,pGTW,TSB,ME2,DDO",,normal,184695,1,1,Common,"Human,Soldier",Creature
Icatian Phalanx,{4}{W},5,W,Kaja Foglio,16,Creature — Human Soldier,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","FEM,5ED,ME2","Even after the wall was breached in half a dozen places, the phalanxes fought on, standing solidly against the onrushing raiders. Disciplined and dedicated, they held their ranks to the end, even in the face of tremendous losses.",normal,184491,2,4,Common,"Human,Soldier",Creature
Icatian Scout,{W},1,W,Richard Kane Ferguson,17,Creature — Human Soldier Scout,"{1}, {T}: Target creature gains first strike until end of turn.","FEM,5ED,ME2","""Because the orc hordes attacked along the entire border, Scouts were essential to Icatia's defense.""\n—Sarpadian Empires, vol. VI",normal,184696,1,1,Common,"Human,Soldier,Scout",Creature
Inheritance,{W},1,W,Kaja Foglio,18,Enchantment,"Whenever a creature dies, you may pay {3}. If you do, draw a card.","ALL,ME2","""More than lessons may be gained from the past.""\n—Halvor Arensson, Kjeldoran priest",normal,184635,,,Uncommon,,Enchantment
Ivory Gargoyle,{4}{W},5,W,Quinton Hoover,19,Creature — Gargoyle,"Flying\nWhen Ivory Gargoyle dies, return it to the battlefield under its owner's control at the beginning of the next end step and you skip your next draw step.\n{4}{W}: Exile Ivory Gargoyle.","ALL,ME2",,normal,184551,2,2,Rare,Gargoyle,Creature
Juniper Order Advocate,{2}{W},3,W,Douglas Shuler,20,Creature — Human Knight,"As long as Juniper Order Advocate is untapped, green creatures you control get +1/+1.","ALL,ME2","""In these troubled times, we alone carry the hope of reconciliation between Elf and Human.""\n—Jaeuhl Carthalion, Juniper Order advocate",normal,184552,1,2,Uncommon,"Human,Knight",Creature
Kjeldoran Elite Guard,{3}{W},4,W,Melissa A. Benson,21,Creature — Human Soldier,"{T}: Target creature gets +2/+2 until end of turn. When that creature leaves the battlefield this turn, sacrifice Kjeldoran Elite Guard. Activate this ability only during combat.","ICE,CST,ME2",The winged helms of the guard are put on for pageants—but taken off for war.,normal,184642,2,2,Common,"Human,Soldier",Creature
Kjeldoran Home Guard,{3}{W},4,W,Andi Rusu,22,Creature — Human Soldier,"At end of combat, if Kjeldoran Home Guard attacked or blocked this combat, put a -0/-1 counter on Kjeldoran Home Guard and put a 0/1 white Deserter creature token onto the battlefield.","ALL,CST,ME2",,normal,184554,1,6,Uncommon,"Human,Soldier",Creature
Kjeldoran Skycaptain,{4}{W},5,W,Mark Poole,23,Creature — Human Soldier,"Flying; first strike; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","ICE,5ED,ME2","""If we do our duty and uphold our honor, Kjeldor shall stand for a thousand years.""\n—Arna Kennerüd, skyknight",normal,184644,2,2,Common,"Human,Soldier",Creature
Lost Order of Jarkeld,{2}{W}{W},4,W,Andi Rusu,24,Creature — Human Knight,"As Lost Order of Jarkeld enters the battlefield, choose an opponent.\nLost Order of Jarkeld's power and toughness are each equal to 1 plus the number of creatures the chosen player controls.","ICE,ME2","""Let us remember brave Jarkeld and his troops, who perished in the Adarkar Wastes so long ago.""\n—Halvor Arenson, Kjeldoran priest",normal,184649,1+*,1+*,Rare,"Human,Knight",Creature
Order of the Sacred Torch,{1}{W}{W},3,W,Ruth Thompson,25,Creature — Human Knight,"{T}, Pay 1 life: Counter target black spell.","ICE,5ED,6ED,ME2",A blazing light to drive out the shadows.,normal,184658,2,2,Rare,"Human,Knight",Creature
Order of the White Shield,{W}{W},2,W,Ruth Thompson,26,Creature — Human Knight,Protection from black\n{W}: Order of the White Shield gains first strike until end of turn.\n{W}{W}: Order of the White Shield gets +1/+0 until end of turn.,"ICE,5ED,ATH,ME2","""Shall we turn away a worthy soul because his parents were peasants? I think not.""\n—Lucilde Fiksdotter, leader of the Order of the White Shield",normal,184659,2,1,Uncommon,"Human,Knight",Creature
Ravages of War,{3}{W},4,W,Fang Yue,27,Sorcery,Destroy all lands.,"PTK,ME2","""Thorn bushes spring up wherever the army has passed. Lean years follow in the wake of a great war.""\n—Lao Tzu, Tao Te Ching, trans. Feng and English",normal,184724,,,Rare,,Sorcery
Reinforcements,{W},1,W,Diana Vick,28,Instant,Put up to three target creature cards from your graveyard on top of your library.,"ALL,CST,ME2","""Let them send their legions! I will show them that my truth is stronger than their swords.""\n—General Varchild",normal,184597,,,Common,,Instant
Reprisal,{1}{W},2,W,Randy Asplund-Faith,29,Instant,Destroy target creature with power 4 or greater. It can't be regenerated.,"ALL,6ED,7ED,ME2,DDG,JOU","""The meek shall fight as one, and they shall overcome even the greatest of foes.""\n—Halvor Arensson, Kjeldoran priest",normal,184707,,,Common,,Instant
Righteous Fury,{4}{W}{W},6,W,"Edward P. Beard, Jr.",30,Sorcery,Destroy all tapped creatures. You gain 2 life for each creature destroyed this way.,"PO2,S99,ME2",,normal,184756,,,Rare,,Sorcery
Royal Decree,{2}{W}{W},4,W,Pete Venters,31,Enchantment,"Cumulative upkeep {W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhenever a Swamp, Mountain, black permanent, or red permanent becomes tapped, Royal Decree deals 1 damage to that permanent's controller.","ALL,ME2",,normal,184715,,,Rare,,Enchantment
Royal Trooper,{2}{W},3,W,Scott M. Fischer,32,Creature — Human Soldier,"Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.","S99,ME2","""Fortune does not side with the fainthearted.""\n—Sophocles, Phaedra",normal,184758,2,2,Common,"Human,Soldier",Creature
Sacred Boon,{1}{W},2,W,Mike Raabe,33,Instant,"Prevent the next 3 damage that would be dealt to target creature this turn. At the beginning of the next end step, put a +0/+1 counter on that creature for each 1 damage prevented this way.","ICE,5ED,ME2","""Divine gifts are granted to those who are worthy.""\n—Halvor Arenson, Kjeldoran priest",normal,184608,,,Uncommon,,Instant
Scars of the Veteran,{4}{W},5,W,Dan Frazier,34,Instant,"You may exile a white card from your hand rather than pay Scars of the Veteran's mana cost.\nPrevent the next 7 damage that would be dealt to target creature or player this turn. At the beginning of the next end step, put a +0/+1 counter on that creature for each 1 damage prevented this way.","ALL,CST,ME2",,normal,184572,,,Rare,,Instant
Shield Bearer,{1}{W},2,W,Dan Frazier,35,Creature — Human Soldier,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","ICE,5ED,ME2","""You have almost completed your four years, my son. Soon you shall be a skyknight.""\n—Arna Kennerüd, skyknight",normal,184702,0,3,Common,"Human,Soldier",Creature
Sustaining Spirit,{1}{W},2,W,Rebecca Guay,36,Creature — Angel Spirit,"Cumulative upkeep {1}{W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nDamage that would reduce your life total to less than 1 reduces it to 1 instead.","ALL,ME2","""Faith is our greatest protector.""\n—Halvor Arensson, Kjeldoran priest",normal,184744,0,3,Rare,"Angel,Spirit",Creature
Swords to Plowshares,{W},1,W,Kaja Foglio,37,Instant,Exile target creature. Its controller gains life equal to its power.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pJGP,ATH,BRB,pFNM,CST,ME2,DDF,ME4,V13,CNS,VMA,EMA","""The so-called barbarians will not respect us for our military might—they will respect us for our honor.""\n—Lucilde Fiksdotter, leader of the Order of the White Shield",normal,184675,,,Uncommon,,Instant
Warning,{W},1,W,Pat Morrissey,38,Instant,Prevent all combat damage that would be dealt by target attacking creature this turn.,"ICE,ME2","""The folk of the Karplusan mountains are impossible to ambush.""\n—Lovisa Coldeyes, Balduvian chieftain",normal,184719,,,Common,,Instant
Æther Storm,{3}{U},4,U,Mark Tedin,39,Enchantment,Creature spells can't be cast.\nPay 4 life: Destroy Æther Storm. It can't be regenerated. Any player may activate this ability.,"HML,5ED,ME2","""I do love the rain . . . but this storm feels somehow wrong, Taysir.""\n—Daria",normal,184722,,,Uncommon,,Enchantment
Balduvian Conjurer,{1}{U},2,U,Mark Tedin,40,Creature — Human Wizard,{T}: Target snow land becomes a 2/2 creature until end of turn. It's still a land.,"ICE,ME2","""The very lands of Balduvia are alive.""\n—Arna Kennerüd, skyknight",normal,184603,0,2,Common,"Human,Wizard",Creature
Binding Grasp,{3}{U},4,U,Ruth Thompson,41,Enchantment — Aura,"Enchant creature\nAt the beginning of your upkeep, sacrifice Binding Grasp unless you pay {1}{U}.\nYou control enchanted creature.\nEnchanted creature gets +0/+1.","ICE,5ED,CST,ME2","""What I want, I take.""\n—Gustha Ebbasdotter, Kjeldoran royal mage",normal,184605,,,Rare,Aura,Enchantment
Brainstorm,{U},1,U,Christopher Rush,42,Instant,"Draw three cards, then put two cards from your hand on top of your library in any order.","ICE,5ED,MMQ,pFNM,BTD,CST,ME2,CMD,DDJ,CNS,VMA,C15,EMA","""I reeled from the blow, and then suddenly, I knew exactly what to do. Within moments, victory was mine.""\n—Gustha Ebbasdotter, Kjeldoran royal mage",normal,184606,,,Common,,Instant
