name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angry Mob,{2}{W}{W},4,W,Drew Tucker,1,Creature — Human,"Trample\nAs long as it's your turn, Angry Mob's power and toughness are each equal to 2 plus the number of Swamps your opponents control. As long as it's not your turn, Angry Mob's power and toughness are each 2.","DRK,4ED,5ED,MED",,normal,159321,2+*,2+*,Uncommon,Human,Creature
Animate Wall,{W},1,W,Dan Frazier,2,Enchantment — Aura,Enchant Wall\nEnchanted Wall can attack as though it didn't have defender.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,MED",,normal,159250,,,Uncommon,Aura,Enchantment
Argivian Archaeologist,{1}{W}{W},3,W,Amy Weber,3,Creature — Human Artificer,"{W}{W}, {T}: Return target artifact card from your graveyard to your hand.","ATQ,MED","Fascinated by the lore of ancient struggles, the archaeologist searches incessantly for remnants of an earlier, more powerful era.",normal,159743,1,1,Rare,"Human,Artificer",Creature
Armageddon,{3}{W},4,W,Jesper Myrfors,4,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,pJGP,PO2,ATH,6ED,S99,MED,ME4,VMA,V14",,normal,159252,,,Rare,,Sorcery
Benalish Hero,{W},1,W,Douglas Shuler,5,Creature — Human Soldier,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,MED","Benalia has a complex caste system that changes with the lunar year. No matter what the season, the only caste that cannot be attained by either heredity or money is that of the hero.",normal,159253,1,1,Common,"Human,Soldier",Creature
Crusade,{W}{W},2,W,Mark Poole,6,Enchantment,White creatures get +1/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,pSUS,MED,DDF",,normal,159818,,,Rare,,Enchantment
Death Speakers,{W},1,W,Douglas Shuler,7,Creature — Human Cleric,Protection from black,"HML,5ED,MED","""Such innocent little birds. They sing a sweet song, sitting on their fragile branch.""\n—Grandmother Sengir",normal,159816,1,1,Common,"Human,Cleric",Creature
Death Ward,{W},1,W,Mark Poole,8,Instant,Regenerate target creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,MED",,normal,159754,,,Common,,Instant
Divine Transformation,{2}{W}{W},4,W,NéNé Thomas,9,Enchantment — Aura,Enchant creature\nEnchanted creature gets +3/+3.,"LEG,4ED,5ED,6ED,MED",Glory surged through her and radiance surrounded her. All things were possible with the blessing of the Divine.,normal,159299,,,Uncommon,Aura,Enchantment
Dust to Dust,{1}{W}{W},3,W,Drew Tucker,10,Sorcery,Exile two target artifacts.,"DRK,5ED,MED,ME4","Tervish never noticed that the amulet had vanished. It had disappeared not only from his possession, but from his memory as well.",normal,159144,,,Common,,Sorcery
