name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Bull Elephant,{3}{G},4,G,Steve White,,Creature — Elephant,"When Bull Elephant enters the battlefield, sacrifice it unless you return two Forests you control to their owner's hand.","MGB,VIS","Four gray trees and a long, coiling snake. What am I? —Zhalfirin riddle",normal,,4,4,Special,Elephant,Creature
Dark Privilege,{1}{B},2,B,Tom Kyffin,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1.\nSacrifice a creature: Regenerate enchanted creature.,"MGB,VIS","""As you breathe your last, understand why I accept such forbidden gifts.""\n—Purraj of Urborg",normal,,,,Special,Aura,Enchantment
King Cheetah,{3}{G},4,G,Terese Nielsen,,Creature — Cat,Flash,"MGB,VIS,9ED","If you find yourself and a friend being chased by a king cheetah, you have but one chance: Trip your friend. —Suq'Ata wisdom",normal,,3,2,Special,Cat,Creature
Necrosavant,{3}{B}{B}{B},6,B,John Coulthart,,Creature — Zombie Giant,"{3}{B}{B}, Sacrifice a creature: Return Necrosavant from your graveyard to the battlefield. Activate this ability only during your upkeep.","MGB,VIS,6ED","""Ah, I remember my first death.""\n—Zarkuu, necrosavant",normal,,5,5,Special,"Zombie,Giant",Creature
Ovinomancer,{2}{U},3,U,Kev Walker,,Creature — Human Wizard,"When Ovinomancer enters the battlefield, sacrifice it unless you return three basic lands you control to their owner's hand.\n{T}, Return Ovinomancer to its owner's hand: Destroy target creature. It can't be regenerated. That creature's controller puts a 0/1 green Sheep creature token onto the battlefield.","MGB,VIS,TSB",,normal,,0,1,Special,"Human,Wizard",Creature
Peace Talks,{1}{W},2,W,Roger Raupp,,Sorcery,"This turn and next turn, creatures can't attack, and players and permanents can't be the targets of spells or activated abilities.","MGB,VIS","""By the tongues of a thousand serpents, this time I do not lie.""\n—Ahmahz il Kin, Suq'Ata diplomat",normal,,,,Special,,Sorcery
Urborg Mindsucker,{2}{B},3,B,Tony Diterlizzi,,Creature — Horror,"{B}, Sacrifice Urborg Mindsucker: Target opponent discards a card at random. Activate this ability only any time you could cast a sorcery.","MGB,VIS","""My pet will pick the ripe fruit from your tortured brain as if it were hanging from a vine.""\n—Kaervek",normal,,2,2,Special,Horror,Creature
Vampirism,{1}{B},2,B,Gary Leach,,Enchantment — Aura,"Enchant creature\nWhen Vampirism enters the battlefield, draw a card at the beginning of the next turn's upkeep.\nEnchanted creature gets +1/+1 for each other creature you control.\nOther creatures you control get -1/-1.","MGB,VIS",,normal,,,,Special,Aura,Enchantment
Viashino Sandstalker,{1}{R}{R},3,R,Andrew Robinson,,Creature — Viashino Warrior,"Haste (This creature can attack the turn it comes under your control.)\nAt the beginning of the end step, return Viashino Sandstalker to its owner's hand. (Return it only if it's on the battlefield.)","MGB,VIS,8ED,9ED","""Some believe sandstalkers to be illusions; those with scars know better.""\n—Zhalfirin Guide to the Desert",normal,,4,2,Special,"Viashino,Warrior",Creature
Wicked Reward,{1}{B},2,B,D. Alexander Gregory,,Instant,"As an additional cost to cast Wicked Reward, sacrifice a creature.\nTarget creature gets +4/+2 until end of turn.","MGB,VIS","""The blood on my hands is merely proof of my ambition.""\n—Kaervek",normal,,,,Special,,Instant
