name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
All Is Dust,{7},7,,Jason Felix,1,Tribal Sorcery — Eldrazi,Each player sacrifices all colored permanents he or she controls.,"pGPX,ROE,MM2","""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",normal,397750,,,Rare,Eldrazi,"Tribal,Sorcery"
Artisan of Kozilek,{9},9,,Jason Felix,2,Creature — Eldrazi,"When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.\nAnnihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)","pFNM,ROE,ARC,CMD,C14,MM2,DDP",,normal,397777,10,9,Uncommon,Eldrazi,Creature
"Emrakul, the Aeons Torn",{15},15,,Mark Tedin,3,Legendary Creature — Eldrazi,"Emrakul, the Aeons Torn can't be countered.\nWhen you cast Emrakul, take an extra turn after this one.\nFlying, protection from colored spells, annihilator 6\nWhen Emrakul is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.","pPRE,ROE,MM2",,normal,397905,15,15,Mythic Rare,Eldrazi,Creature
Karn Liberated,{7},7,,Jason Chan,4,Planeswalker — Karn,"+4: Target player exiles a card from his or her hand.\n−3: Exile target permanent.\n−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.","NPH,MM2",,normal,397828,,,Mythic Rare,Karn,Planeswalker
"Kozilek, Butcher of Truth",{10},10,,Michael Komarck,5,Legendary Creature — Eldrazi,"When you cast Kozilek, Butcher of Truth, draw four cards.\nAnnihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)\nWhen Kozilek is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.","ROE,MM2",,normal,397668,12,12,Mythic Rare,Eldrazi,Creature
"Ulamog, the Infinite Gyre",{11},11,,Aleksi Briclot,6,Legendary Creature — Eldrazi,"When you cast Ulamog, the Infinite Gyre, destroy target permanent.\nIndestructible\nAnnihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)\nWhen Ulamog is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.","ROE,V11,MM2",,normal,397815,10,10,Mythic Rare,Eldrazi,Creature
Ulamog's Crusher,{8},8,,Todd Lockwood,7,Creature — Eldrazi,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)\nUlamog's Crusher attacks each turn if able.","ROE,MM2,DDP","""Whatever the Eldrazi's purpose is, it has nothing to do with something so insignificant as us.""\n—Nirthu, lone missionary",normal,397678,8,8,Common,Eldrazi,Creature
Apostle's Blessing,{1}{W/P},2,W,Brad Rigney,8,Instant,({W/P} can be paid with either {W} or 2 life.)\nTarget artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.,"NPH,MM2",,normal,397768,,,Common,,Instant
Arrest,{2}{W},3,W,Daarken,9,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.","pMEI,MMQ,MRD,SOM,RTR,MM2","Bladehold houses a rogues' gallery filled with the living ""statues"" of the worst enemies of the Auriok.",normal,397723,,,Common,Aura,Enchantment
Battlegrace Angel,{3}{W}{W},5,W,Matt Stewart,10,Creature — Angel,"Flying\nExalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)\nWhenever a creature you control attacks alone, it gains lifelink until end of turn.","ALA,MM2",,normal,397766,4,4,Rare,Angel,Creature
Celestial Purge,{1}{W},2,W,David Palumbo,11,Instant,Exile target black or red permanent.,"pMPR,CON,M10,M11,M12,MM2","""They say only the good die young. Obviously, you are one of the exceptions.""\n—Delrobah, cleric of Ivora Gate",normal,397699,,,Uncommon,,Instant
