name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Adarkar Valkyrie,{4}{W}{W},6,W,Jeremy Jarvis,1,Snow Creature — Angel,"Flying, vigilance\n{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.","CSP,MMA,C14","She doesn't escort the dead to the afterlife, but instead raises them to fight and die again.",normal,370543,4,5,Rare,Angel,Creature
Amrou Scout,{1}{W},2,W,Quinton Hoover,2,Creature — Kithkin Rebel Scout,"{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.","TSP,MMA","The people of Amrou were scattered by war and driven into hiding. Scouts maintain the beacon fires that signal ""return"" and ""home.""",normal,370571,2,1,Common,"Kithkin,Rebel,Scout",Creature
Amrou Seekers,{2}{W},3,W,Quinton Hoover,3,Creature — Kithkin Rebel,Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.,"TSP,MMA","The paradise of Amrou Haven had become a field of cinders. Its people struggled to survive, hoping to see visions of its past in the strange storms that quickly passed.",normal,370576,2,2,Common,"Kithkin,Rebel",Creature
Angel's Grace,{W},1,W,Mark Zug,4,Instant,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nYou can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.","TSP,MMA",,normal,370545,,,Rare,,Instant
Auriok Salvagers,{3}{W},4,W,Randy Gallegos,5,Creature — Human Soldier,{1}{W}: Return target artifact card with converted mana cost 1 or less from your graveyard to your hand.,"5DN,MMA","""Memnarch or the vedalken salvage most of the large machines, leaving us only scraps. Scraps are enough.""",normal,370370,2,4,Rare,"Human,Soldier",Creature
Avian Changeling,{2}{W},3,W,Heather Hudson,6,Creature — Shapeshifter,Changeling (This card is every creature type.)\nFlying,"LRW,MMA","Today it flies with the flock. Tomorrow it may wake to find them gone, its body in an unfamiliar form.",normal,370489,2,2,Common,Shapeshifter,Creature
Blinding Beam,{2}{W},3,W,Doug Chaffee,7,Instant,Choose one —\n• Tap two target creatures.\n• Creatures don't untap during target player's next untap step.\nEntwine {1} (Choose both if you pay the entwine cost.),"MRD,DDF,MMA",,normal,370431,,,Common,,Instant
Bound in Silence,{2}{W},3,W,William Simpson,8,Tribal Enchantment — Rebel Aura,Enchant creature\nEnchanted creature can't attack or block.,"FUT,MMA",A fight put off forever is already won.,normal,370396,,,Common,"Rebel,Aura","Tribal,Enchantment"
Cenn's Enlistment,{3}{W},4,W,Matt Cavotta,9,Sorcery,Put two 1/1 white Kithkin Soldier creature tokens onto the battlefield.\nRetrace (You may cast this card from your graveyard by discarding a land card in addition to paying its other costs.),"EVE,MMA",The more the scarier.,normal,370373,,,Common,,Sorcery
Cloudgoat Ranger,{3}{W}{W},5,W,Adam Rex,10,Creature — Giant Warrior,"When Cloudgoat Ranger enters the battlefield, put three 1/1 white Kithkin Soldier creature tokens onto the battlefield.\nTap three untapped Kithkin you control: Cloudgoat Ranger gets +2/+0 and gains flying until end of turn.","LRW,MMA",,normal,370553,3,3,Uncommon,"Giant,Warrior",Creature
Court Homunculus,{W},1,W,Matt Cavotta,11,Artifact Creature — Homunculus,Court Homunculus gets +1/+1 as long as you control another artifact.,"CON,MMA,MM2",Mages of Esper measure their wealth and status by the number of servants in their retinues.,normal,370495,1,1,Common,Homunculus,"Artifact,Creature"
Dispeller's Capsule,{W},1,W,Franz Vohwinkel,12,Artifact,"{2}{W}, {T}, Sacrifice Dispeller's Capsule: Destroy target artifact or enchantment.","ALA,MMA","""I find its symmetry pleasing. It rids our world of offensive refuse while disposing of itself.""\n—Dolomarus, Proctor of the Clean",normal,370527,,,Common,,Artifact
"Elspeth, Knight-Errant",{2}{W}{W},4,W,Volkan Baga,13,Planeswalker — Elspeth,"+1: Put a 1/1 white Soldier creature token onto the battlefield.\n+1: Target creature gets +3/+3 and gains flying until end of turn.\n−8: You get an emblem with ""Artifacts, creatures, enchantments, and lands you control have indestructible.""","ALA,DDF,MMA,MD1",,normal,370551,,,Mythic Rare,Elspeth,Planeswalker
Ethersworn Canonist,{1}{W},2,W,Izzy,14,Artifact Creature — Human Cleric,Each player who has cast a nonartifact spell this turn can't cast additional nonartifact spells.,"ALA,MMA","""The noble work of our order is to infuse all life on Esper with etherium. Our goal will be reached more rapidly if new life is . . . suppressed.""",normal,370504,2,2,Rare,"Human,Cleric","Artifact,Creature"
Feudkiller's Verdict,{4}{W}{W},6,W,Dan Scott,15,Tribal Sorcery — Giant,"You gain 10 life. Then if you have more life than an opponent, put a 5/5 white Giant Warrior creature token onto the battlefield.","MOR,MMA","""There are all kinds of strengths, but if you have strength of soul, the others will follow.""\n—Galanda Feudkiller",normal,370438,,,Uncommon,Giant,"Tribal,Sorcery"
Flickerwisp,{1}{W}{W},3,W,Jeremy Enecio,16,Creature — Elemental,"Flying\nWhen Flickerwisp enters the battlefield, exile another target permanent. Return that card to the battlefield under its owner's control at the beginning of the next end step.","EVE,MMA,C13,C14",Its wings disturb more than air.,normal,370449,3,1,Uncommon,Elemental,Creature
Gleam of Resistance,{4}{W},5,W,Matt Stewart,17,Instant,"Creatures you control get +1/+2 until end of turn. Untap those creatures.\nBasic landcycling {1}{W} ({1}{W}, Discard this card: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.)","CON,MMA",,normal,370371,,,Common,,Instant
Hillcomber Giant,{2}{W}{W},4,W,Ralph Horsley,18,Creature — Giant Scout,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"LRW,MMA","The giants believe the fossils they find in Lorwyn's rocky heights are dreams frozen in time, and they treasure them.",normal,370386,3,3,Common,"Giant,Scout",Creature
Ivory Giant,{5}{W}{W},7,W,Zack Stella,19,Creature — Giant,"When Ivory Giant enters the battlefield, tap all nonwhite creatures.\nSuspend 5—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)","TSP,MMA",,normal,370415,3,4,Common,Giant,Creature
"Kataki, War's Wage",{1}{W},2,W,Matt Thompson,20,Legendary Creature — Spirit,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {1}.""","SOK,MMA,MD1","""Before the war, we prayed to Kataki to sharpen our swords and harden our armor. Without his blessing our weapons are all but useless against the kami hordes.""\n—Kenzo the Hardhearted",normal,370414,2,1,Rare,Spirit,Creature
Kithkin Greatheart,{1}{W},2,W,Greg Staples,21,Creature — Kithkin Soldier,"As long as you control a Giant, Kithkin Greatheart gets +1/+1 and has first strike.","LRW,MMA","Sometimes a curious giant singles out a ""little one"" to follow for a few days, never realizing the effect it will have on the little one's life.",normal,370422,2,1,Common,"Kithkin,Soldier",Creature
Meadowboon,{2}{W}{W},4,W,Steven Belledin,22,Creature — Elemental,"When Meadowboon leaves the battlefield, put a +1/+1 counter on each creature target player controls.\nEvoke {3}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","MOR,MMA",,normal,370513,3,3,Uncommon,Elemental,Creature
Otherworldly Journey,{1}{W},2,W,Vance Kovacs,23,Instant — Arcane,"Exile target creature. At the beginning of the next end step, return that card to the battlefield under its owner's control with a +1/+1 counter on it.","CHK,DDC,MMA,DD3_DVD,MM2","""The landscape shimmered and I felt a chill breeze. When my vision cleared, I found myself alone among the corpses of my fallen friends.""\n—Journal found in Numai",normal,370460,,,Common,Arcane,Instant
Pallid Mycoderm,{3}{W},4,W,Jim Nelson,24,Creature — Fungus,"At the beginning of your upkeep, put a spore counter on Pallid Mycoderm.\nRemove three spore counters from Pallid Mycoderm: Put a 1/1 green Saproling creature token onto the battlefield.\nSacrifice a Saproling: Each creature you control that's a Fungus or a Saproling gets +1/+1 until end of turn.","PLC,MMA",,normal,370348,2,4,Common,Fungus,Creature
Path to Exile,{W},1,W,Todd Lockwood,25,Instant,"Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.","pWPN,CON,ARC,CMD,DDI,MMA,MD1",,normal,370408,,,Uncommon,,Instant
Reveillark,{4}{W},5,W,Jim Murray,26,Creature — Elemental,"Flying\nWhen Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.\nEvoke {5}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","MOR,MMA",,normal,370493,4,3,Rare,Elemental,Creature
Saltfield Recluse,{2}{W},3,W,Brian Despain,27,Creature — Human Rebel Cleric,{T}: Target creature gets -2/-0 until end of turn.,"PLC,MMA","He remembers a past of light and healing. But he lives the bitter present—parching salt, scouring wind, and the withering heat of the desert.",normal,370536,1,2,Common,"Human,Rebel,Cleric",Creature
Sanctum Gargoyle,{3}{W},4,W,Shelly Wan,28,Artifact Creature — Gargoyle,"Flying\nWhen Sanctum Gargoyle enters the battlefield, you may return target artifact card from your graveyard to your hand.","ALA,ARC,MMA","As their supplies of etherium dwindled, mechanists sent gargoyles farther and farther afield in search of salvage.",normal,370485,2,3,Common,Gargoyle,"Artifact,Creature"
Sandsower,{3}{W},4,W,Kev Walker,29,Creature — Spirit,Tap three untapped creatures you control: Tap target creature.,"RAV,MMA","It drifts through the streets as a breeze of collective sighs, wilting the bustle with dreams and heavy eyelids.",normal,370392,1,3,Uncommon,Spirit,Creature
Stir the Pride,{4}{W},5,W,Matt Cavotta,30,Instant,"Choose one —\n• Creatures you control get +2/+2 until end of turn.\n• Until end of turn, creatures you control gain ""Whenever this creature deals damage, you gain that much life.""\nEntwine {1}{W} (Choose both if you pay the entwine cost.)","DST,MMA",,normal,370507,,,Uncommon,,Instant
Stonehewer Giant,{3}{W}{W},5,W,Steve Prescott,31,Creature — Giant Warrior,"Vigilance\n{1}{W}, {T}: Search your library for an Equipment card and put it onto the battlefield. Attach it to a creature you control. Then shuffle your library.","MOR,MMA","""No matter how strong, an unarmed fighter is no more than a fool.""",normal,370515,4,4,Rare,"Giant,Warrior",Creature
Terashi's Grasp,{2}{W},3,W,Mark Tedin,32,Sorcery — Arcane,Destroy target artifact or enchantment. You gain life equal to its converted mana cost.,"BOK,MMA,MM2","""The jeweler, the potter, the smith . . . They all imbue a bit of their souls into their creations. The kami destroy that crafted mortal shell and absorb the soul within.""\n—Noboru, master kitemaker",normal,370555,,,Uncommon,Arcane,Sorcery
Test of Faith,{1}{W},2,W,Vance Kovacs,33,Instant,"Prevent the next 3 damage that would be dealt to target creature this turn. For each 1 damage prevented this way, put a +1/+1 counter on that creature.","DST,DDG,MMA",Those who survive the test bear a mark of power anyone can recognize.,normal,370554,,,Common,,Instant
Veteran Armorer,{1}{W},2,W,Kev Walker,34,Creature — Human Soldier,Other creatures you control get +0/+1.,"RAV,MMA","""Give me a sword and I'll kill a few enemies. But give me a hammer and a fiery forge, and I'll turn the tide of battle.""",normal,370361,2,2,Common,"Human,Soldier",Creature
"Yosei, the Morning Star",{4}{W}{W},6,W,Hiro Izawa,35,Legendary Creature — Dragon Spirit,"Flying\nWhen Yosei, the Morning Star dies, target player skips his or her next untap step. Tap up to five target permanents that player controls.","CHK,MMA",,normal,370574,5,5,Mythic Rare,"Dragon,Spirit",Creature
