name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Afterlife,{2}{W},3,W,Brian Snõddy,1,Instant,Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.,"MIR,MMQ,CMD,VMA,C14",,normal,19549,,,Uncommon,,Instant
Alabaster Wall,{2}{W},3,W,Randy Gallegos,2,Creature — Wall,Defender (This creature can't attack.)\n{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,MMQ,Its mortar is mixed with waters straight from the Fountain of Cho.,normal,19541,0,4,Common,Wall,Creature
Armistice,{2}{W},3,W,Dan Frazier,3,Enchantment,{3}{W}{W}: You draw a card and target opponent gains 3 life.,"MMQ,C14",We all must profit for peace to last.\n—Mercadian saying,normal,19661,,,Rare,,Enchantment
Arrest,{2}{W},3,W,Dan Frazier,4,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.","pMEI,MMQ,MRD,SOM,RTR,MM2",Orim had no memory of the previous night—the first thing she could remember was waking up with the dead guard's blood on her hands.,normal,19789,,,Uncommon,Aura,Enchantment
Ballista Squad,{3}{W},4,W,Matthew D. Wilson,5,Creature — Human Rebel,"{X}{W}, {T}: Ballista Squad deals X damage to target attacking or blocking creature.","MMQ,9ED,10E",The perfect antidote for a tightly packed formation.,normal,19781,2,2,Uncommon,"Human,Rebel",Creature
Charm Peddler,{W},1,W,John Matson,6,Creature — Human Spellshaper,"{W}, {T}, Discard a card: The next time a source of your choice would deal damage to target creature this turn, prevent that damage.",MMQ,,normal,19535,1,1,Common,"Human,Spellshaper",Creature
Charmed Griffin,{3}{W},4,W,Ray Lago,7,Creature — Griffin,"Flying\nWhen Charmed Griffin enters the battlefield, each other player may put an artifact or enchantment card onto the battlefield from his or her hand.",MMQ,Are you sure you can afford such a luxury?,normal,19777,3,3,Uncommon,Griffin,Creature
Cho-Arrim Alchemist,{W},1,W,Scott M. Fischer,8,Creature — Human Spellshaper,"{1}{W}{W}, {T}, Discard a card: The next time a source of your choice would deal damage to you this turn, prevent that damage. You gain life equal to the damage prevented this way.",MMQ,,normal,19647,1,1,Rare,"Human,Spellshaper",Creature
Cho-Arrim Bruiser,{5}{W},6,W,Paolo Parente,9,Creature — Ogre Rebel,"Whenever Cho-Arrim Bruiser attacks, you may tap up to two target creatures.",MMQ,"He doesn't know why the Cho-Arrim fight the Mercadians, but he's happy to bash heads for them anyway.",normal,19650,3,4,Rare,"Ogre,Rebel",Creature
Cho-Arrim Legate,{2}{W},3,W,rk post,10,Creature — Human Soldier,"Protection from black\nIf an opponent controls a Swamp and you control a Plains, you may cast Cho-Arrim Legate without paying its mana cost.",MMQ,,normal,19779,1,2,Uncommon,"Human,Soldier",Creature
"Cho-Manno, Revolutionary",{2}{W}{W},4,W,Greg & Tim Hildebrandt,11,Legendary Creature — Human Rebel,"Prevent all damage that would be dealt to Cho-Manno, Revolutionary.","MMQ,10E","""Mercadia's masks can no longer hide the truth. Our day has come at last.""\n—Cho-Manno",normal,20411,2,2,Rare,"Human,Rebel",Creature
Cho-Manno's Blessing,{W}{W},2,W,John Matson,12,Enchantment — Aura,"Flash\nEnchant creature\nAs Cho-Manno's Blessing enters the battlefield, choose a color.\nEnchanted creature has protection from the chosen color. This effect doesn't remove Cho-Manno's Blessing.",MMQ,,normal,19551,,,Common,Aura,Enchantment
