name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ballyrush Banneret,{1}{W},2,W,Ralph Horsley,1,Creature — Kithkin Soldier,Kithkin spells and Soldier spells you cast cost {1} less to cast.,MOR,Only wool from the side of the springjack turned most often to the sun can be woven into kithkin battle standards. Jackherds record every movement of their woolly-jacks until shearing.,normal,152623,2,1,Common,"Kithkin,Soldier",Creature
Battletide Alchemist,{3}{W}{W},5,W,Steve Prescott,2,Creature — Kithkin Cleric,"If a source would deal damage to a player, you may prevent X of that damage, where X is the number of Clerics you control.",MOR,"""I do not heal. Healing means that the pain has already been felt. To stop suffering, one must prevent the world's wounds altogether.""",normal,153451,3,4,Rare,"Kithkin,Cleric",Creature
Burrenton Bombardier,{2}{W},3,W,Ron Spencer,3,Creature — Kithkin Soldier,"Flying\nReinforce 2—{2}{W} ({2}{W}, Discard this card: Put two +1/+1 counters on target creature.)","MOR,DDF","The flasks provide ballast, a means of steering, and—with a little luck—a way to deliver ward-spells to cohorts below.",normal,152694,2,2,Common,"Kithkin,Soldier",Creature
Burrenton Shield-Bearers,{4}{W},5,W,Daren Bader,4,Creature — Kithkin Soldier,"Whenever Burrenton Shield-Bearers attacks, target creature gets +0/+3 until end of turn.",MOR,"Soul and bones, kithkin are woven into their clans. They fight fiercely and without self-interest.",normal,152668,3,3,Common,"Kithkin,Soldier",Creature
Cenn's Tactician,{W},1,W,Zoltan Boros & Gabor Szikszai,5,Creature — Kithkin Soldier,"{W}, {T}: Put a +1/+1 counter on target Soldier creature.\nEach creature you control with a +1/+1 counter on it can block an additional creature.","pGTW,MOR","The choke point was the plan, but devoted camaraderie was always her strategy.",normal,152878,1,1,Uncommon,"Kithkin,Soldier",Creature
Changeling Sentinel,{3}{W},4,W,Chuck Lukacs,6,Creature — Shapeshifter,Changeling (This card is every creature type.)\nVigilance,MOR,There's nothing more unsettling than locking blades with something that looks just like you.,normal,143230,3,2,Common,Shapeshifter,Creature
Coordinated Barrage,{W},1,W,Franz Vohwinkel,7,Instant,Choose a creature type. Coordinated Barrage deals damage to target attacking or blocking creature equal to the number of permanents you control of the chosen type.,MOR,,normal,153151,,,Common,,Instant
Daily Regimen,{W},1,W,Warren Mahy,8,Enchantment — Aura,Enchant creature\n{1}{W}: Put a +1/+1 counter on enchanted creature.,"MOR,DDL","What self-indulgence tears down, discipline builds up again.",normal,152838,,,Uncommon,Aura,Enchantment
Feudkiller's Verdict,{4}{W}{W},6,W,Dan Scott,9,Tribal Sorcery — Giant,"You gain 10 life. Then if you have more life than an opponent, put a 5/5 white Giant Warrior creature token onto the battlefield.","MOR,MMA","""There are all kinds of strengths, but if you have strength of soul, the others will follow.""\n—Galanda Feudkiller",normal,152649,,,Rare,Giant,"Tribal,Sorcery"
Forfend,{1}{W},2,W,Franz Vohwinkel,10,Instant,Prevent all damage that would be dealt to creatures this turn.,MOR,"""Suddenly there stood a fortress protecting the clachan, its walls hewn of valor and mortared with honor.""\n—Clachan Tales",normal,157431,,,Common,,Instant
Graceful Reprieve,{1}{W},2,W,William O'Connor,11,Instant,"When target creature dies this turn, return that card to the battlefield under its owner's control.",MOR,"""In my moment of death, I had a vision of the world, dark and unwelcoming. I wanted to hide in the deepest meander, but the light pulled me back.""",normal,153138,,,Uncommon,,Instant
Idyllic Tutor,{2}{W},3,W,Howard Lyon,12,Sorcery,"Search your library for an enchantment card, reveal it, and put it into your hand. Then shuffle your library.",MOR,"""If one's life is blessed, solutions to all life's problems will appear at the right moment.""\n—The Book of Kith and Kin",normal,152938,,,Rare,,Sorcery
Indomitable Ancients,{2}{W}{W},4,W,Pete Venters,13,Creature — Treefolk Warrior,,MOR,"""Odum and Broadbark were the only beings mighty enough to challenge the giant Moran the Destroyer. Their battle lasted a hundred dawns, until Moran became so exhausted that he fell into namesleep. He awoke as Moran the Gardener.""\n—The Tale of Odum and Broadbark",normal,152967,2,10,Rare,"Treefolk,Warrior",Creature
Kinsbaile Borderguard,{1}{W}{W},3,W,Christopher Moeller,14,Creature — Kithkin Soldier,"Kinsbaile Borderguard enters the battlefield with a +1/+1 counter on it for each other Kithkin you control.\nWhen Kinsbaile Borderguard dies, put a 1/1 white Kithkin Soldier creature token onto the battlefield for each counter on it.",MOR,,normal,152977,1,1,Rare,"Kithkin,Soldier",Creature
Kinsbaile Cavalier,{3}{W},4,W,Wayne Reynolds,15,Creature — Kithkin Knight,Knight creatures you control have double strike.,"MOR,DDG","Ambidexterity is common among kithkin. The thoughtweft links the minds of the left- and right-handed, giving each the knack of the other.",normal,153279,2,2,Rare,"Kithkin,Knight",Creature
Kithkin Zephyrnaut,{2}{W},3,W,Quinton Hoover & Val Mayerik,16,Creature — Kithkin Soldier,"Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Kithkin Zephyrnaut, you may reveal it. If you do, Kithkin Zephyrnaut gets +2/+2 and gains flying and vigilance until end of turn.",MOR,,normal,152858,2,2,Common,"Kithkin,Soldier",Creature
Meadowboon,{2}{W}{W},4,W,Steven Belledin,17,Creature — Elemental,"When Meadowboon leaves the battlefield, put a +1/+1 counter on each creature target player controls.\nEvoke {3}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","MOR,MMA",,normal,157432,3,3,Uncommon,Elemental,Creature
Mosquito Guard,{W},1,W,Randy Gallegos,18,Creature — Kithkin Soldier,"First strike\nReinforce 1—{1}{W} ({1}{W}, Discard this card: Put a +1/+1 counter on target creature.)","MOR,DDF","His aim is as sure as a mosquito's sting, but with none of the warning.",normal,152585,1,1,Common,"Kithkin,Soldier",Creature
Order of the Golden Cricket,{1}{W},2,W,Mark Zug,19,Creature — Kithkin Knight,"Whenever Order of the Golden Cricket attacks, you may pay {W}. If you do, it gains flying until end of turn.",MOR,"""Should you take it in mind to ride a springjack, remember: there are easier ways to fly, and harder ways to break your skull.""\n—Lann of Cloverdell",normal,153463,2,2,Common,"Kithkin,Knight",Creature
Preeminent Captain,{2}{W},3,W,Greg Staples,20,Creature — Kithkin Soldier,"First strike (This creature deals combat damage before creatures without first strike.)\nWhenever Preeminent Captain attacks, you may put a Soldier creature card from your hand onto the battlefield tapped and attacking.","MOR,M15","""If you need an example to lead others to the front lines, consider the precedent set.""",normal,152595,2,2,Rare,"Kithkin,Soldier",Creature
Redeem the Lost,{1}{W},2,W,Scott M. Fischer,21,Instant,"Target creature you control gains protection from the color of your choice until end of turn. Clash with an opponent. If you win, return Redeem the Lost to its owner's hand. (Each clashing player reveals the top card of his or her library, then puts that card on the top or bottom. A player wins if his or her card had a higher converted mana cost.)",MOR,,normal,152616,,,Uncommon,,Instant
Reveillark,{4}{W},5,W,Jim Murray,22,Creature — Elemental,"Flying\nWhen Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.\nEvoke {5}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","MOR,MMA",,normal,152716,4,3,Rare,Elemental,Creature
Shinewend,{1}{W},2,W,Terese Nielsen,23,Creature — Elemental,"Flying\nShinewend enters the battlefield with a +1/+1 counter on it.\n{1}{W}, Remove a +1/+1 counter from Shinewend: Destroy target enchantment.",MOR,,normal,152659,0,0,Common,Elemental,Creature
Stonehewer Giant,{3}{W}{W},5,W,Steve Prescott,24,Creature — Giant Warrior,"Vigilance\n{1}{W}, {T}: Search your library for an Equipment card and put it onto the battlefield. Attach it to a creature you control. Then shuffle your library.","MOR,MMA","""No matter how strong, an unarmed fighter is no more than a fool.""",normal,152588,4,4,Rare,"Giant,Warrior",Creature
Stonybrook Schoolmaster,{2}{W},3,W,Quinton Hoover & Val Mayerik,25,Creature — Merfolk Wizard,"Whenever Stonybrook Schoolmaster becomes tapped, you may put a 1/1 blue Merfolk Wizard creature token onto the battlefield.",MOR,Merrow schools rarely form by design. They come together naturally as eager learners surround the wisest teachers.,normal,153166,1,2,Common,"Merfolk,Wizard",Creature
Swell of Courage,{3}{W}{W},5,W,Jim Nelson,26,Instant,"Creatures you control get +2/+2 until end of turn.\nReinforce X—{X}{W}{W} ({X}{W}{W}, Discard this card: Put X +1/+1 counters on target creature.)","MOR,DDF","""Tideshaping is more than creating a few\nnew puddles.""",normal,152729,,,Uncommon,,Instant
Wandering Graybeard,{3}{W}{W},5,W,Nils Hamm,27,Creature — Giant Wizard,"Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Wandering Graybeard, you may reveal it. If you do, you gain 4 life.",MOR,"His tales are as tall as he is, and only a giant's life is long enough to listen to them all.",normal,152672,4,4,Uncommon,"Giant,Wizard",Creature
