name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angelic Favor,{3}{W},4,W,Paolo Parente,1,Instant,"If you control a Plains, you may tap an untapped creature you control rather than pay Angelic Favor's mana cost.\nCast Angelic Favor only during combat.\nPut a 4/4 white Angel creature token with flying onto the battlefield. Exile it at the beginning of the next end step.",NMS,,normal,21258,,,Uncommon,,Instant
Avenger en-Dal,{1}{W},2,W,Ron Spencer,2,Creature — Human Spellshaper,"{2}{W}, {T}, Discard a card: Exile target attacking creature. Its controller gains life equal to its toughness.",NMS,,normal,21263,1,1,Rare,"Human,Spellshaper",Creature
Blinding Angel,{3}{W}{W},5,W,Todd Lockwood,3,Creature — Angel,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Blinding Angel deals combat damage to a player, that player skips his or her next combat phase.","NMS,8ED,9ED","""Their eyes will shrivel and blacken before faith's true light.""",normal,21273,2,4,Rare,Angel,Creature
Chieftain en-Dal,{1}{W}{W},3,W,Orizio Daniele,4,Creature — Human Knight,"Whenever Chieftain en-Dal attacks, attacking creatures gain first strike until end of turn.",NMS,The clearest commands are practical examples.,normal,21264,2,2,Uncommon,"Human,Knight",Creature
Defender en-Vec,{3}{W},4,W,Bradley Williams,5,Creature — Human Cleric,"Fading 4 (This creature enters the battlefield with four fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nRemove a fade counter from Defender en-Vec: Prevent the next 2 damage that would be dealt to target creature or player this turn.",NMS,,normal,22026,2,4,Common,"Human,Cleric",Creature
Defiant Falcon,{1}{W},2,W,Heather Hudson,6,Creature — Rebel Bird,"Flying\n{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.",NMS,,normal,21251,1,1,Common,"Rebel,Bird",Creature
Defiant Vanguard,{2}{W},3,W,Pete Venters,7,Creature — Human Rebel,"When Defiant Vanguard blocks, at end of combat, destroy it and all creatures it blocked this turn.\n{5}, {T}: Search your library for a Rebel permanent card with converted mana cost 4 or less and put it onto the battlefield. Then shuffle your library.","NMS,TSB",,normal,21266,2,2,Uncommon,"Human,Rebel",Creature
Fanatical Devotion,{2}{W},3,W,Massimilano Frezzato,8,Enchantment,Sacrifice a creature: Regenerate target creature.,NMS,The Oracle told Eladamri he would save his people by abandoning them. His followers adopted that ideal.,normal,21260,,,Common,,Enchantment
Lashknife,{1}{W},2,W,Hannibal King,9,Enchantment — Aura,"If you control a Plains, you may tap an untapped creature you control rather than pay Lashknife's mana cost.\nEnchant creature\nEnchanted creature has first strike.",NMS,"Those it won't scare, it scars.",normal,21257,,,Common,Aura,Enchantment
Lawbringer,{2}{W},3,W,Matt Cavotta,10,Creature — Kor Rebel,"{T}, Sacrifice Lawbringer: Exile target red creature.",NMS,One injustice starts a thousand riots. One law stops a thousand crimes.\n—Lawbringer creed,normal,21255,2,2,Common,"Kor,Rebel",Creature
Lightbringer,{2}{W},3,W,Paolo Parente,11,Creature — Kor Rebel,"{T}, Sacrifice Lightbringer: Exile target black creature.",NMS,One thought opens a thousand eyes. One sun brings a thousand dawns.\n—Lightbringer creed,normal,21256,2,2,Common,"Kor,Rebel",Creature
"Lin Sivvi, Defiant Hero",{1}{W}{W},3,W,rk post,12,Legendary Creature — Human Rebel,"{X}, {T}: Search your library for a Rebel permanent card with converted mana cost X or less and put it onto the battlefield. Then shuffle your library.\n{3}: Put target Rebel card from your graveyard on the bottom of your library.",NMS,,normal,21271,1,3,Rare,"Human,Rebel",Creature
Netter en-Dal,{W},1,W,Matt Cavotta,13,Creature — Human Spellshaper,"{W}, {T}, Discard a card: Target creature can't attack this turn.",NMS,The wizard's vocabulary of mogg profanities increased with every net she cast.,normal,22027,1,1,Common,"Human,Spellshaper",Creature
Noble Stand,{4}{W},5,W,Greg & Tim Hildebrandt,14,Enchantment,"Whenever a creature you control blocks, you gain 2 life.",NMS,Soldiers will always endanger their lives to defend many other lives.,normal,21262,,,Uncommon,,Enchantment
Off Balance,{W},1,W,Jeff Miracola,15,Instant,Target creature can't attack or block this turn.,NMS,A heavy weapon deals plenty of damage—but it does have to hit.,normal,22032,,,Common,,Instant
Oracle's Attendants,{3}{W},4,W,Orizio Daniele,16,Creature — Human Soldier,{T}: All damage that would be dealt to target creature this turn by a source of your choice is dealt to Oracle's Attendants instead.,"NMS,8ED,9ED","The future isn't sacred, but its speaker is.",normal,22030,1,5,Rare,"Human,Soldier",Creature
Parallax Wave,{2}{W}{W},4,W,Greg Staples,17,Enchantment,"Fading 5 (This enchantment enters the battlefield with five fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)\nRemove a fade counter from Parallax Wave: Exile target creature.\nWhen Parallax Wave leaves the battlefield, each player returns to the battlefield all cards he or she owns exiled with Parallax Wave.","NMS,VMA",,normal,22028,,,Rare,,Enchantment
Seal of Cleansing,{1}{W},2,W,Christopher Moeller,18,Enchantment,Sacrifice Seal of Cleansing: Destroy target artifact or enchantment.,"pFNM,NMS,VMA,C15,EMA","""I am the purifier, the light that clears all shadows.""\n—Seal inscription",normal,21259,,,Common,,Enchantment
Silkenfist Fighter,{1}{W},2,W,Mark Brill,19,Creature — Kor Soldier,"Whenever Silkenfist Fighter becomes blocked, untap it.",NMS,"Simple wooden staff\nMade from life, protecting life,\nStronger than cold steel.",normal,22320,1,3,Common,"Kor,Soldier",Creature
Silkenfist Order,{3}{W}{W},5,W,Greg & Tim Hildebrandt,20,Creature — Kor Soldier,"Whenever Silkenfist Order becomes blocked, untap it.",NMS,Hands weave life and death;\nIntertwining spirits knit\nTapestries and shrouds.,normal,22338,3,5,Uncommon,"Kor,Soldier",Creature
Sivvi's Ruse,{2}{W}{W},4,W,Kev Walker,21,Instant,"If an opponent controls a Mountain and you control a Plains, you may cast Sivvi's Ruse without paying its mana cost.\nPrevent all damage that would be dealt this turn to creatures you control.",NMS,,normal,21270,,,Uncommon,,Instant
