name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Karn Liberated,{7},7,,Jason Chan,1,Planeswalker — Karn,"+4: Target player exiles a card from his or her hand.\n−3: Exile target permanent.\n−14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated. Then put those cards onto the battlefield under your control.","NPH,MM2",,normal,214350,,,Mythic Rare,Karn,Planeswalker
Apostle's Blessing,{1}{W/P},2,W,Brad Rigney,2,Instant,({W/P} can be paid with either {W} or 2 life.)\nTarget artifact or creature you control gains protection from artifacts or from the color of your choice until end of turn.,"NPH,MM2",,normal,194208,,,Common,,Instant
Auriok Survivors,{5}{W},6,W,James Ryman,3,Creature — Human Soldier,"When Auriok Survivors enters the battlefield, you may return target Equipment card from your graveyard to the battlefield. If you do, you may attach it to Auriok Survivors.",NPH,"""We are Mirrodin's children. We will reclaim her—one scrap at a time, if we have to.""",normal,214353,4,6,Uncommon,"Human,Soldier",Creature
Blade Splicer,{2}{W},3,W,Greg Staples,4,Creature — Human Artificer,"When Blade Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield.\nGolem creatures you control have first strike.",NPH,,normal,233068,1,1,Rare,"Human,Artificer",Creature
Cathedral Membrane,{1}{W/P},2,W,Richard Whitters,5,Artifact Creature — Wall,"({W/P} can be paid with either {W} or 2 life.)\nDefender\nWhen Cathedral Membrane dies during combat, it deals 6 damage to each creature it blocked this combat.",NPH,,normal,218024,0,3,Uncommon,Wall,"Artifact,Creature"
Chancellor of the Annex,{4}{W}{W}{W},7,W,Min Yum,6,Creature — Angel,"You may reveal this card from your opening hand. If you do, when each opponent casts his or her first spell of the game, counter that spell unless that player pays {1}.\nFlying\nWhenever an opponent casts a spell, counter it unless that player pays {1}.",NPH,,normal,218083,5,6,Rare,Angel,Creature
Dispatch,{W},1,W,Erica Yang,7,Instant,"Tap target creature.\nMetalcraft — If you control three or more artifacts, exile that creature.","NPH,MM2",Venser wondered if it could still be called a teleportation spell if the destination is oblivion.,normal,218072,,,Uncommon,,Instant
Due Respect,{1}{W},2,W,James Ryman,8,Instant,Permanents enter the battlefield tapped this turn.\nDraw a card.,NPH,"""A display of humility is required of those who still possess such frailties.""\n—Elesh Norn, Grand Cenobite",normal,233077,,,Uncommon,,Instant
"Elesh Norn, Grand Cenobite",{5}{W}{W},7,W,Igor Kieryluk,9,Legendary Creature — Praetor,Vigilance\nOther creatures you control get +2/+2.\nCreatures your opponents control get -2/-2.,"pJGP,NPH,MM2","""The Gitaxians whisper among themselves of other worlds. If they exist, we must bring Phyrexia's magnificence to them.""",normal,214352,4,7,Mythic Rare,Praetor,Creature
Exclusion Ritual,{4}{W}{W},6,W,Daniel Ljunggren,10,Enchantment,"Imprint — When Exclusion Ritual enters the battlefield, exile target nonland permanent.\nPlayers can't cast spells with the same name as the exiled card.",NPH,"""Your desires have become our discretion.""\n—Izathel, priest of the Annex",normal,214364,,,Uncommon,,Enchantment
Forced Worship,{1}{W},2,W,Karl Kopinski,11,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack.\n{2}{W}: Return Forced Worship to its owner's hand.,NPH,Imprisonment teaches revenge. Hobbling teaches resignation.,normal,230083,,,Common,Aura,Enchantment
Inquisitor Exarch,{W}{W},2,W,Igor Kieryluk,12,Creature — Cleric,"When Inquisitor Exarch enters the battlefield, choose one —\n• You gain 2 life.\n• Target opponent loses 2 life.",NPH,"""Skin is the prison of the blessed and the stronghold of the heretic.""\n—Argent Etchings, plate 64, passage 17",normal,218070,2,2,Uncommon,Cleric,Creature
Lost Leonin,{1}{W},2,W,Min Yum,13,Creature — Cat Soldier,Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.),NPH,"Mirrans were broken down and rebuilt, made to be loyal servants of the force they had fought.",normal,218053,2,1,Common,"Cat,Soldier",Creature
Loxodon Convert,{3}{W},4,W,Adrian Smith,14,Creature — Elephant Soldier,,NPH,Just one drop of the glistening oil can eventually stain even a soul as stalwart as a loxodon's beyond redemption.,normal,218013,4,2,Common,"Elephant,Soldier",Creature
Marrow Shards,{W/P},1,W,Raymond Swanland,15,Instant,({W/P} can be paid with either {W} or 2 life.)\nMarrow Shards deals 1 damage to each attacking creature.,NPH,"""We are a single entity. Dissenters must be sutured into the Orthodoxy.""\n—Elesh Norn, Grand Cenobite",normal,230072,,,Uncommon,,Instant
Master Splicer,{3}{W},4,W,Chippy,16,Creature — Human Artificer,"When Master Splicer enters the battlefield, put a 3/3 colorless Golem artifact creature token onto the battlefield.\nGolem creatures you control get +1/+1.",NPH,"With Phyrexia's victory at hand, each sect began perfecting its vision.",normal,233062,1,1,Uncommon,"Human,Artificer",Creature
