name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aegis of Honor,{W},1,W,Ron Spears,1,Enchantment,"{1}: The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",ODY,,normal,29922,,,Rare,,Enchantment
Ancestral Tribute,{5}{W}{W},7,W,"Edward P. Beard, Jr.",2,Sorcery,You gain 2 life for each card in your graveyard.\nFlashback {9}{W}{W}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.),ODY,,normal,30555,,,Rare,,Sorcery
Angelic Wall,{1}{W},2,W,John Avon,3,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14","""The Ancestor protects us in ways we can't begin to comprehend.""\n—Mystic elder",normal,29699,0,4,Common,Wall,Creature
Animal Boneyard,{2}{W},3,W,"Edward P. Beard, Jr.",4,Enchantment — Aura,"Enchant land\nEnchanted land has ""{T}, Sacrifice a creature: You gain life equal to the sacrificed creature's toughness.""",ODY,"""The animal spirits are the Ancestor's grandchildren. Remember them.""\n—Mystic elder",normal,31839,,,Uncommon,Aura,Enchantment
Auramancer,{2}{W},3,W,Rebecca Guay,5,Creature — Human Wizard,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.","ODY,pWPN,M12,PC2,M14,DDL,ORI",Beauty stirs the memory like a sweet perfume excites the air.,normal,29700,2,2,Common,"Human,Wizard",Creature
Aven Archer,{3}{W}{W},5,W,Mark Zug,6,Creature — Bird Soldier Archer,"Flying\n{2}{W}, {T}: Aven Archer deals 2 damage to target attacking or blocking creature.",ODY,"Aimed by the eyes of eagles, their arrows never miss the mark.",normal,29691,2,2,Uncommon,"Bird,Soldier,Archer",Creature
Aven Cloudchaser,{3}{W},4,W,Justin Sweet,7,Creature — Bird Soldier,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Cloudchaser enters the battlefield, destroy target enchantment.","ODY,8ED,9ED,10E","""At the Reapportionment, Eagle begged to be human. The Ancestor granted half that prayer.""\n—Nomad myth",normal,29694,2,2,Common,"Bird,Soldier",Creature
Aven Flock,{4}{W},5,W,Greg & Tim Hildebrandt,8,Creature — Bird Soldier,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{W}: Aven Flock gets +0/+1 until end of turn.,"ODY,8ED,9ED","Just as each added feather steadies the wing, so does the flock grow stronger with each new member.",normal,31767,2,3,Common,"Bird,Soldier",Creature
Aven Shrine,{1}{W}{W},3,W,Wayne England,9,Enchantment,"Whenever a player casts a spell, that player gains X life, where X is the number of cards in all graveyards with the same name as that spell.",ODY,,normal,29923,,,Rare,,Enchantment
Balancing Act,{2}{W}{W},4,W,Scott M. Fischer,10,Sorcery,"Each player chooses a number of permanents he or she controls equal to the number of permanents controlled by the player who controls the fewest, then sacrifices the rest. Each player discards cards the same way.",ODY,,normal,31819,,,Rare,,Sorcery
Beloved Chaplain,{1}{W},2,W,Darrell Riche,11,Creature — Human Cleric,Protection from creatures,ODY,"Nomad and Nantuko, eagle and elephant; all the birds and beasts are charmed by his quiet dignity.",normal,29798,1,1,Uncommon,"Human,Cleric",Creature
Blessed Orator,{3}{W},4,W,Terese Nielsen,12,Creature — Human Cleric,Other creatures you control get +0/+1.,"ODY,9ED","His quiet words fade into the night's chill, yet they burn into his listeners' minds with all the power of a thousand suns.",normal,29688,1,4,Uncommon,"Human,Cleric",Creature
Cantivore,{1}{W}{W},3,W,Daren Bader,13,Creature — Lhurgoyf,Vigilance\nCantivore's power and toughness are each equal to the number of enchantment cards in all graveyards.,ODY,,normal,29914,*,*,Rare,Lhurgoyf,Creature
Cease-Fire,{2}{W},3,W,Darrell Riche,14,Instant,Target player can't cast creature spells this turn.\nDraw a card.,ODY,"When the crimson fades from the magical embers, a final wisp of smoke will rise. Soon after, hostilities will begin anew.",normal,30544,,,Common,,Instant
Confessor,{W},1,W,John Avon,15,Creature — Human Cleric,"Whenever a player discards a card, you may gain 1 life.",ODY,"""There will be gains for our losses. There will be rights for our wrongs.""",normal,31769,1,1,Common,"Human,Cleric",Creature
Dedicated Martyr,{W},1,W,Dave Dorman,16,Creature — Human Cleric,"{W}, Sacrifice Dedicated Martyr: You gain 3 life.",ODY,"""If he's so willing to suffer for his cause, then by all means, let us oblige him.""\n—Cabal Patriarch",normal,31771,1,1,Common,"Human,Cleric",Creature
Delaying Shield,{3}{W},4,W,Luca Zontini,17,Enchantment,"If damage would be dealt to you, put that many delay counters on Delaying Shield instead.\nAt the beginning of your upkeep, remove all delay counters from Delaying Shield. For each delay counter removed this way, you lose 1 life unless you pay {1}{W}.",ODY,,normal,29916,,,Rare,,Enchantment
Devoted Caretaker,{W},1,W,Clyde Caldwell,18,Creature — Human Cleric,"{W}, {T}: Target permanent you control gains protection from instant spells and from sorcery spells until end of turn.",ODY,Her eyes blaze with the strength of twenty shields. Every glance is a salvation.,normal,29909,1,2,Rare,"Human,Cleric",Creature
Divine Sacrament,{1}{W}{W},3,W,Ray Lago,19,Enchantment,White creatures get +1/+1.\nThreshold — White creatures get an additional +1/+1 as long as seven or more cards are in your graveyard.,ODY,Their whispered prayers rally the nomads better than any war cry could.,normal,29917,,,Rare,,Enchantment
Dogged Hunter,{2}{W},3,W,rk post,20,Creature — Human Nomad,{T}: Destroy target creature token.,ODY,The relationship between hunter and hunted knows nothing of alliances.,normal,31789,1,1,Rare,"Human,Nomad",Creature
Earnest Fellowship,{1}{W},2,W,Heather Hudson,21,Enchantment,Each creature has protection from its colors.,ODY,"""The world has enough strife as it is. Where would we be if we turned against each other?""\n—Pianna, nomad captain",normal,29918,,,Rare,,Enchantment
Embolden,{2}{W},3,W,Rebecca Guay,22,Instant,"Prevent the next 4 damage that would be dealt this turn to any number of target creatures and/or players, divided as you choose.\nFlashback {1}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",ODY,,normal,29703,,,Common,,Instant
Gallantry,{1}{W},2,W,Mark Tedin,23,Instant,Target blocking creature gets +4/+4 until end of turn.\nDraw a card.,"TMP,ODY,TPR",The courageous accomplish more in a single moment than the cowardly do in a lifetime.,normal,28755,,,Uncommon,,Instant
Graceful Antelope,{2}{W}{W},4,W,Heather Hudson,24,Creature — Antelope,"Plainswalk (This creature can't be blocked as long as defending player controls a Plains.)\nWhenever Graceful Antelope deals combat damage to a player, you may have target land become a Plains until Graceful Antelope leaves the battlefield.",ODY,,normal,29913,1,4,Rare,Antelope,Creature
Hallowed Healer,{2}{W},3,W,Ben Thompson,25,Creature — Human Cleric,{T}: Prevent the next 2 damage that would be dealt to target creature or player this turn.\nThreshold — {T}: Prevent the next 4 damage that would be dealt to target creature or player this turn. Activate this ability only if seven or more cards are in your graveyard.,ODY,,normal,29693,1,1,Common,"Human,Cleric",Creature
Karmic Justice,{2}{W},3,W,Ray Lago,26,Enchantment,"Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls.","ODY,C15",,normal,31872,,,Rare,,Enchantment
Kirtar's Desire,{W},1,W,Pete Venters,27,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack.\nThreshold — Enchanted creature can't block as long as seven or more cards are in your graveyard.,ODY,,normal,29707,,,Common,Aura,Enchantment
Kirtar's Wrath,{4}{W}{W},6,W,Kev Walker,28,Sorcery,"Destroy all creatures. They can't be regenerated.\nThreshold — If seven or more cards are in your graveyard, instead destroy all creatures, then put two 1/1 white Spirit creature tokens with flying onto the battlefield. Creatures destroyed this way can't be regenerated.","ODY,C13",,normal,29921,,,Rare,,Sorcery
Lieutenant Kirtar,{1}{W}{W},3,W,Paolo Parente,29,Legendary Creature — Bird Soldier,"Flying\n{1}{W}, Sacrifice Lieutenant Kirtar: Exile target attacking creature.",ODY,"""His strengths are pride, devotion, and ambition. His weaknesses are the same.""\n—Pianna, nomad captain",normal,31820,2,2,Rare,"Bird,Soldier",Creature
