name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Deceiver of Form,{6}{C},7,,Viktor Titov,1,Creature — Eldrazi,"({C} represents colorless mana.)\nAt the beginning of combat on your turn, reveal the top card of your library. If a creature card is revealed this way, you may have creatures you control other than Deceiver of Form become copies of that card until end of turn. You may put that card on the bottom of your library.",OGW,,normal,407511,8,8,Rare,Eldrazi,Creature
Eldrazi Mimic,{2},2,,Craig J Spearing,2,Creature — Eldrazi,"Whenever another colorless creature enters the battlefield under your control, you may change Eldrazi Mimic's base power and toughness to that creature's power and toughness until end of turn.",OGW,It is consistently inconsistent.,normal,407512,2,1,Rare,Eldrazi,Creature
Endbringer,{5}{C},6,,Vincent Proce,3,Creature — Eldrazi,"Untap Endbringer during each other player's untap step.\n{T}: Endbringer deals 1 damage to target creature or player.\n{C}, {T}: Target creature can't attack or block this turn.\n{C}{C}, {T}: Draw a card.",OGW,,normal,407513,5,5,Rare,Eldrazi,Creature
"Kozilek, the Great Distortion",{8}{C}{C},10,,Aleksi Briclot,4,Legendary Creature — Eldrazi,"When you cast Kozilek, the Great Distortion, if you have fewer than seven cards in hand, draw cards equal to the difference.\nMenace\nDiscard a card with converted mana cost X: Counter target spell with converted mana cost X.",OGW,A void as cryptic as reality itself.,normal,407514,12,12,Mythic Rare,Eldrazi,Creature
Kozilek's Pathfinder,{6},6,,James Zapata,5,Creature — Eldrazi,{C}: Target creature can't block Kozilek's Pathfinder this turn. ({C} represents colorless mana.),OGW,"""We didn't know where it came from or where it was going. All we knew was that we did not matter.""\n—Akiri, kor line-slinger",normal,407515,5,5,Common,Eldrazi,Creature
Matter Reshaper,{2}{C},3,,Chris Rahn,6,Creature — Eldrazi,"({C} represents colorless mana.)\nWhen Matter Reshaper dies, reveal the top card of your library. You may put that card onto the battlefield if it's a permanent card with converted mana cost 3 or less. Otherwise, put that card into your hand.",OGW,,normal,407516,3,2,Rare,Eldrazi,Creature
Reality Smasher,{4}{C},5,,Jason Rainville,7,Creature — Eldrazi,"({C} represents colorless mana.)\nTrample, haste\nWhenever Reality Smasher becomes the target of a spell an opponent controls, counter that spell unless its controller discards a card.",OGW,As easy to stop as it is to comprehend.,normal,407517,5,5,Rare,Eldrazi,Creature
Spatial Contortion,{1}{C},2,,Daarken,8,Instant,({C} represents colorless mana.)\nTarget creature gets +3/-3 until end of turn.,OGW,"""For those without the Planeswalker spark, the merest touch of the Blind Eternities can kill.""\n—Ugin",normal,407518,,,Uncommon,,Instant
Thought-Knot Seer,{3}{C},4,,Svetlin Velinov,9,Creature — Eldrazi,"({C} represents colorless mana.)\nWhen Thought-Knot Seer enters the battlefield, target opponent reveals his or her hand. You choose a nonland card from it and exile that card.\nWhen Thought-Knot Seer leaves the battlefield, target opponent draws a card.",OGW,,normal,407519,4,4,Rare,Eldrazi,Creature
Walker of the Wastes,{4}{C},5,,Joseph Meehan,10,Creature — Eldrazi,({C} represents colorless mana.)\nTrample\nWalker of the Wastes gets +1/+1 for each land you control named Wastes.,OGW,"In the absence of life, something yet grows.",normal,407520,4,4,Uncommon,Eldrazi,Creature
