name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Akroma's Blessing,{2}{W},3,W,Adam Rex,1,Instant,"Choose a color. Creatures you control gain protection from the chosen color until end of turn.\nCycling {W} ({W}, Discard this card: Draw a card.)","ONS,VMA",The clerics saw her as a divine gift. She saw them only as allies in her war against Phage.,normal,41162,,,Uncommon,,Instant
Akroma's Vengeance,{4}{W}{W},6,W,Greg & Tim Hildebrandt,2,Sorcery,"Destroy all artifacts, creatures, and enchantments.\nCycling {3} ({3}, Discard this card: Draw a card.)","ONS,HOP,CMD,V13",Ixidor had only to imagine their ruin and Akroma made it so.,normal,41168,,,Rare,,Sorcery
Ancestor's Prophet,{4}{W},5,W,Kev Walker,3,Creature — Human Cleric,Tap five untapped Clerics you control: You gain 10 life.,ONS,"""We have faced horrors of war and terrors beyond imagining. We will overcome the uncertainties of this new life.""",normal,39882,1,5,Rare,"Human,Cleric",Creature
Astral Slide,{2}{W},3,W,Ron Spears,4,Enchantment,"Whenever a player cycles a card, you may exile target creature. If you do, return that card to the battlefield under its owner's control at the beginning of the next end step.","pFNM,ONS,VMA","""The hum of the universe is never off-key.""\n—Mystic elder",normal,41148,,,Uncommon,,Enchantment
Aura Extraction,{1}{W},2,W,Luca Zontini,5,Instant,"Put target enchantment on top of its owner's library.\nCycling {2} ({2}, Discard this card: Draw a card.)",ONS,"Every day, Order clerics contain as much of the Mirari's energy as possible, hoping to delay Otaria's demise.",normal,35326,,,Uncommon,,Instant
Aurification,{2}{W}{W},4,W,Gary Ruddell,6,Enchantment,"Whenever a creature deals damage to you, put a gold counter on it.\nEach creature with a gold counter on it is a Wall in addition to its other creature types and has defender. (Those creatures can't attack.)\nWhen Aurification leaves the battlefield, remove all gold counters from all creatures.",ONS,,normal,39900,,,Rare,,Enchantment
Aven Brigadier,{3}{W}{W}{W},6,W,Greg Staples,7,Creature — Bird Soldier,Flying\nOther Bird creatures get +1/+1.\nOther Soldier creatures get +1/+1.,ONS,He represents what little pride the Order has left.,normal,40131,3,5,Rare,"Bird,Soldier",Creature
Aven Soulgazer,{3}{W}{W},5,W,John Avon,8,Creature — Bird Cleric,Flying\n{2}{W}: Look at target face-down creature.,ONS,"""Every question has a proper answer. Every soul has a proper place.""",normal,39520,3,3,Uncommon,"Bird,Cleric",Creature
Battlefield Medic,{1}{W},2,W,Matt Thompson,9,Creature — Human Cleric,"{T}: Prevent the next X damage that would be dealt to target creature this turn, where X is the number of Clerics on the battlefield.",ONS,"""Death never stops to rest. Neither can we.""",normal,39430,1,1,Common,"Human,Cleric",Creature
Catapult Master,{3}{W}{W},5,W,Terese Nielsen,10,Creature — Human Soldier,Tap five untapped Soldiers you control: Exile target creature.,"ONS,DDF","""There's no ‘I' in ‘team,' but there's a ‘we' in ‘weapon.'""",normal,19680,3,3,Rare,"Human,Soldier",Creature
Catapult Squad,{1}{W},2,W,Brian Snõddy,11,Creature — Human Soldier,Tap two untapped Soldiers you control: Catapult Squad deals 2 damage to target attacking or blocking creature.,ONS,Together they could hit anything between the heavens and the horizon.,normal,39702,2,1,Uncommon,"Human,Soldier",Creature
Chain of Silence,{1}{W},2,W,Randy Gallegos,12,Instant,"Prevent all damage target creature would deal this turn. That creature's controller may sacrifice a land. If the player does, he or she may copy this spell and may choose a new target for that copy.",ONS,,normal,12446,,,Uncommon,,Instant
Circle of Solace,{3}{W},4,W,Greg & Tim Hildebrandt,13,Enchantment,"As Circle of Solace enters the battlefield, choose a creature type.\n{1}{W}: The next time a creature of the chosen type would deal damage to you this turn, prevent that damage.",ONS,,normal,39615,,,Rare,,Enchantment
