name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Akroan Jailer,{W},1,W,Anastasia Ovchinnikova,1,Creature — Human Soldier,"{2}{W}, {T}: Tap target creature.",ORI,He ensures escape attempts are just that—attempts.,normal,398656,1,1,Common,"Human,Soldier",Creature
Ampryn Tactician,{2}{W}{W},4,W,Cynthia Sheppard,2,Creature — Human Soldier,"When Ampryn Tactician enters the battlefield, creatures you control get +1/+1 until end of turn.",ORI,"""It's all a game. You shouldn't get too attached to the pieces.""",normal,398603,3,3,Common,"Human,Soldier",Creature
Anointer of Champions,{W},1,W,Anna Steinbauer,3,Creature — Human Cleric,{T}: Target attacking creature gets +1/+1 until end of turn.,ORI,"""Arise. You have been anointed by the light. Go forth and fight without fear, for you shall be victorious.""",normal,398455,1,1,Uncommon,"Human,Cleric",Creature
Archangel of Tithes,{1}{W}{W}{W},4,W,Cynthia Sheppard,4,Creature — Angel,"Flying\nAs long as Archangel of Tithes is untapped, creatures can't attack you or a planeswalker you control unless their controller pays {1} for each of those creatures.\nAs long as Archangel of Tithes is attacking, creatures can't block unless their controller pays {1} for each of those creatures.",ORI,,normal,398571,3,5,Mythic Rare,Angel,Creature
Auramancer,{2}{W},3,W,Rebecca Guay,5,Creature — Human Wizard,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.","ODY,pWPN,M12,PC2,M14,DDL,ORI","""In memories, we can find our deepest reserves of strength.""",normal,398678,2,2,Common,"Human,Wizard",Creature
Aven Battle Priest,{5}{W},6,W,John Severin Brassell,6,Creature — Bird Cleric,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhen Aven Battle Priest enters the battlefield, you gain 3 life.",ORI,"When the shadow of the aven falls across the battlefield, hope rises in the hearts of the soldiers.",normal,398627,3,3,Common,"Bird,Cleric",Creature
Blessed Spirits,{2}{W},3,W,Anna Steinbauer,7,Creature — Spirit,"Flying\nWhenever you cast an enchantment spell, put a +1/+1 counter on Blessed Spirits.",ORI,Not all heroes die in armor.,normal,398628,2,2,Uncommon,Spirit,Creature
Celestial Flare,{W}{W},2,W,Clint Cearley,8,Instant,Target player sacrifices an attacking or blocking creature.,"M14,DDO,ORI","""You were defeated the moment you declared your aggression.""—Gideon Jura",normal,398488,,,Common,,Instant
Charging Griffin,{3}{W},4,W,Erica Yang,9,Creature — Griffin,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Charging Griffin attacks, it gets +1/+1 until end of turn.","M14,ORI","Four claws, two wings, one beak, no fear.",normal,398560,2,2,Common,Griffin,Creature
Cleric of the Forward Order,{1}{W},2,W,Chris Rallis,10,Creature — Human Cleric,"When Cleric of the Forward Order enters the battlefield, you gain 2 life for each creature you control named Cleric of the Forward Order.",ORI,"War after war, a healer's enemy is always the same—death itself.",normal,398451,2,2,Common,"Human,Cleric",Creature
