name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Chaotic Æther,,,,Dan Scott,1,Phenomenon,"When you encounter Chaotic Æther, each blank roll of the planar die is a CHAOS roll until a player planeswalks away from a plane. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226509,,,Common,,Phenomenon
Armored Griffin,{3}{W},4,W,Brad Rigney,1,Creature — Griffin,"Flying, vigilance","PO2,ME2,PC2","When an order for griffin barding comes in, blacksmiths prepare their forges for months of exacting work. They know griffins always detect imperfections and never haggle.",normal,271234,2,3,Uncommon,Griffin,Creature
Interplanar Tunnel,,,,Chuck Lukacs,2,Phenomenon,"When you encounter Interplanar Tunnel, reveal cards from the top of your planar deck until you reveal five plane cards. Put a plane card from among them on top of your planar deck, then put the rest of the revealed cards on the bottom in a random order. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226549,,,Common,,Phenomenon
Auramancer,{2}{W},3,W,Rebecca Guay,2,Creature — Human Wizard,"When Auramancer enters the battlefield, you may return target enchantment card from your graveyard to your hand.","ODY,pWPN,M12,PC2,M14,DDL,ORI","""In memories, we can find our deepest reserves of strength.""",normal,271171,2,2,Common,"Human,Wizard",Creature
Morphic Tide,,,,Brandon Kitkouski,3,Phenomenon,"When you encounter Morphic Tide, each player shuffles all permanents he or she owns into his or her library, then reveals that many cards from the top of his or her library. Each player puts all artifact, creature, land, and planeswalker cards revealed this way onto the battlefield, then does the same for enchantment cards, then puts all cards revealed this way that weren't put onto the battlefield on the bottom of his or her library in any order. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226514,,,Common,,Phenomenon
Auratouched Mage,{5}{W},6,W,Jeff Miracola,3,Creature — Human Wizard,"When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.","RAV,PC2",,normal,271207,3,3,Uncommon,"Human,Wizard",Creature
Mutual Epiphany,,,,Jason Felix,4,Phenomenon,"When you encounter Mutual Epiphany, each player draws four cards. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226520,,,Common,,Phenomenon
Cage of Hands,{2}{W},3,W,Mark Tedin,4,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.\n{1}{W}: Return Cage of Hands to its owner's hand.,"CHK,PC2,C15",,normal,271205,,,Common,Aura,Enchantment
Planewide Disaster,,,,Dave Kendall,5,Phenomenon,"When you encounter Planewide Disaster, destroy all creatures. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226545,,,Common,,Phenomenon
Celestial Ancient,{3}{W}{W},5,W,Mark Tedin,5,Creature — Elemental,"Flying\nWhenever you cast an enchantment spell, put a +1/+1 counter on each creature you control.","DIS,PC2,C15","""We thought the clouds had moved from the night sky. Then the night sky moved, and the horizon grew wings.""\n—Josuri",normal,271236,3,3,Rare,Elemental,Creature
Reality Shaping,,,,Dan Scott,6,Phenomenon,"When you encounter Reality Shaping, starting with you, each player may put a permanent card from his or her hand onto the battlefield. (Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226508,,,Common,,Phenomenon
Felidar Umbra,{1}{W},2,W,Christopher Moeller,6,Enchantment — Aura,"Enchant creature\nEnchanted creature has lifelink.\n{1}{W}: Attach Felidar Umbra to target creature you control.\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)",PC2,,normal,270736,,,Uncommon,Aura,Enchantment
Spatial Merging,,,,Gabor Szikszai,7,Phenomenon,"When you encounter Spatial Merging, reveal cards from the top of your planar deck until you reveal two plane cards. Simultaneously planeswalk to both of them. Put all other cards revealed this way on the bottom of your planar deck in any order.",PC2,,phenomenon,226546,,,Common,,Phenomenon
Ghostly Prison,{2}{W},3,W,Wayne England,7,Enchantment,Creatures can't attack you unless their controller pays {2} for each creature he or she controls that's attacking you.,"pFNM,CHK,CMD,PC2","""May the memory of our fallen heroes ensnare the violent hearts of lesser men.""\n—Great Threshold of Monserkat inscription",normal,275264,,,Uncommon,,Enchantment
Time Distortion,,,,rk post,8,Phenomenon,"When you encounter Time Distortion, reverse the game's turn order. (For example, if play had proceeded clockwise around the table, it now goes counterclockwise. Then planeswalk away from this phenomenon.)",PC2,,phenomenon,226556,,,Common,,Phenomenon
Hyena Umbra,{W},1,W,Howard Lyon,8,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+1 and has first strike.\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)","ROE,PC2",,normal,271150,,,Common,Aura,Enchantment
Akoum,,,,Rob Alexander,9,Plane — Zendikar,"Players may cast enchantment cards as though they had flash.\nWhenever you roll CHAOS, destroy target creature that isn't enchanted.",PC2,,plane,226512,,,Common,Zendikar,Plane
Kor Spiritdancer,{1}{W},2,W,Scott Chou,9,Creature — Kor Wizard,"Kor Spiritdancer gets +2/+2 for each Aura attached to it.\nWhenever you cast an Aura spell, you may draw a card.","ROE,PC2","She reaches beyond the physical realm, touching the ideals from which all creatures draw their power.",normal,271151,0,2,Rare,"Kor,Wizard",Creature
Aretopolis,,,,Christopher Moeller,10,Plane — Kephalai,"When you planeswalk to Aretopolis or at the beginning of your upkeep, put a scroll counter on Aretopolis, then you gain life equal to the number of scroll counters on it.\nWhen Aretopolis has ten or more scroll counters on it, planeswalk.\nWhenever you roll CHAOS, put a scroll counter on Aretopolis, then draw cards equal to the number of scroll counters on it.",PC2,,plane,226517,,,Common,Kephalai,Plane
Mammoth Umbra,{4}{W},5,W,Howard Lyon,10,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +3/+3 and has vigilance.\nTotem armor (If enchanted creature would be destroyed, instead remove all damage from it and destroy this Aura.)","ROE,PC2",,normal,271152,,,Uncommon,Aura,Enchantment
Astral Arena,,,,Sam Burley,11,Plane — Kolbahan,"No more than one creature can attack each combat.\nNo more than one creature can block each combat.\nWhenever you roll CHAOS, Astral Arena deals 2 damage to each creature.",PC2,,plane,226526,,,Common,Kolbahan,Plane
Sigil of the Empty Throne,{3}{W}{W},5,W,Cyril Van Der Haegen,11,Enchantment,"Whenever you cast an enchantment spell, put a 4/4 white Angel creature token with flying onto the battlefield.","CON,PC2,ORI,C15","When Asha left Bant, she ensured that the world would have protection and order in her absence.",normal,275258,,,Rare,,Enchantment
Bloodhill Bastion,,,,Mark Hyzer,12,Plane — Equilor,"Whenever a creature enters the battlefield, it gains double strike and haste until end of turn.\nWhenever you roll CHAOS, exile target nontoken creature you control, then return it to the battlefield under your control.",PC2,,plane,226539,,,Common,Equilor,Plane
Spirit Mantle,{1}{W},2,W,Izzy,12,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 and has protection from creatures.,"M12,PC2",The shield of unimpeachable purity is as strong as any wrought on the anvil.,normal,275265,,,Uncommon,Aura,Enchantment
Edge of Malacol,,,,Goran Josic,13,Plane — Belenon,"If a creature you control would untap during your untap step, put two +1/+1 counters on it instead.\nWhenever you roll CHAOS, untap each creature you control.",PC2,,plane,226527,,,Common,Belenon,Plane
Three Dreams,{4}{W},5,W,Shishizaru,13,Sorcery,"Search your library for up to three Aura cards with different names, reveal them, and put them into your hand. Then shuffle your library.","RAV,PC2","""Choose one to heal, one to harm, and one to grant you the prudence to use them.""\n—Miotri, auratouched mage",normal,275260,,,Rare,,Sorcery
Furnace Layer,,,,Kekai Kotaki,14,Plane — New Phyrexia,"When you planeswalk to Furnace Layer or at the beginning of your upkeep, select target player at random. That player discards a card. If that player discards a land card this way, he or she loses 3 life.\nWhenever you roll CHAOS, you may destroy target nonland permanent.",PC2,,plane,226536,,,Common,New Phyrexia,Plane
Augury Owl,{1}{U},2,U,Jim Nelson,14,Creature — Bird,"Flying\nWhen Augury Owl enters the battlefield, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)","M11,DDI,PC2",,normal,271192,1,1,Common,Bird,Creature
Gavony,,,,Dave Kendall,15,Plane — Innistrad,"All creatures have vigilance.\nWhenever you roll CHAOS, creatures you control gain indestructible until end of turn.",PC2,,plane,226542,,,Common,Innistrad,Plane
Cancel,{1}{U}{U},3,U,David Palumbo,15,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK","""What you are attempting is not against the law. It is, however, extremely foolish.""",normal,271172,,,Common,,Instant
Glen Elendra,,,,Omar Rayyan,16,Plane — Lorwyn,"At end of combat, you may exchange control of target creature you control that dealt combat damage to a player this combat and target creature that player controls.\nWhenever you roll CHAOS, gain control of target creature you own.",PC2,,plane,226535,,,Common,Lorwyn,Plane
Concentrate,{2}{U}{U},4,U,rk post,16,Sorcery,Draw three cards.,"ODY,8ED,PC2,C14","""The treasure in my mind is greater than any worldly glory.""",normal,271220,,,Uncommon,,Sorcery
Grand Ossuary,,,,Kekai Kotaki,17,Plane — Ravnica,"Whenever a creature dies, its controller distributes a number of +1/+1 counters equal to its power among any number of target creatures he or she controls.\nWhenever you roll CHAOS, each player exiles all creatures he or she controls and puts X 1/1 green Saproling creature tokens onto the battlefield, where X is the total power of the creatures he or she exiled this way. Then planeswalk.",PC2,,plane,226554,,,Common,Ravnica,Plane
Guard Gomazoa,{2}{U},3,U,Rob Alexander,17,Creature — Jellyfish,"Defender, flying\nPrevent all combat damage that would be dealt to Guard Gomazoa.","ROE,CMD,PC2,C13","It lingers near the outposts of the Makindi Trenches, inadvertently granting another layer of defense.",normal,279846,1,3,Uncommon,Jellyfish,Creature
