name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abolish,{1}{W}{W},3,W,Kev Walker,1,Instant,You may discard a Plains card rather than pay Abolish's mana cost.\nDestroy target artifact or enchantment.,"PCY,DDF","As war raged on, the young mages became more direct in their tactics, often at great cost.",normal,24561,,,Uncommon,,Instant
Aura Fracture,{2}{W},3,W,Rebecca Guay,2,Enchantment,Sacrifice a land: Destroy target enchantment.,PCY,"Jamuraa's rhystic mages treat magic as their garden, uprooting unwanted spells as bothersome weeds.",normal,24560,,,Common,,Enchantment
Avatar of Hope,{6}{W}{W},8,W,rk post,3,Creature — Avatar,"If you have 3 or less life, Avatar of Hope costs {6} less to cast.\nFlying\nAvatar of Hope can block any number of creatures.","pPRE,PCY,8ED",,normal,24564,4,9,Rare,Avatar,Creature
Blessed Wind,{7}{W}{W},9,W,Anthony S. Waters,4,Sorcery,Target player's life total becomes 20.,PCY,"""The fourth wind of ascension is Anointer, deifying the worthy.""\n—Keld Triumphant",normal,24569,,,Rare,,Sorcery
Celestial Convergence,{2}{W}{W},4,W,Ray Lago,5,Enchantment,"Celestial Convergence enters the battlefield with seven omen counters on it.\nAt the beginning of your upkeep, remove an omen counter from Celestial Convergence. If there are no omen counters on Celestial Convergence, the player with the highest life total wins the game. If two or more players are tied for highest life total, the game is a draw.",PCY,,normal,24567,,,Rare,,Enchantment
Diving Griffin,{1}{W}{W},3,W,John Howe,6,Creature — Griffin,"Flying, vigilance","PCY,8ED","To outrace the griffin\n—Kipamu expression meaning\n""to do the impossible""",normal,24548,2,2,Common,Griffin,Creature
Entangler,{2}{W}{W},4,W,D. Alexander Gregory,7,Enchantment — Aura,Enchant creature\nEnchanted creature can block any number of creatures.,PCY,"""Tell me again,"" said Latulla, raising her fist, ""how just one woman held back an entire Keldon platoon.""",normal,24557,,,Uncommon,Aura,Enchantment
Excise,{X}{W},1,W,Joel Biske,8,Instant,Exile target attacking creature unless its controller pays {X}.,PCY,"""Creation is no great feat. Anything you make, I can unmake in a heartbeat.""\n—Alexi, zephyr mage",normal,24553,,,Common,,Instant
Flowering Field,{1}{W},2,W,Jeff Miracola,9,Enchantment — Aura,"Enchant land\nEnchanted land has ""{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.""",PCY,"Some lands are soothing, and their peace can be felt in the soul.",normal,24552,,,Uncommon,Aura,Enchantment
Glittering Lion,{2}{W},3,W,Don Hazeltine,10,Creature — Cat,"Prevent all damage that would be dealt to Glittering Lion.\n{3}: Until end of turn, Glittering Lion loses ""Prevent all damage that would be dealt to Glittering Lion."" Any player may activate this ability.",PCY,,normal,24558,2,2,Uncommon,Cat,Creature
Glittering Lynx,{W},1,W,Dan Frazier,11,Creature — Cat,"Prevent all damage that would be dealt to Glittering Lynx.\n{2}: Until end of turn, Glittering Lynx loses ""Prevent all damage that would be dealt to Glittering Lynx."" Any player may activate this ability.",PCY,,normal,24549,1,1,Common,Cat,Creature
Jeweled Spirit,{3}{W}{W},5,W,Christopher Moeller,12,Creature — Spirit,Flying\nSacrifice two lands: Jeweled Spirit gains protection from artifacts or from the color of your choice until end of turn.,PCY,"As he knows all the world completely, the world refuses him harm.",normal,24566,3,3,Rare,Spirit,Creature
Mageta the Lion,{3}{W}{W},5,W,Brom,13,Legendary Creature — Human Spellshaper,"{2}{W}{W}, {T}, Discard two cards: Destroy all creatures except for Mageta the Lion. Those creatures can't be regenerated.",PCY,In the jungle of war there is always a Lion.,normal,24565,3,3,Rare,"Human,Spellshaper",Creature
Mageta's Boon,{1}{W},2,W,Bradley Williams,14,Enchantment — Aura,Flash\nEnchant creature\nEnchanted creature gets +1/+2.,PCY,"When the Lion roars, his cubs grow stronger.\n—Kipamu saying",normal,24550,,,Common,Aura,Enchantment
Mercenary Informer,{2}{W},3,W,Nelson DeCastro,15,Creature — Human Rebel Mercenary,Mercenary Informer can't be the target of black spells or abilities from black sources.\n{2}{W}: Put target nontoken Mercenary on the bottom of its owner's library.,PCY,The problem with rebels is that they so quickly reject authority.,normal,24563,2,1,Rare,"Human,Rebel,Mercenary",Creature
Mine Bearer,{2}{W},3,W,D. Alexander Gregory,16,Creature — Human Soldier,"{T}, Sacrifice Mine Bearer: Destroy target attacking creature.",PCY,"""The Keldons may have explosive tempers, but I have explosives.""",normal,24555,1,1,Common,"Human,Soldier",Creature
Mirror Strike,{3}{W},4,W,Dave Dorman,17,Instant,All combat damage that would be dealt to you this turn by target unblocked creature is dealt to its controller instead.,PCY,"""Enemies can be your weapons or your shields. Simply show them which they are.""\n—The Teachings of Zho",normal,24554,,,Uncommon,,Instant
Reveille Squad,{2}{W}{W},4,W,Greg & Tim Hildebrandt,18,Creature — Human Rebel,"Whenever one or more creatures attack you, if Reveille Squad is untapped, you may untap all creatures you control.",PCY,"""To arms! To arms! The Lion roars!""",normal,24559,3,3,Uncommon,"Human,Rebel",Creature
Rhystic Circle,{2}{W}{W},4,W,Alan Pollack,19,Enchantment,"{1}: Any player may pay {1}. If no one does, the next time a source of your choice would deal damage to you this turn, prevent that damage.",PCY,The circle buys time—an important commodity in battle.,normal,24562,,,Common,,Enchantment
Rhystic Shield,{1}{W},2,W,Kev Walker,20,Instant,Creatures you control get +0/+1 until end of turn. They get an additional +0/+2 until end of turn unless any player pays {2}.,PCY,A shield for one is good. A shield for everyone is even better.,normal,24551,,,Common,,Instant
Samite Sanctuary,{2}{W},3,W,Ben Thompson,21,Enchantment,{2}: Prevent the next 1 damage that would be dealt to target creature this turn. Any player may activate this ability.,PCY,"Our war is against suffering, not against those who cause it.\n—Samite creed",normal,24570,,,Rare,,Enchantment
Sheltering Prayers,{W},1,W,Nelson DeCastro,22,Enchantment,Basic lands each player controls have shroud as long as that player controls three or fewer lands. (They can't be the targets of spells or abilities.),PCY,"""It matters not if the gods hear my prayers. Jamuraa does.""",normal,24568,,,Rare,,Enchantment
Shield Dancer,{2}{W},3,W,Mike Ploog,23,Creature — Human Rebel,"{2}{W}: The next time target attacking creature would deal combat damage to Shield Dancer this turn, that creature deals that damage to itself instead.",PCY,"The harder your strike, the stronger her defense.",normal,24556,1,3,Uncommon,"Human,Rebel",Creature
Soul Charmer,{2}{W},3,W,Glen Angus,24,Creature — Human Rebel,"Whenever Soul Charmer deals combat damage to a creature, you gain 2 life unless that creature's controller pays {2}.",PCY,She seeks the warmth of the living.,normal,24611,2,2,Common,"Human,Rebel",Creature
Sword Dancer,{1}{W},2,W,Roger Raupp,25,Creature — Human Rebel,{W}{W}: Target attacking creature gets -1/-0 until end of turn.,"PCY,8ED","Most soldiers think of the sword as a weapon. In the hands of Zho monks, swords are also the strongest of shields.",normal,24544,1,2,Uncommon,"Human,Rebel",Creature
Trenching Steed,{3}{W},4,W,Greg & Tim Hildebrandt,26,Creature — Horse Rebel,Sacrifice a land: Trenching Steed gets +0/+3 until end of turn.,PCY,The Keldons took several of the steeds as trophies of war. They'd never seen such a light beast stand so firm.,normal,24546,2,3,Common,"Horse,Rebel",Creature
Troubled Healer,{2}{W},3,W,Terese Nielsen,27,Creature — Human Cleric,Sacrifice a land: Prevent the next 2 damage that would be dealt to target creature or player this turn.,PCY,"""Which is worse: nothing to defend, or no one to defend it?""",normal,24547,1,2,Common,"Human,Cleric",Creature
"Alexi, Zephyr Mage",{3}{U}{U},5,U,Mark Zug,28,Legendary Creature — Human Spellshaper,"{X}{U}, {T}, Discard two cards: Return X target creatures to their owners' hands.",PCY,"The Keldons didn't know her name, but they still cursed her in battle.",normal,24591,3,3,Rare,"Human,Spellshaper",Creature
Alexi's Cloak,{1}{U},2,U,Alan Rabinowitz,29,Enchantment — Aura,Flash\nEnchant creature\nEnchanted creature has shroud. (It can't be the target of spells or abilities.),PCY,"""Doesn't look like much, does it?""\n—Alexi, zephyr mage",normal,24579,,,Common,Aura,Enchantment
Avatar of Will,{6}{U}{U},8,U,rk post,30,Creature — Avatar,"If an opponent has no cards in hand, Avatar of Will costs {6} less to cast.\nFlying",PCY,,normal,24590,5,6,Rare,Avatar,Creature
Coastal Hornclaw,{4}{U},5,U,DiTerlizzi,31,Creature — Bird,Sacrifice a land: Coastal Hornclaw gains flying until end of turn.,"PCY,8ED","Jamuraan farmers fear three things above all else: droughts, floods, and hornclaws.",normal,24574,3,3,Common,Bird,Creature
Denying Wind,{7}{U}{U},9,U,Tony Szczudlo,32,Sorcery,Search target player's library for up to seven cards and exile them. Then that player shuffles his or her library.,PCY,"""The third wind of ascension is Eliminator, clearing Keld's path to victory.""\n—Keld Triumphant",normal,24596,,,Rare,,Sorcery
Excavation,{1}{U},2,U,Terese Nielsen,33,Enchantment,"{1}, Sacrifice a land: Draw a card. Any player may activate this ability.",PCY,"""There are secrets out there begging to be rediscovered. We just need to look in the right places.""\n—Teferi, planeswalker",normal,24586,,,Uncommon,,Enchantment
Foil,{2}{U}{U},4,U,Bradley Williams,34,Instant,You may discard an Island card and another card rather than pay Foil's mana cost.\nCounter target spell.,"PCY,DDF",,normal,24587,,,Uncommon,,Instant
Gulf Squid,{3}{U},4,U,Wayne England,35,Creature — Squid Beast,"When Gulf Squid enters the battlefield, tap all lands target player controls.",PCY,"If it could capture the power it wastes, it would be invincible.",normal,24573,2,2,Common,"Squid,Beast",Creature
Hazy Homunculus,{1}{U},2,U,Anthony S. Waters,36,Creature — Homunculus Illusion,Hazy Homunculus can't be blocked as long as defending player controls an untapped land.,PCY,They hide in dreams and whispers and faraway thoughts.,normal,24572,1,1,Common,"Homunculus,Illusion",Creature
Heightened Awareness,{3}{U}{U},5,U,Pete Venters,37,Enchantment,"As Heightened Awareness enters the battlefield, discard your hand.\nAt the beginning of your draw step, draw an additional card.",PCY,"""It startles me how alive one feels on the edge of death.""\n—Barrin, master wizard",normal,24594,,,Rare,,Enchantment
Mana Vapors,{1}{U},2,U,Mark Romanoski,38,Sorcery,Lands target player controls don't untap during his or her next untap step.,PCY,"The scent of magic can rob you of your senses, blinding you to the world.",normal,24578,,,Uncommon,,Sorcery
Overburden,{1}{U},2,U,John Matson,39,Enchantment,"Whenever a player puts a nontoken creature onto the battlefield, that player returns a land he or she controls to its owner's hand.",PCY,The Kipamu League knew what Keld refused to acknowledge: the land could support no more.,normal,24597,,,Rare,,Enchantment
Psychic Theft,{1}{U},2,U,Don Hazeltine,40,Sorcery,"Target player reveals his or her hand. You choose an instant or sorcery card from it and exile that card. You may cast that card for as long as it remains exiled. At the beginning of the next end step, if you haven't cast the card, return it to its owner's hand.",PCY,,normal,24593,,,Rare,,Sorcery
Quicksilver Wall,{2}{U},3,U,Matt Cavotta,41,Creature — Wall,Defender (This creature can't attack.)\n{4}: Return Quicksilver Wall to its owner's hand. Any player may activate this ability.,PCY,"""Ogg hit wall. Ogg no kill wall. Ogg hate wall!""",normal,24582,1,6,Uncommon,Wall,Creature
Rethink,{2}{U},3,U,Matt Cavotta,42,Instant,"Counter target spell unless its controller pays {X}, where X is its converted mana cost.",PCY,"""Are you sure you want to do that?""",normal,24588,,,Common,,Instant
Rhystic Deluge,{2}{U},3,U,Pete Venters,43,Enchantment,{U}: Tap target creature unless its controller pays {1}.,PCY,"""I'll rain down on you with the power of magic itself. Then we'll see who prevails.""\n—Alexi, zephyr mage",normal,24576,,,Common,,Enchantment
Rhystic Scrying,{2}{U}{U},4,U,Roger Raupp,44,Sorcery,"Draw three cards. Then, if any player pays {2}, discard three cards.",PCY,"""The trick is to ask when no one's listening.""\n—Alexi, zephyr mage",normal,24577,,,Uncommon,,Sorcery
Rhystic Study,{2}{U},3,U,Terese Nielsen,45,Enchantment,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.","PCY,CM1",Friends teach what you want to know. Enemies teach what you need to know.,normal,24589,,,Common,,Enchantment
Ribbon Snake,{1}{U}{U},3,U,Mark Zug,46,Creature — Snake,Flying\n{2}: Ribbon Snake loses flying until end of turn. Any player may activate this ability.,PCY,All snakes slither. Only this one soars.,normal,24571,2,3,Common,Snake,Creature
Shrouded Serpent,{4}{U}{U}{U},7,U,Dana Knutson,47,Creature — Serpent,"Whenever Shrouded Serpent attacks, defending player may pay {4}. If he or she doesn't, Shrouded Serpent can't be blocked this turn.",PCY,"Many travelers have wandered into a fog only to find that it had teeth, claws, and an appetite.",normal,24595,4,4,Rare,Serpent,Creature
Spiketail Drake,{3}{U}{U},5,U,Michael Sutfin,48,Creature — Drake,Flying\nSacrifice Spiketail Drake: Counter target spell unless its controller pays {3}.,PCY,"""The spell will have to wait,"" said Alexi, pointing up. ""Drakes.""",normal,24592,3,3,Uncommon,Drake,Creature
Spiketail Hatchling,{1}{U},2,U,Greg Staples,49,Creature — Drake,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Spiketail Hatchling: Counter target spell unless its controller pays {1}.,"PCY,8ED,10E",It dodges waves of water to prepare for waves of magic.,normal,24581,1,1,Common,Drake,Creature
Stormwatch Eagle,{3}{U},4,U,Aaron Boyd,50,Creature — Bird,Flying\nSacrifice a land: Return Stormwatch Eagle to its owner's hand.,PCY,"When eagles leave the sky, sailors leave the sea.",normal,24583,2,1,Common,Bird,Creature
Sunken Field,{1}{U},2,U,Donato Giancola,51,Enchantment — Aura,"Enchant land\nEnchanted land has ""{T}: Counter target spell unless its controller pays {1}.""",PCY,"The land is heavy with promise, the harvest ripe with betrayal.",normal,24575,,,Uncommon,Aura,Enchantment
Troublesome Spirit,{2}{U}{U},4,U,Adam Rex,52,Creature — Spirit,"Flying\nAt the beginning of your end step, tap all lands you control.",PCY,As erratic and turbulent as a summer squall.,normal,24584,3,4,Rare,Spirit,Creature
Windscouter,{3}{U},4,U,Brian Snõddy,53,Creature — Human Scout,"Flying\nWhen Windscouter attacks or blocks, return it to its owner's hand at end of combat. (Return it only if it's on the battlefield.)",PCY,These nimble ships were designed for hit-and-run tactics.,normal,24585,3,3,Uncommon,"Human,Scout",Creature
Withdraw,{U}{U},2,U,Adam Rex,54,Instant,Return target creature to its owner's hand. Then return another target creature to its owner's hand unless its controller pays {1}.,PCY,"""We outnumber them! Charge! Charge! Hey, where'd you guys go? Retreat! Retreat!""",normal,24580,,,Common,,Instant
Agent of Shauku,{1}{B},2,B,Donato Giancola,55,Creature — Human Mercenary,"{1}{B}, Sacrifice a land: Target creature gets +2/+0 until end of turn.",PCY,"""Go ahead. Take it. You'll be so very powerful . . . and what harm can it do?""",normal,24601,1,1,Common,"Human,Mercenary",Creature
Avatar of Woe,{6}{B}{B},8,B,rk post,56,Creature — Avatar,"If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.\nFear (This creature can't be blocked except by artifact creatures and/or black creatures.)\n{T}: Destroy target creature. It can't be regenerated.","PCY,TSB,pPRO,ARC,CMD,PD3",,normal,24621,6,5,Rare,Avatar,Creature
Bog Elemental,{3}{B}{B},5,B,Glen Angus,57,Creature — Elemental,"Protection from white\nAt the beginning of your upkeep, sacrifice Bog Elemental unless you sacrifice a land.",PCY,"""When the bog walks, the wise run.""\n—Erissa, bog witch",normal,24620,5,4,Rare,Elemental,Creature
Bog Glider,{2}{B},3,B,Brian Snõddy,58,Creature — Human Mercenary,"Flying\n{T}, Sacrifice a land: Search your library for a Mercenary permanent card with converted mana cost 2 or less and put it onto the battlefield. Then shuffle your library.",PCY,,normal,24600,1,1,Common,"Human,Mercenary",Creature
Chilling Apparition,{2}{B},3,B,Ron Spears,59,Creature — Spirit,"{B}: Regenerate Chilling Apparition.\nWhenever Chilling Apparition deals combat damage to a player, that player discards a card.",PCY,Mortal minds shrivel at its touch.,normal,25362,1,1,Uncommon,Spirit,Creature
Coffin Puppets,{3}{B}{B},5,B,Arnie Swekel,60,Creature — Zombie,Sacrifice two lands: Return Coffin Puppets from your graveyard to the battlefield. Activate this ability only during your upkeep and only if you control a Swamp.,PCY,The ground won't accept them.,normal,24618,3,3,Rare,Zombie,Creature
Death Charmer,{2}{B},3,B,David Martin,61,Creature — Worm Mercenary,"Whenever Death Charmer deals combat damage to a creature, that creature's controller loses 2 life unless he or she pays {2}.",PCY,It vents the chill of the grave.,normal,24599,2,2,Common,"Worm,Mercenary",Creature
Despoil,{3}{B},4,B,Scott M. Fischer,62,Sorcery,Destroy target land. Its controller loses 2 life.,PCY,"Nothing could grow where the vile smoke had been, and no one could breathe it and live.",normal,24615,,,Common,,Sorcery
Endbringer's Revel,{2}{B},3,B,Pete Venters,63,Enchantment,{4}: Return target creature card from a graveyard to its owner's hand. Any player may activate this ability but only any time he or she could cast a sorcery.,PCY,First death. Then Shauku.,normal,24616,,,Uncommon,,Enchantment
Fen Stalker,{3}{B},4,B,"Edward P. Beard, Jr.",64,Creature — Nightstalker,Fen Stalker has fear as long as you control no untapped lands. (It can't be blocked except by artifact creatures and/or black creatures.),PCY,"As silent as a shadow, and just as hard to flee.",normal,24602,3,2,Common,Nightstalker,Creature
Flay,{3}{B},4,B,Matthew D. Wilson,65,Sorcery,Target player discards a card at random. Then that player discards another card at random unless he or she pays {1}.,PCY,"The Keldons would never admit it, but Greel unsettles them, too.",normal,24606,,,Common,,Sorcery
"Greel, Mind Raker",{3}{B}{B},5,B,Brom,66,Legendary Creature — Horror Spellshaper,"{X}{B}, {T}, Discard two cards: Target player discards X cards at random.",PCY,"""You're Latulla's gift to me, and I always play with my presents.""",normal,24619,3,3,Rare,"Horror,Spellshaper",Creature
