name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Grim Lavamancer,{R},1,R,Michael Sutfin,1,Creature — Human Wizard,"{R}, {T}, Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to target creature or player.","pJGP,TOR,PD2,M12",""Fools dig for water, corpses, or gold. The earth's real treasure is far deeper."",normal,234706,1,1,Rare,"Human,Wizard",Creature
Jackal Pup,{R},1,R,Kev Walker,2,Creature — Hound,"Whenever Jackal Pup is dealt damage, it deals that much damage to you.","TMP,pFNM,PD2","The first morning after acquiring her familiar, the wizard awoke with fleabites and mange.",normal,217974,2,1,Uncommon,Hound,Creature
Mogg Fanatic,{R},1,R,Brom,3,Creature — Goblin,Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.,"TMP,ATH,pFNM,pGTW,10E,EVG,PD2,DD3_EVG,TPR","I got it! I got it! I—",normal,234699,1,1,Uncommon,Goblin,Creature
Spark Elemental,{R},1,R,John Avon,4,Creature — Elemental,"Trample, haste (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker. This creature can attack and {T} as soon as it comes under your control.)\nAt the beginning of the end step, sacrifice Spark Elemental.","5DN,10E,PD2","Vulshok shamans could never keep them alive for more than a few seconds, yet those few seconds seemed to be enough.",normal,234700,3,1,Uncommon,Elemental,Creature
Figure of Destiny,{R/W},1,"W,R",Scott M. Fischer,5,Creature — Kithkin,"{R/W}: Figure of Destiny becomes a Kithkin Spirit with base power and toughness 2/2.\n{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a Kithkin Spirit Warrior with base power and toughness 4/4.
{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes a Kithkin Spirit Warrior Avatar with base power and toughness 8/8, flying, and first strike.","pLPA,EVE,PD2,MMA,DDL",,normal,236456,1,1,Rare,Kithkin,Creature
Hellspark Elemental,{1}{R},2,R,Justin Sweet,6,Creature — Elemental,"Trample, haste\nAt the beginning of the end step, sacrifice Hellspark Elemental.
Unearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","pWPN,CON,PD2,DDK",,normal,234711,3,1,Uncommon,Elemental,Creature
Keldon Marauders,{1}{R},2,R,Alex Horley-Orlandelli,7,Creature — Human Warrior,"Vanishing 2 (This permanent enters the battlefield with two time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Keldon Marauders enters the battlefield or leaves the battlefield, it deals 1 damage to target player.","PLC,PD2",,normal,234709,3,3,Common,"Human,Warrior",Creature
Mogg Flunkies,{1}{R},2,R,Brom,8,Creature — Goblin,Mogg Flunkies can't attack or block alone.,"STH,ATH,PD2,M13,TPR",They'll attack whatever's in front of them—as long as you tell them where that is.,normal,234710,3,3,Common,Goblin,Creature
Cinder Pyromancer,{2}{R},3,R,Greg Staples,9,Creature — Elemental Shaman,"{T}: Cinder Pyromancer deals 1 damage to target player.\nWhenever you cast a red spell, you may untap Cinder Pyromancer.","EVE,DPA,PD2",""If the whole world burns, I'll never grow cold."",normal,234717,0,1,Common,"Elemental,Shaman",Creature
"Jaya Ballard, Task Mage",{1}{R}{R},3,R,Matt Cavotta,10,Legendary Creature — Human Spellshaper,"{R}, {T}, Discard a card: Destroy target blue permanent.\n{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.
{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player.","pMEI,TSP,PD2",,normal,234707,2,2,Rare,"Human,Spellshaper",Creature
Vulshok Sorcerer,{1}{R}{R},3,R,rk post,11,Creature — Human Shaman,Haste\n{T}: Vulshok Sorcerer deals 1 damage to target creature or player.,"5DN,PD2,DDI","Vulshok sorcerers train by leaping into electrified storm clouds. Dead or alive, they come back down with smiles on their faces.",normal,234719,1,1,Common,"Human,Shaman",Creature
Ball Lightning,{R}{R}{R},3,R,Trevor Claxton,12,Creature — Elemental,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.","DRK,4ED,5ED,pJGP,BTD,MED,M10,PD2",,normal,234722,6,1,Rare,Elemental,Creature
Boggart Ram-Gang,{R/G}{R/G}{R/G},3,"R,G",Dave Allsop,13,Creature — Goblin Warrior,Haste\nWither (This deals damage to creatures in the form of -1/-1 counters.),"pGTW,SHM,PD2",""We're going to need a bigger gate."\n—Bowen, Barrenton guardcaptain",normal,234723,3,3,Uncommon,"Goblin,Warrior",Creature
Keldon Champion,{2}{R}{R},4,R,Mark Tedin,14,Creature — Human Barbarian,"Haste\nEcho {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)
When Keldon Champion enters the battlefield, it deals 3 damage to target player.","UDS,HOP,PD2",,normal,234713,3,2,Uncommon,"Human,Barbarian",Creature
Fire Servant,{3}{R}{R},5,R,Ryan Yee,15,Creature — Elemental,"If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.","M11,PD2",""Elemental fire shimmers with rose hues and, unlike terrestrial blazes, smolders long after it's extinguished."\n—Jestus Dreya, Of Elements and Eternity",normal,234702,4,3,Uncommon,Elemental,Creature
Chain Lightning,{R},1,R,Christopher Moeller,16,Sorcery,"Chain Lightning deals 3 damage to target creature or player. Then that player or that creature's controller may pay {R}{R}. If the player does, he or she may copy this spell and may choose a new target for that copy.","LEG,ME3,PD2,VMA",,normal,217977,,,Common,,Sorcery
Lightning Bolt,{R},1,R,Christopher Moeller,17,Instant,Lightning Bolt deals 3 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,ATH,BTD,pMPR,MED,M10,M11,PD2,MM2",,normal,234704,,,Common,,Instant
Price of Progress,{1}{R},2,R,Richard Kane Ferguson,18,Instant,Price of Progress deals damage to each player equal to twice the number of nonbasic lands that player controls.,"EXO,PD2",Man versus nature is not a fair fight.,normal,234714,,,Uncommon,,Instant
Thunderbolt,{1}{R},2,R,Dylan Martens,19,Instant,Choose one —\n• Thunderbolt deals 3 damage to target player.
• Thunderbolt deals 4 damage to target creature with flying.,"WTH,BTD,PD2,AVR",""Most wizards consider a thunderbolt to be a proper retort."\n—Ertai, wizard adept",normal,234716,,,Common,,Instant
Reverberate,{R}{R},2,R,jD,20,Instant,Copy target instant or sorcery spell. You may choose new targets for the copy.,"M11,PD2,M12,M13",""I'm not indecisive. I just don't like to limit my options."\n—Maxti, pyromancer",normal,234705,,,Rare,,Instant
Browbeat,{2}{R},3,R,Mark Tedin,21,Sorcery,"Any player may have Browbeat deal 5 damage to him or her. If no one does, target player draws three cards.","pFNM,JUD,TSB,HOP,PD2,DDK",""Even the threat of power has power."\n—Jeska, warrior adept",normal,234712,,,Uncommon,,Sorcery
Flames of the Blood Hand,{2}{R},3,R,Aleksi Briclot,22,Instant,"Flames of the Blood Hand deals 4 damage to target player. The damage can't be prevented. If that player would gain life this turn, that player gains no life instead.","BOK,PD2",Many ogres extracted blood oaths from the oni they summoned. Others simply extracted blood.,normal,234718,,,Uncommon,,Instant
Hammer of Bogardan,{1}{R}{R},3,R,Ron Spencer,23,Sorcery,Hammer of Bogardan deals 3 damage to target creature or player.\n{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate this ability only during your upkeep.,"MIR,pJGP,6ED,8ED,PD2",,normal,234721,,,Rare,,Sorcery
Pillage,{1}{R}{R},3,R,Bradley Williams,24,Sorcery,Destroy target artifact or land. It can't be regenerated.,"ALL,pARL,6ED,7ED,DKM,ME2,PD2",,normal,234720,,,Uncommon,,Sorcery
Sudden Impact,{3}{R},4,R,Wayne Reynolds,25,Instant,Sudden Impact deals damage to target player equal to the number of cards in that player's hand.,"TMP,7ED,8ED,9ED,10E,PD2",""Some say it's better to think before you act. While those people are considering all the options, that's usually when I kill them."\n—Dravus, lava mage",normal,234701,,,Uncommon,,Instant
Fireblast,{4}{R}{R},6,R,Michael Danza,26,Instant,You may sacrifice two Mountains rather than pay Fireblast's mana cost.\nFireblast deals 4 damage to target creature or player.,"VIS,pFNM,DD2,PD2,VMA,DD3_JVC",Embermages aren't well known for their diplomatic skills.,normal,234736,,,Common,,Instant
Fireball,{X}{R},1,R,Dave Dorman,27,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC",,normal,234703,,,Uncommon,,Sorcery
Barbarian Ring,,,R,John Avon,28,Land,"{T}: Add {R} to your mana pool. Barbarian Ring deals 1 damage to you.\nThreshold — {R}, {T}, Sacrifice Barbarian Ring: Barbarian Ring deals 2 damage to target creature or player. Activate this ability only if seven or more cards are in your graveyard.","ODY,PD2",,normal,234737,,,Uncommon,,Land
Ghitu Encampment,,,R,John Avon,29,Land,Ghitu Encampment enters the battlefield tapped.\n{T}: Add {R} to your mana pool.
