name,cost,artist,number,type,text,printings
Putrid Imp,,Wayne England,1,Creature — Zombie Imp,"Discard a card: Putrid Imp gains flying until end of turn.\nThreshold — As long as seven or more cards are in your graveyard, Putrid Imp gets +1/+1 and can't block.","TOR,PD3,VMA"
Hidden Horror,,Brom,2,Creature — Horror,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","WTH,PO2,6ED,10E,PD3"
Faceless Butcher,,Daren Bader,3,Creature — Nightmare Horror,"When Faceless Butcher enters the battlefield, exile target creature other than Faceless Butcher.\nWhen Faceless Butcher leaves the battlefield, return the exiled card to the battlefield under its owner's control.","TOR,TSB,PD3"
Twisted Abomination,,Daren Bader,4,Creature — Zombie Mutant,"{B}: Regenerate Twisted Abomination.\nSwampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.)","SCG,TSB,DDD,ARC,PD3,CNS,DD3_GVL"
"Crosis, the Purger",,Chris Rahn,5,Legendary Creature — Dragon,"Flying\nWhenever Crosis, the Purger deals combat damage to a player, you may pay {2}{B}. If you do, choose a color, then that player reveals his or her hand and discards all cards of that color.","INV,PD3"
Avatar of Woe,,rk post,6,Creature — Avatar,"If there are ten or more creature cards total in all graveyards, Avatar of Woe costs {6} less to cast.\nFear (This creature can't be blocked except by artifact creatures and/or black creatures.)
{T}: Destroy target creature. It can't be regenerated.","PCY,TSB,pPRO,ARC,CMD,PD3"
Terastodon,,Lars Grant-West,7,Creature — Elephant,"When Terastodon enters the battlefield, you may destroy up to three target noncreature permanents. For each permanent put into a graveyard this way, its controller puts a 3/3 green Elephant creature token onto the battlefield.","pMEI,WWK,PD3,CNS,C14,C15"
Verdant Force,,DiTerlizzi,8,Creature — Elemental,"At the beginning of each upkeep, put a 1/1 green Saproling creature token onto the battlefield.","TMP,9ED,10E,HOP,DPA,PD3,TPR,C15"
Sphinx of the Steel Wind,,Kev Walker,9,Artifact Creature — Sphinx,"Flying, first strike, vigilance, lifelink, protection from red and from green","ARB,PD3,C13"
Inkwell Leviathan,,Anthony Francisco,10,Artifact Creature — Leviathan,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\nTrample
Shroud (This creature can't be the target of spells or abilities.),"CON,PD3,DDO"
Blazing Archon,,Zoltan Boros & Gabor Szikszai,11,Creature — Archon,Flying\nCreatures can't attack you.,"RAV,PD3"
Cabal Therapy,,Raymond Swanland,12,Sorcery,Name a nonland card. Target player reveals his or her hand and discards all cards with that name.\nFlashback—Sacrifice a creature. (You may cast this card from your graveyard for its flashback cost. Then exile it.),"pFNM,JUD,PD3"
Duress,,Steven Belledin,13,Sorcery,"Target opponent reveals his or her hand. You choose a noncreature, nonland card from it. That player discards that card.","pMEI,pARL,USG,pFNM,7ED,DDC,M10,M11,PD3,M13,M14,MD1,DD3_DVD,DTK"
Entomb,,Ron Spears,14,Instant,Search your library for a card and put that card into your graveyard. Then shuffle your library.,"pJGP,ODY,PD3"
Reanimate,,Robert Bliss,15,Sorcery,Put target creature card from a graveyard onto the battlefield under your control. You lose life equal to its converted mana cost.,"TMP,BRB,pFNM,ARC,PD3,VMA,TPR"
Animate Dead,,Anthony Jones,16,Enchantment — Aura,"Enchant creature card in a graveyard\nWhen Animate Dead enters the battlefield, if it's on the battlefield, it loses "enchant creature card in a graveyard" and gains "enchant creature put onto the battlefield with Animate Dead." Return enchanted creature card to the battlefield under your control and attach Animate Dead to it. When Animate Dead leaves the battlefield, that creature's controller sacrifices it.
Enchanted creature gets -1/-0.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,MED,PD3,VMA"
Exhume,,Carl Critchlow,17,Sorcery,Each player puts a creature card from his or her graveyard onto the battlefield.,"USG,BRB,PD3"
Sickening Dreams,,Scott M. Fischer,18,Sorcery,"As an additional cost to cast Sickening Dreams, discard X cards.\nSickening Dreams deals X damage to each creature and each player.","TOR,PD3"
Zombie Infestation,,Thomas M. Baxa,19,Enchantment,Discard two cards: Put a 2/2 black Zombie creature token onto the battlefield.,"ODY,ARC,M12,PD3"
Buried Alive,,Greg Staples,20,Sorcery,Search your library for up to three creature cards and put them into your graveyard. Then shuffle your library.,"WTH,ODY,CMD,PD3"
Last Rites,,Bradley Williams,21,Sorcery,"Discard any number of cards. Target player reveals his or her hand, then you choose a nonland card from it for each card discarded this way. That player discards those cards.","ODY,PD3"
Diabolic Servitude,,Scott M. Fischer,22,Enchantment,"When Diabolic Servitude enters the battlefield, return target creature card from your graveyard to the battlefield.\nWhen the creature put onto the battlefield with Diabolic Servitude dies, exile it and return Diabolic Servitude to its owner's hand.
When Diabolic Servitude leaves the battlefield, exile the creature put onto the battlefield with Diabolic Servitude.","USG,PD3,C15"
Dread Return,,Kev Walker,23,Sorcery,Return target creature card from your graveyard to the battlefield.\nFlashback—Sacrifice three creatures. (You may cast this card from your graveyard for its flashback cost. Then exile it.),"TSP,PD3,C14"
Crystal Vein,,Pat Morrissey,24,Land,"{T}: Add {1} to your mana pool.\n{T}, Sacrifice Crystal Vein: Add {2} to your mana pool.","MIR,6ED,PD3,C14"
Ebon Stronghold,,Liz Danforth,25,Land,"Ebon Stronghold enters the battlefield tapped.\n{T}: Add {B} to your mana pool.
{T}, Sacrifice Ebon Stronghold: Add {B}{B} to your mana pool.","FEM,5ED,6ED,BTD,ME2,PD3"
Polluted Mire,,Stephen Daniele,26,Land,"Polluted Mire enters the battlefield tapped.\n{T}: Add {B} to your mana pool.
Cycling {2} ({2}, Discard this card: Draw a card.)","USG,ATH,BRB,BTD,DDD,PD3,C14,DD3_GVL,C15"
Swamp,,Aleksi Briclot,27,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
Swamp,,James Paick,28,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
Swamp,,Jung Park,29,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
Swamp,,Alan Pollack,30,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
