name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aven Riftwatcher,{2}{W},3,W,Don Hazeltine,1,Creature — Bird Rebel Soldier,"Flying\nVanishing 3 (This creature enters the battlefield with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)\nWhen Aven Riftwatcher enters the battlefield or leaves the battlefield, you gain 2 life.","PLC,EMA",,normal,108899,2,3,Common,"Bird,Rebel,Soldier",Creature
Benalish Commander,{3}{W},4,W,Paolo Parente,2,Creature — Human Soldier,"Benalish Commander's power and toughness are each equal to the number of Soldiers you control.\nSuspend X—{X}{W}{W}. X can't be 0. (Rather than cast this card from your hand, you may pay {X}{W}{W} and exile it with X time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)\nWhenever a time counter is removed from Benalish Commander while it's exiled, put a 1/1 white Soldier creature token onto the battlefield.",PLC,,normal,122408,*,*,Rare,"Human,Soldier",Creature
"Crovax, Ascendant Hero",{4}{W}{W},6,W,Pete Venters,3,Legendary Creature — Human,"Other white creatures get +1/+1.\nNonwhite creatures get -1/-1.\nPay 2 life: Return Crovax, Ascendant Hero to its owner's hand.",PLC,"Crovax was destined for an angel's curse, but one warped timeline saw the noble redeemed.",normal,122487,4,4,Rare,Human,Creature
Dawn Charm,{1}{W},2,W,John Avon,4,Instant,Choose one —\n• Prevent all combat damage that would be dealt this turn.\n• Regenerate target creature.\n• Counter target spell that targets you.,PLC,,normal,124080,,,Common,,Instant
Dust Elemental,{2}{W}{W},4,W,rk post,5,Creature — Elemental,"Flash (You may cast this spell any time you could cast an instant.)\nFlying; fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhen Dust Elemental enters the battlefield, return three creatures you control to their owner's hand.",PLC,,normal,124343,6,6,Rare,Elemental,Creature
Ghost Tactician,{4}{W},5,W,Zoltan Boros & Gabor Szikszai,6,Creature — Spirit Spellshaper,"{W}, {T}, Discard a card: Creatures you control get +1/+0 until end of turn.",PLC,Its ethereal hand confers a lifetime of experience with combat and steel.,normal,126809,2,5,Common,"Spirit,Spellshaper",Creature
Heroes Remembered,{6}{W}{W}{W},9,W,Michael Phillippi,7,Sorcery,"You gain 20 life.\nSuspend 10—{W} (Rather than cast this card from your hand, you may pay {W} and exile it with ten time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",PLC,,normal,122438,,,Rare,,Sorcery
Magus of the Tabernacle,{3}{W},4,W,Randy Gallegos,8,Creature — Human Wizard,"All creatures have ""At the beginning of your upkeep, sacrifice this creature unless you pay {1}.""",PLC,"The Tabernacle's disciples channel the emanations from Pendrell Vale, spreading its paradoxical demand to be both worshipped and left alone.",normal,130719,2,6,Rare,"Human,Wizard",Creature
Mantle of Leadership,{1}{W},2,W,Thomas M. Baxa,9,Enchantment — Aura,"Flash (You may cast this spell any time you could cast an instant.)\nEnchant creature\nWhenever a creature enters the battlefield, enchanted creature gets +2/+2 until end of turn.",PLC,,normal,122349,,,Uncommon,Aura,Enchantment
Pallid Mycoderm,{3}{W},4,W,Jim Nelson,10,Creature — Fungus,"At the beginning of your upkeep, put a spore counter on Pallid Mycoderm.\nRemove three spore counters from Pallid Mycoderm: Put a 1/1 green Saproling creature token onto the battlefield.\nSacrifice a Saproling: Each creature you control that's a Fungus or a Saproling gets +1/+1 until end of turn.","PLC,MMA",,normal,124508,2,4,Common,Fungus,Creature
