name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abyssal Nightstalker,{3}{B},4,B,Sam Wood,,Creature — Nightstalker,"Whenever Abyssal Nightstalker attacks and isn't blocked, defending player discards a card.",PO2,,normal,6567,2,2,Uncommon,Nightstalker,Creature
Air Elemental,{3}{U}{U},5,U,Doug Chaffee,,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","As insubstantial, and as powerful, as the wind that carries it.",normal,6536,4,4,Uncommon,Elemental,Creature
Alaborn Cavalier,{2}{W}{W},4,W,Kev Walker,,Creature — Human Knight,"Whenever Alaborn Cavalier attacks, you may tap target creature.","PO2,DDG","""Course he ran! I wouldn't want to stare down that barrel, either!""\n—Alaborn soldier",normal,6506,2,2,Uncommon,"Human,Knight",Creature
Alaborn Grenadier,{W}{W},2,W,David A. Cherry,,Creature — Human Soldier,Vigilance,PO2,"""Ever proud, ever vigilant.""\n—Grenadier motto",normal,6508,2,2,Common,"Human,Soldier",Creature
Alaborn Musketeer,{1}{W},2,W,Heather Hudson,,Creature — Human Soldier,Reach (This creature can block creatures with flying.),"PO2,ME4",Muskets gave the Alaborn army an advantage it had long lacked—air defense.,normal,6499,2,1,Common,"Human,Soldier",Creature
Alaborn Trooper,{2}{W},3,W,Lubov,,Creature — Human Soldier,,"PO2,ME4","""I dedicate my body to my country\nAnd my life to my King.""\n—Alaborn Soldier's Oath",normal,6493,2,3,Common,"Human,Soldier",Creature
Alaborn Veteran,{2}{W},3,W,Henry Van Der Linde,,Creature — Human Knight,"{T}: Target creature gets +2/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.",PO2,,normal,6516,2,2,Rare,"Human,Knight",Creature
Alaborn Zealot,{W},1,W,David Horne,,Creature — Human Soldier,"When Alaborn Zealot blocks a creature, destroy that creature and Alaborn Zealot.",PO2,,normal,6492,1,1,Uncommon,"Human,Soldier",Creature
Alluring Scent,{1}{G}{G},3,G,Melissa A. Benson,,Sorcery,All creatures able to block target creature this turn do so.,"POR,PO2,S99,ME4",No earthly armor is protection against this sweetness.,normal,6639,,,Rare,,Sorcery
Ancient Craving,{3}{B},4,B,Rob Alexander,,Sorcery,You draw three cards and you lose 3 life.,"PO2,S99,DDK,C15","""Knowledge demands sacrifice.""\n—Tojira, swamp queen",normal,6579,,,Rare,,Sorcery
Angel of Fury,{4}{W}{W},6,W,Keith Parkinson,,Creature — Angel,"Flying\nWhen Angel of Fury dies, you may shuffle it into its owner's library.","PO2,ME2",,normal,6515,3,5,Rare,Angel,Creature
Angel of Mercy,{4}{W},5,W,Melissa A. Benson,,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD",,normal,6505,3,3,Uncommon,Angel,Creature
Angelic Blessing,{2}{W},3,W,Henry Van Der Linde,,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",The man who rose up to fight was not the same man knocked down.,normal,6500,,,Common,,Sorcery
Angelic Wall,{1}{W},2,W,Rebecca Guay,,Creature — Wall,Defender (This creature can't attack.)\nFlying,"PO2,ODY,10E,AVR,M14","Be at peace, and observe its beauty. Be at war, and feel its justice.",normal,6498,0,4,Common,Wall,Creature
Apprentice Sorcerer,{2}{U},3,U,Christopher Rush,,Creature — Human Wizard,"{T}: Apprentice Sorcerer deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.",PO2,,normal,6535,1,1,Uncommon,"Human,Wizard",Creature
Archangel,{5}{W}{W},7,W,rk post,,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13",,normal,6514,5,5,Rare,Angel,Creature
Armageddon,{3}{W},4,W,Rob Alexander,,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,pJGP,PO2,ATH,6ED,S99,MED,ME4,VMA,V14",War destroys more than just the land. War destroys hope.,normal,6520,,,Rare,,Sorcery
Armored Galleon,{4}{U},5,U,Doug Chaffee,,Creature — Human Pirate,Armored Galleon can't attack unless defending player controls an Island.,PO2,"""Information equals profits. Our merchants sell it, or our pirates use it.""\n—Jefan, Talas ship captain",normal,6537,5,4,Uncommon,"Human,Pirate",Creature
Armored Griffin,{3}{W},4,W,Bradley Williams,,Creature — Griffin,"Flying, vigilance","PO2,ME2,PC2",,normal,6509,2,3,Uncommon,Griffin,Creature
Barbtooth Wurm,{5}{G},6,G,Rebecca Guay,,Creature — Wurm,,"PO2,S99",In its lair lies a carpet of bones.,normal,6627,6,4,Common,Wurm,Creature
Bargain,{2}{W},3,W,Phil Foglio,,Sorcery,Target opponent draws a card.\nYou gain 7 life.,"PO2,S99",Bargaining with a goblin is like trading with a child; both believe they already own everything.,normal,6510,,,Uncommon,,Sorcery
Bear Cub,{1}{G},2,G,Ron Spencer,,Creature — Bear,,PO2,Every little cub has its mother's teeth to guard it.\n—Elvish saying,normal,6613,2,2,Common,Bear,Creature
Bee Sting,{3}{G},4,G,Cris Dornaus,,Sorcery,Bee Sting deals 2 damage to target creature or player.,"POR,PO2,ME4","Busy as a bumblebee, blistered as a goblin.\n—Alaborn saying",normal,6633,,,Uncommon,,Sorcery
Blaze,{X}{R},1,R,David A. Cherry,,Sorcery,Blaze deals X damage to target creature or player.,"POR,PO2,6ED,PTK,7ED,8ED,9ED,10E,HOP,DPA","""This isn't what I meant by ‘facing the heat of battle!'""\n—Jefan, Talas ship captain",normal,6600,,,Uncommon,,Sorcery
Bloodcurdling Scream,{X}{B},1,B,Dan Frazier,,Sorcery,Target creature gets +X/+0 until end of turn.,PO2,"""I have all the weapons my enemies have—and far deeper rage.""\n—Tojira, swamp queen",normal,6573,,,Uncommon,,Sorcery
Breath of Life,{3}{W},4,W,Lubov,,Sorcery,Return target creature card from your graveyard to the battlefield.,"POR,PO2,S99,S00,7ED,VMA",,normal,6501,,,Common,,Sorcery
Brimstone Dragon,{6}{R}{R},8,R,David A. Cherry,,Creature — Dragon,"Flying, haste","PO2,ME2",,normal,6605,6,6,Rare,Dragon,Creature
Brutal Nightstalker,{3}{B}{B},5,B,Brom,,Creature — Nightstalker,"When Brutal Nightstalker enters the battlefield, you may have target opponent discard a card.",PO2,,normal,6566,3,2,Uncommon,Nightstalker,Creature
Chorus of Woe,{B},1,B,Randy Gallegos,,Sorcery,Creatures you control get +1/+0 until end of turn.,"PO2,S99","When nightstalkers sing, nothing in creation sleeps.",normal,6564,,,Common,,Sorcery
Coastal Wizard,{2}{U}{U},4,U,"Edward P. Beard, Jr.",,Creature — Human Wizard,"{T}: Return Coastal Wizard and another target creature to their owners' hands. Activate this ability only during your turn, before attackers are declared.",PO2,,normal,6544,1,1,Rare,"Human,Wizard",Creature
Coercion,{2}{B},3,B,Jeffrey R. Busch,,Sorcery,Target opponent reveals his or her hand. You choose a card from it. That player discards that card.,"VIS,TMP,PO2,6ED,PTK,S99,S00,BTD,8ED,9ED,TPR","""Human tenderness is simply weakness in a pretty package.""\n—Tojira, swamp queen",normal,6570,,,Uncommon,,Sorcery
Cruel Edict,{1}{B},2,B,Jeffrey R. Busch,,Sorcery,Target opponent sacrifices a creature.,"PO2,pMPR,9ED,10E,DDC,DD3_DVD","""Such a fragile organ, the brain.""\n—Tojira, swamp queen",normal,6561,,,Common,,Sorcery
Cunning Giant,{5}{R},6,R,Jeffrey R. Busch,,Creature — Giant,"If Cunning Giant is unblocked, you may have it assign its combat damage to a creature defending player controls.",PO2,,normal,6606,4,4,Rare,Giant,Creature
Dakmor Bat,{1}{B},2,B,Una Fricker,,Creature — Bat,Flying,PO2,The bat thrives on what underestimates it.,normal,6553,1,1,Common,Bat,Creature
Dakmor Plague,{3}{B}{B},5,B,Jeff Miracola,,Sorcery,Dakmor Plague deals 3 damage to each creature and each player.,"PO2,S99,ME4",The tiniest cough can be deadlier than the fiercest dragon.,normal,6571,,,Uncommon,,Sorcery
Dakmor Scorpion,{1}{B},2,B,Randy Gallegos,,Creature — Scorpion,,"PO2,S99","A scorpion this big you won't find curled up in your boot. Maybe around your boot, but not in it.",normal,6552,2,1,Common,Scorpion,Creature
Dakmor Sorceress,{5}{B},6,B,Matthew D. Wilson,,Creature — Human Wizard,Dakmor Sorceress's power is equal to the number of Swamps you control.,"PO2,S99",,normal,6576,*,4,Rare,"Human,Wizard",Creature
Dark Offering,{4}{B}{B},6,B,"Edward P. Beard, Jr.",,Sorcery,Destroy target nonblack creature. You gain 3 life.,"PO2,S99","""Our greatest hope has become our enemy's greatest triumph.""\n—Restela, Alaborn marshal",normal,6569,,,Uncommon,,Sorcery
Deathcoil Wurm,{6}{G}{G},8,G,Rebecca Guay,,Creature — Wurm,You may have Deathcoil Wurm assign its combat damage as though it weren't blocked.,"PO2,ME4",,normal,6637,7,6,Rare,Wurm,Creature
Deep Wood,{1}{G},2,G,Jeff Miracola,,Instant,Cast Deep Wood only during the declare attackers step and only if you've been attacked this step.\nPrevent all damage that would be dealt to you this turn by attacking creatures.,"POR,PO2",,normal,6631,,,Uncommon,,Instant
Déjà Vu,{2}{U},3,U,David Horne,,Sorcery,Return target sorcery card from your graveyard to your hand.,"POR,PO2",History is the study of repetition.,normal,6528,,,Common,,Sorcery
Denizen of the Deep,{6}{U}{U},8,U,Anson Maddocks,,Creature — Serpent,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","PO2,S99,10E,DPA",,normal,6546,11,11,Rare,Serpent,Creature
Earthquake,{X}{R},1,R,Jeffrey R. Busch,,Sorcery,Earthquake deals X damage to each creature without flying and each player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,PO2,6ED,7ED,M10,CMD,C15",,normal,6609,,,Rare,,Sorcery
Exhaustion,{2}{U},3,U,Kaja Foglio,,Sorcery,Creatures and lands target opponent controls don't untap during his or her next untap step.,"POR,PO2,USG,PTK,S99,9ED",,normal,6549,,,Rare,,Sorcery
Extinguish,{1}{U},2,U,Douglas Shuler,,Instant,Counter target sorcery spell.,"PO2,PTK,S99",,normal,6534,,,Common,,Instant
Eye Spy,{U},1,U,DiTerlizzi,,Sorcery,Look at the top card of target player's library. You may put that card into his or her graveyard.,"PO2,S99",,normal,6538,,,Uncommon,,Sorcery
False Summoning,{1}{U},2,U,DiTerlizzi,,Instant,Counter target creature spell.,"PO2,ME4",,normal,6533,,,Common,,Instant
Festival of Trokin,{W},1,W,Jeffrey R. Busch,,Sorcery,You gain 2 life for each creature you control.,PO2,Everyone loves a good sale.,normal,6504,,,Common,,Sorcery
Forest,,,G,Quinton Hoover,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,SOI",,normal,8408,,,Basic Land,Forest,Land
Forest,,,G,Quinton Hoover,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,SOI",,normal,8409,,,Basic Land,Forest,Land
Forest,,,G,Quinton Hoover,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15,SOI",,normal,8410,,,Basic Land,Forest,Land
Foul Spirit,{2}{B},3,B,rk post,,Creature — Spirit,"Flying\nWhen Foul Spirit enters the battlefield, sacrifice a land.","PO2,ME4",,normal,6568,3,2,Uncommon,Spirit,Creature
Goblin Cavaliers,{2}{R},3,R,DiTerlizzi,,Creature — Goblin,,"PO2,S99,ME4",They get along so well with their goats because they're practically goats themselves.,normal,6587,3,2,Common,Goblin,Creature
Goblin Firestarter,{R},1,R,Keith Parkinson,,Creature — Goblin,"Sacrifice Goblin Firestarter: Goblin Firestarter deals 1 damage to target creature or player. Activate this ability only during your turn, before attackers are declared.","PO2,ME4",,normal,6598,1,1,Uncommon,Goblin,Creature
Goblin General,{1}{R}{R},3,R,Keith Parkinson,,Creature — Goblin Warrior,"Whenever Goblin General attacks, Goblin creatures you control get +1/+1 until end of turn.","PO2,S99,ME4,VMA","Lead, follow, or run around like crazy.",normal,6604,1,1,Rare,"Goblin,Warrior",Creature
Goblin Glider,{1}{R},2,R,Pete Venters,,Creature — Goblin,Flying\nGoblin Glider can't block.,"PO2,S99,7ED,8ED","The goblins call the gliders ""death from above."" Everyone else calls them ""clods in the clouds.""",normal,6584,1,1,Common,Goblin,Creature
Goblin Lore,{1}{R},2,R,D. Alexander Gregory,,Sorcery,"Draw four cards, then discard three cards at random.","PO2,S99,10E","""I done forgot more than you'll ever know, pipsqueak.""\n""Yeah—that's your problem.""",normal,6602,,,Uncommon,,Sorcery
Goblin Matron,{2}{R},3,R,Daniel Gelon,,Creature — Goblin,"When Goblin Matron enters the battlefield, you may search your library for a Goblin card, reveal that card, and put it into your hand. If you do, shuffle your library.","PO2,USG,ATH,7ED,EVG,VMA,DD3_EVG",,normal,6596,1,1,Uncommon,Goblin,Creature
Goblin Mountaineer,{R},1,R,DiTerlizzi,,Creature — Goblin Scout,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),"PO2,S99,9ED,ALA","Goblin mountaineer, barely keeps his family fed.",normal,6585,1,1,Common,"Goblin,Scout",Creature
Goblin Piker,{1}{R},2,R,DiTerlizzi,,Creature — Goblin Warrior,,"PO2,9ED,10E,M10,DPA,M11,M12","Once he'd worked out which end of the thing was sharp, he was promoted to guard duty.",normal,6582,2,1,Common,"Goblin,Warrior",Creature
Goblin Raider,{1}{R},2,R,Matt Stawicki,,Creature — Goblin Warrior,Goblin Raider can't block.,"PO2,USG,7ED,8ED,9ED","""I seen lots o' fights. To win ya gotta bash hard and not get bashed back.""\n—Goblin grunt",normal,6583,2,2,Common,"Goblin,Warrior",Creature
Goblin War Cry,{2}{R},3,R,Michael Weaver,,Sorcery,Target opponent chooses a creature he or she controls. Other creatures he or she controls can't block this turn.,PO2,"""Goblins cry, soldiers fly.\nStones fly, soldiers die!""",normal,6603,,,Uncommon,,Sorcery
Goblin War Strike,{R},1,R,Michael Weaver,,Sorcery,Goblin War Strike deals damage equal to the number of Goblins you control to target player.,"PO2,SCG",,normal,6594,,,Common,,Sorcery
Golden Bear,{3}{G},4,G,Una Fricker,,Creature — Bear,,PO2,The elvish scout was scrupulous about the truth. She told the traders that gold lay nearby.,normal,6616,4,3,Common,Bear,Creature
Hand of Death,{2}{B},3,B,Heather Hudson,,Sorcery,Destroy target nonblack creature.,"POR,PO2,S99,S00",The touch of death is never gentle.,normal,6563,,,Common,,Sorcery
Harmony of Nature,{2}{G},3,G,Kaja Foglio,,Sorcery,Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.,PO2,,normal,6632,,,Uncommon,,Sorcery
Hidden Horror,{1}{B}{B},3,B,Brom,,Creature — Horror,"When Hidden Horror enters the battlefield, sacrifice it unless you discard a creature card.","WTH,PO2,6ED,10E,PD3",,normal,6574,4,4,Rare,Horror,Creature
Hurricane,{X}{G},1,G,Rob Alexander,,Sorcery,Hurricane deals X damage to each creature with flying and each player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,POR,PO2,ATH,6ED,BRB,7ED,DKM,10E",,normal,6640,,,Rare,,Sorcery
Ironhoof Ox,{3}{G}{G},5,G,Una Fricker,,Creature — Ox,Ironhoof Ox can't be blocked by more than one creature.,"PO2,ME4",The good news is it's vegetarian. The bad news is it just doesn't like you.,normal,6628,4,4,Uncommon,Ox,Creature
Island,,,U,John Avon,,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,8387,,,Basic Land,Island,Land
Island,,,U,John Avon,,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,8390,,,Basic Land,Island,Land
Island,,,U,John Avon,,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15,DDQ,SOI",,normal,8391,,,Basic Land,Island,Land
Jagged Lightning,{3}{R}{R},5,R,Michael Weaver,,Sorcery,Jagged Lightning deals 3 damage to each of two target creatures.,"PO2,USG,S99",,normal,6601,,,Uncommon,,Sorcery
Just Fate,{2}{W},3,W,Bradley Williams,,Instant,Cast Just Fate only during the declare attackers step and only if you've been attacked this step.\nDestroy target attacking creature.,"PO2,ME4",,normal,6519,,,Rare,,Instant
Kiss of Death,{4}{B}{B},6,B,Melissa A. Benson,,Sorcery,Kiss of Death deals 4 damage to target opponent. You gain 4 life.,PO2,"""I'd sooner lock lips with a viper. At least I might walk away from that.""\n—Elvish scout",normal,6572,,,Uncommon,,Sorcery
Lava Axe,{4}{R},5,R,"Edward P. Beard, Jr.",,Sorcery,Lava Axe deals 5 damage to target player.,"POR,PO2,ULG,S99,S00,BTD,7ED,8ED,9ED,pGTW,10E,M10,M11,M12,M14,M15",Meant to cut through the body and burn straight to the soul.,normal,6591,,,Common,,Sorcery
Lone Wolf,{2}{G},3,G,Michael Weaver,,Creature — Wolf,You may have Lone Wolf assign its combat damage as though it weren't blocked.,"PO2,ULG,PTK,S99,7ED,8ED",,normal,6614,2,2,Uncommon,Wolf,Creature
Lurking Nightstalker,{B}{B},2,B,Kev Walker,,Creature — Nightstalker,"Whenever Lurking Nightstalker attacks, it gets +2/+0 until end of turn.",PO2,The shadows know.,normal,6557,1,1,Common,Nightstalker,Creature
Lynx,{1}{G},2,G,Rebecca Guay,,Creature — Cat,Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),"PO2,S99","Rarely seen, hardly heard, never caught.",normal,6611,2,1,Common,Cat,Creature
Magma Giant,{5}{R}{R},7,R,Michael Weaver,,Creature — Giant,"When Magma Giant enters the battlefield, it deals 2 damage to each creature and each player.","PO2,5DN,C15",,normal,6607,5,5,Rare,Giant,Creature
Mind Rot,{2}{B},3,B,Douglas Shuler,,Sorcery,Target player discards two cards.,"POR,PO2,S99,7ED,8ED,9ED,10E,M10,DPA,M11,M12,M13,RTR,M14,M15,DTK,ORI,W16",,normal,6562,,,Common,,Sorcery
Moaning Spirit,{2}{B},3,B,Rebecca Guay,,Creature — Spirit,Flying,PO2,The dead sing their own lullabies.,normal,6554,2,1,Common,Spirit,Creature
Monstrous Growth,{1}{G},2,G,Una Fricker,,Sorcery,Target creature gets +4/+4 until end of turn.,"POR,PO2,S99,S00,7ED,8ED",The nightstalkers' little game of tease-the-squirrel suddenly took an unexpected turn.,normal,6621,,,Common,,Sorcery
