name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Alabaster Dragon,{4}{W}{W},6,W,Ted Naifeh,,Creature — Dragon,"Flying\nWhen Alabaster Dragon dies, shuffle it into its owner's library.","POR,WTH",,normal,4369,4,4,Rare,Dragon,Creature
Alluring Scent,{1}{G}{G},3,G,Ted Naifeh,,Sorcery,All creatures able to block target creature this turn do so.,"POR,PO2,S99,ME4",Doom rarely smells this sweet.,normal,4286,,,Rare,,Sorcery
Anaconda,{3}{G},4,G,Andrew Robinson,,Creature — Snake,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"POR,USG,7ED,9ED",,normal,4287,3,3,Uncommon,Snake,Creature
Anaconda,{3}{G},4,G,Andrew Robinson,,Creature — Snake,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"POR,USG,7ED,9ED","Something soft bumped against the rowboat, then was gone.",normal,4288,3,3,Uncommon,Snake,Creature
Ancestral Memories,{2}{U}{U}{U},5,U,Dan Frazier,,Sorcery,Look at the top seven cards of your library. Put two of them into your hand and the rest into your graveyard.,"MIR,POR,6ED,7ED",,normal,4247,,,Rare,,Sorcery
Angelic Blessing,{2}{W},3,W,DiTerlizzi,,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",A peasant can do more by faith than a king by proclamation.,normal,4370,,,Common,,Sorcery
Archangel,{5}{W}{W},7,W,Quinton Hoover,,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13",,normal,4371,5,5,Rare,Angel,Creature
Ardent Militia,{4}{W},5,W,Mike Raabe,,Creature — Human Soldier,Vigilance,"POR,WTH,6ED,S99,7ED,8ED","Some fight for honor and some for gold, but the militia fights for hearth and home.",normal,4372,2,5,Uncommon,"Human,Soldier",Creature
Armageddon,{3}{W},4,W,John Avon,,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,pJGP,PO2,ATH,6ED,S99,MED,ME4,VMA,V14","""‘O miserable of happy! Is this the end\nOf this new glorious world . . . ?'""\n—John Milton, Paradise Lost",normal,4373,,,Rare,,Sorcery
Armored Pegasus,{1}{W},2,W,Andrew Robinson,,Creature — Pegasus,Flying,"POR,pPOD,TMP,ATH,6ED,BRB,S00,TPR","Asked how it survived a run-in with a bog imp, the pegasus just shook its mane and burped.",normal,4374,1,2,Common,Pegasus,Creature
Arrogant Vampire,{3}{B}{B},5,B,Zina Saunders,,Creature — Vampire,Flying,POR,Charm and grace may hide a foul heart.,normal,4207,4,3,Uncommon,Vampire,Creature
Assassin's Blade,{1}{B},2,B,John Matson,,Instant,Cast Assassin's Blade only during the declare attackers step and only if you've been attacked this step.\nDestroy target nonblack attacking creature.,POR,,normal,4208,,,Uncommon,,Instant
