name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Alert Shu Infantry,{2}{W},3,W,Solomon Au Yeung,1,Creature — Human Soldier,Vigilance,PTK,"Kongming's predecessor helped Liu Bei win the battle of Fancheng by recognizing and defeating Cao Ren's use of the dreaded ""Eight Gold Locks"" formation.",normal,10487,2,2,Uncommon,"Human,Soldier",Creature
Eightfold Maze,{2}{W},3,W,Shang Huitong,2,Instant,Cast Eightfold Maze only during the declare attackers step and only if you've been attacked this step.\nDestroy target attacking creature.,"PTK,ME3",,normal,10553,,,Rare,,Instant
Empty City Ruse,{W},1,W,Qu Xin,3,Sorcery,Target opponent skips all combat phases of his or her next turn.,PTK,"Out of time and options, Kongming was forced to bluff at Xicheng. He tricked an army of 150,000 Wei by leaving the city gates open and calmly playing the zither.",normal,10504,,,Uncommon,,Sorcery
False Defeat,{3}{W},4,W,Li Wang,4,Sorcery,Return target creature card from your graveyard to the battlefield.,"PTK,ME3","""All warfare is based on deception.""\n—Sun Tzu, Art of War (trans. Giles)",normal,10509,,,Common,,Sorcery
Flanking Troops,{2}{W}{W},4,W,Li Wang,5,Creature — Human Soldier,"Whenever Flanking Troops attacks, you may tap target creature.",PTK,"Following the battle of Redcliffs, both Liu Bei and Sun Quan coveted the province of Jingzhou. After Sun Quan's troops failed to capture it, Liu Bei's succeeded.",normal,10486,2,2,Uncommon,"Human,Soldier",Creature
"Guan Yu, Sainted Warrior",{3}{W}{W},5,W,Zhao Dafu,6,Legendary Creature — Human Soldier Warrior,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nWhen Guan Yu, Sainted Warrior is put into your graveyard from the battlefield, you may shuffle Guan Yu into your library.","PTK,ME3",,normal,10494,3,5,Rare,"Human,Soldier,Warrior",Creature
"Guan Yu's 1,000-Li March",{4}{W}{W},6,W,Yang Guangmai,7,Sorcery,Destroy all tapped creatures.,"PTK,ME3","""He Guan Yu covered the ground on a thousand-li horse; / With dragon blade he took each pass by force.""",normal,10597,,,Rare,,Sorcery
"Huang Zhong, Shu General",{2}{W}{W},4,W,Quan Xuejun,8,Legendary Creature — Human Soldier,"Huang Zhong, Shu General can't be blocked by more than one creature.",PTK,"""Virile in war, he kept the north in fear;\nHis prodigies subdued the western sphere.""",normal,10714,2,3,Rare,"Human,Soldier",Creature
"Kongming, ""Sleeping Dragon""",{2}{W}{W},4,W,Gao Yan,9,Legendary Creature — Human Advisor,Other creatures you control get +1/+1.,"PTK,ME3,C13,VMA","""Such a lord as this—all virtues' height—\nHad never been, nor ever was again.""",normal,10490,2,2,Rare,"Human,Advisor",Creature
Kongming's Contraptions,{3}{W},4,W,Jiaming,10,Creature — Human Soldier,{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Activate this ability only during the declare attackers step and only if you've been attacked this step.,PTK,,normal,10495,2,4,Rare,"Human,Soldier",Creature
"Liu Bei, Lord of Shu",{3}{W}{W},5,W,Zhao Dafu,11,Legendary Creature — Human Soldier,"Horsemanship (This creature can't be blocked except by creatures with horsemanship.)\nLiu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.","PTK,ME3","""Only wisdom and virtue can truly win men's devotion.""\n—Liu Bei",normal,10499,2,4,Rare,"Human,Soldier",Creature
Loyal Retainers,{2}{W},3,W,Solomon Au Yeung,12,Creature — Human Advisor,"Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to the battlefield. Activate this ability only during your turn, before attackers are declared.","PTK,ME3,CM1",,normal,10491,1,1,Uncommon,"Human,Advisor",Creature
Misfortune's Gain,{3}{W},4,W,Jiaming,13,Sorcery,Destroy target creature. Its owner gains 4 life.,"PTK,ME3","The mourning families of commanders and generals were often given land, valuables, or money to compensate for their losses.",normal,10579,,,Common,,Sorcery
"Pang Tong, ""Young Phoenix""",{1}{W}{W},3,W,Li Tie,14,Legendary Creature — Human Advisor,"{T}: Target creature gets +0/+2 until end of turn. Activate this ability only during your turn, before attackers are declared.",PTK,""". . . It was Pang Tong's boat-connecting scheme\nThat let Zhou Yu accomplish his great deed.""",normal,10713,1,2,Rare,"Human,Advisor",Creature
Peach Garden Oath,{W},1,W,Zhao Dafu,15,Sorcery,You gain 2 life for each creature you control.,"PTK,8ED,ME3","""We three, though of separate ancestry, join in brotherhood . . . . We dare not hope to be together always but hereby vow to die the selfsame day.""\n—Peach Garden Oath",normal,10531,,,Uncommon,,Sorcery
Rally the Troops,{W},1,W,Shang Huitong,16,Instant,Cast Rally the Troops only during the declare attackers step and only if you've been attacked this step.\nUntap all creatures you control.,"PO2,PTK",,normal,10589,,,Uncommon,,Instant
Ravages of War,{3}{W},4,W,Fang Yue,17,Sorcery,Destroy all lands.,"PTK,ME2","""Thorn bushes spring up wherever the army has passed. Lean years follow in the wake of a great war."" —Lao Tzu, Tao Te Ching (trans. Feng and English)",normal,10500,,,Rare,,Sorcery
Riding Red Hare,{2}{W},3,W,Qi Baocheng,18,Sorcery,Target creature gets +3/+3 and gains horsemanship until end of turn. (It can't be blocked except by creatures with horsemanship.),PTK,"One of the greatest steeds in the empire, Red Hare could travel a thousand li a day and climb hills as if running on flat ground.",normal,10496,,,Common,,Sorcery
Shu Cavalry,{2}{W},3,W,Li Xiaohua,19,Creature — Human Soldier,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),"PTK,ME3","In establishing the Shu kingdom, Liu Bei's forces fought against Ma Chao at Chengdu. Eventually, Ma Chao surrendered and became one of Liu Bei's Tiger Generals.",normal,10635,2,2,Common,"Human,Soldier",Creature
Shu Defender,{2}{W},3,W,Sun Nan,20,Creature — Human Soldier,"Whenever Shu Defender blocks, it gets +0/+2 until end of turn.",PTK,"Confronting Cao Cao's army at Steepslope Bridge, Zhang Fei bellowed, ""I am Zhang Fei of Yan! Who dares fight me to the death?"" Cao Cao's army cowered and fled.",normal,10624,2,2,Common,"Human,Soldier",Creature
Shu Elite Companions,{4}{W},5,W,Zhao Dafu,21,Creature — Human Soldier,Horsemanship (This creature can't be blocked except by creatures with horsemanship.),"PTK,ME3","Throughout the three kingdoms, important generals were often guarded by small groups of expert soldiers known as ""elite companions.""",normal,10497,3,3,Uncommon,"Human,Soldier",Creature
Shu Elite Infantry,{3}{W},4,W,Song Shikai,22,Creature — Human Soldier,,PTK,"Kongming's first campaign against the Wei kingdom was a rousing success until an arrogant Shu general, Ma Su, foolishly lost the city of Jieting.",normal,10627,3,3,Common,"Human,Soldier",Creature
Shu Farmer,{1}{W},2,W,Li Xiaohua,23,Creature — Human,"{T}: You gain 1 life. Activate this ability only during your turn, before attackers are declared.",PTK,"""The common folk are ceaselessly active. The fields are fertile and the soil productive, and neither flood nor drought plagues us.""\n—A Shu diplomat",normal,10618,1,1,Common,Human,Creature
Shu Foot Soldiers,{2}{W},3,W,Xu Tan,24,Creature — Human Soldier,,PTK,Liu Bei lost many men at the battle of Runan because of his lack of strategy. It wasn't until he met Kongming that he began to truly succeed as a leader.,normal,10489,2,3,Common,"Human,Soldier",Creature
Shu General,{3}{W},4,W,Li Xiaohua,25,Creature — Human Soldier,Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.),"PTK,ME3",,normal,10502,2,2,Uncommon,"Human,Soldier",Creature
Shu Grain Caravan,{2}{W},3,W,Li Wang,26,Creature — Human Soldier,"When Shu Grain Caravan enters the battlefield, you gain 2 life.",PTK,Keeping a million-man army fed was no easy task. Grain and rice caravans were the lifeblood of the empire.,normal,10617,2,2,Common,"Human,Soldier",Creature
Shu Soldier-Farmers,{4}{W},5,W,Li Xiaohua,27,Creature — Human Soldier,"When Shu Soldier-Farmers enters the battlefield, you gain 4 life.","PTK,ME3","During Kongming's campaigns against the Wei, his Shu troops rotated from the battlefront to the fields every hundred days.",normal,10488,2,4,Uncommon,"Human,Soldier",Creature
Vengeance,{3}{W},4,W,Solomon Au Yeung,28,Sorcery,Destroy target tapped creature.,"POR,PO2,PTK,S99,7ED,8ED,9ED","""Until I've gnawed their flesh and exterminated their clans, my humiliation will not be effaced.""\n—Liu Bei, on the death of\nhis oath-brother Guan Yu",normal,10631,,,Uncommon,,Sorcery
Virtuous Charge,{2}{W},3,W,Qu Xin,29,Sorcery,Creatures you control get +1/+1 until end of turn.,PTK,"""The empire belongs to no one man but to all in the empire. He who has virtue shall possess it.""",normal,10596,,,Common,,Sorcery
Volunteer Militia,{W},1,W,Lin Yan,30,Creature — Human Soldier,,"PO2,PTK","After making the Peach Garden Oath, the three brothers raised an army of 500 youths to fight the Yellow Scarves rebellion.",normal,10483,1,2,Common,"Human,Soldier",Creature
Warrior's Stand,{1}{W},2,W,Zhao Dafu,31,Instant,Cast Warrior's Stand only during the declare attackers step and only if you've been attacked this step.\nCreatures you control get +2/+2 until end of turn.,"PO2,PTK",,normal,10633,,,Uncommon,,Instant
"Zhang Fei, Fierce Warrior",{4}{W}{W},6,W,Zhao Dafu,32,Legendary Creature — Human Soldier Warrior,Vigilance; horsemanship (This creature can't be blocked except by creatures with horsemanship.),"PTK,ME3","Zhang Fei's uncharacteristic alliance with a defeated Riverlands general, Yan Yan, allowed Shu forces to advance through forty-five Riverlands strongpoints with no casualties.",normal,10604,4,4,Rare,"Human,Soldier,Warrior",Creature
