name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Auratouched Mage,{5}{W},6,W,Jeff Miracola,1,Creature — Human Wizard,"When Auratouched Mage enters the battlefield, search your library for an Aura card that could enchant it. If Auratouched Mage is still on the battlefield, put that Aura card onto the battlefield attached to it. Otherwise, reveal the Aura card and put it into your hand. Then shuffle your library.","RAV,PC2",,normal,87952,3,3,Uncommon,"Human,Wizard",Creature
Bathe in Light,{1}{W},2,W,Alex Horley-Orlandelli,2,Instant,Radiance — Choose a color. Target creature and each other creature that shares a color with it gain protection from the chosen color until end of turn.,"RAV,CMD","""Truth shines even in darkness. Those who march on the side of truth walk always in righteous light.""",normal,87910,,,Uncommon,,Instant
Benevolent Ancestor,{2}{W},3,W,Nick Percival,3,Creature — Spirit,Defender (This creature can't attack.)\n{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.,RAV,"Although the door is flimsy and the lock pathetically small, Josuri's family never fears the night outside.",normal,89047,0,4,Common,Spirit,Creature
Blazing Archon,{6}{W}{W}{W},9,W,Zoltan Boros & Gabor Szikszai,4,Creature — Archon,Flying\nCreatures can't attack you.,"RAV,PD3","""Through the haze of battle I saw the glint of sun on golden mane, the sheen of glory clad in mail, and I dropped my sword and wept at the idiocy of war.""\n—Dravin, Gruul deserter",normal,83754,5,6,Rare,Archon,Creature
Boros Fury-Shield,{2}{W},3,"W,R",Wayne England,5,Instant,"Prevent all combat damage that would be dealt by target attacking or blocking creature this turn. If {R} was spent to cast Boros Fury-Shield, it deals damage to that creature's controller equal to the creature's power.",RAV,,normal,89006,,,Common,,Instant
Caregiver,{W},1,W,William Simpson,6,Creature — Human Cleric,"{W}, Sacrifice a creature: Prevent the next 1 damage that would be dealt to target creature or player this turn.",RAV,"""The guilds each believe its way is right, but their ways only bring blood to Ravnica's streets and tears to Ravnica's families.""",normal,83612,1,1,Common,"Human,Cleric",Creature
Chant of Vitu-Ghazi,{6}{W}{W},8,W,Stephen Tappin,7,Instant,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nPrevent all damage that would be dealt by creatures this turn. You gain life equal to the damage prevented this way.,RAV,,normal,87957,,,Uncommon,,Instant
Concerted Effort,{2}{W}{W},4,W,Michael Sutfin,8,Enchantment,"At the beginning of each upkeep, creatures you control gain flying until end of turn if a creature you control has flying. The same is true for fear, first strike, double strike, landwalk, protection, trample, and vigilance.",RAV,,normal,89109,,,Rare,,Enchantment
Conclave Equenaut,{4}{W}{W},6,W,Terese Nielsen,9,Creature — Human Soldier,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nFlying,"RAV,DDF","Equenauts are the seeds of the Conclave, scattered on the four winds, searching for new places to take root.",normal,87915,3,3,Common,"Human,Soldier",Creature
Conclave Phalanx,{4}{W},5,W,Wayne Reynolds,10,Creature — Human Soldier,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)\nWhen Conclave Phalanx enters the battlefield, you gain 1 life for each creature you control.","RAV,DDF,MM2",,normal,89010,2,4,Uncommon,"Human,Soldier",Creature
