name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
All Is Dust,{7},7,,Jason Felix,1,Tribal Sorcery — Eldrazi,Each player sacrifices all colored permanents he or she controls.,"pGPX,ROE,MM2","""The emergence of the Eldrazi isn't necessarily a bad thing, as long as you've already lived a fulfilling and complete life without regrets.""\n—Javad Nasrin, Ondu relic hunter",normal,193658,,,Mythic Rare,Eldrazi,"Tribal,Sorcery"
Artisan of Kozilek,{9},9,,Jason Felix,2,Creature — Eldrazi,"When you cast Artisan of Kozilek, you may return target creature card from your graveyard to the battlefield.\nAnnihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)","pFNM,ROE,ARC,CMD,C14,MM2,DDP",,normal,193429,10,9,Uncommon,Eldrazi,Creature
Eldrazi Conscription,{8},8,,Jaime Jones,3,Tribal Enchantment — Eldrazi Aura,"Enchant creature\nEnchanted creature gets +10/+10 and has trample and annihilator 2. (Whenever it attacks, defending player sacrifices two permanents.)",ROE,The barest taste of Eldrazi power shatters both realms and identities.,normal,193492,,,Rare,"Eldrazi,Aura","Tribal,Enchantment"
"Emrakul, the Aeons Torn",{15},15,,Mark Tedin,4,Legendary Creature — Eldrazi,"Emrakul, the Aeons Torn can't be countered.\nWhen you cast Emrakul, take an extra turn after this one.\nFlying, protection from colored spells, annihilator 6\nWhen Emrakul is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.","pPRE,ROE,MM2",,normal,193452,15,15,Mythic Rare,Eldrazi,Creature
Hand of Emrakul,{9},9,,Chippy,5,Creature — Eldrazi,"You may sacrifice four Eldrazi Spawn rather than pay Hand of Emrakul's mana cost.\nAnnihilator 1 (Whenever this creature attacks, defending player sacrifices a permanent.)",ROE,"""I believed in a beautiful god. But this is the true face of the divine.""\n—Ayli, Kamsa cleric",normal,193616,7,7,Common,Eldrazi,Creature
"Kozilek, Butcher of Truth",{10},10,,Michael Komarck,6,Legendary Creature — Eldrazi,"When you cast Kozilek, Butcher of Truth, draw four cards.\nAnnihilator 4 (Whenever this creature attacks, defending player sacrifices four permanents.)\nWhen Kozilek is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.","ROE,MM2",,normal,193632,12,12,Mythic Rare,Eldrazi,Creature
It That Betrays,{12},12,,Tomasz Jedruszek,7,Creature — Eldrazi,"Annihilator 2 (Whenever this creature attacks, defending player sacrifices two permanents.)\nWhenever an opponent sacrifices a nontoken permanent, put that card onto the battlefield under your control.","ROE,DDP",Your pleas for death shall go unheard.,normal,198171,11,11,Rare,Eldrazi,Creature
Not of This World,{7},7,,Izzy,8,Tribal Instant — Eldrazi,Counter target spell or ability that targets a permanent you control.\nNot of This World costs {7} less to cast if it targets a spell or ability that targets a creature you control with power 7 or greater.,ROE,,normal,198296,,,Uncommon,Eldrazi,"Tribal,Instant"
Pathrazer of Ulamog,{11},11,,Austin Hsu,9,Creature — Eldrazi,"Annihilator 3 (Whenever this creature attacks, defending player sacrifices three permanents.)\nPathrazer of Ulamog can't be blocked except by three or more creatures.","pWPN,ROE",No thought but hunger. No strategy but destruction.,normal,193607,9,9,Uncommon,Eldrazi,Creature
Skittering Invasion,{7},7,,Eric Deschamps,10,Tribal Sorcery — Eldrazi,"Put five 0/1 colorless Eldrazi Spawn creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {C} to your mana pool.""",ROE,"""The brood spread far faster than we could kill it. I fear the worst is yet to come.""\n—The War Diaries",normal,193614,,,Uncommon,Eldrazi,"Tribal,Sorcery"
