name,cost,artist,number,type,text,printings
Alabaster Potion,,Harold McNeill,,Instant,Choose one —\n• Target player gains X life.
• Prevent the next X damage that would be dealt to target creature or player this turn.,"LEG,4ED,RQS,ITP,5ED,ME3"
Battering Ram,,Jeff A. Menges,,Artifact Creature — Construct,"At the beginning of combat on your turn, Battering Ram gains banding until end of combat. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's blocking.)\nWhenever Battering Ram becomes blocked by a Wall, destroy that Wall at end of combat.","ATQ,4ED,RQS,ITP,5ED"
Bog Imp,,Ron Spencer,,Creature — Imp,Flying (This creature can't be blocked except by creatures with flying or reach.),"DRK,4ED,RQS,ITP,5ED,POR,6ED,S99,S00,7ED,8ED,9ED"
Bog Wraith,,Jeff A. Menges,,Creature — Wraith,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E,M10"
Circle of Protection: Black,,Jesper Myrfors,,Enchantment,"{1}: The next time a black source of your choice would deal damage to you this turn, prevent that damage.","LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,7ED,8ED,9ED"
Circle of Protection: Red,,Mark Tedin,,Enchantment,"{1}: The next time a red source of your choice would deal damage to you this turn, prevent that damage.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,ITP,5ED,TMP,6ED,pFNM,7ED,8ED,9ED"
Clockwork Beast,,Drew Tucker,,Artifact Creature — Beast,"Clockwork Beast enters the battlefield with seven +1/+0 counters on it.\nAt end of combat, if Clockwork Beast attacked or blocked this combat, remove a +1/+0 counter from it.
{X}, {T}: Put up to X +1/+0 counters on Clockwork Beast. This ability can't cause the total number of +1/+0 counters on Clockwork Beast to be greater than seven. Activate this ability only during your upkeep.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,BTD,MED"
Cursed Land,,Jesper Myrfors,,Enchantment — Aura,"Enchant land\nAt the beginning of the upkeep of enchanted land's controller, Cursed Land deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED"
Dark Ritual,,Sandra Everingham,,Instant,Add {B}{B}{B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,pJGP,USG,MMQ,BRB,BTD,DKM,CST,DDC,HOP,DDE,ME4,V13,VMA,DD3_DVD,TPR"
Detonate,,Randy Asplund-Faith,,Sorcery,Destroy target artifact with converted mana cost X. It can't be regenerated. Detonate deals X damage to that artifact's controller.,"ATQ,4ED,RQS,ITP,5ED,MRD,ME4"
Disintegrate,,Anson Maddocks,,Sorcery,"Disintegrate deals X damage to target creature or player. That creature can't be regenerated this turn. If the creature would die this turn, exile it instead.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,TSB"
Durkwood Boars,,Mike Kimble,,Creature — Boar,,"LEG,4ED,RQS,ITP,5ED,S99,S00"
Elven Riders,,Melissa A. Benson,,Creature — Elf,Elven Riders can't be blocked except by Walls and/or creatures with flying.,"LEG,4ED,RQS,ITP,5ED,6ED,ONS,10E,DPA"
Elvish Archers,,Anson Maddocks,,Creature — Elf Archer,First strike,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED"
Energy Flux,,Kaja Foglio,,Enchantment,"All artifacts have "At the beginning of your upkeep, sacrifice this artifact unless you pay {2}."","ATQ,3ED,4ED,RQS,ITP,5ED,MMQ,ME4"
Feedback,,Quinton Hoover,,Enchantment — Aura,"Enchant enchantment\nAt the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED"
Fireball,,Mark Tedin,,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC"
Forest,,Christopher Rush,,Basic Land — Forest,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,AVR,PC2,M13,DDJ,RTR,M14,DDL,THS,C13,DDM,M15,KTK,C14,DD3_EVG,DD3_GVL,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15"
Glasses of Urza,,Douglas Shuler,,Artifact,{T}: Look at target player's hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,ME4"
Grizzly Bears,,Jeff A. Menges,,Creature — Bear,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,7ED,8ED,9ED,10E"
Healing Salve,,Dan Frazier,,Instant,Choose one —\n• Target player gains 3 life.
• Prevent the next 3 damage that would be dealt to target creature or player this turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,MIR,ITP,5ED,USG,6ED,BRB,7ED,8ED,DDC,ME4,DD3_DVD"
Hill Giant,,Dan Frazier,,Creature — Giant,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,7ED,8ED,9ED,10E,DPA"
Ironclaw Orcs,,Anson Maddocks,,Creature — Orc,Ironclaw Orcs can't block creatures with power 2 or greater.,"LEA,LEB,2ED,CED,CEI,4ED,RQS,ITP,5ED,ME2"
Island,,Mark Poole,,Basic Land — Island,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,DDF,SOM,MBS,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,M14,THS,C13,DDM,M15,DDN,KTK,C14,DD3_JVC,FRF,DDO,DTK,TPR,ORI,BFZ,C15"
Jayemdae Tome,,Mark Tedin,,Artifact,"{4}, {T}: Draw a card.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,10E,M13,ORI"
Lost Soul,,Randy Asplund-Faith,,Creature — Spirit Minion,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),"LEG,4ED,RQS,ITP,5ED,6ED"
Merfolk of the Pearl Trident,,Jeff A. Menges,,Creature — Merfolk,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,6ED,S99,S00,7ED,M13"
Mesa Pegasus,,Melissa A. Benson,,Creature — Pegasus,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,MED"
Mons's Goblin Raiders,,Jeff A. Menges,,Creature — Goblin,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,S99,S00"
Mountain,,Douglas Shuler,,Basic Land — Mountain,,"LEA,LEB,2ED,ARN,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,EVG,SHM,ALA,DD2,M10,HOP,ME3,ZEN,H09,DDE,ROE,DPA,ARC,M11,SOM,PD2,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,DDJ,RTR,DDK,M14,DDL,THS,C13,M15,DDN,KTK,C14,DD3_EVG,DD3_JVC,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
Murk Dwellers,,Drew Tucker,,Creature — Zombie,"Whenever Murk Dwellers attacks and isn't blocked, it gets +2/+0 until end of combat.","DRK,4ED,RQS,ITP,5ED"
Orcish Artillery,,Anson Maddocks,,Creature — Orc Warrior,{T}: Orcish Artillery deals 2 damage to target creature or player and 3 damage to you.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,7ED,8ED,9ED,10E"
Orcish Oriflamme,,Dan Frazier,,Enchantment,Attacking creatures you control get +1/+0.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,S00,7ED"
Pearled Unicorn,,Cornelius Brudi,,Creature — Unicorn,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED"
Plains,,Jesper Myrfors,,Basic Land — Plains,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,pPRE,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,INV,7ED,ODY,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,H09,DDE,ROE,ARC,M11,DDF,SOM,MBS,DDG,NPH,CMD,M12,DDH,ISD,DDI,AVR,PC2,M13,RTR,DDK,M14,DDL,THS,C13,MD1,M15,DDN,KTK,C14,DD3_DVD,FRF,DDO,DTK,TPR,ORI,DDP,BFZ,C15"
Power Sink,,Richard Thomas,,Instant,"Counter target spell unless its controller pays {X}. If he or she doesn't, that player taps all lands with mana abilities he or she controls and empties his or her mana pool.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,MIR,ITP,5ED,TMP,USG,6ED,BTD,VMA"
Pyrotechnics,,Anson Maddocks,,Sorcery,Pyrotechnics deals 4 damage divided as you choose among any number of target creatures and/or players.,"LEG,4ED,RQS,ITP,5ED,ATH,6ED,7ED,8ED,HOP,FRF"
Raise Dead,,Jeff A. Menges,,Sorcery,Return target creature card from your graveyard to your hand.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,POR,PO2,6ED,S99,7ED,8ED,9ED"
Rod of Ruin,,Christopher Rush,,Artifact,"{3}, {T}: Rod of Ruin deals 1 damage to target creature or player.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,6ED,S00,7ED,8ED,9ED,10E,M10,M14"
Scryb Sprites,,Amy Weber,,Creature — Faerie,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,BRB,MED,ME3"
Sorceress Queen,,Kaja Foglio,,Creature — Human Wizard,{T}: Target creature other than Sorceress Queen has base power and toughness 0/2 until end of turn.,"ARN,3ED,4ED,RQS,ITP,5ED"
Swamp,,Dan Frazier,,Basic Land — Swamp,,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,RQS,pARL,MIR,ITP,5ED,POR,TMP,pJGP,PO2,UGL,pALP,USG,ATH,6ED,PTK,S99,pGRU,MMQ,BRB,pELP,S00,BTD,INV,7ED,ODY,DKM,ONS,8ED,MRD,CHK,UNH,9ED,RAV,CST,TSP,10E,MED,LRW,SHM,ALA,DDC,M10,HOP,ME3,ZEN,DDD,H09,DDE,ROE,DPA,ARC,M11,SOM,MBS,NPH,CMD,M12,DDH,ISD,PD3,AVR,PC2,M13,DDJ,RTR,DDK,M14,THS,C13,DDM,MD1,M15,DDN,KTK,C14,DD3_DVD,DD3_GVL,FRF,DTK,TPR,ORI,DDP,BFZ,C15"
Terror,,Ron Spencer,,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ATH,6ED,BRB,pFNM,S00,BTD,pMPR,MRD,10E,DPA,ME4"
