name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Serenity,{4}{W}{W}{W},7,W,Aleksi Briclot,1,Creature — Angel,"Flying\nWhen Angel of Serenity enters the battlefield, you may exile up to three other target creatures from the battlefield and/or creature cards from graveyards.\nWhen Angel of Serenity leaves the battlefield, return the exiled cards to their owners' hands.","RTR,C15",,normal,253627,5,6,Mythic Rare,Angel,Creature
Armory Guard,{3}{W},4,W,Karl Kopinski,2,Creature — Giant Soldier,Armory Guard has vigilance as long as you control a Gate.,"RTR,DDL","The Dimir agents watched from the shadows. ""Eight hours, and I've yet to see him blink,"" Nefara hissed. ""I suggest we find another way in.""",normal,253570,2,5,Common,"Giant,Soldier",Creature
Arrest,{2}{W},3,W,Greg Staples,3,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack or block, and its activated abilities can't be activated.","pMEI,MMQ,MRD,SOM,RTR,MM2","""We will prove your guilt. We don't arrest the innocent, you know.""\n—Arrester Lavinia, Tenth Precinct",normal,253573,,,Uncommon,Aura,Enchantment
Avenging Arrow,{2}{W},3,W,James Ryman,4,Instant,Destroy target creature that dealt damage this turn.,RTR,"""Forgive the theft. Punish the deception.""\n—Alcarus, Selesnya archer",normal,265410,,,Common,,Instant
Azorius Arrester,{1}{W},2,W,Wayne Reynolds,5,Creature — Human Soldier,"When Azorius Arrester enters the battlefield, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",RTR,"""You have the right to remain silent. Mostly because I tire of your excuses.""",normal,270972,2,1,Common,"Human,Soldier",Creature
Azorius Justiciar,{2}{W}{W},4,W,Chris Rahn,6,Creature — Human Wizard,"When Azorius Justiciar enters the battlefield, detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",RTR,"""Your potential to commit a crime warrants further investigation.""",normal,270795,2,2,Uncommon,"Human,Wizard",Creature
Bazaar Krovod,{4}{W},5,W,Lars Grant-West,7,Creature — Beast,"Whenever Bazaar Krovod attacks, another target attacking creature gets +0/+2 until end of turn. Untap that creature.",RTR,"The Hauler's Collective wields great influence over the Ravnican merchant class. Without it, little moves in the city.",normal,253589,2,5,Uncommon,Beast,Creature
Concordia Pegasus,{1}{W},2,W,Winona Nelson,8,Creature — Pegasus,Flying,RTR,"""A kick from its hooves is like a bolt of lightning. I'd know. I've been hit by both.""\n—Rencz, Izzet chemister's aide",normal,253558,1,3,Common,Pegasus,Creature
Ethereal Armor,{W},1,W,Daarken,9,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each enchantment you control and has first strike.,RTR,"Metal is scarce, smiths are pricey, and plate mail is heavy.",normal,265414,,,Common,Aura,Enchantment
Eyes in the Skies,{3}{W},4,W,James Ryman,10,Instant,"Put a 1/1 white Bird creature token with flying onto the battlefield, then populate. (Put a token onto the battlefield that's a copy of a creature token you control.)",RTR,"""What root and branch cannot reach, our winged friends will attend to.""\n—Zunak, Selesnya strategist",normal,253553,,,Common,,Instant
Fencing Ace,{1}{W},2,W,David Rapoza,11,Creature — Human Soldier,Double strike (This creature deals both first-strike and regular combat damage.),"RTR,DDL",His prowess gives the guildless hope that they can hold out against tyranny.,normal,253588,1,1,Uncommon,"Human,Soldier",Creature
Keening Apparition,{1}{W},2,W,Terese Nielsen,12,Creature — Spirit,Sacrifice Keening Apparition: Destroy target enchantment.,RTR,Some souls are too damaged to be of use to the Orzhov.,normal,271100,2,2,Common,Spirit,Creature
Knightly Valor,{4}{W},5,W,Matt Stewart,13,Enchantment — Aura,"Enchant creature\nWhen Knightly Valor enters the battlefield, put a 2/2 white Knight creature token with vigilance onto the battlefield. (Attacking doesn't cause it to tap.)\nEnchanted creature gets +2/+2 and has vigilance.","RTR,ORI",,normal,253646,,,Common,Aura,Enchantment
Martial Law,{2}{W}{W},4,W,Tyler Jacobson,14,Enchantment,"At the beginning of your upkeep, detain target creature an opponent controls. (Until your next turn, that creature can't attack or block and its activated abilities can't be activated.)",RTR,"""The good of society matters much more than the inconvenience of a few.""\n—Agmand Sarv, Azorius hussar",normal,253598,,,Rare,,Enchantment
Palisade Giant,{4}{W}{W},6,W,Greg Staples,15,Creature — Giant Soldier,All damage that would be dealt to you or another permanent you control is dealt to Palisade Giant instead.,RTR,"Refusing guild allegiances, she fights for those who can't protect themselves.",normal,253567,2,7,Rare,"Giant,Soldier",Creature
Phantom General,{3}{W},4,W,Christopher Moeller,16,Creature — Spirit Soldier,Creature tokens you control get +1/+1.,"RTR,DDK","After his death, the general was reunited with fallen soldiers from over thirty of his campaigns.",normal,270374,2,3,Uncommon,"Spirit,Soldier",Creature
Precinct Captain,{W}{W},2,W,Steve Prescott,17,Creature — Human Soldier,"First strike\nWhenever Precinct Captain deals combat damage to a player, put a 1/1 white Soldier creature token onto the battlefield.","RTR,DDO","""In troubled times, we all need someone to watch our back.""",normal,270792,2,2,Rare,"Human,Soldier",Creature
Rest in Peace,{1}{W},2,W,Terese Nielsen,18,Enchantment,"When Rest in Peace enters the battlefield, exile all cards from all graveyards.\nIf a card or token would be put into a graveyard from anywhere, exile it instead.",RTR,Some corpses the Golgari cannot claim. Some souls the Orzhov cannot shackle.,normal,277995,,,Rare,,Enchantment
Rootborn Defenses,{2}{W},3,W,Mark Zug,19,Instant,"Populate. Creatures you control gain indestructible until end of turn. (To populate, put a token onto the battlefield that's a copy of a creature token you control. Damage and effects that say ""destroy"" don't destroy creatures with indestructible.)",RTR,,normal,253529,,,Common,,Instant
Security Blockade,{2}{W},3,W,James Ryman,20,Enchantment — Aura,"Enchant land\nWhen Security Blockade enters the battlefield, put a 2/2 white Knight creature token with vigilance onto the battlefield.\nEnchanted land has ""{T}: Prevent the next 1 damage that would be dealt to you this turn.""",RTR,,normal,270790,,,Uncommon,Aura,Enchantment
Selesnya Sentry,{2}{W},3,"W,G",Wesley Burt,21,Creature — Elephant Soldier,{5}{G}: Regenerate Selesnya Sentry.,RTR,Ravnicans still tell tales about the Battle of Sumala where four Selesnya sentries held off an entire clan of Gruul warriors.,normal,265382,3,2,Common,"Elephant,Soldier",Creature
Seller of Songbirds,{2}{W},3,W,Christopher Moeller,22,Creature — Human,"When Seller of Songbirds enters the battlefield, put a 1/1 white Bird creature token with flying onto the battlefield.",RTR,"""Lady Wren is the one merchant in Keyhole Downs who isn't running a scam.""\n—Mirela, Azorius hussar",normal,253656,1,2,Common,Human,Creature
