name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angel of Light,{4}{W},5,W,Todd Lockwood,1,Creature — Angel,"Flying, vigilance","S99,ME2",,normal,20391,3,3,Uncommon,Angel,Creature
Angel of Mercy,{4}{W},5,W,Melissa A. Benson,2,Creature — Angel,"Flying\nWhen Angel of Mercy enters the battlefield, you gain 3 life.","PO2,S99,INV,8ED,9ED,10E,DDC,DD3_DVD",,normal,20392,3,3,Uncommon,Angel,Creature
Angelic Blessing,{2}{W},3,W,Mark Zug,3,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,normal,20400,,,Common,,Sorcery
Archangel,{5}{W}{W},7,W,Quinton Hoover,4,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13",,normal,12825,5,5,Rare,Angel,Creature
Ardent Militia,{4}{W},5,W,Zina Saunders,5,Creature — Human Soldier,Vigilance,"POR,WTH,6ED,S99,7ED,8ED","Some fight for honor and some for gold, but the militia fight for hearth and home.",normal,21062,2,5,Uncommon,"Human,Soldier",Creature
Armageddon,{3}{W},4,W,Rob Alexander,6,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,pJGP,PO2,ATH,6ED,S99,MED,ME4,VMA,V14",,normal,20387,,,Rare,,Sorcery
Bargain,{2}{W},3,W,Phil Foglio,7,Sorcery,Target opponent draws a card.\nYou gain 7 life.,"PO2,S99",Bargaining with a goblin is like trading with a child; both believe they already own everything.,normal,21024,,,Uncommon,,Sorcery
Blinding Light,{2}{W},3,W,John Coulthart,8,Sorcery,Tap all nonwhite creatures.,"MIR,POR,S99,INV",Let the unjust avert their faces and contemplate their peril.,normal,20388,,,Rare,,Sorcery
Border Guard,{2}{W},3,W,Kev Walker,9,Creature — Human Soldier,,"POR,S99","""Join the army, see foreign countries!"" they'd said.",normal,20396,1,4,Common,"Human,Soldier",Creature
Breath of Life,{3}{W},4,W,DiTerlizzi,10,Sorcery,Return target creature card from your graveyard to the battlefield.,"POR,PO2,S99,S00,7ED,VMA",,normal,21022,,,Uncommon,,Sorcery
Champion Lancer,{4}{W}{W},6,W,Chippy,11,Creature — Human Knight,Prevent all damage that would be dealt to Champion Lancer by creatures.,"S99,ME4",The flash of his lance projects the pure radiance of his honor.,normal,20184,3,3,Rare,"Human,Knight",Creature
Charging Paladin,{2}{W},3,W,Kev Walker,12,Creature — Human Knight,"Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.","POR,EXO,S99,DDC,DD3_DVD,TPR","A true warrior's thoughts are of victory, not death.",normal,20402,2,2,Uncommon,"Human,Knight",Creature
Devoted Hero,{W},1,W,DiTerlizzi,13,Creature — Elf Soldier,,"POR,S99",The heart's courage is the soul's guardian.,normal,21057,1,2,Common,"Elf,Soldier",Creature
Devout Monk,{W},1,W,Daniel Gelon,14,Creature — Human Monk Cleric,"When Devout Monk enters the battlefield, you gain 1 life.",S99,Discipline wears many robes.,normal,20395,1,1,Common,"Human,Monk,Cleric",Creature
Eager Cadet,{W},1,W,Scott M. Fischer,15,Creature — Human Soldier,,"S99,S00,7ED,8ED,9ED","The enthusiasm of the young, sharpened by the discipline of a soldier.",normal,21021,1,1,Common,"Human,Soldier",Creature
False Peace,{W},1,W,Zina Saunders,16,Sorcery,Target player skips all combat phases of his or her next turn.,"POR,S99",Mutual consent is not required for war.,normal,21063,,,Uncommon,,Sorcery
Foot Soldiers,{3}{W},4,W,Kev Walker,17,Creature — Human Soldier,,"POR,S99,9ED",Infantry deployment is the art of putting your troops in the wrong place at the right time.,normal,20398,2,4,Common,"Human,Soldier",Creature
Gerrard's Wisdom,{2}{W}{W},4,W,Heather Hudson,18,Sorcery,You gain 2 life for each card in your hand.,"WTH,S99,7ED","""You'll lose a duel if your enemy comes expecting a war.""",normal,20386,,,Rare,,Sorcery
Knight Errant,{1}{W},2,W,Dan Frazier,19,Creature — Human Knight,,"POR,S99,S00,7ED",""". . . Before honor is humility.""\n—The Bible, Proverbs 15:33",normal,20397,2,2,Common,"Human,Knight",Creature
Loyal Sentry,{W},1,W,Ron Spears,20,Creature — Human Soldier,"When Loyal Sentry blocks a creature, destroy that creature and Loyal Sentry.","S99,10E,DDF",,normal,20390,1,1,Rare,"Human,Soldier",Creature
Path of Peace,{3}{W},4,W,Val Mayerik,21,Sorcery,Destroy target creature. Its owner gains 4 life.,"POR,PO2,USG,S99","""You could die famous or you could die old. I chose old.""\n—Former soldier",normal,21060,,,Common,,Sorcery
Righteous Charge,{1}{W}{W},3,W,Jeffrey R. Busch,22,Sorcery,Creatures you control get +2/+2 until end of turn.,"PO2,S99,ME4,GTC",Bravery shines brightest in a pure soul.,normal,21023,,,Uncommon,,Sorcery
Righteous Fury,{4}{W}{W},6,W,"Edward P. Beard, Jr.",23,Sorcery,Destroy all tapped creatures. You gain 2 life for each creature destroyed this way.,"PO2,S99,ME2",,normal,21064,,,Rare,,Sorcery
Royal Falcon,{1}{W},2,W,Carl Critchlow,24,Creature — Bird,Flying,"S99,S00","Hunter by instinct, weapon by training.",normal,21056,1,1,Common,Bird,Creature
Royal Trooper,{2}{W},3,W,Scott M. Fischer,25,Creature — Human Soldier,"Whenever Royal Trooper blocks, it gets +2/+2 until end of turn.","S99,ME2","""Fortune does not side with the faint-hearted.""\n—Sophocles, Phaedra",normal,20394,2,2,Uncommon,"Human,Soldier",Creature
Sacred Nectar,{1}{W},2,W,Janine Johnston,26,Sorcery,You gain 4 life.,"POR,S99,7ED,8ED,9ED","""For he on honey-dew hath fed,\nAnd drunk the milk of Paradise.""\n—Samuel Taylor Coleridge, ""Kubla Khan""",normal,21061,,,Common,,Sorcery
Steadfastness,{1}{W},2,W,Kev Walker,27,Sorcery,Creatures you control get +0/+3 until end of turn.,"POR,S99",Brute force wins the battles. Conviction wins the wars.,normal,20399,,,Common,,Sorcery
Venerable Monk,{2}{W},3,W,D. Alexander Gregory,28,Creature — Human Monk Cleric,"When Venerable Monk enters the battlefield, you gain 2 life.","POR,STH,6ED,S99,S00,7ED,8ED,9ED,10E,DDC,DD3_DVD",Age wears the flesh but galvanizes the soul.,normal,21059,2,2,Common,"Human,Monk,Cleric",Creature
Vengeance,{3}{W},4,W,Andrew Robinson,29,Sorcery,Destroy target tapped creature.,"POR,PO2,PTK,S99,7ED,8ED,9ED","Bitter as wormwood, sweet as mulled wine.",normal,20393,,,Uncommon,,Sorcery
Veteran Cavalier,{W}{W},2,W,rk post,30,Creature — Human Knight,Vigilance (Attacking doesn't cause this creature to tap.),"S99,9ED",Spirit is the sword and experience the sharpening stone.\n—Arabian proverb,normal,20403,2,2,Uncommon,"Human,Knight",Creature
Wild Griffin,{2}{W},3,W,Jeff Miracola,31,Creature — Griffin,Flying,"PO2,S99,S00,10E,M11,ME4","Two little goblins, out in the sun. Down came a griffin, and then there was one.",normal,21058,2,2,Common,Griffin,Creature
Air Elemental,{3}{U}{U},5,U,Doug Chaffee,32,Creature — Elemental,Flying,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,PO2,6ED,S99,BRB,BTD,7ED,8ED,9ED,10E,DD2,M10,DPA,ME4,DD3_JVC","As insubstantial, and as powerful, as the wind that carries it.",normal,21041,4,4,Uncommon,Elemental,Creature
Coral Eel,{1}{U},2,U,Una Fricker,33,Creature — Fish,,"POR,S99,8ED,9ED","Some fishers like to eat eels, and some eels like to eat fishers.",normal,21025,2,1,Common,Fish,Creature
Counterspell,{U}{U},2,U,Hannibal King,34,Instant,Counter target spell.,"LEA,LEB,2ED,CED,CEI,3ED,pLGM,4ED,ICE,5ED,TMP,pJGP,6ED,S99,MMQ,BRB,pFNM,S00,BTD,7ED,ME2,DD2,ME4,VMA,DD3_JVC,TPR,EMA",,normal,20382,,,Uncommon,,Instant
Denizen of the Deep,{6}{U}{U},8,U,Anson Maddocks,35,Creature — Serpent,"When Denizen of the Deep enters the battlefield, return each other creature you control to its owner's hand.","PO2,S99,10E,DPA",,normal,20182,11,11,Rare,Serpent,Creature
Exhaustion,{2}{U},3,U,Paolo Parente,36,Sorcery,Creatures and lands target opponent controls don't untap during his or her next untap step.,"POR,PO2,USG,PTK,S99,9ED",,normal,21044,,,Uncommon,,Sorcery
Extinguish,{1}{U},2,U,Douglas Shuler,37,Instant,Counter target sorcery spell.,"PO2,PTK,S99",,normal,21036,,,Common,,Instant
