name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ageless Sentinels,{3}{W},4,W,Tony Szczudlo,1,Creature — Wall,"Defender (This creature can't attack.)\nFlying\nWhen Ageless Sentinels blocks, it becomes a Bird Giant, and it loses defender. (It's no longer a Wall. This effect lasts indefinitely.)",SCG,,normal,43713,4,4,Rare,Wall,Creature
Astral Steel,{2}{W},3,W,Matt Cavotta,2,Instant,"Target creature gets +1/+2 until end of turn.\nStorm (When you cast this spell, copy it for each spell cast before it this turn. You may choose new targets for the copies.)",SCG,,normal,45833,,,Common,,Instant
Aven Farseer,{1}{W},2,W,Luca Zontini,3,Creature — Bird Soldier,"Flying\nWhenever a permanent is turned face up, put a +1/+1 counter on Aven Farseer.",SCG,His enemies' trickery and deceit only fuel his righteous anger.,normal,44343,1,1,Common,"Bird,Soldier",Creature
Aven Liberator,{2}{W}{W},4,W,Brian Snõddy,4,Creature — Bird Soldier,"Flying\nMorph {3}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Aven Liberator is turned face up, target creature you control gains protection from the color of your choice until end of turn.",SCG,,normal,43626,2,3,Common,"Bird,Soldier",Creature
Daru Spiritualist,{1}{W},2,W,Dave Dorman,5,Creature — Human Cleric,"Whenever a Cleric creature you control becomes the target of a spell or ability, it gets +0/+2 until end of turn.",SCG,He lifts the spirits of his people so they may descend in wrath upon their foes.,normal,45139,1,1,Common,"Human,Cleric",Creature
Daru Warchief,{2}{W}{W},4,W,Tim Hildebrandt,6,Creature — Human Soldier,Soldier spells you cast cost {1} less to cast.\nSoldier creatures you control get +1/+2.,SCG,His victories speak for him.,normal,43625,1,1,Uncommon,"Human,Soldier",Creature
Dawn Elemental,{W}{W}{W}{W},4,W,Anthony S. Waters,7,Creature — Elemental,Flying\nPrevent all damage that would be dealt to Dawn Elemental.,SCG,"It was midnight on the Daru Plains, yet it seemed the sun was rising.",normal,44311,3,3,Rare,Elemental,Creature
Decree of Justice,{X}{X}{2}{W}{W},4,W,Adam Rex,8,Sorcery,"Put X 4/4 white Angel creature tokens with flying onto the battlefield.\nCycling {2}{W} ({2}{W}, Discard this card: Draw a card.)\nWhen you cycle Decree of Justice, you may pay {X}. If you do, put X 1/1 white Soldier creature tokens onto the battlefield.","pJGP,SCG,VMA,C14,DDO",,normal,45141,,,Rare,,Sorcery
Dimensional Breach,{5}{W}{W},7,W,Dave Dorman,9,Sorcery,"Exile all permanents. For as long as any of those cards remain exiled, at the beginning of each player's upkeep, that player returns one of the exiled cards he or she owns to the battlefield.",SCG,,normal,43573,,,Rare,,Sorcery
Dragon Scales,{1}{W},2,W,Darrell Riche,10,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+2 and has vigilance.\nWhen a creature with converted mana cost 6 or greater enters the battlefield, you may return Dragon Scales from your graveyard to the battlefield attached to that creature.",SCG,,normal,44400,,,Common,Aura,Enchantment
Dragonstalker,{4}{W},5,W,Ron Spencer,11,Creature — Bird Soldier,"Flying, protection from Dragons",SCG,"""When the skies are filled with flames, the brave shall step forward to quench them.""\n—Order prophecy",normal,39714,3,3,Uncommon,"Bird,Soldier",Creature
Eternal Dragon,{5}{W}{W},7,W,Justin Sweet,12,Creature — Dragon Spirit,"Flying\n{3}{W}{W}: Return Eternal Dragon from your graveyard to your hand. Activate this ability only during your upkeep.\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)","SCG,pPRO,C13,VMA",,normal,44398,5,5,Rare,"Dragon,Spirit",Creature
Exiled Doomsayer,{1}{W},2,W,Brian Snõddy,13,Creature — Human Cleric,All morph costs cost {2} more. (This doesn't affect the cost to cast creature spells face down.),SCG,He's desperate to hold back the future because he has seen it.,normal,40648,1,2,Rare,"Human,Cleric",Creature
Force Bubble,{2}{W}{W},4,W,Alan Pollack,14,Enchantment,"If damage would be dealt to you, put that many depletion counters on Force Bubble instead.\nWhen there are four or more depletion counters on Force Bubble, sacrifice it.\nAt the beginning of each end step, remove all depletion counters from Force Bubble.",SCG,,normal,45138,,,Rare,,Enchantment
Frontline Strategist,{W},1,W,Christopher Moeller,15,Creature — Human Soldier,"Morph {W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Frontline Strategist is turned face up, prevent all combat damage non-Soldier creatures would deal this turn.",SCG,,normal,43493,1,1,Common,"Human,Soldier",Creature
Gilded Light,{1}{W},2,W,John Avon,16,Instant,"You gain shroud until end of turn. (You can't be the target of spells or abilities.)\nCycling {2} ({2}, Discard this card: Draw a card.)","SCG,VMA","""Whoever survives the first blow lives to land the second.""",normal,43623,,,Uncommon,,Instant
Guilty Conscience,{W},1,W,Christopher Moeller,17,Enchantment — Aura,"Enchant creature\nWhenever enchanted creature deals damage, Guilty Conscience deals that much damage to that creature.",SCG,"Those who most feel guilt don't need to, while those who most need to feel guilt never do.\n—Order proverb",normal,46464,,,Common,Aura,Enchantment
Karona's Zealot,{4}{W},5,W,Alan Pollack,18,Creature — Human Cleric,"Morph {3}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)\nWhen Karona's Zealot is turned face up, all damage that would be dealt to it this turn is dealt to target creature instead.",SCG,,normal,45858,2,5,Uncommon,"Human,Cleric",Creature
Noble Templar,{5}{W},6,W,Alex Horley-Orlandelli,19,Creature — Human Cleric Soldier,"Vigilance\nPlainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, and put it into your hand. Then shuffle your library.)","SCG,CNS,VMA,DDO",,normal,45834,3,6,Common,"Human,Cleric,Soldier",Creature
Rain of Blades,{W},1,W,Rob Alexander,20,Instant,Rain of Blades deals 1 damage to each attacking creature.,"SCG,8ED,M13","Some say they are the weapons of heroes fallen in battle, eager for one last chance at glory.",normal,43622,,,Uncommon,,Instant
Recuperate,{3}{W},4,W,Tim Hildebrandt,21,Instant,Choose one —\n• You gain 6 life.\n• Prevent the next 6 damage that would be dealt to target creature this turn.,SCG,"""Rise once more, so you may continue to destroy our enemies.""\n—Karona, false god",normal,47590,,,Common,,Instant
Reward the Faithful,{W},1,W,Matt Cavotta,22,Instant,Any number of target players each gain life equal to the highest converted mana cost among permanents you control.,SCG,"""When you have drunk your fill, pass the cup to others who thirst.""",normal,44401,,,Uncommon,,Instant
Silver Knight,{W}{W},2,W,Eric Peterson,23,Creature — Human Knight,"First strike, protection from red","pFNM,SCG,DDG",Otaria's last defense against the wave of chaos threatening to engulf it.,normal,44313,2,2,Uncommon,"Human,Knight",Creature
Trap Digger,{3}{W},4,W,Christopher Moeller,24,Creature — Human Soldier,"{2}{W}, {T}: Put a trap counter on target land you control.\nSacrifice a land with a trap counter on it: Trap Digger deals 3 damage to target attacking creature without flying.",SCG,,normal,43577,1,3,Rare,"Human,Soldier",Creature
Wing Shards,{1}{W}{W},3,W,Daren Bader,25,Instant,"Target player sacrifices an attacking creature.\nStorm (When you cast this spell, copy it for each spell cast before it this turn.)","pFNM,SCG,C14",,normal,45835,,,Uncommon,,Instant
Wipe Clean,{1}{W},2,W,Arnie Swekel,26,Instant,"Exile target enchantment.\nCycling {3} ({3}, Discard this card: Draw a card.)",SCG,"""The light of the Ancestor will scour the taint of darkness from the land.""",normal,47221,,,Common,,Instant
Zealous Inquisitor,{2}{W},3,W,Wayne England,27,Creature — Human Cleric,{1}{W}: The next 1 damage that would be dealt to Zealous Inquisitor this turn is dealt to target creature instead.,"SCG,9ED","""I only return what rightly belongs to another.""",normal,42040,2,2,Common,"Human,Cleric",Creature
