name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Apothecary Initiate,{W},1,W,Kev Walker,1,Creature — Kithkin Cleric,"Whenever a player casts a white spell, you may pay {1}. If you do, you gain 1 life.",SHM,Kithkin jealously hoard their knowledge of poultices and remedies so that no outside threat can benefit from their wisdom.,normal,141929,1,1,Common,"Kithkin,Cleric",Creature
Armored Ascension,{3}{W},4,W,Matt Cavotta,2,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+1 for each Plains you control and has flying.,"SHM,M10,M11","""Why enchant feathers to make them sturdy when we can enchant shields to make them fly?""\n—Braenna, cobblesmith",normal,146041,,,Uncommon,Aura,Enchantment
Ballynock Cohort,{2}{W},3,W,Jesper Ejsing,3,Creature — Kithkin Soldier,First strike\nBallynock Cohort gets +1/+1 as long as you control another white creature.,"SHM,EMA",A kithkin's worst enemy is solitude.,normal,142045,2,2,Common,"Kithkin,Soldier",Creature
Barrenton Medic,{4}{W},5,W,Trevor Hairsine,4,Creature — Kithkin Cleric,{T}: Prevent the next 1 damage that would be dealt to target creature or player this turn.\nPut a -1/-1 counter on Barrenton Medic: Untap Barrenton Medic.,SHM,His dreams are filled with noxious powders and clinking vials.,normal,135451,0,4,Common,"Kithkin,Cleric",Creature
Boon Reflection,{4}{W},5,W,Terese Nielsen & Ron Spencer,5,Enchantment,"If you would gain life, you gain twice that much life instead.",SHM,Kithkin healers chant the clan songs of both their parents over the broth to double its curative effect.,normal,146751,,,Rare,,Enchantment
Goldenglow Moth,{W},1,W,Howard Lyon,6,Creature — Insect,"Flying\nWhenever Goldenglow Moth blocks, you may gain 4 life.","SHM,M11","Ordinary moths follow it, drawn to its light.",normal,159413,0,1,Common,Insect,Creature
Greater Auramancy,{1}{W},2,W,Chuck Lukacs,7,Enchantment,Other enchantments you control have shroud. (A permanent with shroud can't be the target of spells or abilities.)\nEnchanted creatures you control have shroud.,SHM,A delicate veil of glamers can prove as sturdy as iron.,normal,147425,,,Rare,,Enchantment
Inquisitor's Snare,{1}{W},2,W,Michael Sutfin,8,Instant,"Prevent all damage target attacking or blocking creature would deal this turn. If that creature is black or red, destroy it.",SHM,"Driven by their paranoia, kithkin inflict on their foes all the agonies they believe would have been inflicted on them.",normal,158765,,,Common,,Instant
Kithkin Rabble,{3}{W},4,W,Omar Rayyan,9,Creature — Kithkin,Vigilance\nKithkin Rabble's power and toughness are each equal to the number of white permanents you control.,SHM,"If even the slightest hint of panic enters the thoughtweft, bakers, potters, and even medics drop their spoons and salves to take up arms.",normal,158695,*,*,Uncommon,Kithkin,Creature
Kithkin Shielddare,{1}{W},2,W,Christopher Moeller,10,Creature — Kithkin Soldier,"{W}, {T}: Target blocking creature gets +2/+2 until end of turn.",SHM,The nova glyph is a potent symbol. A shield embossed with it can resist the force of even the most determined giant.,normal,158238,1,1,Common,"Kithkin,Soldier",Creature
