name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Æther Shockwave,{3}{W},4,W,Stephen Tappin,1,Instant,Choose one —\n• Tap all Spirits.\n• Tap all non-Spirit creatures.,SOK,"""The strain upon the veil between worlds began to show near the end of the Kami War. Strange happenings that neither side could control lashed out across Kamigawa.""\n—Observations of the Kami War",normal,74208,,,Uncommon,,Instant
Araba Mothrider,{1}{W},2,W,Anthony S. Waters,2,Creature — Human Samurai,"Flying\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",SOK,"""My finest creations are fashioned after the moths of Eiganjo. They fly higher, faster, and more gracefully than any of my own designs.""\n—Noboru, master kitemaker",normal,74050,1,1,Common,"Human,Samurai",Creature
Celestial Kirin,{2}{W}{W},4,W,Adam Rex,3,Legendary Creature — Kirin Spirit,"Flying\nWhenever you cast a Spirit or Arcane spell, destroy all permanents with that spell's converted mana cost.",SOK,"All bow at its visitation—some in awe, some in honor, some in fear.",normal,84380,3,3,Rare,"Kirin,Spirit",Creature
Charge Across the Araba,{4}{W},5,W,Dany Orizio,4,Instant — Arcane,Sweep — Return any number of Plains you control to their owner's hand. Creatures you control get +1/+1 until end of turn for each Plains returned this way.,SOK,,normal,74186,,,Uncommon,Arcane,Instant
Cowed by Wisdom,{W},1,W,Daren Bader,5,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block unless its controller pays {1} for each card in your hand.,SOK,,normal,74132,,,Common,Aura,Enchantment
Curtain of Light,{1}{W},2,W,Chippy,6,Instant,Cast Curtain of Light only during combat after blockers are declared.\nTarget unblocked attacking creature becomes blocked. (This spell works on creatures that can't be blocked.)\nDraw a card.,SOK,"""Paint gold upon the wind,\nShape the wind into a shield,\nAnd vanish behind the brightness.""\n—Snow-Fur, kitsune poet",normal,87329,,,Common,,Instant
Descendant of Kiyomaro,{1}{W}{W},3,W,Christopher Rush,7,Creature — Human Soldier,"As long as you have more cards in hand than each opponent, Descendant of Kiyomaro gets +1/+2 and has ""Whenever this creature deals combat damage, you gain 3 life.""",SOK,"""The blood of Kiyomaro flows in my veins. He did not let Eiganjo fall and neither shall I.""",normal,89400,2,3,Uncommon,"Human,Soldier",Creature
Eiganjo Free-Riders,{3}{W},4,W,Kev Walker,8,Creature — Human Soldier,"Flying\nAt the beginning of your upkeep, return a white creature you control to its owner's hand.",SOK,"""The air filled with dust and the sound of wingbeats. The mothriders had joined the fray.""\n—Great Battles of Kamigawa",normal,74373,3,4,Uncommon,"Human,Soldier",Creature
Enduring Ideal,{5}{W}{W},7,W,Daren Bader,9,Sorcery,"Search your library for an enchantment card and put it onto the battlefield. Then shuffle your library.\nEpic (For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability.)",SOK,,normal,87598,,,Rare,,Sorcery
Ghost-Lit Redeemer,{W},1,W,Shishizaru,10,Creature — Spirit,"{W}, {T}: You gain 2 life.\nChannel — {1}{W}, Discard Ghost-Lit Redeemer: You gain 4 life.",SOK,,normal,74082,1,1,Uncommon,Spirit,Creature
Hail of Arrows,{X}{W},1,W,Anthony S. Waters,11,Instant,Hail of Arrows deals X damage divided as you choose among any number of target attacking creatures.,"SOK,10E","""Do not let a single shaft loose until my word. And when I give that word, do not leave a single shaft in Eiganjo.""\n—General Takeno",normal,74137,,,Uncommon,,Instant
Hand of Honor,{W}{W},2,W,Kev Walker,12,Creature — Human Samurai,"Protection from black\nBushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)",SOK,"""The sword is just a tool. It is the samurai's hand that brings it to life.""",normal,74173,2,2,Uncommon,"Human,Samurai",Creature
Inner-Chamber Guard,{1}{W},2,W,Brian Snõddy,13,Creature — Human Samurai,"Bushido 2 (Whenever this creature blocks or becomes blocked, it gets +2/+2 until end of turn.)",SOK,"""It seems that each time I visit Lord Konda his guards are more on edge, perhaps even more eager for the war to reach them.""\n—Masako the Humorless",normal,74002,0,2,Uncommon,"Human,Samurai",Creature
"Kataki, War's Wage",{1}{W},2,W,Matt Thompson,14,Legendary Creature — Spirit,"All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay {1}.""","SOK,MMA,MD1","""Before the war, we prayed to Kataki to sharpen our swords and harden our armor. Without his blessing our weapons are all but useless against the kami hordes.""\n—Kenzo the Hardhearted",normal,74190,2,1,Rare,Spirit,Creature
Kitsune Bonesetter,{2}{W},3,W,Heather Hudson,15,Creature — Fox Cleric,{T}: Prevent the next 3 damage that would be dealt to target creature this turn. Activate this ability only if you have more cards in hand than each opponent.,SOK,"""He kept generations whole before the Kami War, and now he turns his century of wisdom to healing the latest casualties.""\n—Eight-and-a-Half-Tails",normal,74046,0,1,Common,"Fox,Cleric",Creature
Kitsune Dawnblade,{4}{W},5,W,Carl Critchlow,16,Creature — Fox Samurai,"Bushido 1 (Whenever this creature blocks or becomes blocked, it gets +1/+1 until end of turn.)\nWhen Kitsune Dawnblade enters the battlefield, you may tap target creature.",SOK,,normal,80530,2,3,Common,"Fox,Samurai",Creature
Kitsune Loreweaver,{1}{W},2,W,Eric Polak,17,Creature — Fox Cleric,"{1}{W}: Kitsune Loreweaver gets +0/+X until end of turn, where X is the number of cards in your hand.",SOK,"""Know your history. The lessons of the past will shield you in times of doubt.""",normal,74213,2,1,Common,"Fox,Cleric",Creature
"Kiyomaro, First to Stand",{3}{W}{W},5,W,Kev Walker,18,Legendary Creature — Spirit,"Kiyomaro, First to Stand's power and toughness are each equal to the number of cards in your hand.\nAs long as you have four or more cards in hand, Kiyomaro has vigilance.\nWhenever Kiyomaro deals damage, if you have seven or more cards in hand, you gain 7 life.","pPRE,SOK",,normal,74054,*,*,Rare,Spirit,Creature
"Michiko Konda, Truth Seeker",{3}{W},4,W,Christopher Moeller,19,Legendary Creature — Human Advisor,"Whenever a source an opponent controls deals damage to you, that player sacrifices a permanent.",SOK,"""Watch over my father. Tell him I'm safe, but I won't come home until I find out how to bring him back to his senses, and Kamigawa is again at peace.""\n—Michiko Konda, last letter to General Takeno",normal,84359,2,2,Rare,"Human,Advisor",Creature
Moonwing Moth,{1}{W}{W},3,W,Franz Vohwinkel,20,Creature — Insect,Flying\n{W}: Moonwing Moth gets +0/+1 until end of turn.,SOK,"""Night wings sprinkled with dust\nOf a thousand soldiers dead\nAnd a thousand cities fallen.""\n—Snow-Fur, kitsune poet",normal,84643,2,1,Common,Insect,Creature
Nikko-Onna,{2}{W},3,W,Shishizaru,21,Creature — Spirit,"When Nikko-Onna enters the battlefield, destroy target enchantment.\nWhenever you cast a Spirit or Arcane spell, you may return Nikko-Onna to its owner's hand.",SOK,,normal,84639,2,2,Uncommon,Spirit,Creature
Plow Through Reito,{1}{W},2,W,Ron Spencer,22,Instant — Arcane,Sweep — Return any number of Plains you control to their owner's hand. Target creature gets +1/+1 until end of turn for each Plains returned this way.,SOK,The paths of the kami crisscrossed Kamigawa like scars left by a maddened surgeon.,normal,89397,,,Common,Arcane,Instant
Presence of the Wise,{2}{W}{W},4,W,Christopher Moeller,23,Sorcery,You gain 2 life for each card in your hand.,SOK,"""Humbly I bow. Silently I wait. Deeply I listen.""",normal,74216,,,Uncommon,,Sorcery
Promise of Bunrei,{2}{W},3,W,Stephen Tappin,24,Enchantment,"When a creature you control dies, sacrifice Promise of Bunrei. If you do, put four 1/1 colorless Spirit creature tokens onto the battlefield.",SOK,"""I am not afraid to die today nor afraid of what death will bring.""",normal,84376,,,Rare,,Enchantment
Pure Intentions,{W},1,W,Randy Gallegos,25,Instant — Arcane,"Whenever a spell or ability an opponent controls causes you to discard cards this turn, return those cards from your graveyard to your hand.\nWhen a spell or ability an opponent controls causes you to discard Pure Intentions, return Pure Intentions from your graveyard to your hand at the beginning of the next end step.",SOK,,normal,88785,,,Rare,Arcane,Instant
Reverence,{2}{W}{W},4,W,Ittoku,26,Enchantment,Creatures with power 2 or less can't attack you.,SOK,"""Despite the massive forces that allied against him, Konda never once believed he would lose the Kami War.""\n—Masako the Humorless",normal,84371,,,Rare,,Enchantment
"Rune-Tail, Kitsune Ascendant",{2}{W},3,W,Randy Gallegos,27a,Legendary Creature — Fox Monk,"When you have 30 or more life, flip Rune-Tail, Kitsune Ascendant.",SOK,,flip,87600,2,2,Rare,"Fox,Monk",Creature
Rune-Tail's Essence,{2}{W},3,W,Randy Gallegos,27b,Legendary Enchantment,Prevent all damage that would be dealt to creatures you control.,SOK,,flip,87600,,,Rare,,Enchantment
Shinen of Stars' Light,{2}{W},3,W,Jeremy Jarvis,28,Creature — Spirit,"First strike\nChannel — {1}{W}, Discard Shinen of Stars' Light: Target creature gains first strike until end of turn.",SOK,,normal,74361,2,1,Common,Spirit,Creature
Spiritual Visit,{W},1,W,Pete Venters,29,Instant — Arcane,"Put a 1/1 colorless Spirit creature token onto the battlefield.\nSplice onto Arcane {W} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",SOK,,normal,74372,,,Common,Arcane,Instant
Torii Watchward,{4}{W},5,W,Jeff Miracola,30,Creature — Spirit,"Vigilance (Attacking doesn't cause this creature to tap.)\nSoulshift 4 (When this creature dies, you may return target Spirit card with converted mana cost 4 or less from your graveyard to your hand.)",SOK,,normal,87342,3,3,Common,Spirit,Creature
Cloudhoof Kirin,{3}{U}{U},5,U,Randy Gallegos,31,Legendary Creature — Kirin Spirit,"Flying\nWhenever you cast a Spirit or Arcane spell, you may have target player put the top X cards of his or her library into his or her graveyard, where X is that spell's converted mana cost.",SOK,,normal,89399,4,4,Rare,"Kirin,Spirit",Creature
Cut the Earthly Bond,{U},1,U,Jeff Miracola,32,Instant — Arcane,Return target enchanted permanent to its owner's hand.,SOK,"""The more kami that passed through the veil that separated them from our world, the weaker that veil became, threatening to tear into tatters at the slightest pressure.""\n—The History of Kamigawa",normal,88786,,,Common,Arcane,Instant
Descendant of Soramaro,{3}{U},4,U,Brian Despain,33,Creature — Human Wizard,"{1}{U}: Look at the top X cards of your library, where X is the number of cards in your hand, then put them back in any order.",SOK,"""Soramaro speaks through me. Listen! And I will tell the wisdom of the ancestors.""",normal,84648,2,3,Common,"Human,Wizard",Creature
Dreamcatcher,{U},1,U,Mark Tedin,34,Creature — Spirit,"Whenever you cast a Spirit or Arcane spell, you may sacrifice Dreamcatcher. If you do, draw a card.",SOK,"""Be careful where your mind wanders. Even in the quietest moments, the kami are listening, and your thoughts give them shape.""\n—Lady Azami",normal,73988,1,1,Common,Spirit,Creature
"Erayo, Soratami Ascendant",{1}{U},2,U,Matt Cavotta,35a,Legendary Creature — Moonfolk Monk,"Flying\nWhenever the fourth spell of a turn is cast, flip Erayo, Soratami Ascendant.",SOK,,flip,87599,1,1,Rare,"Moonfolk,Monk",Creature
Erayo's Essence,{1}{U},2,U,Matt Cavotta,35b,Legendary Enchantment,"Whenever an opponent casts a spell for the first time in a turn, counter that spell.",SOK,,flip,87599,,,Rare,,Enchantment
Eternal Dominion,{7}{U}{U}{U},10,U,Shishizaru,36,Sorcery,"Search target opponent's library for an artifact, creature, enchantment, or land card. Put that card onto the battlefield under your control. Then that player shuffles his or her library.\nEpic (For the rest of the game, you can't cast spells. At the beginning of each of your upkeeps, copy this spell except for its epic ability. You may choose a new target for the copy.)",SOK,,normal,87593,,,Rare,,Sorcery
Evermind,,,U,Matt Thompson,37,Instant — Arcane,"(Nonexistent mana costs can't be paid.)\nDraw a card.\nSplice onto Arcane {1}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",SOK,,normal,74144,,,Uncommon,Arcane,Instant
Freed from the Real,{2}{U},3,U,Scott M. Fischer,38,Enchantment — Aura,Enchant creature\n{U}: Tap enchanted creature.\n{U}: Untap enchanted creature.,SOK,"When a strong mind moves, form and energy shift to heed it.",normal,87336,,,Common,Aura,Enchantment
Ghost-Lit Warder,{1}{U},2,U,Kensuke Okabayashi,39,Creature — Spirit,"{3}{U}, {T}: Counter target spell unless its controller pays {2}.\nChannel — {3}{U}, Discard Ghost-Lit Warder: Counter target spell unless its controller pays {4}.",SOK,,normal,73996,1,1,Uncommon,Spirit,Creature
Ideas Unbound,{U}{U},2,U,Mark Tedin,40,Sorcery — Arcane,Draw three cards. Discard three cards at the beginning of the next end step.,SOK,"The apprentice stared in puzzlement. ""But Master, you finished writing those spells just yesterday. Don't you remember?"" The jushi's heart froze.",normal,88789,,,Common,Arcane,Sorcery
"Kaho, Minamo Historian",{2}{U}{U},4,U,Greg Staples,41,Legendary Creature — Human Wizard,"When Kaho, Minamo Historian enters the battlefield, search your library for up to three instant cards and exile them. Then shuffle your library.\n{X}, {T}: You may cast a card with converted mana cost X exiled with Kaho without paying its mana cost.",SOK,,normal,74055,2,2,Rare,"Human,Wizard",Creature
Kami of the Crescent Moon,{U}{U},2,U,Darrell Riche,42,Legendary Creature — Spirit,"At the beginning of each player's draw step, that player draws an additional card.",SOK,"""He's a lot like me, that masterless little kami . . . unimpressed by grandeur and never at a loss for a trick.""\n—Toshiro Umezawa",normal,84364,1,3,Rare,Spirit,Creature
Kiri-Onna,{4}{U},5,U,Kensuke Okabayashi,43,Creature — Spirit,"When Kiri-Onna enters the battlefield, return target creature to its owner's hand.\nWhenever you cast a Spirit or Arcane spell, you may return Kiri-Onna to its owner's hand.",SOK,,normal,84704,2,2,Uncommon,Spirit,Creature
"Meishin, the Mind Cage",{4}{U}{U}{U},7,U,Thomas Gianni,44,Legendary Enchantment,"All creatures get -X/-0, where X is the number of cards in your hand.",SOK,It's dangerous indeed to be lost in someone else's thoughts.,normal,89406,,,Rare,,Enchantment
Minamo Scrollkeeper,{1}{U},2,U,Paolo Parente,45,Creature — Human Wizard,Defender\nYour maximum hand size is increased by one.,"SOK,CNS","The scrollkeepers never stepped an inch away from the doors of the Great Library, not even when the ogres and their oni masters swept through Minamo.",normal,88791,2,3,Common,"Human,Wizard",Creature
Moonbow Illusionist,{2}{U},3,U,Dan Frazier,46,Creature — Moonfolk Wizard,"Flying\n{2}, Return a land you control to its owner's hand: Target land becomes the basic land type of your choice until end of turn.",SOK,,normal,74198,2,1,Common,"Moonfolk,Wizard",Creature
Murmurs from Beyond,{2}{U},3,U,Paolo Parente,47,Instant — Arcane,Reveal the top three cards of your library. An opponent chooses one of them. Put that card into your graveyard and the rest into your hand.,"SOK,CMD","Like pools of fog that hid treacherous rocks from sailors' eyes, so too were the hands of the kami.",normal,87330,,,Common,Arcane,Instant
Oboro Breezecaller,{1}{U},2,U,Rebecca Guay,48,Creature — Moonfolk Wizard,"Flying\n{2}, Return a land you control to its owner's hand: Untap target land.",SOK,"""I feel their unnatural influence in the weary, weeping land. Do they care nothing for the creatures who walk below their clouds?""\n—Eight-and-a-Half-Tails",normal,88784,1,1,Common,"Moonfolk,Wizard",Creature
Oboro Envoy,{3}{U},4,U,Rob Alexander,49,Creature — Moonfolk Wizard,"Flying\n{2}, Return a land you control to its owner's hand: Target creature gets -X/-0 until end of turn, where X is the number of cards in your hand.",SOK,,normal,74211,1,3,Uncommon,"Moonfolk,Wizard",Creature
Oppressive Will,{2}{U},3,U,Pat Lee,50,Instant,Counter target spell unless its controller pays {1} for each card in your hand.,SOK,"When Minamo was abandoned, its younger students found themselves thrust into a war beyond their skill with talents beyond their control.",normal,74423,,,Common,,Instant
Overwhelming Intellect,{4}{U}{U},6,U,Alex Horley-Orlandelli,51,Instant,Counter target creature spell. Draw cards equal to that spell's converted mana cost.,"SOK,DDJ","""My brain hurts.""",normal,89403,,,Uncommon,,Instant
Rushing-Tide Zubera,{2}{U}{U},4,U,Mark Brill,52,Creature — Zubera Spirit,"When Rushing-Tide Zubera dies, if 4 or more damage was dealt to it this turn, draw three cards.",SOK,"Cut off from the kakuriyo by the destruction of their honden, the zubera sought new ways to bring their secrets home.",normal,50430,3,3,Uncommon,"Zubera,Spirit",Creature
Sakashima the Impostor,{2}{U}{U},4,U,rk post,53,Legendary Creature — Human Rogue,"You may have Sakashima the Impostor enter the battlefield as a copy of any creature on the battlefield, except its name is still Sakashima the Impostor, it's legendary in addition to its other types, and it gains ""{2}{U}{U}: Return Sakashima the Impostor to its owner's hand at the beginning of the next end step.""",SOK,,normal,74509,3,1,Rare,"Human,Rogue",Creature
Secretkeeper,{3}{U},4,U,Ron Spencer,54,Creature — Spirit,"As long as you have more cards in hand than each opponent, Secretkeeper gets +2/+2 and has flying.",SOK,It is all the things that humanity was not meant to know.,normal,89398,2,2,Uncommon,Spirit,Creature
Shape Stealer,{U}{U},2,U,Jim Nelson,55,Creature — Shapeshifter Spirit,"Whenever Shape Stealer blocks or becomes blocked by a creature, change Shape Stealer's base power and toughness to that creature's power and toughness until end of turn.",SOK,"""Stand back. I know just what to do.""\n—Kiki-Jiki, Mirror Breaker",normal,88823,1,1,Uncommon,"Shapeshifter,Spirit",Creature
Shifting Borders,{3}{U},4,U,Alex Horley-Orlandelli,56,Instant — Arcane,"Exchange control of two target lands.\nSplice onto Arcane {3}{U} (As you cast an Arcane spell, you may reveal this card from your hand and pay its splice cost. If you do, add this card's effects to that spell.)",SOK,,normal,74191,,,Uncommon,Arcane,Instant
Shinen of Flight's Wings,{4}{U},5,U,Scott M. Fischer,57,Creature — Spirit,"Flying\nChannel — {U}, Discard Shinen of Flight's Wings: Target creature gains flying until end of turn.",SOK,,normal,74088,3,3,Common,Spirit,Creature
"Soramaro, First to Dream",{4}{U}{U},6,U,Brian Despain,58,Legendary Creature — Spirit,"Flying\nSoramaro, First to Dream's power and toughness are each equal to the number of cards in your hand.\n{4}, Return a land you control to its owner's hand: Draw a card.",SOK,,normal,74170,*,*,Rare,Spirit,Creature
Trusted Advisor,{U},1,U,Jim Nelson,59,Creature — Human Advisor,"Your maximum hand size is increased by two.\nAt the beginning of your upkeep, return a blue creature you control to its owner's hand.",SOK,Some of Minamo's students claimed he was as old as the knowledge he dispensed.,normal,88804,1,2,Uncommon,"Human,Advisor",Creature
Twincast,{U}{U},2,U,Christopher Moeller,60,Instant,Copy target instant or sorcery spell. You may choose new targets for the copy.,"SOK,10E,M10","Sometimes you have to search for inspiration, and sometimes it's right there in front of you.",normal,80412,,,Rare,,Instant
"Akuta, Born of Ash",{2}{B}{B},4,B,Ben Thompson,61,Legendary Creature — Spirit,"Haste\nAt the beginning of your upkeep, if you have more cards in hand than each opponent, you may sacrifice a Swamp. If you do, return Akuta, Born of Ash from your graveyard to the battlefield.",SOK,,normal,74148,3,2,Rare,Spirit,Creature
Choice of Damnations,{5}{B},6,B,Tim Hildebrandt,62,Sorcery — Arcane,"Target opponent chooses a number. You may have that player lose that much life. If you don't, that player sacrifices all but that many permanents.",SOK,"""Life is a series of choices between bad and worse.""\n—Toshiro Umezawa",normal,88803,,,Rare,Arcane,Sorcery
Death Denied,{X}{B}{B},2,B,Greg Hildebrandt,63,Instant — Arcane,Return X target creature cards from your graveyard to your hand.,"SOK,MMA,MM2","Takenuma was filled with a chorus of moans, shrieks, and wails. Some came from the living, some from the dying, and some, most horribly, from the dead.",normal,87337,,,Common,Arcane,Instant
Death of a Thousand Stings,{4}{B},5,B,Scott M. Fischer,64,Instant — Arcane,"Target player loses 1 life and you gain 1 life.\nAt the beginning of your upkeep, if you have more cards in hand than each opponent, you may return Death of a Thousand Stings from your graveyard to your hand.",SOK,,normal,74202,,,Common,Arcane,Instant
Deathknell Kami,{1}{B},2,B,Puddnhead,65,Creature — Spirit,"Flying\n{2}: Deathknell Kami gets +1/+1 until end of turn. Sacrifice it at the beginning of the next end step.\nSoulshift 1 (When this creature dies, you may return target Spirit card with converted mana cost 1 or less from your graveyard to your hand.)",SOK,,normal,74003,0,1,Common,Spirit,Creature
Deathmask Nezumi,{2}{B},3,B,Daren Bader,66,Creature — Rat Shaman,"As long as you have seven or more cards in hand, Deathmask Nezumi gets +2/+1 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)",SOK,"""We had him cornered, we did . . . and, well, you know what they say about rats.""\n—Araba patrol survivor",normal,84703,2,2,Common,"Rat,Shaman",Creature
Exile into Darkness,{4}{B},5,B,Pete Venters,67,Sorcery,"Target player sacrifices a creature with converted mana cost 3 or less.\nAt the beginning of your upkeep, if you have more cards in hand than each opponent, you may return Exile into Darkness from your graveyard to your hand.",SOK,,normal,74399,,,Uncommon,,Sorcery
