name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Acidic Sliver,{B}{R},2,"B,R",Jeff Miracola,,Creature — Sliver,"All Slivers have ""{2}, Sacrifice this permanent: This permanent deals 2 damage to target creature or player.""","STH,H09,TPR","The first sliver burst against the cave wall, and others piled in behind to deepen the new tunnel.",normal,5108,2,2,Uncommon,Sliver,Creature
Amok,{1}{R},2,R,Dermot Power,,Enchantment,"{1}, Discard a card at random: Put a +1/+1 counter on target creature.",STH,Crovax's rage was horrifying. Within moments only blood and shreds of flesh remained of the shapeshifter.,normal,5109,,,Rare,,Enchantment
Awakening,{2}{G}{G},4,G,Dan Frazier,,Enchantment,"At the beginning of each upkeep, untap all creatures and lands.",STH,"""There are times when destiny calls forth a people and demands an action. Now is the time. We are the people. This is our action. Charge!""\n—Eladamri, Lord of Leaves",normal,5110,,,Rare,,Enchantment
Bandage,{W},1,W,Rebecca Guay,,Instant,Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.,"STH,10E,TPR",Takara shook with guilt. She knew the last image her father had seen was her sword flashing toward him.,normal,5111,,,Common,,Instant
Bottomless Pit,{1}{B}{B},3,B,Kev Walker,,Enchantment,"At the beginning of each player's upkeep, that player discards a card at random.",STH,"""I'm sure it came with the place. I don't think you build one on purpose.""\n—Gerrard",normal,5113,,,Uncommon,,Enchantment
Brush with Death,{2}{B},3,B,Stephen Daniele,,Sorcery,"Buyback {2}{B}{B} (You may pay an additional {2}{B}{B} as you cast this spell. If you do, put this card into your hand as it resolves.)\nTarget opponent loses 2 life. You gain 2 life.",STH,,normal,5114,,,Common,,Sorcery
Bullwhip,{4},4,,Brom,,Artifact,"{2}, {T}: Bullwhip deals 1 damage to target creature. That creature attacks this turn if able.",STH,"""Pain is a crude way to enforce obedience, but it is cheap and plentiful.""\n—Volrath",normal,5115,,,Uncommon,,Artifact
Burgeoning,{G},1,G,Randy Gallegos,,Enchantment,"Whenever an opponent plays a land, you may put a land card from your hand onto the battlefield.",STH,"""The plants said, ‘We will fight the stone with root and stem and seed. We are patient. We will win.'""\n—Skyshroud myth of the forest",normal,5116,,,Rare,,Enchantment
Calming Licid,{2}{W},3,W,D. Alexander Gregory,,Creature — Licid,"{W}, {T}: Calming Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {W} to end this effect.\nEnchanted creature can't attack.",STH,,normal,5117,2,2,Uncommon,Licid,Creature
Cannibalize,{1}{B},2,B,Robert Bliss,,Sorcery,Choose two target creatures controlled by the same player. Exile one of those creatures and put two +1/+1 counters on the other.,"STH,TPR","""Mine.""",normal,5118,,,Common,,Sorcery
Carnassid,{4}{G}{G},6,G,Brom,,Creature — Beast,Trample\n{1}{G}: Regenerate Carnassid.,"STH,TPR","The hunter would never forget the time or place where he first met the carnassid, for they buried him there.",normal,5217,5,4,Rare,Beast,Creature
Change of Heart,{W},1,W,Ron Spencer,,Instant,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nTarget creature can't attack this turn.",STH,,normal,5121,,,Common,,Instant
Cloud Spirit,{2}{U},3,U,Randy Gallegos,,Creature — Spirit,Flying\nCloud Spirit can block only creatures with flying.,"POR,STH,ME4","Clouds are the soil, dreams are the crop.\n—Kor saying",normal,5122,3,1,Common,Spirit,Creature
Constant Mists,{1}{G},2,G,Dermot Power,,Instant,"Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nPrevent all combat damage that would be dealt this turn.",STH,,normal,5123,,,Uncommon,,Instant
Contemplation,{1}{W}{W},3,W,Brom,,Enchantment,"Whenever you cast a spell, you gain 1 life.",STH,"""How fascinating it is to watch the machinations of one's own mind play themselves out.""\n—Volrath",normal,5125,,,Uncommon,,Enchantment
Contempt,{1}{U},2,U,Val Mayerik,,Enchantment — Aura,"Enchant creature\nWhen enchanted creature attacks, return it and Contempt to their owners' hands at end of combat.",STH,"""Predictable little man. In all these years you taught me so much yet learned so little.""\n—Volrath, to Starke",normal,5126,,,Common,Aura,Enchantment
Conviction,{1}{W},2,W,Paolo Parente,,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+3.\n{W}: Return Conviction to its owner's hand.,"STH,TPR",It was not the minotaur's shoulders but his soul that bore the heaviest weight.,normal,5127,,,Common,Aura,Enchantment
Convulsing Licid,{2}{R},3,R,Scott Kirschner,,Creature — Licid,"{R}, {T}: Convulsing Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {R} to end this effect.\nEnchanted creature can't block.",STH,,normal,5129,2,2,Uncommon,Licid,Creature
Corrupting Licid,{2}{B},3,B,Thomas M. Baxa,,Creature — Licid,"{B}, {T}: Corrupting Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {B} to end this effect.\nEnchanted creature has fear. (It can't be blocked except by artifact creatures and/or black creatures.)",STH,,normal,5128,2,2,Uncommon,Licid,Creature
Craven Giant,{2}{R},3,R,Brian Snõddy,,Creature — Giant,Craven Giant can't block.,"POR,STH,TPR",What is high as a mountain and low as a snake?\n—Dal riddle,normal,5130,4,1,Common,Giant,Creature
Crossbow Ambush,{G},1,G,Kev Walker,,Instant,Creatures you control gain reach until end of turn. (They can block creatures with flying.),STH,There is no drake that flies faster than a crossbow bolt.\n—Vec saying,normal,5131,,,Common,,Instant
Crovax the Cursed,{2}{B}{B},4,B,Pete Venters,,Legendary Creature — Vampire,"Crovax the Cursed enters the battlefield with four +1/+1 counters on it.\nAt the beginning of your upkeep, you may sacrifice a creature. If you do, put a +1/+1 counter on Crovax. If you don't, remove a +1/+1 counter from Crovax.\n{B}: Crovax gains flying until end of turn.","STH,VMA,TPR",,normal,5106,0,0,Rare,Vampire,Creature
Crystalline Sliver,{W}{U},2,"W,U",L. A. Williams,,Creature — Sliver,All Slivers have shroud. (They can't be the targets of spells or abilities.),"STH,pFNM,H09,TPR","Bred as living shields, these slivers have proven unruly—they know they cannot be caught.",normal,5134,2,2,Uncommon,Sliver,Creature
Dauthi Trapper,{2}{B},3,B,Thomas M. Baxa,,Creature — Dauthi Minion,{T}: Target creature gains shadow until end of turn. (It can block or be blocked by only creatures with shadow.),STH,"Merfolk tell their young of Dandân, humans of Rag Man. Dal tell tales of the Dauthi, and they are far worse.",normal,5135,1,1,Uncommon,"Dauthi,Minion",Creature
Death Stroke,{B}{B},2,B,Colin MacNeil,,Sorcery,Destroy target tapped creature.,"STH,BTD,TPR","For a sharp second, Selenia froze, and Crovax's blade found home. As the angel shattered like glass, Crovax felt his mind collapse—the curse had been fulfilled.",normal,5137,,,Common,,Sorcery
Dream Halls,{3}{U}{U},5,U,Matthew D. Wilson,,Enchantment,"Rather than pay the mana cost for a spell, its controller may discard a card that shares a color with that spell.","STH,TPR",Within without.,normal,5105,,,Rare,,Enchantment
Dream Prowler,{2}{U}{U},4,U,Richard Kane Ferguson,,Creature — Illusion,Dream Prowler can't be blocked as long as it's attacking alone.,"STH,9ED,TPR","""To think that some find sleep a restful state.""\n—Volrath",normal,5140,1,5,Common,Illusion,Creature
Duct Crawler,{R},1,R,Stephen Daniele,,Creature — Insect,{1}{R}: Target creature can't block Duct Crawler this turn.,"STH,10E","""The mountain's ducts will be like organ pipes, amplifying the glorious roar of the dying.""\n—Stronghold architect, journal",normal,5141,1,1,Common,Insect,Creature
Dungeon Shade,{3}{B},4,B,Jason Alexander Behnke,,Creature — Shade Spirit,Flying\n{B}: Dungeon Shade gets +1/+1 until end of turn.,"STH,TPR","A sickness stirs in its eyes, a nightmare born in darkened wails.",normal,5142,1,1,Common,"Shade,Spirit",Creature
Elven Rite,{1}{G},2,G,Jeff Miracola,,Sorcery,Distribute two +1/+1 counters among one or two target creatures.,"STH,TPR","As the bough stretches, so shall you grow. As the roots spread, so shall you thrive.",normal,5144,,,Uncommon,,Sorcery
Endangered Armodon,{2}{G}{G},4,G,Kev Walker,,Creature — Elephant,"When you control a creature with toughness 2 or less, sacrifice Endangered Armodon.","STH,TPR",These are its last days. Its doom to be remembered only until the hunters hunger again.,normal,5145,4,5,Common,Elephant,Creature
Ensnaring Bridge,{3},3,,Pete Venters,,Artifact,Creatures with power greater than the number of cards in your hand can't attack.,"STH,7ED,8ED","""I expected a fight, but I didn't expect it from the building itself.""\n—Gerrard",normal,5124,,,Rare,,Artifact
Evacuation,{3}{U}{U},5,U,Rob Alexander,,Instant,Return all creatures to their owners' hands.,"STH,7ED,8ED,9ED,10E,DPA",The first step of every exodus is from the blood and the fire onto the trail.,normal,5147,,,Rare,,Instant
Fanning the Flames,{X}{R}{R},2,R,Ron Spencer,,Sorcery,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nFanning the Flames deals X damage to target creature or player.","STH,TPR",,normal,5148,,,Uncommon,,Sorcery
Flame Wave,{3}{R}{R}{R}{R},7,R,Donato Giancola,,Sorcery,Flame Wave deals 4 damage to target player and each creature he or she controls.,"STH,9ED,TPR","""I hear the roaring of a wave whose waters are red and whose mists are black.""\n—Oracle en-Vec",normal,5150,,,Uncommon,,Sorcery
Fling,{1}{R},2,R,Paolo Parente,,Instant,"As an additional cost to cast Fling, sacrifice a creature.\nFling deals damage equal to the sacrificed creature's power to target creature or player.","pARL,STH,pWPN,M11,M12,DKA,PC2",It's raining rats and moggs.,normal,5151,,,Common,,Instant
Flowstone Blade,{R},1,R,L. A. Williams,,Enchantment — Aura,Enchant creature\n{R}: Enchanted creature gets +1/-1 until end of turn.,"STH,CNS,TPR","""Remember the fable of the elf who came upon a cave of gold. In trying to free the largest piece, she was crushed by its weight.""\n—Karn, silver golem",normal,5152,,,Common,Aura,Enchantment
Flowstone Hellion,{4}{R},5,R,Daren Bader,,Creature — Hellion Beast,Haste\n{0}: Flowstone Hellion gets +1/-1 until end of turn.,"STH,VMA",Volrath leaves no stone untrained.,normal,5153,3,3,Uncommon,"Hellion,Beast",Creature
Flowstone Mauler,{4}{R}{R},6,R,Paolo Parente,,Creature — Beast,Trample\n{R}: Flowstone Mauler gets +1/-1 until end of turn.,"STH,TPR","Once these horrifying creatures were perfected, there was no need for armodons.",normal,5154,4,5,Rare,Beast,Creature
Flowstone Shambler,{2}{R},3,R,Jim Nelson,,Creature — Beast,{R}: Flowstone Shambler gets +1/-1 until end of turn.,"STH,9ED",Flowstone troops are notoriously difficult to keep in formation.,normal,5156,2,2,Common,Beast,Creature
Foul Imp,{B}{B},2,B,Jim Nelson,,Creature — Imp,"Flying\nWhen Foul Imp enters the battlefield, you lose 2 life.","STH,7ED,9ED,DDC,DD3_DVD","The imp, unaware of its own odor, paused to catch its breath . . . and promptly died.",normal,5158,2,2,Common,Imp,Creature
Furnace Spirit,{2}{R},3,R,Jeff Miracola,,Creature — Spirit,Haste\n{R}: Furnace Spirit gets +1/+0 until end of turn.,STH,"If it can survive the Furnace, you don't want it near you.",normal,5160,1,1,Common,Spirit,Creature
Gliding Licid,{2}{U},3,U,Heather Hudson,,Creature — Licid,"{U}, {T}: Gliding Licid loses this ability and becomes an Aura enchantment with enchant creature. Attach it to target creature. You may pay {U} to end this effect.\nEnchanted creature has flying.",STH,,normal,5162,2,2,Uncommon,Licid,Creature
Grave Pact,{1}{B}{B}{B},4,B,Scott Kirschner,,Enchantment,"Whenever a creature you control dies, each other player sacrifices a creature.","STH,8ED,9ED,10E,HOP,CMD","""The bonds of loyalty can tie one to the grave.""\n—Crovax",normal,5136,,,Rare,,Enchantment
Hammerhead Shark,{1}{U},2,U,Stephen Daniele,,Creature — Fish,Hammerhead Shark can't attack unless defending player controls an Island.,"STH,TPR",Cross the eyes of a hammerhead and you'll dot its teeth.,normal,5163,2,3,Common,Fish,Creature
Heartstone,{3},3,,John Matson,,Artifact,Activated abilities of creatures cost {1} less to activate. This effect can't reduce the amount of mana an ability costs to activate to less than one mana.,"STH,H09","""Finding a true heartstone is even harder than finding a true heart.""\n—Hanna",normal,5164,,,Uncommon,,Artifact
Heat of Battle,{1}{R},2,R,Matthew D. Wilson,,Enchantment,"Whenever a creature blocks, Heat of Battle deals 1 damage to that creature's controller.",STH,"""Takara, it's me!"" shouted Starke. It was no use—she obeyed Volrath.",normal,5165,,,Uncommon,,Enchantment
