name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Battlewise Valor,{1}{W},2,W,Zack Stella,1,Instant,Target creature gets +2/+2 until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),THS,"It's never good to walk into an ambush, but with the right spell you might walk out again.",normal,373627,,,Common,,Instant
Cavalry Pegasus,{1}{W},2,W,Kev Walker,2,Creature — Pegasus,"Flying\nWhenever Cavalry Pegasus attacks, each attacking Human gains flying until end of turn.","DDL,THS","""It is hope, hooved and winged.""\n—Cymede, queen of Akros",normal,373684,1,1,Common,Pegasus,Creature
Celestial Archon,{3}{W}{W},5,W,Matt Stewart,3,Enchantment Creature — Archon,"Bestow {5}{W}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)\nFlying, first strike\nEnchanted creature gets +4/+4 and has flying and first strike.","pPRE,THS,C15",,normal,373503,4,4,Rare,Archon,"Enchantment,Creature"
Chained to the Rocks,{W},1,W,Aaron Miller,4,Enchantment — Aura,"Enchant Mountain you control\nWhen Chained to the Rocks enters the battlefield, exile target creature an opponent controls until Chained to the Rocks leaves the battlefield. (That creature returns under its owner's control.)",THS,,normal,373521,,,Rare,Aura,Enchantment
Chosen by Heliod,{1}{W},2,W,Zack Stella,5,Enchantment — Aura,"Enchant creature\nWhen Chosen by Heliod enters the battlefield, draw a card.\nEnchanted creature gets +0/+2.",THS,"""Training and studies aid a soldier in meager amounts. The gods do the rest.""\n—Brigone, soldier of Meletis",normal,373561,,,Common,Aura,Enchantment
Dauntless Onslaught,{2}{W},3,W,Peter Mohrbacher,6,Instant,Up to two target creatures each get +2/+2 until end of turn.,"THS,DDN,DDO","""The people of Akros must learn from our leonin adversaries. If we match their staunch ferocity with our superior faith, we cannot fail.""\n—Cymede, queen of Akros",normal,373525,,,Uncommon,,Instant
Decorated Griffin,{4}{W},5,W,Phill Simmer,7,Creature — Griffin,Flying\n{1}{W}: Prevent the next 1 combat damage that would be dealt to you this turn.,THS,"The awards and medals of polis-dwellers mean nothing to griffins, but they repay acts of generosity.",normal,373577,2,3,Uncommon,Griffin,Creature
Divine Verdict,{3}{W},4,W,Raymond Swanland,8,Instant,Destroy target attacking or blocking creature.,"M10,M13,THS,M15,ORI",The last thing to go through the cyclops's mind was a twelve-ton block of marble.,normal,373648,,,Common,,Instant
"Elspeth, Sun's Champion",{4}{W}{W},6,W,Eric Deschamps,9,Planeswalker — Elspeth,"+1: Put three 1/1 white Soldier creature tokens onto the battlefield.\n−3: Destroy all creatures with power 4 or greater.\n−7: You get an emblem with ""Creatures you control get +2/+2 and have flying.""","THS,DDO",,normal,373649,,,Mythic Rare,Elspeth,Planeswalker
Ephara's Warden,{3}{W},4,W,Zack Stella,10,Creature — Human Cleric,{T}: Tap target creature with power 3 or less.,THS,"""When you threaten the sanctity of the polis, you insult Ephara herself. If she doesn't smite you, I will.""",normal,373724,1,2,Common,"Human,Cleric",Creature
