name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abandon Hope,{X}{1}{B},2,B,Alan Pollack,,Sorcery,"As an additional cost to cast Abandon Hope, discard X cards.\nLook at target opponent's hand and choose X cards from it. That player discards those cards.",TMP,"As Gerrard's form vanished into the maw of trees, Hanna mouthed a silent plea, mourning a crushed dream.",normal,4635,,,Uncommon,,Sorcery
Advance Scout,{1}{W},2,W,Heather Hudson,,Creature — Human Soldier Scout,First strike\n{W}: Target creature gains first strike until end of turn.,"TMP,BRB","""The soldier's path is worn smooth by the tread of many feet—all in one direction, none returning.""\n—Oracle en-Vec",normal,4857,1,1,Common,"Human,Soldier,Scout",Creature
Aftershock,{2}{R}{R},4,R,Hannibal King,,Sorcery,"Destroy target artifact, creature, or land. Aftershock deals 3 damage to you.","TMP,VMA,TPR","""Every act of destruction has a repercussion.""\n—Karn, silver golem",normal,4800,,,Common,,Sorcery
Altar of Dementia,{2},2,,Brom,,Artifact,Sacrifice a creature: Target player puts a number of cards equal to the sacrificed creature's power from the top of his or her library into his or her graveyard.,"TMP,CNS","""It is not that you will go mad. It is that you will beg for madness.""\n—Volrath",normal,4596,,,Rare,,Artifact
Aluren,{2}{G}{G},4,G,April Lee,,Enchantment,Any player may play creature cards with converted mana cost 3 or less without paying their mana cost and as though they had flash.,"TMP,TPR","Squee bounced up and down. ""I sees a horsey, an' a piggy, an' a—""\n""If you don't shut up,"" hissed Mirri, ""you'll see a kidney and a spleeny.""",normal,4747,,,Rare,,Enchantment
Ancient Runes,{2}{R},3,R,Susan Van Camp,,Enchantment,"At the beginning of each player's upkeep, Ancient Runes deals damage to that player equal to the number of artifacts he or she controls.",TMP,Ertai volunteered to open the portal. He figured he owed it one.,normal,4801,,,Uncommon,,Enchantment
Ancient Tomb,,,,Colin MacNeil,,Land,{T}: Add {C}{C} to your mana pool. Ancient Tomb deals 2 damage to you.,"TMP,V12,VMA,EXP",There is no glory to be gained in the kingdom of the dead.\n—Vec tomb inscription,normal,4636,,,Uncommon,,Land
Angelic Protector,{3}{W},4,W,DiTerlizzi,,Creature — Angel,"Flying\nWhenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.","TMP,DDC,DD3_DVD,TPR","""My family sheltered in her light, the dark was content to wait.""\n—Crovax",normal,4858,2,2,Uncommon,Angel,Creature
Anoint,{W},1,W,Eric David Anderson,,Instant,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nPrevent the next 3 damage that would be dealt to target creature this turn.","TMP,TPR",,normal,4859,,,Common,,Instant
Apes of Rath,{2}{G}{G},4,G,Jeff Laubenstein,,Creature — Ape,"Whenever Apes of Rath attacks, it doesn't untap during its controller's next untap step.",TMP,"Monkeys three, monkeys through.",normal,4748,5,4,Uncommon,Ape,Creature
Apocalypse,{2}{R}{R}{R},5,R,L. A. Williams,,Sorcery,Exile all permanents. You discard your hand.,TMP,"""There is a future in which I can see only mist and a single shadow.""\n—Oracle en-Vec",normal,4802,,,Rare,,Sorcery
Armor Sliver,{2}{W},3,W,Scott Kirschner,,Creature — Sliver,"All Sliver creatures have ""{2}: This creature gets +0/+1 until end of turn.""","TMP,H09,TPR","Hanna: ""We must learn how they protect each other.""\nMirri: ""After they've done trying to kill us, all right?""",normal,4689,2,2,Uncommon,Sliver,Creature
Armored Pegasus,{1}{W},2,W,Una Fricker,,Creature — Pegasus,Flying,"POR,pPOD,TMP,ATH,6ED,BRB,S00,TPR","""I always charge a little extra to take on a pegasus. They fly like eagles, kick like mules, and hide like hermits.""\n—Tahli en-Dal, bounty hunter",normal,4861,1,2,Common,Pegasus,Creature
Auratog,{1}{W},2,W,Jeff Miracola,,Creature — Atog,Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.,"TMP,TSB",The auratog enjoys eating its wards.,normal,4862,1,2,Rare,Atog,Creature
Avenging Angel,{3}{W}{W},5,W,Matthew D. Wilson,,Creature — Angel,"Flying\nWhen Avenging Angel dies, you may put it on top of its owner's library.","TMP,TPR",,normal,4863,3,3,Rare,Angel,Creature
Barbed Sliver,{2}{R},3,R,Scott Kirschner,,Creature — Sliver,"All Sliver creatures have ""{2}: This creature gets +1/+0 until end of turn.""","TMP,H09,TPR","Spans of spines leapt from one sliver to the next, forming a deadly hedge around the Weatherlight.",normal,4803,2,2,Uncommon,Sliver,Creature
Bayou Dragonfly,{1}{G},2,G,DiTerlizzi,,Creature — Insect,Flying; swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),TMP,"""Like a sugar stick with wings!""\n—Squee, goblin cabin hand",normal,4749,1,1,Common,Insect,Creature
Bellowing Fiend,{4}{B},5,B,Jim Nelson,,Creature — Spirit,"Flying\nWhenever Bellowing Fiend deals damage to a creature, Bellowing Fiend deals 3 damage to that creature's controller and 3 damage to you.","TMP,7ED",,normal,4637,3,3,Rare,Spirit,Creature
Benthic Behemoth,{5}{U}{U}{U},8,U,Jim Nelson,,Creature — Serpent,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),"TMP,7ED","""Deep devourer   concealed in darkhome\nShrouded it seeks   all becomes fodder\nOnce we swam   alone and asea\nBut no more.""\n—Rootwater Saga",normal,4690,7,6,Rare,Serpent,Creature
