name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angelic Blessing,{2}{W},3,W,Mark Zug,1,Sorcery,Target creature gets +3/+3 and gains flying until end of turn. (It can't be blocked except by creatures with flying or reach.),"POR,PO2,EXO,S99,S00,9ED,10E,TPR",Only the warrior who can admit mortal weakness will be bolstered by immortal strength.,normal,397647,,,Common,,Sorcery
Angelic Protector,{3}{W},4,W,DiTerlizzi,2,Creature — Angel,"Flying\nWhenever Angelic Protector becomes the target of a spell or ability, Angelic Protector gets +0/+3 until end of turn.","TMP,DDC,DD3_DVD,TPR","""My family sheltered in her light, the dark was content to wait.""\n—Crovax",normal,397598,2,2,Uncommon,Angel,Creature
Anoint,{W},1,W,Eric David Anderson,3,Instant,"Buyback {3} (You may pay an additional {3} as you cast this spell. If you do, put this card into your hand as it resolves.)\nPrevent the next 3 damage that would be dealt to target creature this turn.","TMP,TPR",,normal,397397,,,Common,,Instant
Armor Sliver,{2}{W},3,W,Scott Kirschner,4,Creature — Sliver,"All Sliver creatures have ""{2}: This creature gets +0/+1 until end of turn.""","TMP,H09,TPR","Hanna: ""We must learn how they protect each other.""\nMirri: ""After they're done trying to kill us, all right?""",normal,397515,2,2,Common,Sliver,Creature
Armored Pegasus,{1}{W},2,W,Una Fricker,5,Creature — Pegasus,Flying,"POR,pPOD,TMP,ATH,6ED,BRB,S00,TPR","""I always charge a little extra to take on a pegasus. They fly like eagles, kick like mules, and hide like hermits.""\n—Tahli en-Dal, bounty hunter",normal,397411,1,2,Common,Pegasus,Creature
Avenging Angel,{3}{W}{W},5,W,Matthew D. Wilson,6,Creature — Angel,"Flying\nWhen Avenging Angel dies, you may put it on top of its owner's library.","TMP,TPR",,normal,397621,3,3,Uncommon,Angel,Creature
Bandage,{W},1,W,Rebecca Guay,7,Instant,Prevent the next 1 damage that would be dealt to target creature or player this turn.\nDraw a card.,"STH,10E,TPR",Takara shook with guilt. She knew the last image her father had seen was her sword flashing toward him.,normal,397620,,,Common,,Instant
Cataclysm,{2}{W}{W},4,W,Jim Nelson,8,Sorcery,"Each player chooses from among the permanents he or she controls an artifact, a creature, an enchantment, and a land, then sacrifices the rest.","EXO,V14,TPR","The Weatherlight dragged the Predator behind it, the cradle hauling the casket.",normal,397399,,,Mythic Rare,,Sorcery
Charging Paladin,{2}{W},3,W,Ciruelo,9,Creature — Human Knight,"Whenever Charging Paladin attacks, it gets +0/+3 until end of turn.","POR,EXO,S99,DDC,DD3_DVD,TPR","""Hope shall be the blade that severs our bonds.""",normal,397634,2,2,Common,"Human,Knight",Creature
Conviction,{1}{W},2,W,Paolo Parente,10,Enchantment — Aura,Enchant creature\nEnchanted creature gets +1/+3.\n{W}: Return Conviction to its owner's hand.,"STH,TPR",It was not the minotaur's shoulders but his soul that bore the heaviest weight.,normal,397603,,,Common,Aura,Enchantment
Disenchant,{1}{W},2,W,Allen Williams,11,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR","The swarm seemed unmoved by the artificial slivers' destruction. ""They clearly were not the leaders,"" Hanna cursed. ""I guess we'll have to do this the hard way.""",normal,397544,,,Common,,Instant
Exalted Dragon,{4}{W}{W},6,W,Matthew D. Wilson,12,Creature — Dragon,Flying\nExalted Dragon can't attack unless you sacrifice a land. (This cost is paid as attackers are declared.),"EXO,TPR","If dragons excel at anything more than vanity, it is greed.",normal,397601,5,5,Rare,Dragon,Creature
Field of Souls,{2}{W}{W},4,W,Richard Kane Ferguson,13,Enchantment,"Whenever a nontoken creature is put into your graveyard from the battlefield, put a 1/1 white Spirit creature token with flying onto the battlefield.","TMP,DDK,TPR,EMA",,normal,397645,,,Rare,,Enchantment
Gallantry,{1}{W},2,W,Douglas Shuler,14,Instant,Target blocking creature gets +4/+4 until end of turn.\nDraw a card.,"TMP,ODY,TPR","""Forgive me,"" Mirri whispered. ""I thought you a burden, and you saved my life."" Hanna quietly accepted the apology.",normal,397554,,,Uncommon,,Instant
Gerrard's Battle Cry,{W},1,W,Val Mayerik,15,Enchantment,{2}{W}: Creatures you control get +1/+1 until end of turn.,"TMP,VMA,TPR","Gerrard grinned and drew his sword. ""This won't be a fair fight,"" he called to his crew. ""They should have brought a second ship!""",normal,397481,,,Rare,,Enchantment
Humility,{2}{W}{W},4,W,Phil Foglio,16,Enchantment,All creatures lose all abilities and have base power and toughness 1/1.,"TMP,TPR","""One cannot cleanse the wounds of failure.""\n—Karn, silver golem",normal,397614,,,Mythic Rare,,Enchantment
Kor Chant,{2}{W},3,W,John Matson,17,Instant,All damage that would be dealt this turn to target creature you control by a source of your choice is dealt to another target creature instead.,"EXO,CNS,TPR",The true treasure no thief can touch.,normal,397541,,,Uncommon,,Instant
Master Decoy,{1}{W},2,W,Phil Foglio,18,Creature — Human Soldier,"{W}, {T}: Tap target creature.","TMP,BRB,8ED,9ED,DDN,TPR","""A skilled decoy can throw your enemies off your trail. A master decoy can survive to do it again.""\n—Gerrard of the Weatherlight",normal,397588,1,2,Common,"Human,Soldier",Creature
Mounted Archers,{3}{W},4,W,Kev Walker,19,Creature — Human Soldier Archer,Reach (This creature can block creatures with flying.)\n{W}: Mounted Archers can block an additional creature this turn.,"TMP,TPR",,normal,397510,2,3,Common,"Human,Soldier,Archer",Creature
Nomads en-Kor,{W},1,W,Val Mayerik,20,Creature — Kor Nomad Soldier,{0}: The next 1 damage that would be dealt to Nomads en-Kor this turn is dealt to target creature you control instead.,"STH,TPR","The kor forsake roots for the winding of the path, forsake voices for the silence of the mind, forsake all else for the poverty of isolation.",normal,397520,1,1,Common,"Kor,Nomad,Soldier",Creature
"Orim, Samite Healer",{1}{W}{W},3,W,Kaja Foglio,21,Legendary Creature — Human Cleric,{T}: Prevent the next 3 damage that would be dealt to target creature or player this turn.,"TMP,TPR","""The silkworm spins itself a new existence. So the healer weaves the threads of life.""\n—Orim, Samite healer",normal,397460,1,3,Rare,"Human,Cleric",Creature
Pacifism,{1}{W},2,W,Adam Rex,22,Enchantment — Aura,Enchant creature\nEnchanted creature can't attack or block.,"MIR,TMP,USG,ATH,6ED,BRB,7ED,ONS,8ED,9ED,10E,DDC,M10,M11,M12,M13,M14,DD3_DVD,DTK,TPR,EMA","Frozen by conscience, Karn did not resist as the moggs carried him to the Predator.",normal,397528,,,Uncommon,Aura,Enchantment
Paladin en-Vec,{1}{W}{W},3,W,Randy Elliott,23,Creature — Human Knight,"First strike, protection from black and from red (This creature deals combat damage before creatures without first strike. It can't be blocked, targeted, dealt damage, or enchanted by anything black or red.)","EXO,9ED,10E,TPR","""Our belief shall be the lance that pierces Volrath's heart.""",normal,397600,2,2,Rare,"Human,Knight",Creature
Pegasus Stampede,{1}{W},2,W,Mark Zug,24,Sorcery,"Buyback—Sacrifice a land. (You may sacrifice a land in addition to any other costs as you cast this spell. If you do, put this card into your hand as it resolves.)\nPut a 1/1 white Pegasus creature token with flying onto the battlefield.","EXO,ATH,TPR",,normal,397430,,,Uncommon,,Sorcery
Repentance,{2}{W},3,W,Ron Spencer,25,Sorcery,Target creature deals damage to itself equal to its power.,"TMP,TPR","""The cannon wasn't aimed at you!"" pleaded Vhati.\n""I'm not sure which is more pathetic,"" replied Greven, ""your judgment or your aim.""",normal,397644,,,Uncommon,,Sorcery
Shackles,{2}{W},3,W,Heather Hudson,26,Enchantment — Aura,Enchant creature\nEnchanted creature doesn't untap during its controller's untap step.\n{W}: Return Shackles to its owner's hand.,"EXO,INV,TPR",Shackles of gold are still shackles.,normal,397403,,,Common,Aura,Enchantment
Shaman en-Kor,{1}{W},2,W,Jeff Miracola,27,Creature — Kor Cleric Shaman,"{0}: The next 1 damage that would be dealt to Shaman en-Kor this turn is dealt to target creature you control instead.\n{1}{W}: The next time a source of your choice would deal damage to target creature this turn, that damage is dealt to Shaman en-Kor instead.","STH,TPR",,normal,397648,1,2,Rare,"Kor,Cleric,Shaman",Creature
Smite,{W},1,W,Daren Bader,28,Instant,Destroy target blocked creature.,"STH,ROE,GTC,TPR","""You've got your childhood wish at last. Now you get to die.""\n—Gerrard, to Volrath",normal,397527,,,Common,,Instant
Soltari Champion,{2}{W},3,W,Adam Rex,29,Creature — Soltari Soldier,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever Soltari Champion attacks, other creatures you control get +1/+1 until end of turn.","STH,TPR",,normal,397487,2,2,Uncommon,"Soltari,Soldier",Creature
Soltari Lancer,{2}{W},3,W,Matthew D. Wilson,30,Creature — Soltari Knight,Shadow (This creature can block or be blocked by only creatures with shadow.)\nSoltari Lancer has first strike as long as it's attacking.,"TMP,TPR","""In times of war the victors rarely save their best for last.""\n—Gerrard of the Weatherlight",normal,397483,2,2,Common,"Soltari,Knight",Creature
Soltari Monk,{W}{W},2,W,Janet Aulisio,31,Creature — Soltari Monk Cleric,Protection from black\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,TPR","""Prayer rarely explains.""\n—Orim, Samite healer",normal,397592,2,1,Uncommon,"Soltari,Monk,Cleric",Creature
Soltari Priest,{W}{W},2,W,Janet Aulisio,32,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""In Rath,"" the priest said, ""there is even greater need for prayer.""",normal,397657,2,1,Uncommon,"Soltari,Cleric",Creature
Soltari Trooper,{1}{W},2,W,Kev Walker,33,Creature — Soltari Soldier,"Shadow (This creature can block or be blocked by only creatures with shadow.)\nWhenever Soltari Trooper attacks, it gets +1/+1 until end of turn.","TMP,VMA,TPR","""Dauthi blood is soltari wine.""\n—Soltari Tales of Life",normal,397452,1,1,Common,"Soltari,Soldier",Creature
Spirit en-Kor,{3}{W},4,W,John Matson,34,Creature — Kor Spirit,Flying\n{0}: The next 1 damage that would be dealt to Spirit en-Kor this turn is dealt to target creature you control instead.,"STH,TPR","Death free throat from thirst, mouth from speech, feet from earth.\n—Kor requiem",normal,397638,2,2,Common,"Kor,Spirit",Creature
Spirit Mirror,{2}{W}{W},4,W,D. Alexander Gregory,35,Enchantment,"At the beginning of your upkeep, if there are no Reflection tokens on the battlefield, put a 2/2 white Reflection creature token onto the battlefield.\n{0}: Destroy target Reflection.","TMP,VMA,TPR",,normal,397646,,,Rare,,Enchantment
Standing Troops,{2}{W},3,W,Daren Bader,36,Creature — Human Soldier,Vigilance,"EXO,6ED,7ED,8ED,DDO,TPR","The less you have, the harder you fight for it.",normal,397627,1,4,Common,"Human,Soldier",Creature
Staunch Defenders,{3}{W}{W},5,W,Mark Poole,37,Creature — Human Soldier,"When Staunch Defenders enters the battlefield, you gain 4 life.","TMP,6ED,pFNM,7ED,8ED,TPR","""Hold your position! Leave doubt for the dying!""\n—Tahngarth of the Weatherlight",normal,397552,3,4,Common,"Human,Soldier",Creature
Wall of Essence,{1}{W},2,W,Adam Rex,38,Creature — Wall,"Defender (This creature can't attack.)\nWhenever Wall of Essence is dealt combat damage, you gain that much life.","STH,M15,TPR","The ceiling and the floor fell in love, but only the wall knew.\n—Dal saying",normal,397439,0,4,Uncommon,Wall,Creature
Warrior en-Kor,{W}{W},2,W,Stephen Daniele,39,Creature — Kor Warrior Knight,{0}: The next 1 damage that would be dealt to Warrior en-Kor this turn is dealt to target creature you control instead.,"STH,TPR",Only a matter as vital as destroying Volrath could bring together the reclusive kor people.,normal,397402,2,2,Uncommon,"Kor,Warrior,Knight",Creature
