name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Akroma, Angel of Wrath",{5}{W}{W}{W},8,W,Ron Spears,1,Legendary Creature — Angel,"Flying, first strike, vigilance, trample, haste, protection from black and from red","LGN,TSB,DDC,DD3_DVD,V15","""No rest. No mercy. No matter what.""",normal,106645,6,6,Special,Angel,Creature
Auratog,{1}{W},2,W,Jeff Miracola,2,Creature — Atog,Sacrifice an enchantment: Auratog gets +2/+2 until end of turn.,"TMP,TSB",The auratog enjoys eating its wards.,normal,106665,1,2,Special,Atog,Creature
Celestial Dawn,{1}{W}{W},3,W,Liz Danforth,3,Enchantment,"Lands you control are Plains.\nNonland cards you own that aren't on the battlefield, spells you control, and nonland permanents you control are white.\nYou may spend white mana as though it were mana of any color. You may spend other mana only as though it were colorless mana.","MIR,6ED,TSB",,normal,106639,,,Special,,Enchantment
Consecrate Land,{W},1,W,Jeff A. Menges,4,Enchantment — Aura,Enchant land\nEnchanted land has indestructible and can't be enchanted by other Auras.,"LEA,LEB,2ED,CED,CEI,TSB",,normal,108801,,,Special,Aura,Enchantment
Defiant Vanguard,{2}{W},3,W,Pete Venters,5,Creature — Human Rebel,"When Defiant Vanguard blocks, at end of combat, destroy it and all creatures it blocked this turn.\n{5}, {T}: Search your library for a Rebel permanent card with converted mana cost 4 or less and put it onto the battlefield. Then shuffle your library.","NMS,TSB",,normal,108803,2,2,Special,"Human,Rebel",Creature
Disenchant,{1}{W},2,W,Amy Weber,6,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR",,normal,107302,,,Special,,Instant
Enduring Renewal,{2}{W}{W},4,W,Harold McNeill,7,Enchantment,"Play with your hand revealed.\nIf you would draw a card, reveal the top card of your library instead. If it's a creature card, put it into your graveyard. Otherwise, draw a card.\nWhenever a creature is put into your graveyard from the battlefield, return it to your hand.","ICE,TSB",,normal,108842,,,Special,,Enchantment
Essence Sliver,{3}{W},4,W,Glen Angus,8,Creature — Sliver,"Whenever a Sliver deals damage, its controller gains that much life.","LGN,TSB","The slivers would survive, even at the expense of every other creature on Otaria.",normal,106647,3,3,Special,Sliver,Creature
Honorable Passage,{1}{W},2,W,Jeff Miracola,9,Instant,"The next time a source of your choice would deal damage to target creature or player this turn, prevent that damage. If damage from a red source is prevented this way, Honorable Passage deals that much damage to the source's controller.","VIS,TSB",,normal,108879,,,Special,,Instant
Icatian Javelineers,{W},1,W,Scott Kirschner,10,Creature — Human Soldier,"Icatian Javelineers enters the battlefield with a javelin counter on it.\n{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.","FEM,ATH,pGTW,TSB,ME2,DDO",,normal,107283,1,1,Special,"Human,Soldier",Creature
Moorish Cavalry,{2}{W}{W},4,W,Dameon Willich,11,Creature — Human Knight,Trample,"ARN,TSB","Members of the elite Moorish Cavalry are very particular about their mounts, choosing only those whose bloodlines have been pure for generations.",normal,108849,3,3,Special,"Human,Knight",Creature
Resurrection,{2}{W}{W},4,W,Dan Frazier,12,Sorcery,Return target creature card from your graveyard to the battlefield.,"LEA,LEB,2ED,CED,CEI,3ED,pFNM,TSB",,normal,108885,,,Special,,Sorcery
Sacred Mesa,{2}{W},3,W,Margaret Organ-Kean,13,Enchantment,"At the beginning of your upkeep, sacrifice Sacred Mesa unless you sacrifice a Pegasus.\n{1}{W}: Put a 1/1 white Pegasus creature token with flying onto the battlefield.","MIR,ATH,TSB,C14","""Do not go there, do not go / unless you rise on wings, unless you walk on hooves.""\n—""Song to the Sun,"" Femeref song",normal,106625,,,Special,,Enchantment
Soltari Priest,{W}{W},2,W,Janet Aulisio,14,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""In Rath,"" the priest said, ""there is even greater need for prayer.""",normal,108856,2,1,Special,"Soltari,Cleric",Creature
