name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Amrou Scout,{1}{W},2,W,Quinton Hoover,1,Creature — Kithkin Rebel Scout,"{4}, {T}: Search your library for a Rebel permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.","TSP,MMA","The people of Amrou were scattered by war and driven into hiding. Scouts maintain the beacon fires that signal ""return"" and ""home.""",normal,113619,2,1,Common,"Kithkin,Rebel,Scout",Creature
Amrou Seekers,{2}{W},3,W,Quinton Hoover,2,Creature — Kithkin Rebel,Amrou Seekers can't be blocked except by artifact creatures and/or white creatures.,"TSP,MMA","The paradise of Amrou Haven had become a field of cinders. Its people struggled to survive, hoping to see visions of its past in the strange storms that quickly passed.",normal,113509,2,2,Common,"Kithkin,Rebel",Creature
Angel's Grace,{W},1,W,Mark Zug,3,Instant,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nYou can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.","TSP,MMA",,normal,110504,,,Rare,,Instant
Benalish Cavalry,{1}{W},2,W,Paolo Parente,4,Creature — Human Knight,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",TSP,"""My people swore to protect Benalia to the end. It is battered, but yet stands, as do we.""",normal,122082,2,2,Common,"Human,Knight",Creature
Castle Raptors,{4}{W},5,W,Christopher Moeller,5,Creature — Bird Soldier,"Flying\nAs long as Castle Raptors is untapped, it gets +0/+2.",TSP,"""Each place we see is as ruined and lifeless as the last. So here we stay, because this ruin is ours.""",normal,113614,3,3,Common,"Bird,Soldier",Creature
Cavalry Master,{2}{W}{W},4,W,Thomas M. Baxa,6,Creature — Human Knight,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)\nOther creatures you control with flanking have flanking. (Each instance of flanking triggers separately.)",TSP,,normal,108903,3,3,Uncommon,"Human,Knight",Creature
Celestial Crusader,{2}{W}{W},4,W,Jim Murray,7,Creature — Spirit,"Flash (You may cast this spell any time you could cast an instant.)\nSplit second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nFlying\nOther white creatures get +1/+1.","TSP,DDF,C14",,normal,126281,2,2,Uncommon,Spirit,Creature
Children of Korlis,{W},1,W,Quinton Hoover,8,Creature — Human Rebel Cleric,Sacrifice Children of Korlis: You gain life equal to the life you've lost this turn. (Damage causes loss of life.),TSP,"""We have a proud history of self-sacrifice. But it is easy, in these bleak times, to find one among us who is eager to die for any cause.""\n—Tavalus, acolyte of Korlis",normal,110525,1,1,Common,"Human,Rebel,Cleric",Creature
Chronosavant,{5}{W},6,W,Pete Venters,9,Creature — Giant,{1}{W}: Return Chronosavant from your graveyard to the battlefield tapped. You skip your next turn.,TSP,"""In my dreams, I hear the voices of my future selves who have died in times yet to come. I use that knowledge to avoid those dark futures and continue my search for peace.""",normal,110502,5,5,Rare,Giant,Creature
Cloudchaser Kestrel,{1}{W}{W},3,W,Daren Bader,10,Creature — Bird,"Flying\nWhen Cloudchaser Kestrel enters the battlefield, destroy target enchantment.\n{W}: Target permanent becomes white until end of turn.",TSP,,normal,113507,2,2,Common,Bird,Creature
