name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Academy Rector,{3}{W},4,W,Heather Hudson,1,Creature — Human Cleric,"When Academy Rector dies, you may exile it. If you do, search your library for an enchantment card, put that card onto the battlefield, then shuffle your library.",UDS,,normal,15138,1,2,Rare,"Human,Cleric",Creature
Archery Training,{W},1,W,Mark Brill,2,Enchantment — Aura,"Enchant creature\nAt the beginning of your upkeep, you may put an arrow counter on Archery Training.\nEnchanted creature has ""{T}: This creature deals X damage to target attacking or blocking creature, where X is the number of arrow counters on Archery Training.""",UDS,,normal,15135,,,Uncommon,Aura,Enchantment
Capashen Knight,{1}{W},2,W,Kev Walker,3,Creature — Human Knight,First strike (This creature deals combat damage before creatures without first strike.)\n{1}{W}: Capashen Knight gets +1/+0 until end of turn.,"UDS,M14","Few warriors dare to challenge a knight of Capashen. Should one do so, there is one fewer.",normal,15125,1,1,Common,"Human,Knight",Creature
Capashen Standard,{W},1,W,Todd Lockwood,4,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+1.\n{2}, Sacrifice Capashen Standard: Draw a card.",UDS,Benalia has no need for peacocks to serve as symbols of vanity. The Capashens strut more proudly than any bird.,normal,19095,,,Common,Aura,Enchantment
Capashen Templar,{2}{W},3,W,Todd Lockwood,5,Creature — Human Knight,{W}: Capashen Templar gets +0/+1 until end of turn.,UDS,Their shields are Benalia's outermost battlements.,normal,15762,2,2,Common,"Human,Knight",Creature
False Prophet,{2}{W}{W},4,W,Eric Peterson,6,Creature — Human Cleric,"When False Prophet dies, exile all creatures.","pPRE,UDS,CMD","""You lived for Serra's love. Will you not die for it?""",normal,15765,2,2,Rare,"Human,Cleric",Creature
Fend Off,{1}{W},2,W,Paolo Parente,7,Instant,"Prevent all combat damage that would be dealt by target creature this turn.\nCycling {2} ({2}, Discard this card: Draw a card.)",UDS,The best defense is to not get hit.,normal,15763,,,Common,,Instant
Field Surgeon,{1}{W},2,W,Heather Hudson,8,Creature — Human Cleric,Tap an untapped creature you control: Prevent the next 1 damage that would be dealt to target creature this turn.,UDS,Commanders order soldiers to attack. Field surgeons order them to heal. Both are obeyed without question.,normal,15121,1,1,Common,"Human,Cleric",Creature
Flicker,{1}{W},2,W,Douglas Shuler,9,Sorcery,"Exile target nontoken permanent, then return it to the battlefield under its owner's control.",UDS,"Who is truer: you who are, or you who are to be?",normal,15127,,,Rare,,Sorcery
Jasmine Seer,{3}{W},4,W,Donato Giancola,10,Creature — Human Wizard,"{2}{W}, {T}: Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.",UDS,,normal,15124,1,1,Uncommon,"Human,Wizard",Creature
Mask of Law and Grace,{W},1,W,Kev Walker,11,Enchantment — Aura,Enchant creature\nEnchanted creature has protection from black and from red.,UDS,The archangels zealously drove Serra's light into every corner of their new home as if their creator still commanded them.,normal,15129,,,Common,Aura,Enchantment
Master Healer,{4}{W},5,W,Adam Rex,12,Creature — Human Cleric,{T}: Prevent the next 4 damage that would be dealt to target creature or player this turn.,"UDS,7ED,8ED,9ED",Behind his eyes is the pain of every soldier his hands have healed.,normal,15874,1,4,Rare,"Human,Cleric",Creature
Opalescence,{2}{W}{W},4,W,John Avon,13,Enchantment,Each other non-Aura enchantment is a creature in addition to its other types and has base power and base toughness each equal to its converted mana cost.,UDS,,normal,15142,,,Rare,,Enchantment
Reliquary Monk,{2}{W},3,W,Thomas M. Baxa,14,Creature — Human Monk Cleric,"When Reliquary Monk dies, destroy target artifact or enchantment.",UDS,A thing of Serra's realm exists only by the grace of her followers' faith.,normal,15123,2,2,Common,"Human,Monk,Cleric",Creature
Replenish,{3}{W},4,W,Jim Nelson,15,Sorcery,Return all enchantment cards from your graveyard to the battlefield. (Auras with nothing to enchant remain in your graveyard.),UDS,"Treasures, trinkets, trash—the relics of the past are brought forth again.",normal,15143,,,Rare,,Sorcery
Sanctimony,{1}{W},2,W,Mark Brill,16,Enchantment,"Whenever an opponent taps a Mountain for mana, you may gain 1 life.","UDS,7ED,8ED","""To forgive our enemies is to forgive ourselves.""",normal,15873,,,Uncommon,,Enchantment
Scent of Jasmine,{W},1,W,Douglas Shuler,17,Instant,Reveal any number of white cards in your hand. You gain 2 life for each card revealed this way.,UDS,,normal,15263,,,Common,,Instant
Scour,{2}{W}{W},4,W,Eric Peterson,18,Instant,"Exile target enchantment. Search its controller's graveyard, hand, and library for all cards with the same name as that enchantment and exile them. Then that player shuffles his or her library.","UDS,BOK",,normal,15134,,,Uncommon,,Instant
Serra Advocate,{3}{W},4,W,Scott Hampton,19,Creature — Angel,Flying\n{T}: Target attacking or blocking creature gets +2/+2 until end of turn.,"UDS,7ED,DDC,DD3_DVD",An angel's touch can prepare a soldier for battle more than a thousand military drills.,normal,14485,2,2,Uncommon,Angel,Creature
Solidarity,{3}{W},4,W,John Zeleznik,20,Instant,Creatures you control get +0/+5 until end of turn.,"UDS,8ED",Their commitment to Serra is as solid as any shield.,normal,15764,,,Common,,Instant
Tethered Griffin,{W},1,W,Matthew D. Wilson,21,Creature — Griffin,"Flying\nWhen you control no enchantments, sacrifice Tethered Griffin.",UDS,Poorly trained griffins sometimes attack the noble audiences that gather to watch their progress.,normal,15769,2,3,Rare,Griffin,Creature
Tormented Angel,{3}{W},4,W,Greg & Tim Hildebrandt,22,Creature — Angel,Flying,UDS,Falling from heaven is not as painful as surviving the impact.,normal,18287,1,5,Common,Angel,Creature
Voice of Duty,{3}{W},4,W,Mark Zug,23,Creature — Angel,"Flying, protection from green",UDS,"""Next to Law is Duty, and Duty must be obeyed. If the frame of Duty is broken, none shall weave life's fabric.""\n—Song of All, canto 167",normal,15132,2,2,Uncommon,Angel,Creature
Voice of Reason,{3}{W},4,W,Ray Lago,24,Creature — Angel,"Flying, protection from blue",UDS,"""Next to Grace is Reason, and Reason must be retained. If the web of Reason comes unwoven, madness will escape.""\n—Song of All, canto 167",normal,15131,2,2,Uncommon,Angel,Creature
Wall of Glare,{1}{W},2,W,Patrick Ho,25,Creature — Wall,Defender (This creature can't attack.)\nWall of Glare can block any number of creatures.,UDS,The blinding barrier served Benalia better than a hundred shields.,normal,15120,0,5,Common,Wall,Creature
Aura Thief,{3}{U},4,U,Ron Spears,26,Creature — Illusion,"Flying\nWhen Aura Thief dies, you gain control of all enchantments. (You don't get to move Auras.)",UDS,Illusion steals reality from the unwise.,normal,15261,2,2,Rare,Illusion,Creature
Blizzard Elemental,{5}{U}{U},7,U,Thomas M. Baxa,27,Creature — Elemental,Flying\n{3}{U}: Untap Blizzard Elemental.,"UDS,BTD",Students who had seen Rayne argue with Urza were certain she had summoned it to make him seem warmer by comparison.,normal,15146,5,5,Rare,Elemental,Creature
Brine Seer,{3}{U},4,U,Donato Giancola,28,Creature — Human Wizard,"{2}{U}, {T}: Reveal any number of blue cards in your hand. Counter target spell unless its controller pays {1} for each card revealed this way.",UDS,,normal,15148,1,1,Uncommon,"Human,Wizard",Creature
Bubbling Beebles,{4}{U},5,U,Jeff Miracola,29,Creature — Beeble,Bubbling Beebles can't be blocked as long as defending player controls an enchantment.,UDS,"""Chancellor Rayne canceled the annual beeble roast. I should have married a crueler woman.""\n—Barrin",normal,15783,3,3,Common,Beeble,Creature
Disappear,{2}{U}{U},4,U,"Edward P. Beard, Jr.",30,Enchantment — Aura,Enchant creature\n{U}: Return enchanted creature and Disappear to their owners' hands.,UDS,"If at first you don't succeed, run away and hide.",normal,15151,,,Uncommon,Aura,Enchantment
Donate,{2}{U},3,U,Jeff Miracola,31,Sorcery,Target player gains control of target permanent you control.,UDS,"Campus pranksters initiate new students with the old ""beeble bomb"" routine.",normal,15168,,,Rare,,Sorcery
Fatigue,{1}{U},2,U,Jeff Miracola,32,Sorcery,Target player skips his or her next draw step.,UDS,"""Mind if I just lie down right here for a few weeks?""",normal,19098,,,Common,,Sorcery
Fledgling Osprey,{U},1,U,Heather Hudson,33,Creature — Bird,Fledgling Osprey has flying as long as it's enchanted.,UDS,It isn't truly born until its first flight.,normal,15145,1,1,Common,Bird,Creature
Illuminated Wings,{1}{U},2,U,Jim Nelson,34,Enchantment — Aura,"Enchant creature\nEnchanted creature has flying.\n{2}, Sacrifice Illuminated Wings: Draw a card.",UDS,"For a moment, Urza thought not of war and destruction, but of the freedom of the skies.",normal,19097,,,Common,Aura,Enchantment
Iridescent Drake,{3}{U},4,U,Jim Nelson,35,Creature — Drake,"Flying\nWhen Iridescent Drake enters the battlefield, put target Aura card from a graveyard onto the battlefield under your control attached to Iridescent Drake.",UDS,,normal,15163,2,2,Uncommon,Drake,Creature
Kingfisher,{3}{U},4,U,"Edward P. Beard, Jr.",36,Creature — Bird,"Flying\nWhen Kingfisher dies, draw a card.",UDS,It's tastiest when served with the fish it stole.,normal,15147,2,2,Common,Bird,Creature
Mental Discipline,{1}{U}{U},3,U,"Edward P. Beard, Jr.",37,Enchantment,"{1}{U}, Discard a card: Draw a card.",UDS,Barrin drowned his doubts about Urza's project by delving ever deeper into its details.,normal,15158,,,Common,,Enchantment
Metathran Elite,{1}{U}{U},3,U,Jim Nelson,38,Creature — Metathran Soldier,Metathran Elite can't be blocked as long as it's enchanted.,UDS,"If the eyes are windows to the soul, their souls are not of this world.",normal,15157,2,3,Uncommon,"Metathran,Soldier",Creature
Metathran Soldier,{1}{U},2,U,Paolo Parente,39,Creature — Metathran Soldier,Metathran Soldier can't be blocked.,UDS,"Just as Serra crafted angels of light and faith, Urza constructed an army of sorcery and power to resist the coming invasion.",normal,19096,1,1,Common,"Metathran,Soldier",Creature
Opposition,{2}{U}{U},4,U,Todd Lockwood,40,Enchantment,"Tap an untapped creature you control: Tap target artifact, creature, or land.","UDS,7ED","""Urza says he's sane. Perhaps, but measures of sanity among planeswalkers are hard to come by.""\n—Barrin",normal,15162,,,Rare,,Enchantment
Private Research,{U},1,U,Scott M. Fischer,41,Enchantment — Aura,"Enchant creature\nAt the beginning of your upkeep, you may put a page counter on Private Research.\nWhen enchanted creature dies, draw a card for each page counter on Private Research.",UDS,,normal,15161,,,Uncommon,Aura,Enchantment
Quash,{2}{U}{U},4,U,Don Hazeltine,42,Instant,"Counter target instant or sorcery spell. Search its controller's graveyard, hand, and library for all cards with the same name as that spell and exile them. Then that player shuffles his or her library.","UDS,BOK",,normal,15160,,,Uncommon,,Instant
"Rayne, Academy Chancellor",{2}{U},3,U,Matthew D. Wilson,43,Legendary Creature — Human Wizard,"Whenever you or a permanent you control becomes the target of a spell or ability an opponent controls, you may draw a card. You may draw an additional card if Rayne, Academy Chancellor is enchanted.",UDS,,normal,15164,1,1,Rare,"Human,Wizard",Creature
Rescue,{U},1,U,Greg Staples,44,Instant,Return target permanent you control to its owner's hand.,UDS,"""Urza, I've discovered more promising students than you and my husband have, combined. And I haven't lost a single one.""\n—Rayne, Academy Chancellor",normal,15154,,,Common,,Instant
Scent of Brine,{1}{U},2,U,Greg Staples,45,Instant,Reveal any number of blue cards in your hand. Counter target spell unless its controller pays {1} for each card revealed this way.,UDS,,normal,15266,,,Common,,Instant
Sigil of Sleep,{U},1,U,Greg & Tim Hildebrandt,46,Enchantment — Aura,"Enchant creature\nWhenever enchanted creature deals damage to a player, return target creature that player controls to its owner's hand.","UDS,DDI",Arrows are only one way to remove an enemy.,normal,15784,,,Common,Aura,Enchantment
Telepathic Spies,{2}{U},3,U,Thomas M. Baxa,47,Creature — Human Wizard,"When Telepathic Spies enters the battlefield, look at target opponent's hand.","UDS,7ED","""Do try to keep an open mind, would you?""",normal,15149,2,2,Common,"Human,Wizard",Creature
Temporal Adept,{1}{U}{U},3,U,Heather Hudson,48,Creature — Human Wizard,"{U}{U}{U}, {T}: Return target permanent to its owner's hand.","UDS,7ED,8ED,9ED","""Of course she's at the head of her class. All her classmates have disappeared.""\n—Gatha, Tolarian renegade",normal,15875,1,1,Rare,"Human,Wizard",Creature
Thieving Magpie,{2}{U}{U},4,U,Una Fricker,49,Creature — Bird,"Flying (This creature can't be blocked except by creatures with flying or reach.)\nWhenever Thieving Magpie deals damage to an opponent, draw a card.","UDS,7ED,8ED,9ED,10E,DPA",Rayne once made several unkind comparisons between the bird's naked opportunism and Urza's.,normal,15156,1,3,Uncommon,Bird,Creature
Treachery,{3}{U}{U},5,U,Matthew D. Wilson,50,Enchantment — Aura,"Enchant creature\nWhen Treachery enters the battlefield, untap up to five lands.\nYou control enchanted creature.",UDS,"""The academy educates; I employ. It's a perfect arrangement.""\n—Gatha, Tolarian renegade",normal,12148,,,Rare,Aura,Enchantment
Apprentice Necromancer,{1}{B},2,B,Pete Venters,51,Creature — Zombie Wizard,"{B}, {T}, Sacrifice Apprentice Necromancer: Return target creature card from your graveyard to the battlefield. That creature gains haste. At the beginning of the next end step, sacrifice it.",UDS,,normal,14442,1,1,Rare,"Zombie,Wizard",Creature
Attrition,{1}{B}{B},3,B,Scott M. Fischer,52,Enchantment,"{B}, Sacrifice a creature: Destroy target nonblack creature.","UDS,CMD","""I will trade life for life with the insurgents. Our resources, unlike theirs, are limitless.""\n—Davvol, Evincar of Rath",normal,15191,,,Rare,,Enchantment
