name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Charm School,{2}{W},3,W,Kaja Foglio,1,Enchant Player,"When Charm School comes into play, choose a color and balance Charm School on your head.\nPrevent all damage to you of the chosen color.\nIf Charm School falls off your head, sacrifice Charm School.",UGL,,normal,9741,,,Uncommon,,"Enchant,Player"
The Cheese Stands Alone,{4}{W}{W},6,W,Randy Elliott,2,Enchantment,"If you control no cards in play other than The Cheese Stands Alone and have no cards in your hand, you win the game.",UGL,"The meat, on the other hand, has frequent visitors.",normal,9773,,,Rare,,Enchantment
Double Dip,{4}{W},5,W,D. Alexander Gregory,3,Instant,Choose another player. Gain 5 life now and an additional 5 life at the beginning of the next game with that player.,UGL,In a duel and taking a lickin' . . .,normal,5726,,,Common,,Instant
Get a Life,{W},1,W,Melissa A. Benson,4,Instant,Target player and each of his or her teammates exchange life totals.,UGL,Gimme five! (Or whatever you got.),normal,9743,,,Uncommon,,Instant
"I'm Rubber, You're Glue",{W}{W},2,W,Claymore J. Flapdoodle,5,Enchantment,"Speak only in rhyming sentences. If you do not, sacrifice I'm Rubber, You're Glue.\nSay ""I'm rubber, you're glue. Everything bounces off me and sticks to you"": Target spell or ability, which targets only you, targets another player of your choice instead. (The new target must be legal.)",UGL,,normal,9774,,,Rare,,Enchantment
Knight of the Hokey Pokey,{W}{W},2,W,Kev Walker,6,Summon — Knight,"First strike\n{1}{W}, Do the Hokey Pokey (Stand up, wiggle your butt, raise your hands above your head, and shake them wildly as you rotate 360 degrees): Prevent all damage to Knight of the Hokey Pokey from any one source.",UGL,That's what it's all about.,normal,9742,2,2,Common,Knight,Creature
Lexivore,{3}{W},4,W,Daniel Gelon,7,Summon — Beast,"If Lexivore damages any player, destroy target card in play, other than Lexivore, with the most lines of text in its text box. (If more than one card has the most lines of text, you choose which of those cards to destroy.)",UGL,"Plucking the chicken\n—Elvish expression meaning ""flinging the monkey""",normal,9760,2,3,Uncommon,Beast,Creature
"Look at Me, I'm the DCI",{5}{W}{W},7,W,Mark Rosewater,8,Sorcery,"Ban one card, other than a basic land, for the remainder of the match. (For the remainder of the match, each player removes from the game all copies of that card in play or in any graveyard, hand, library, or sideboard.)",UGL,Few understand the DCI's rigorous decision-making process.,normal,9771,,,Rare,,Sorcery
Mesa Chicken,{W}{W},2,W,Kev Walker,9,Summon — Chicken,"Stand up, Flap your arms, Cluck like a chicken: Mesa Chicken gains flying until end of turn.",UGL,"""Lo! lord of layers proudly comb-crested\nHero to hens father to feathers\nCrowing sun-caller weaver of wattle\nElder to eggs.""\n—Rooster Saga",normal,5725,2,2,Common,Chicken,Creature
Miss Demeanor,{3}{W},4,W,Matthew D. Wilson,10,Summon — Lady of Proper Etiquette,"Flying, first strike\nDuring each other player's turn, compliment that player on his or her game play or sacrifice Miss Demeanor.",UGL,Even war can be civil.,normal,9745,3,1,Uncommon,"Lady,of,Proper,Etiquette",Creature
Once More with Feeling,{W}{W}{W}{W},4,W,Terese Nielsen,11,Sorcery,"Remove Once More with Feeling from the game as well as all cards in play and in all graveyards. Each player shuffles his or her hand into her or his library, then draws seven cards. Each player's life total is set to 10.\nDCI ruling: This card is restricted. (You cannot play with more than one in a deck.)",UGL,If yo  . . .  ted.,normal,9772,,,Rare,,Sorcery
Prismatic Wardrobe,{W},1,W,D. Alexander Gregory,12,Sorcery,Destroy target card that does not share a color with clothing worn by its controller. You cannot choose an artifact or land card.,UGL,"""Spring in Dominaria means pastels!""\n—Excerpt from Mage's Home Journal",normal,9744,,,Common,,Sorcery
Sex Appeal,{W},1,W,Matthew D. Wilson,13,Instant,"Prevent up to 3 damage total to any number of creatures and/or players. If there are more players in the room of the opposite sex, prevent up to 3 additional damage total to any number of creatures and/or players.",UGL,,normal,5755,,,Common,,Instant
Bureaucracy,{3}{U}{U},5,U,Mark Zug,14,Enchantment,"Pursuant to subsection 3.1(4) of Richard's Rules of Order, during the upkeep of each participant in this game of the Magic: The Gathering® trading card game (hereafter known as ""PLAYER""), that PLAYER performs all actions in the sequence of previously added actions (hereafter known as ""ACTION QUEUE""), in the order those actions were added, then adds another action to the end of the ACTION QUEUE. All actions must be simple physical or verbal actions that a player can perform while sitting in a chair, without jeopardizing the health and security of said PLAYER.\nIf any PLAYER does not perform all the prescribed actions in the correct order, sacrifice Bureaucracy and said PLAYER discards his or her complement of cards in hand (hereafter known as ""HAND"").",UGL,,normal,9778,,,Rare,,Enchantment
Censorship,{U},1,U,Kaja Foglio,15,Enchantment,"When Censorship comes into play, choose a CENSORED word.\nWhenever any CENSORED player says the chosen CENSORED word, Censorship deals 2 CENSORED damage to him or her.",UGL,Editor's note: There were no suitable flavor text submissions for this card.,normal,9747,,,Uncommon,,Enchantment
Checks and Balances,{2}{U},3,U,David A. Cherry,16,Enchantment,"Whenever any spell is played, counter that spell if each player, other than the caster and his or her teammates, agrees to choose and discard a card. Those players must discard those cards after agreeing.\nChecks and Balances may be played only in a game with three or more players.",UGL,,normal,9746,,,Uncommon,,Enchantment
Chicken à la King,{1}{U}{U},3,U,Mark Zug,17,Summon — Chicken,"Whenever a 6 is rolled on a six-sided die, put a +1/+1 counter on each Chicken in play. (You may roll dice only when a card instructs you to.)\nTap a Chicken you control: Roll a six-sided die.",UGL,"During the Chicken Revolution, the king managed to keep his head while the others—well, just ran around.",normal,9749,2,2,Rare,Chicken,Creature
Clambassadors,{3}{U},4,U,Randy Elliott,18,Summon — Clamfolk,"If Clambassadors damages any player, choose an artifact, creature, or land you control. That player gains control of that artifact, creature, or land.",UGL,"""Sorry we shelled your village—here's some gold.""",normal,5763,4,4,Common,Clamfolk,Creature
