name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Angelic Curator,{1}{W},2,W,Greg Staples,1,Creature — Angel Spirit,"Flying, protection from artifacts",ULG,"""Do not treat your people as you treat your artifacts. Let them go, and they will live; seal them here, and they will die.""\n—Urza, to Radiant",normal,12354,1,1,Common,"Angel,Spirit",Creature
Blessed Reversal,{1}{W},2,W,Pete Venters,2,Instant,You gain 3 life for each creature attacking you.,"POR,ULG,7ED,8ED",Even an enemy is a valuable resource.,normal,12366,,,Rare,,Instant
Burst of Energy,{W},1,W,Mark Brill,3,Instant,Untap target permanent.,ULG,"""I stand ready to die for our world. Who will stand with me?""\n—Radiant, archangel",normal,13806,,,Common,,Instant
Cessation,{2}{W},3,W,Mark Zug,4,Enchantment — Aura,"Enchant creature\nEnchanted creature can't attack.\nWhen Cessation is put into a graveyard from the battlefield, return Cessation to its owner's hand.",ULG,"""The face of Light will shine upon them, and they will know war no more.""\n—Song of All, canto 918",normal,12359,,,Common,Aura,Enchantment
Defender of Law,{2}{W},3,W,Carl Critchlow,5,Creature — Human Knight,Flash\nProtection from red,ULG,"""It is not my place to question Radiant's rule. I exist to enforce her will.""",normal,12353,2,1,Common,"Human,Knight",Creature
Devout Harpist,{W},1,W,Rebecca Guay,6,Creature — Human,{T}: Destroy target Aura attached to a creature.,ULG,"The notes themselves are irrelevant. The music's effect, however, is worth ten armies.",normal,12813,1,1,Common,Human,Creature
Erase,{W},1,W,Ron Spears,7,Instant,Exile target enchantment.,"ULG,M13,KTK",Perception is more pleasing than truth.,normal,12941,,,Common,,Instant
Expendable Troops,{1}{W},2,W,Carl Critchlow,8,Creature — Human Soldier,"{T}, Sacrifice Expendable Troops: Expendable Troops deals 2 damage to target attacking or blocking creature.",ULG,"No doubt in their minds, no fear in their hearts.",normal,12356,2,1,Common,"Human,Soldier",Creature
Hope and Glory,{1}{W},2,W,Heather Hudson,9,Instant,Untap two target creatures. Each of them gets +1/+1 until end of turn.,ULG,"""Serra ruled by faith. I cannot afford that luxury.""\n—Radiant, archangel",normal,12942,,,Uncommon,,Instant
Iron Will,{W},1,W,Val Mayerik,10,Instant,"Target creature gets +0/+4 until end of turn.\nCycling {2} ({2}, Discard this card: Draw a card.)",ULG,,normal,12358,,,Common,,Instant
Karmic Guide,{3}{W}{W},5,W,Heather Hudson,11,Creature — Angel Spirit,"Flying, protection from black\nEcho {3}{W}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Karmic Guide enters the battlefield, return target creature card from your graveyard to the battlefield.","pJGP,ULG,C13,VMA,EMA",,normal,12955,2,2,Rare,"Angel,Spirit",Creature
Knighthood,{2}{W},3,W,Kev Walker,12,Enchantment,Creatures you control have first strike.,"ULG,7ED","""He has returned. He who brought the dark ones. He who poisoned our paradise. How shall we greet him? With swift and certain death!""\n—Radiant, archangel",normal,5709,,,Uncommon,,Enchantment
Martyr's Cause,{2}{W},3,W,Jeff Laubenstein,13,Enchantment,"Sacrifice a creature: The next time a source of your choice would deal damage to target creature or player this turn, prevent that damage.",ULG,Dying is a soldier's talent.,normal,9712,,,Uncommon,,Enchantment
Mother of Runes,{W},1,W,Scott M. Fischer,14,Creature — Human Cleric,{T}: Target creature you control gains protection from the color of your choice until end of turn.,"ULG,pFNM,CMD,DDO,EMA","""My family protects all families.""",normal,5704,1,1,Uncommon,"Human,Cleric",Creature
Opal Avenger,{2}{W},3,W,"Edward P. Beard, Jr.",15,Enchantment,"When you have 10 or less life, if Opal Avenger is an enchantment, Opal Avenger becomes a 3/5 Soldier creature.",ULG,"As the sun grew cold in the realm, the statue grew warm.",normal,8814,,,Rare,,Enchantment
Opal Champion,{2}{W},3,W,"Edward P. Beard, Jr.",16,Enchantment,"When an opponent casts a creature spell, if Opal Champion is an enchantment, Opal Champion becomes a 3/3 Knight creature with first strike.",ULG,,normal,12352,,,Common,,Enchantment
Peace and Quiet,{1}{W},2,W,Hazeltine,17,Instant,Destroy two target enchantments.,ULG,"""In time our realm will shine again. But it will gleam only when we scour away the taint of doubt.""\n—Radiant, archangel",normal,9709,,,Uncommon,,Instant
Planar Collapse,{1}{W},2,W,Mark Zug,18,Enchantment,"At the beginning of your upkeep, if there are four or more creatures on the battlefield, sacrifice Planar Collapse and destroy all creatures. They can't be regenerated.",ULG,"With heavy heart, Urza doused one world's light to rekindle another's.",normal,12365,,,Rare,,Enchantment
Purify,{3}{W}{W},5,W,John Avon,19,Sorcery,Destroy all artifacts and enchantments.,"ULG,7ED","""Our Mother! The sky was Her hair; the sun, Her face. She danced on the grass and in the hills.""\n—Song of All, canto 23",normal,12367,,,Rare,,Sorcery
"Radiant, Archangel",{3}{W}{W},5,W,Michael Sutfin,20,Legendary Creature — Angel,"Flying, vigilance\nRadiant, Archangel gets +1/+1 for each other creature with flying on the battlefield.","ULG,VMA",,normal,12368,3,3,Rare,Angel,Creature
Radiant's Dragoons,{3}{W},4,W,Pete Venters,21,Creature — Human Soldier,"Echo {3}{W} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Radiant's Dragoons enters the battlefield, you gain 5 life.",ULG,,normal,12364,2,5,Uncommon,"Human,Soldier",Creature
Radiant's Judgment,{2}{W},3,W,Greg Staples,22,Instant,"Destroy target creature with power 4 or greater.\nCycling {2} ({2}, Discard this card: Draw a card.)","ULG,VMA",,normal,12360,,,Common,,Instant
Sustainer of the Realm,{2}{W}{W},4,W,Greg Staples,23,Creature — Angel,"Flying\nWhenever Sustainer of the Realm blocks, it gets +0/+2 until end of turn.","ULG,7ED,DDC,DD3_DVD","""The harder you push, the stronger we become.""\n—Radiant, to Urza",normal,12814,2,3,Uncommon,Angel,Creature
Tragic Poet,{W},1,W,Quinton Hoover,24,Creature — Human,"{T}, Sacrifice Tragic Poet: Return target enchantment card from your graveyard to your hand.",ULG,"""I would weep, but my tears have been stolen; I would shout, but my voice has been taken. Thus, I write.""",normal,12355,1,1,Common,Human,Creature
Anthroplasm,{2}{U}{U},4,U,Ron Spencer,25,Creature — Shapeshifter,"Anthroplasm enters the battlefield with two +1/+1 counters on it.\n{X}, {T}: Remove all +1/+1 counters from Anthroplasm and put X +1/+1 counters on it.",ULG,I never metamorphosis I didn't like.,normal,12387,0,0,Rare,Shapeshifter,Creature
Archivist,{2}{U}{U},4,U,Pete Venters,26,Creature — Human Wizard,{T}: Draw a card.,"ULG,7ED,8ED,9ED",Some do. Some teach. The rest look it up.,normal,12390,1,1,Rare,"Human,Wizard",Creature
Aura Flux,{2}{U},3,U,John Avon,27,Enchantment,"Other enchantments have ""At the beginning of your upkeep, sacrifice this enchantment unless you pay {2}.""",ULG,"To some, the Tolarian sunrise was a blinding flash; to others, a lingering glow.",normal,12943,,,Common,,Enchantment
Bouncing Beebles,{2}{U},3,U,Jeff Miracola,28,Creature — Beeble,Bouncing Beebles can't be blocked as long as defending player controls an artifact.,ULG,Beebles are frequently hurled against stone surfaces at high speed but always zing back into the air with a giggle.,normal,12372,2,2,Common,Beeble,Creature
Cloud of Faeries,{1}{U},2,U,Melissa A. Benson,29,Creature — Faerie,"Flying\nWhen Cloud of Faeries enters the battlefield, untap up to two lands.\nCycling {2} ({2}, Discard this card: Draw a card.)","ULG,VMA",,normal,11588,1,1,Common,Faerie,Creature
Delusions of Mediocrity,{3}{U},4,U,Jeff Laubenstein,30,Enchantment,"When Delusions of Mediocrity enters the battlefield, you gain 10 life.\nWhen Delusions of Mediocrity leaves the battlefield, you lose 10 life.","ULG,7ED",When nothing but second best will do.,normal,12349,,,Rare,,Enchantment
Fleeting Image,{2}{U},3,U,Scott M. Fischer,31,Creature — Illusion,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{1}{U}: Return Fleeting Image to its owner's hand.,"ULG,7ED,8ED,9ED","Horas swore off drinking, but after meeting the creature a second time he decided he'd better start again.",normal,12389,2,1,Rare,Illusion,Creature
Frantic Search,{2}{U},3,U,Jeff Miracola,32,Instant,"Draw two cards, then discard two cards. Untap up to three lands.","ULG,VMA",Motivation was high in the academy once students realized flunking their exams could kill them.,normal,12375,,,Common,,Instant
Intervene,{U},1,U,Heather Hudson,33,Instant,Counter target spell that targets a creature.,ULG,"""At first I simply observed. But I found that without investment in others, life serves no purpose.""\n—Karn, silver golem",normal,12378,,,Common,,Instant
King Crab,{4}{U}{U},6,U,Daniel Gelon,34,Creature — Crab,"{1}{U}, {T}: Put target green creature on top of its owner's library.",ULG,"""I'm allergic to shellfish—not only did it kill my entire village, it also gave me this nasty rash.""\n—Olivia, fisher",normal,12382,4,5,Uncommon,Crab,Creature
Levitation,{2}{U}{U},4,U,Heather Hudson,35,Enchantment,Creatures you control have flying.,"ULG,7ED,9ED,M10,M12",Barrin's pride in his apprentice was diminished somewhat when he had to get the others back down.,normal,12388,,,Uncommon,,Enchantment
Miscalculation,{1}{U},2,U,Jeff Laubenstein,36,Instant,"Counter target spell unless its controller pays {2}.\nCycling {2} ({2}, Discard this card: Draw a card.)",ULG,,normal,12376,,,Common,,Instant
Opportunity,{4}{U}{U},6,U,Ron Spears,37,Instant,Target player draws four cards.,"ULG,BRB,7ED,M14,C13","""He cocooned himself alone in his workshop for months. When he finally emerged, all broad grins and excited chatter, I knew he'd found his answer.""\n—Barrin, master wizard",normal,12822,,,Uncommon,,Instant
Palinchron,{5}{U}{U},7,U,Matthew D. Wilson,38,Creature — Illusion,"Flying\nWhen Palinchron enters the battlefield, untap up to seven lands.\n{2}{U}{U}: Return Palinchron to its owner's hand.","ULG,VMA",,normal,12580,4,5,Rare,Illusion,Creature
Raven Familiar,{2}{U},3,U,"Edward P. Beard, Jr.",39,Creature — Bird,"Flying\nEcho {2}{U} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\nWhen Raven Familiar enters the battlefield, look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.","ULG,C13",,normal,12381,1,2,Uncommon,Bird,Creature
Rebuild,{2}{U},3,U,L. A. Williams,40,Instant,"Return all artifacts to their owners' hands.\nCycling {2} ({2}, Discard this card: Draw a card.)",ULG,,normal,12385,,,Uncommon,,Instant
Second Chance,{2}{U},3,U,Mark Tedin,41,Enchantment,"At the beginning of your upkeep, if you have 5 or less life, sacrifice Second Chance and take an extra turn after this one.",ULG,The greatest gift is the opportunity to right one's wrongs.,normal,12391,,,Rare,,Enchantment
Slow Motion,{2}{U},3,U,Todd Lockwood,42,Enchantment — Aura,"Enchant creature\nAt the beginning of the upkeep of enchanted creature's controller, that player sacrifices that creature unless he or she pays {2}.\nWhen Slow Motion is put into a graveyard from the battlefield, return Slow Motion to its owner's hand.",ULG,,normal,12384,,,Common,Aura,Enchantment
Snap,{1}{U},2,U,Mike Raabe,43,Instant,Return target creature to its owner's hand. Untap up to two lands.,ULG,Good riddance.,normal,12374,,,Common,,Instant
Thornwind Faeries,{1}{U}{U},3,U,Rebecca Guay,44,Creature — Faerie,Flying\n{T}: Thornwind Faeries deals 1 damage to target creature or player.,"ULG,C13",Guarding the ship is the Thornwinds' first concern. Getting along with the locals ranks fourth or fifth at best.,normal,12369,1,1,Common,Faerie,Creature
