name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Atinlay Igpay,{5}{W},6,W,Evkay Alkerway,1,Eaturecray — Igpay,"Oubleday ikestray\nEneverwhay Atinlay Igpay's ontrollercay eaksspay ay onnay-Igpay-Atinlay ordway, acrificesay Atinlay Igpay.",UNH,Isthay iecepay ofay avorflay exttay oesn'tday eallyray aysay anythingay.,normal,73937,3,3,Uncommon,Igpay,Eaturecray
AWOL,{2}{W},3,W,Stephen Tappin,2,Instant,Remove target attacking creature from the game. Then remove it from the removed-from-game zone and put it into the absolutely-removed-from-the-freaking-game-forever zone.,UNH,,normal,74231,,,Common,,Instant
Bosom Buddy,{3}{W},4,W,Dan Scott,3,Creature — Elephant Townsfolk,"Whenever you play a spell, you may gain ½ life for each word in that spell's name.",UNH,"""Step 1: I believe in a power and toughness greater than myself . . . .""",normal,73977,1,4,Uncommon,"Elephant,Townsfolk",Creature
Cardpecker,{1}{W},2,W,Richard Sardinha,4,Creature — Bird,"Flying\nGotcha Whenever an opponent touches the table with his or her hand, you may say ""Gotcha"" If you do, return Cardpecker from your graveyard to your hand.",UNH,,normal,74244,1.5,1,Common,Bird,Creature
Cheap Ass,{1}{W},2,W,Randy Gallegos,5,Creature — Donkey Townsfolk,Spells you play cost {½} less to play.,UNH,And you thought Yawgmoth drove a hard bargain.,normal,74220,1,3.5,Common,"Donkey,Townsfolk",Creature
Circle of Protection: Art,{1}{W},2,W,Jim “Stop the Da Vinci Beatdown” Pavelec,6,Enchantment,"As Circle of Protection: Art comes into play, choose an artist.\n{1}{W}: The next time a source of your choice by the chosen artist would deal damage to you this turn, prevent that damage.\n{1}{W}: Return Circle of Protection: Art to its owner's hand.","pARL,UNH",,normal,73940,,,Common,,Enchantment
Collector Protector,{3}{W}{W},5,W,Christopher Rush,7,Creature — Human Gamer,"{W}, Give an opponent a nonland card you own from outside the game: Prevent the next 1 damage that would be dealt to you or Collector Protector this turn.",UNH,"""Here—have a Mudhole.""",normal,74354,2,5,Rare,"Human,Gamer",Creature
Drawn Together,{2}{W}{W},4,W,Pete “Fear Me” Venters,8,Enchantment,"As Drawn Together comes into play, choose an artist.\nCreatures by the chosen artist get +2/+2.",UNH,"""My Pete Venters theme deck is nearly complete. Then I shall be unstoppable Bwahahahaaa""\n—Pete Venters",normal,74325,,,Rare,,Enchantment
Emcee,{2}{W},3,W,Quinton Hoover,9,Creature — Human Rogue,"Whenever another creature comes into play, you may stand up and say in a deep, booming voice ""Presenting . . . "" and that creature's name. If you do, put a +1/+1 counter on that creature.",UNH,The ogre appealed the match loss and got it downgraded to a warning.,normal,73944,0,1,Uncommon,"Human,Rogue",Creature
Erase (Not the Urza's Legacy One),{2}{W},3,W,Pete “Yes the Urza's Legacy One” Venters,10,Instant,"If you control two or more white permanents that share an artist, you may play Erase (Not the Urza's Legacy One) without paying its mana cost.\nRemove target enchantment from the game.",UNH,"Synonyms for ""erase"" we haven't used: ablate, abrade, chafe, fray, frazzle, scuff, and scrub.",normal,74275,,,Common,,Instant
Fascist Art Director,{1}{W}{W},3,W,"Edward P. “Feed Me” Beard, Jr.",11,Creature — Human Horror,{W}{W}: Fascist Art Director gains protection from the artist of your choice until end of turn..,UNH,"Dear Mr. and Mrs. Cranford,\nAfter careful analysis of Jeremy's vocational testing, I feel that he is best suited for a career in either torture or art direction.",normal,74348,2,2,Common,"Human,Horror",Creature
"First Come, First Served",{1}{W},2,W,Thomas Gianni,12,Enchantment,"The attacking or blocking creature with the lowest collector number has first strike. If two or more creatures are tied, they all have first strike.",UNH,"The Yotian soldiers hoped that one day R&D would make an artifact creature whose name starts with Z. And in their dreams, it's a 4/1.",normal,74261,,,Uncommon,,Enchantment
Frankie Peanuts,{2}{W}{W},4,W,Thomas M. Baxa,13,Legendary Creature — Elephant Rogue,"At the beginning of your upkeep, you may ask target player a yes-or-no question. If you do, that player answers the question truthfully and abides by that answer if able until end of turn.",UNH,Don't cross him or you'll end up sleeping with the merfolk.,normal,73950,2,3,Rare,"Elephant,Rogue",Creature
Head to Head,{W},1,W,Thomas Gianni,14,Instant,"You and target opponent play Seven Questions about the top card of that player's library. (That player looks at the card, then you ask up to six yes-or-no questions about the card that he or she answers truthfully. You guess the card's name—that's question seven—and the player reveals the card.) If you win, prevent all damage that would be dealt this turn by a source of your choice.",UNH,,normal,74307,,,Uncommon,,Instant
Ladies' Knight,{3}{W},4,W,Ron Spears,15,Creature — Human Knight,Flying\nSpells that players wearing at least one item of women's clothing play cost {1} less to play. (Women's clothing is designed to be worn exclusively by women.),UNH,"""I said ‘Put him in a core set, not a corset'""\n—Richard Garfield, Ph.D.",normal,74260,2,2,Uncommon,"Human,Knight",Creature
Little Girl,{hw},0.5,,Rebecca Guay,16,Creature — Human Child,,UNH,"In the future, she may be a distinguished leader, a great scholar, or a decorated hero. These days all she does is pee the bed.",normal,74257,.5,.5,Common,"Human,Child",Creature
"Look at Me, I'm R&D",{2}{W},3,W,spork;,17,Enchantment,"As Look at Me, I'm R&D comes into play, choose a number and a second number one higher or one lower than that number.\nAll instances of the first chosen number on permanents, spells, and cards in any zone are the second chosen number.",UNH,,normal,74360,,,Rare,,Enchantment
Man of Measure,{1}{W}{W},3,W,"Edward P. Beard, Jr.",18,Creature — Human Knight,"As long as you're shorter than an opponent, Man of Measure has first strike and gets +0/+1.\nAs long as you're taller than an opponent, Man of Measure gets +1/+0.",UNH,You need to be this tall to play this card.,normal,74268,2,2,Common,"Human,Knight",Creature
Save Life,{W},1,W,Ray Lago,19,Instant,"Choose one Target player gains 2½ life; or prevent the next 2½ damage that would be dealt to target creature this turn.\nGotcha Whenever an opponent says ""Save"" or ""Life,"" you may say ""Gotcha"" If you do, return Save Life from your graveyard to your hand.",UNH,Who consistently managed to win.,normal,74277,,,Uncommon,,Instant
Standing Army,{2}{W}{W},4,W,Randy Gallegos,20,Creature — Human Soldier,"As long as you're standing, Standing Army has vigilance. (Attacking doesn't cause it to tap.)",UNH,They're the chair-men of the bored.,normal,74343,2,4,Common,"Human,Soldier",Creature
Staying Power,{2}{W},3,W,Richard Sardinha,21,Enchantment,"As long as Staying Power is in play, ""until end of turn"" and ""this turn"" effects don't end.",UNH,Mongo's fleas no longer bothered him. But the family of goblins that had moved in behind his left ear was starting to get really irritating.,normal,74276,,,Rare,,Enchantment
Wordmail,{W},1,W,Ron Spencer,22,Enchant Creature,Enchanted creature gets +1/+1 for each word in its name.,UNH,"""Suck on it, Stangg""\n—Sol'kanar the Swamp King",normal,73972,,,Common,,"Enchant,Creature"
_____,{1}{U},2,U,Ron Spears,23,Creature — Shapeshifter,"{1}: This card's name becomes the name of your choice. Play this ability anywhere, anytime.",UNH,"{1}: This card's flavor text becomes the flavor text of your choice. (This ability doesn't work because it's flavor text, not rules text (but neither does this reminder text, so you figure it out).)",normal,74252,1,1,Uncommon,Shapeshifter,Creature
Ambiguity,{2}{U}{U},4,U,Stephen Daniele,24,Enchantment,"Whenever a player plays a spell that counters a spell that has been played or a player plays a spell that comes into play with counters, that player may counter the next spell played or put an additional counter on a permanent that has already been played, but not countered.",UNH,,normal,74317,,,Rare,,Enchantment
Artful Looter,{2}{U},3,U,Heather “Erica Gassalasca-Jape” Hudson,25,Creature — Human Wizard,"{T}: Draw a card, then discard a card.\nWhenever a permanent comes into play that shares an artist with another permanent you control, untap Artful Looter.",UNH,PRICELESS PIC PILFERED\nPainting Found Abandoned in Graveyard\nMerfolk Decry Wizards' Treatment,normal,74356,1,2,Common,"Human,Wizard",Creature
