name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Absolute Grace,{1}{W},2,W,Jeff Miracola,1,Enchantment,All creatures have protection from black.,USG,"In pursuit of Urza, the Phyrexians sent countless foul legions into Serra's realm. Though beaten back, they left it tainted with uncleansable evil.",normal,5716,,,Uncommon,,Enchantment
Absolute Law,{1}{W},2,W,Mark Zug,2,Enchantment,All creatures have protection from red.,USG,The strength of law is unwavering. It is an iron bar in a world of water.,normal,8437,,,Uncommon,,Enchantment
Angelic Chorus,{3}{W}{W},5,W,Ron Spencer,3,Enchantment,"Whenever a creature enters the battlefield under your control, you gain life equal to its toughness.","USG,10E",The very young and the very old know best the song the angels sing.,normal,5714,,,Rare,,Enchantment
Angelic Page,{1}{W},2,W,Rebecca Guay,4,Creature — Angel Spirit,Flying\n{T}: Target attacking or blocking creature gets +1/+1 until end of turn.,"USG,BRB,7ED,8ED,DDC,DD3_DVD",If only every message were as perfect as its bearers.,normal,5781,1,1,Common,"Angel,Spirit",Creature
Brilliant Halo,{1}{W},2,W,Randy Gallegos,5,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +1/+2.\nWhen Brilliant Halo is put into a graveyard from the battlefield, return Brilliant Halo to its owner's hand.","USG,VMA",,normal,9890,,,Common,Aura,Enchantment
Catastrophe,{4}{W}{W},6,W,Andrew Robinson,6,Sorcery,Destroy all lands or all creatures. Creatures destroyed this way can't be regenerated.,"USG,BRB","Radiant's eyes flashed. ""Go, then,"" the angel spat at Serra, ""and leave this world to those who truly care.""",normal,5637,,,Rare,,Sorcery
Clear,{1}{W},2,W,Andrew Robinson,7,Instant,"Destroy target enchantment.\nCycling {2} ({2}, Discard this card: Draw a card.)",USG,,normal,5692,,,Uncommon,,Instant
Congregate,{3}{W},4,W,Mark Zug,8,Instant,Target player gains 2 life for each creature on the battlefield.,"USG,HOP,CMD,M14,M15","""In the gathering there is strength for all who founder, renewal for all who languish, love for all who sing.""\n—Song of All, canto 642",normal,9702,,,Common,,Instant
Defensive Formation,{W},1,W,Greg Staples,9,Enchantment,"Rather than the attacking player, you assign the combat damage of each creature attacking you. You can divide that creature's combat damage as you choose among any of the creatures blocking it.",USG,"""Your enemies will pound upon the door of your defenses, but only you shall have the key, and it is the key of life.""\n—Song of All, canto 873",normal,5588,,,Uncommon,,Enchantment
Disciple of Grace,{1}{W},2,W,Robh Ruppel,10,Creature — Human Cleric,"Protection from black\nCycling {2} ({2}, Discard this card: Draw a card.)","USG,ONS",Beauty is beyond law.,normal,5634,1,2,Common,"Human,Cleric",Creature
Disciple of Law,{1}{W},2,W,Matthew D. Wilson,11,Creature — Human Cleric,"Protection from red\nCycling {2} ({2}, Discard this card: Draw a card.)",USG,A religious order for religious order.,normal,5672,1,2,Common,"Human,Cleric",Creature
Disenchant,{1}{W},2,W,Donato Giancola,12,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR","""Let Phyrexia breed evil in the darkness; my holy light will reveal its taint.""\n—Serra",normal,5630,,,Common,,Instant
Elite Archers,{5}{W},6,W,Greg Staples,13,Creature — Human Soldier Archer,{T}: Elite Archers deals 3 damage to target attacking or blocking creature.,"USG,7ED,8ED",Arrows fletched with the feathers of angels seldom miss their mark.,normal,5771,3,3,Rare,"Human,Soldier,Archer",Creature
Faith Healer,{1}{W},2,W,Randy Gallegos,14,Creature — Human Cleric,Sacrifice an enchantment: You gain life equal to the sacrificed enchantment's converted mana cost.,USG,The power of faith is quiet. It is the leaf unmoved by the hurricane.,normal,5829,1,1,Rare,"Human,Cleric",Creature
Glorious Anthem,{1}{W}{W},3,W,Kev Walker,15,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E","Once heard, the battle song of an angel becomes part of the listener forever.",normal,5835,,,Rare,,Enchantment
