name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
"Akroma, Angel of Fury",{5}{R}{R}{R},8,R,Terese Nielsen,1,Legendary Creature — Angel,"Akroma, Angel of Fury can't be countered.\nFlying, trample, protection from white and from blue\n{R}: Akroma, Angel of Fury gets +1/+0 until end of turn.\nMorph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","PLC,CMD,V15",,normal,401628,6,6,Mythic Rare,Angel,Creature
"Akroma, Angel of Wrath",{5}{W}{W}{W},8,W,Terese Nielsen,2,Legendary Creature — Angel,"Flying, first strike, vigilance, trample, haste, protection from black and from red","LGN,TSB,DDC,DD3_DVD,V15","""Wrath is no vice when inflicted upon the deserving.""",normal,401629,6,6,Mythic Rare,Angel,Creature
Archangel of Strife,{5}{W}{W},7,W,Greg Staples,3,Creature — Angel,"Flying\nAs Archangel of Strife enters the battlefield, each player chooses war or peace.\nCreatures controlled by players who chose war get +3/+0.\nCreatures controlled by players who chose peace get +0/+3.","CMD,V15",,normal,401630,6,6,Mythic Rare,Angel,Creature
"Aurelia, the Warleader",{2}{R}{R}{W}{W},6,"W,R",Slawomir Maniak,4,Legendary Creature — Angel,"Flying, vigilance, haste\nWhenever Aurelia, the Warleader attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase.","GTC,V15","Where Razia was aloof and untouchable, Aurelia is on the frontlines, calling for war.",normal,401631,3,4,Mythic Rare,Angel,Creature
"Avacyn, Angel of Hope",{5}{W}{W}{W},8,W,Jason Chan,5,Legendary Creature — Angel,"Flying, vigilance, indestructible\nOther permanents you control have indestructible.","AVR,V15","A golden helix streaked skyward from the Helvault. A thunderous explosion shattered the silver monolith and Avacyn emerged, free from her prison at last.",normal,401632,8,8,Mythic Rare,Angel,Creature
Baneslayer Angel,{3}{W}{W},5,W,Greg Staples,6,Creature — Angel,"Flying, first strike, lifelink, protection from Demons and from Dragons","M10,M11,V15",Some angels protect the meek and innocent. Others seek out and smite evil wherever it lurks.,normal,401633,5,5,Mythic Rare,Angel,Creature
Entreat the Angels,{X}{X}{W}{W}{W},3,W,Todd Lockwood,7,Sorcery,Put X 4/4 white Angel creature tokens with flying onto the battlefield.\nMiracle {X}{W}{W} (You may cast this card for its miracle cost when you draw it if it's the first card you drew this turn.),"AVR,V15",,normal,401634,,,Mythic Rare,,Sorcery
Exalted Angel,{4}{W}{W},6,W,Tyler Jacobson,8,Creature — Angel,"Flying\nWhenever Exalted Angel deals damage, you gain that much life.\nMorph {2}{W}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","pJGP,ONS,V15",,normal,401635,4,5,Mythic Rare,Angel,Creature
"Iona, Shield of Emeria",{6}{W}{W}{W},9,W,Jason Chan,9,Legendary Creature — Angel,"Flying\nAs Iona, Shield of Emeria enters the battlefield, choose a color.\nYour opponents can't cast spells of the chosen color.","ZEN,MM2,V15",No more shall the righteous cower before evil.,normal,401636,7,7,Mythic Rare,Angel,Creature
Iridescent Angel,{5}{W}{U},7,"W,U",Ryan Alexander Lee,10,Creature — Angel,"Flying, protection from all colors","ODY,V15","She enraptures all, encompasses all, endures all.",normal,401637,4,4,Mythic Rare,Angel,Creature
"Jenara, Asura of War",{G}{W}{U},3,"W,U,G",Chris Rahn,11,Legendary Creature — Angel,"Flying\n{1}{W}: Put a +1/+1 counter on Jenara, Asura of War.","ARB,V15","Wounded soldiers looked up, grateful for her appearance. But she passed over them, her eyes firmly on their foe.",normal,401638,3,3,Mythic Rare,Angel,Creature
Lightning Angel,{1}{R}{W}{U},4,"W,U,R",rk post,12,Creature — Angel,"Flying, vigilance, haste","APC,TSB,DDN,V15","Sudden vengeance, echoing fury.",normal,401639,3,4,Mythic Rare,Angel,Creature
Platinum Angel,{7},7,,Brom,13,Artifact Creature — Angel,Flying\nYou can't lose the game and your opponents can't win the game.,"MRD,10E,M10,M11,V15","She is the apex of the artificer's craft, the spirit of the divine called out of base metal.",normal,401640,4,4,Mythic Rare,Angel,"Artifact,Creature"
Serra Angel,{3}{W}{W},5,W,Rebecca Guay,14,Creature — Angel,Flying (This creature can't be blocked except by creatures with flying or reach.)\nVigilance (Attacking doesn't cause this creature to tap.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pWOS,7ED,8ED,9ED,10E,DDC,M10,M11,ME4,CMD,M12,M13,M14,M15,DD3_DVD,ORI,V15,W16,EMA","Born with wings of light and a sword of faith, this heavenly incarnation embodies both fury and purity.",normal,401641,4,4,Mythic Rare,Angel,Creature
"Tariel, Reckoner of Souls",{4}{W}{B}{R},7,"W,B,R",Wayne Reynolds,15,Legendary Creature — Angel,"Flying, vigilance\n{T}: Choose a creature card at random from target opponent's graveyard. Put that card onto the battlefield under your control.","CMD,V15","""After death you face paradise, damnation, or Tariel.""\n—Priest's teaching",normal,401642,4,7,Mythic Rare,Angel,Creature
