name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ashnod,,,,Ron Spencer,,Vanguard,"Whenever a creature deals damage to you, destroy it.",VAN,"Ashnod served as Mishra's confidante while he led Fallaji weapons development before the Brothers' War. Whereas Mishra works in metals and stone, however, Ashnod works in living flesh. She sees all living things as prototype machines; her ""improvements"" to them make her as feared by allies as by enemies.",vanguard,12329,,,Special,,Vanguard
Barrin,,,,Christopher Rush,,Vanguard,Sacrifice a permanent: Return target creature to its owner's hand.,VAN,"An old and powerful wizard living on the mysterious isle of Tolaria, Barrin is the teacher who trained the young Ertai. He is also Hanna's father, but for reasons known only to the two of them neither acknowledges the other—or their strained relationship.",vanguard,4957,,,Special,,Vanguard
Crovax,,,,Ron Spencer,,Vanguard,"Whenever a creature you control deals damage to a creature or player, you gain 1 life.",VAN,"How does one escape a curse? For Crovax, a wealthy noble, the answer may lie in joining the crew of the Weatherlight as they seek to rescue their abducted captain Sisay.  Secretly, he hopes in his journeys to find Selenia, the angelic being who abandoned him and his family years ago.",vanguard,4958,,,Special,,Vanguard
Eladamri,,,,Mark Zug,,Vanguard,{0}: The next 1 damage that would be dealt to target creature you control is dealt to you instead.,VAN,"Proud, shrewd, and charismatic, Eladamri has a commitment to his people that is absolute. The guerilla war he wages against Volrath has convinced him that the only way to liberate the Skyshroud elves is to lead all Rath's refugees to freedom. So be it.",vanguard,12140,,,Special,,Vanguard
Ertai,,,,Randy Gallegos,,Vanguard,Creatures you control have hexproof. (They can't be the targets of spells or abilities your opponents control.),VAN,"After serving his apprenticeship under Barrin of Tolaria, Ertai graced the Weatherlight crew with his presence as the ship's ""resident"" wizard. He realizes that few recognize his greatness—but then how could they, when they lack his insight and wisdom?",vanguard,4959,,,Special,,Vanguard
Gerrard,,,,Douglas Shuler,,Vanguard,"At the beginning of your draw step, draw an additional card.",VAN,"Soldier. Adventurer. Heir to the Legacy. Gerrard has, over the years, traveled much of Dominaria in search of fortune and glory. Now, after serving nobly in the Benalish army, he has returned to the Weatherlight to serve as captain in Sisay's absence and to take up the battle against the Lord of the Wastes.",vanguard,4960,,,Special,,Vanguard
Gix,,,,Pete Venters,,Vanguard,{3}: Return target creature card from your graveyard to your hand.,VAN,"Through ruthlessness and raw ambition, Gix rose through the Phyrexian regime to the exalted rank of praetor. Even while overseeing many of Phyrexia's most important undertakings, Gix continues his own quest for supremacy . . . for in Phyrexia, the weak become fodder for the strong.",vanguard,12330,,,Special,,Vanguard
Goblin Warchief Avatar,,,,Tim Hildebrandt,5,Vanguard,Attacking creatures you control get +1/+0.,VAN,"They poured from the Skirk Ridge like lava, burning and devouring everything in their path.",vanguard,182251,,,Special,,Vanguard
Goblin Warchief Avatar,,,,UDON,6,Vanguard,Attacking creatures you control get +1/+0.,VAN,"They poured from the Skirk Ridge like lava, burning and devouring everything in their path.",vanguard,210149,,,Special,,Vanguard
Birds of Paradise Avatar,,,,UDON,8,Vanguard,"Lands you control have ""{T}: Add one mana of any color to your mana pool.""",VAN,"Long ago, birds of paradise littered the skies. Thanks to the city's sprawl, most now exist as pets of society's elite.",vanguard,182291,,,Special,,Vanguard
Fallen Angel Avatar,,,,UDON,9,Vanguard,"Whenever a creature you control dies, target opponent loses 1 life and you gain 1 life.",VAN,2004 Holiday Event Participation Avatar,vanguard,182303,,,Special,,Vanguard
Flametongue Kavu Avatar,,,,UDON,14,Vanguard,"Whenever a nontoken creature enters the battlefield under your control, that creature deals X damage to target creature, where X is a number chosen at random from 0 to 4.",VAN,Awarded in celebration of the second birthday of Magic Online,vanguard,182280,,,Special,,Vanguard
Erhnam Djinn Avatar,,,,Greg Staples,27,Vanguard,"Whenever you cast a creature spell, put a 1/1 green Saproling creature token onto the battlefield.",VAN,He provides a safe path to nowhere.,vanguard,182259,,,Special,,Vanguard
Erhnam Djinn Avatar,,,,UDON,28,Vanguard,"Whenever you cast a creature spell, put a 1/1 green Saproling creature token onto the battlefield.",VAN,He provides a safe path to nowhere.,vanguard,210148,,,Special,,Vanguard
Greven il-Vec,,,,Mark Tedin,,Vanguard,"Whenever a creature you control deals damage to a creature, destroy the other creature. It can't be regenerated.",VAN,"As a ruthless leader for Volrath, Greven il-Vec serves his lord by commanding the flying ship Predator. Greven has attained his powerful rank through a series of underhanded schemes and assassinations, the majority of which were blessed by Volrath himself.",vanguard,4961,,,Special,,Vanguard
Grinning Demon Avatar,,,,Mark Zug,29,Vanguard,"Whenever a nontoken creature you control dies, target opponent discards a card.",VAN,It's drawn to the scent of screaming.,vanguard,182304,,,Special,,Vanguard
Grinning Demon Avatar,,,,UDON,30,Vanguard,"Whenever a nontoken creature you control dies, target opponent discards a card.",VAN,It's drawn to the scent of screaming.,vanguard,210150,,,Special,,Vanguard
"Akroma, Angel of Wrath Avatar",,,,UDON,33,Vanguard,"Whenever a creature enters the battlefield under your control, it gains two abilities chosen at random from flying, first strike, trample, haste, protection from black, protection from red, and vigilance.",VAN,"""Chuck's Virtual Party"" avatar (2003)",vanguard,182290,,,Special,,Vanguard
