name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Aku Djinn,{3}{B}{B},5,B,Terese Nielsen,,Creature — Djinn,"Trample\nAt the beginning of your upkeep, put a +1/+1 counter on each creature each opponent controls.",VIS,"""Your arrogance amazes me, Kaervek. Did you not know the price you would pay?""\n—Mangara",normal,3608,5,6,Rare,Djinn,Creature
Anvil of Bogardan,{2},2,,Roger Raupp,,Artifact,"Players have no maximum hand size.\nAt the beginning of each player's draw step, that player draws an additional card, then discards a card.",VIS,,normal,3589,,,Rare,,Artifact
Archangel,{5}{W}{W},7,W,Christopher Rush,,Creature — Angel,"Flying, vigilance","VIS,POR,PO2,6ED,S99,AVR,C13","""My mother once told me angels sing their swords' names with each strike.""\n—Sisay, Captain of the Weatherlight",normal,3708,5,5,Rare,Angel,Creature
Army Ants,{1}{B}{R},3,"B,R",G. Darrow & I. Rabarot,,Creature — Insect,"{T}, Sacrifice a land: Destroy target land.",VIS,"""Do not underestimate the power of many against one.""\n—Sidar Jabari",normal,3733,1,1,Uncommon,Insect,Creature
Betrayal,{U},1,U,Gary Leach,,Enchantment — Aura,"Enchant creature an opponent controls\nWhenever enchanted creature becomes tapped, you draw a card.",VIS,"""Sometimes a burden can be borne only on the shoulders of a willing enemy.""\n—Suq'Ata aphorism",normal,3633,,,Common,Aura,Enchantment
Blanket of Night,{1}{B}{B},3,B,Cliff Nielsen,,Enchantment,Each land is a Swamp in addition to its other land types.,VIS,"""Kaervek imprisoned Mangara out of jealousy, but he taints Jamuraa simply out of spite.""\n—Asmira, Holy Avenger",normal,3609,,,Uncommon,,Enchantment
Bogardan Phoenix,{2}{R}{R}{R},5,R,David O'Connor,,Creature — Phoenix,"Flying\nWhen Bogardan Phoenix dies, exile it if it had a death counter on it. Otherwise, return it to the battlefield under your control and put a death counter on it.",VIS,,normal,3683,3,3,Rare,Phoenix,Creature
Brass-Talon Chimera,{4},4,,Mike Dringenberg,,Artifact Creature — Chimera,First strike\nSacrifice Brass-Talon Chimera: Put a +2/+2 counter on target Chimera creature. It gains first strike. (This effect lasts indefinitely.),VIS,,normal,3590,2,2,Uncommon,Chimera,"Artifact,Creature"
Breathstealer's Crypt,{2}{U}{B},4,"U,B",Blackie del Rio,,Enchantment,"If a player would draw a card, instead he or she draws a card and reveals it. If it's a creature card, that player discards it unless he or she pays 3 life.",VIS,"""Far too many soldiers have died in their beds.""\n—Telim'Tor",normal,3734,,,Rare,,Enchantment
Breezekeeper,{3}{U},4,U,Adam Rex,,Creature — Djinn,"Flying\nPhasing (This phases in or out before you untap during each of your untap steps. While it's phased out, it's treated as though it doesn't exist.)",VIS,"""He blows a gust across the cliff to vanish in a breath of wind.""\n—""Song of the Wind Being""",normal,3634,4,4,Common,Djinn,Creature
Brood of Cockroaches,{1}{B},2,B,G. Darrow & I. Rabarot,,Creature — Insect,"When Brood of Cockroaches is put into your graveyard from the battlefield, at the beginning of the next end step, you lose 1 life and return Brood of Cockroaches to your hand.",VIS,"""It's like waking on a bed of a thousand olives during an earthquake of subtle force.""\n—Afari, Tales",normal,3610,1,1,Uncommon,Insect,Creature
Bull Elephant,{3}{G},4,G,Steve White,,Creature — Elephant,"When Bull Elephant enters the battlefield, sacrifice it unless you return two Forests you control to their owner's hand.","MGB,VIS","Four gray trees and a long, coiling snake. What am I?\n—Zhalfirin riddle",normal,3658,4,4,Common,Elephant,Creature
Chronatog,{1}{U},2,U,Christopher Rush,,Creature — Atog,{0}: Chronatog gets +3/+3 until end of turn. You skip your next turn. Activate this ability only once each turn.,VIS,"For the chronatog, there is no meal like the present.",normal,3635,1,2,Rare,Atog,Creature
