name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Ancestral Recall,{U},1,U,Ryan Pancoast,1,Instant,Target player draws three cards.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,382841,,,Special,,Instant
Time Walk,{1}{U},2,U,Chris Rahn,2,Sorcery,Take an extra turn after this one.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383131,,,Special,,Sorcery
Timetwister,{2}{U},3,U,Matt Stewart,3,Sorcery,"Each player shuffles his or her hand and graveyard into his or her library, then draws seven cards. (Then put Timetwister into its owner's graveyard.)","LEA,LEB,2ED,CED,CEI,VMA",,normal,383132,,,Special,,Sorcery
Black Lotus,{0},,,Chris Rahn,4,Artifact,"{T}, Sacrifice Black Lotus: Add three mana of any one color to your mana pool.","LEA,LEB,2ED,CED,CEI,VMA",,normal,382866,,,Special,,Artifact
Mox Emerald,{0},,G,Volkan Baga,5,Artifact,{T}: Add {G} to your mana pool.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383019,,,Special,,Artifact
Mox Jet,{0},,B,Volkan Baga,6,Artifact,{T}: Add {B} to your mana pool.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383020,,,Special,,Artifact
Mox Pearl,{0},,W,Volkan Baga,7,Artifact,{T}: Add {W} to your mana pool.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383021,,,Special,,Artifact
Mox Ruby,{0},,R,Volkan Baga,8,Artifact,{T}: Add {R} to your mana pool.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383022,,,Special,,Artifact
Mox Sapphire,{0},,U,Volkan Baga,9,Artifact,{T}: Add {U} to your mana pool.,"LEA,LEB,2ED,CED,CEI,VMA",,normal,383023,,,Special,,Artifact
Afterlife,{2}{W},3,W,Brian Snõddy,10,Instant,Destroy target creature. It can't be regenerated. Its controller puts a 1/1 white Spirit creature token with flying onto the battlefield.,"MIR,MMQ,CMD,VMA,C14",,normal,382838,,,Common,,Instant
