name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Abduction,{2}{U}{U},4,U,Colin MacNeil,,Enchantment — Aura,"Enchant creature\nWhen Abduction enters the battlefield, untap enchanted creature.\nYou control enchanted creature.\nWhen enchanted creature dies, return that card to the battlefield under its owner's control.","WTH,6ED",,normal,4476,,,Uncommon,Aura,Enchantment
Abeyance,{1}{W},2,W,Thomas Gianni,,Instant,"Until end of turn, target player can't cast instant or sorcery spells, and that player can't activate abilities that aren't mana abilities.\nDraw a card.",WTH,"""I'm too modest a wizard to reveal the full extent of my abilities.""\n—Ertai, wizard adept",normal,4563,,,Rare,,Instant
Abjure,{U},1,U,Ted Naifeh,,Instant,"As an additional cost to cast Abjure, sacrifice a blue permanent.\nCounter target spell.",WTH,"Mirri's hackles rose as Ertai continued expounding his virtues. ""If that arrogant brat doesn't shut up soon,"" she growled to herself, ""I'm going to have to kill him.""",normal,4477,,,Common,,Instant
Aboroth,{4}{G}{G},6,G,Brom,,Creature — Elemental,"Cumulative upkeep—Put a -1/-1 counter on Aboroth. (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)",WTH,"The Weatherlight banked sharply as the colossal beast rose up to crush the lone rider. ""My bet's on the dirt,"" Gerrard said flatly.",normal,4505,9,9,Rare,Elemental,Creature
Abyssal Gatekeeper,{1}{B},2,B,Mark Tedin,,Creature — Horror,"When Abyssal Gatekeeper dies, each player sacrifices a creature.","WTH,DDC,DD3_DVD","""There are two ways for me to pass this gate. One involves you remaining conscious.""\n—Gerrard of the Weatherlight",normal,4447,1,1,Common,Horror,Creature
Æther Flash,{2}{R}{R},4,R,Ron Spencer,,Enchantment,"Whenever a creature enters the battlefield, Æther Flash deals 2 damage to it.","WTH,6ED,7ED","""You can't get there from here. Well, you can—it just won't be fun.""\n—Ertai, wizard adept",normal,4534,,,Uncommon,,Enchantment
Agonizing Memories,{2}{B}{B},4,B,Mike Dringenberg,,Sorcery,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,"WTH,6ED,7ED,10E","""An innocent man died because of my anger. That knowledge will haunt me for all eternity.""\n—Karn, silver golem",normal,4448,,,Uncommon,,Sorcery
Alabaster Dragon,{4}{W}{W},6,W,Bob Eggleton,,Creature — Dragon,"Flying\nWhen Alabaster Dragon dies, shuffle it into its owner's library.","POR,WTH",,normal,4564,4,4,Rare,Dragon,Creature
Alms,{W},1,W,Rogério Vilela,,Enchantment,"{1}, Exile the top card of your graveyard: Prevent the next 1 damage that would be dealt to target creature this turn.",WTH,"""Helping people is mostly a matter of teaching them to help themselves.""\n—Sisay, journal",normal,4565,,,Common,,Enchantment
Ancestral Knowledge,{1}{U},2,U,Colin MacNeil,,Enchantment,"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)\nWhen Ancestral Knowledge enters the battlefield, look at the top ten cards of your library, then exile any number of them and put the rest back on top of your library in any order.\nWhen Ancestral Knowledge leaves the battlefield, shuffle your library.",WTH,,normal,4478,,,Rare,,Enchantment
