name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Admonition Angel,{3}{W}{W}{W},6,W,Steve Argyle,1,Creature — Angel,"Flying\nLandfall — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.\nWhen Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",WWK,,normal,197160,6,6,Mythic Rare,Angel,Creature
Apex Hawks,{2}{W},3,W,David Palumbo,2,Creature — Bird,Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.)\nFlying\nApex Hawks enters the battlefield with a +1/+1 counter on it for each time it was kicked.,"WWK,CNS",,normal,197769,2,2,Common,Bird,Creature
Archon of Redemption,{3}{W}{W},5,W,Steven Belledin,3,Creature — Archon,"Flying\nWhenever Archon of Redemption or another creature with flying enters the battlefield under your control, you may gain life equal to that creature's power.",WWK,"Until Emeria is freed, he raises his sword in her name.",normal,201575,3,4,Rare,Archon,Creature
Battle Hurda,{4}{W},5,W,Christopher Moeller,4,Creature — Giant,First strike,WWK,"""Murasan hurdas were too aggressive to tolerate a harness, so we put them on guard duty. Now the bandits can't get within spitting distance of us.""\n—Bruse Tarl, Goma Fada nomad",normal,198394,3,3,Common,Giant,Creature
Fledgling Griffin,{1}{W},2,W,Christopher Moeller,5,Creature — Griffin,"Landfall — Whenever a land enters the battlefield under your control, Fledgling Griffin gains flying until end of turn.",WWK,"""We're making progress, but its desire to explore still far exceeds its ability.""\n—Amadi, Halimar griffin-master",normal,191580,2,2,Common,Griffin,Creature
Guardian Zendikon,{2}{W},3,W,John Avon,6,Enchantment — Aura,"Enchant land\nEnchanted land is a 2/6 white Wall creature with defender. It's still a land.\nWhen enchanted land dies, return that card to its owner's hand.","WWK,CNS",,normal,197872,,,Common,Aura,Enchantment
Hada Freeblade,{W},1,W,Cyril Van Der Haegen,7,Creature — Human Soldier Ally,"Whenever Hada Freeblade or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Hada Freeblade.","pWPN,WWK","""I toiled in Kazuul's mines when I was eight. I think I'm tough enough for a little hiking.""",normal,198400,0,1,Uncommon,"Human,Soldier,Ally",Creature
Iona's Judgment,{4}{W},5,W,Mike Bierek,8,Sorcery,Exile target creature or enchantment.,WWK,"Beneath the gaze of angels, only the righteous may stand without fear.",normal,197880,,,Common,,Sorcery
Join the Ranks,{3}{W},4,W,Kekai Kotaki,9,Instant,Put two 1/1 white Soldier Ally creature tokens onto the battlefield.,WWK,"Expeditionary houses are notorious for their rivalries. But when adventurers meet in the wilderness, the instinct for mutual survival outweighs petty grudges.",normal,194706,,,Common,,Instant
Kitesail Apprentice,{W},1,W,Austin Hsu,10,Creature — Kor Soldier,"As long as Kitesail Apprentice is equipped, it gets +1/+1 and has flying.",WWK,"Carving lines through the sky, kite sailors map trails for the pilgrims below to follow.",normal,194018,1,1,Common,"Kor,Soldier",Creature
Kor Firewalker,{W}{W},2,W,Matt Stewart,11,Creature — Kor Soldier,"Protection from red\nWhenever a player casts a red spell, you may gain 1 life.","pWPN,WWK","""A river of lava is just another river to cross.""",normal,194708,2,2,Uncommon,"Kor,Soldier",Creature
Lightkeeper of Emeria,{3}{W},4,W,James Ryman,12,Creature — Angel,"Multikicker {W} (You may pay an additional {W} any number of times as you cast this spell.)\nFlying\nWhen Lightkeeper of Emeria enters the battlefield, you gain 2 life for each time it was kicked.","WWK,CMD",,normal,189159,2,4,Uncommon,Angel,Creature
Loam Lion,{W},1,W,Daniel Ljunggren,13,Creature — Cat,Loam Lion gets +1/+2 as long as you control a Forest.,"WWK,DDH","In Zendikar, today's grassland could be tomorrow's jungle, and hunting grounds change as quickly as the weather.",normal,197873,1,1,Uncommon,Cat,Creature
Marsh Threader,{1}{W},2,W,David Palumbo,14,Creature — Kor Scout,Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.),WWK,"""Give me a sturdy rope over the advice of any so-called expert. I can thread the dark wilds better than anyone.""",normal,194718,2,1,Common,"Kor,Scout",Creature
Marshal's Anthem,{2}{W}{W},4,W,Matt Stewart,15,Enchantment,"Multikicker {1}{W} (You may pay an additional {1}{W} any number of times as you cast this spell.)\nCreatures you control get +1/+1.\nWhen Marshal's Anthem enters the battlefield, return up to X target creature cards from your graveyard to the battlefield, where X is the number of times Marshal's Anthem was kicked.","WWK,C14,C15",,normal,198393,,,Rare,,Enchantment
Perimeter Captain,{W},1,W,Steven Belledin,16,Creature — Human Soldier,"Defender\nWhenever a creature you control with defender blocks, you may gain 2 life.",WWK,"""We stand between the jaws of chaos and the mantle of order.""",normal,198361,0,4,Uncommon,"Human,Soldier",Creature
Refraction Trap,{3}{W},4,W,Zoltan Boros & Gabor Szikszai,17,Instant — Trap,"If an opponent cast a red instant or sorcery spell this turn, you may pay {W} rather than pay Refraction Trap's mana cost.\nPrevent the next 3 damage that a source of your choice would deal to you and/or permanents you control this turn. If damage is prevented this way, Refraction Trap deals that much damage to target creature or player.",WWK,,normal,189163,,,Uncommon,Trap,Instant
Rest for the Weary,{1}{W},2,W,James Paick,18,Instant,"Target player gains 4 life.\nLandfall — If you had a land enter the battlefield under your control this turn, that player gains 8 life instead.",WWK,"Zendikar is a brutal taskmaster, but sometimes it offers unexpected solace.",normal,189180,,,Common,,Instant
Ruin Ghost,{1}{W},2,W,Jason A. Engle,19,Creature — Spirit,"{W}, {T}: Exile target land you control, then return it to the battlefield under your control.",WWK,The Forsaken Ones haunt the ruins that flicker in and out of the spirit realm. Such sites are hard to find and even harder to loot.,normal,198378,1,1,Uncommon,Spirit,Creature
Stoneforge Mystic,{1}{W},2,W,Mike Bierek,20,Creature — Kor Artificer,"When Stoneforge Mystic enters the battlefield, you may search your library for an Equipment card, reveal it, put it into your hand, then shuffle your library.\n{1}{W}, {T}: You may put an Equipment card from your hand onto the battlefield.",WWK,,normal,198383,1,2,Rare,"Kor,Artificer",Creature
Talus Paladin,{3}{W},4,W,Svetlin Velinov,21,Creature — Human Knight Ally,"Whenever Talus Paladin or another Ally enters the battlefield under your control, you may have Allies you control gain lifelink until end of turn, and you may put a +1/+1 counter on Talus Paladin.",WWK,"""Why fill pockets with gold when you can fill hearts with conviction?""",normal,194672,2,3,Rare,"Human,Knight,Ally",Creature
Terra Eternal,{2}{W},3,W,Daniel Ljunggren,22,Enchantment,All lands have indestructible.,WWK,"""If this world could make a wish, it would be to survive the parasites who loot its treasures and threaten its life force.""\n—Saidah, Joraga hunter",normal,197866,,,Rare,,Enchantment
Veteran's Reflexes,{W},1,W,Scott Chou,23,Instant,Target creature gets +1/+1 until end of turn. Untap that creature.,WWK,"""Assume everything wants to kill you. At the very least, assume everything wants what's in your pack.""",normal,198384,,,Common,,Instant
Æther Tradewinds,{2}{U},3,U,Kieran Yanner,24,Instant,Return target permanent you control and target permanent you don't control to their owners' hands.,"WWK,CNS","""The wind smells of misfortune. Check your knots.""\n—Anitan, Ondu cleric",normal,201568,,,Common,,Instant
Calcite Snapper,{1}{U}{U},3,U,David Palumbo,25,Creature — Turtle,"Shroud (This creature can't be the target of spells or abilities.)\nLandfall — Whenever a land enters the battlefield under your control, you may switch Calcite Snapper's power and toughness until end of turn.",WWK,,normal,191569,1,4,Common,Turtle,Creature
Dispel,{U},1,U,Vance Kovacs,26,Instant,Counter target instant spell.,"WWK,RTR,BFZ",The Jwari winds undo reality as easily as they scatter a pile of leaves.,normal,201562,,,Common,,Instant
Enclave Elite,{2}{U},3,U,Igor Kieryluk,27,Creature — Merfolk Soldier,Multikicker {1}{U} (You may pay an additional {1}{U} any number of times as you cast this spell.)\nIslandwalk (This creature can't be blocked as long as defending player controls an Island.)\nEnclave Elite enters the battlefield with a +1/+1 counter on it for each time it was kicked.,"WWK,CNS",,normal,197767,2,2,Common,"Merfolk,Soldier",Creature
Goliath Sphinx,{5}{U}{U},7,U,Greg Staples,28,Creature — Sphinx,Flying,WWK,"He makes his home on the tallest mountain in Sejiri, where the vista is as endless as his patience.",normal,197153,8,7,Rare,Sphinx,Creature
Halimar Excavator,{1}{U},2,U,Kev Walker,29,Creature — Human Wizard Ally,"Whenever Halimar Excavator or another Ally enters the battlefield under your control, target player puts the top X cards of his or her library into his or her graveyard, where X is the number of Allies you control.",WWK,,normal,197129,1,3,Common,"Human,Wizard,Ally",Creature
Horizon Drake,{1}{U}{U},3,U,Adi Granov,30,Creature — Drake,"Flying, protection from lands",WWK,"Using thermal updrafts and gravity currents, drakes eat and sleep in the air. Some never touch the ground from birth until death.",normal,180412,3,1,Uncommon,Drake,Creature
"Jace, the Mind Sculptor",{2}{U}{U},4,U,Jason Chan,31,Planeswalker — Jace,"+2: Look at the top card of target player's library. You may put that card on the bottom of that player's library.\n0: Draw three cards, then put two cards from your hand on top of your library in any order.\n−1: Return target creature to its owner's hand.\n−12: Exile all cards from target player's library, then that player shuffles his or her hand into his or her library.","WWK,V13,VMA,EMA",,normal,195297,,,Mythic Rare,Jace,Planeswalker
Jwari Shapeshifter,{1}{U},2,U,Kev Walker,32,Creature — Shapeshifter Ally,You may have Jwari Shapeshifter enter the battlefield as a copy of any Ally creature on the battlefield.,WWK,"""The best expedition would be an entire team of me.""",normal,198390,0,0,Rare,"Shapeshifter,Ally",Creature
