name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Armament Master,{W}{W},2,W,Steven Belledin,1,Creature — Kor Soldier,Other Kor creatures you control get +2/+2 for each Equipment attached to Armament Master.,ZEN,"""We prepare for the known with daggers, rations, rope, and pitons. But we also prepare for the unknown with billycat tails, pikku roots, hedron chips . . .""",normal,190420,2,2,Rare,"Kor,Soldier",Creature
Arrow Volley Trap,{3}{W}{W},5,W,Steve Argyle,2,Instant — Trap,"If four or more creatures are attacking, you may pay {1}{W} rather than pay Arrow Volley Trap's mana cost.\nArrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.","ZEN,DDN",,normal,193404,,,Uncommon,Trap,Instant
Bold Defense,{2}{W},3,W,Scott Chou,3,Instant,"Kicker {3}{W} (You may pay an additional {3}{W} as you cast this spell.)\nCreatures you control get +1/+1 until end of turn. If Bold Defense was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.",ZEN,,normal,180509,,,Common,,Instant
Brave the Elements,{W},1,W,Goran Josic,4,Instant,Choose a color. White creatures you control gain protection from the chosen color until end of turn.,"pMPR,ZEN,M14,C14","""Trust me, your lost fingers and toes are nothing compared to the lost treasures of Sejiri.""\n—Zahr Gada, Halimar expedition leader",normal,185734,,,Uncommon,,Instant
Caravan Hurda,{4}{W},5,W,Dave Kendall,5,Creature — Giant,Lifelink (Damage dealt by this creature also causes you to gain that much life.),ZEN,"""Not too bright, but good enough for the job required—carrying and walking in a straight line.""\n—Bruse Tarl, Goma Fada nomad",normal,185697,1,5,Common,Giant,Creature
Celestial Mantle,{3}{W}{W}{W},6,W,Steve Argyle,6,Enchantment — Aura,"Enchant creature\nEnchanted creature gets +3/+3.\nWhenever enchanted creature deals combat damage to a player, double its controller's life total.",ZEN,"Upon such armor, even a mountain would break.",normal,198524,,,Rare,Aura,Enchantment
Cliff Threader,{1}{W},2,W,Paul Bonner,7,Creature — Kor Scout,Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.),ZEN,"""The crossing demands singular focus. Your life consists of these ropes, these hooks, and these rocky crags. Your past is miles below.""",normal,177546,2,1,Common,"Kor,Scout",Creature
Conqueror's Pledge,{2}{W}{W}{W},5,W,Kev Walker,8,Sorcery,"Kicker {6} (You may pay an additional {6} as you cast this spell.)\nPut six 1/1 white Kor Soldier creature tokens onto the battlefield. If Conqueror's Pledge was kicked, put twelve of those tokens onto the battlefield instead.",ZEN,,normal,195626,,,Rare,,Sorcery
Day of Judgment,{2}{W}{W},4,W,Vincent Proce,9,Sorcery,Destroy all creatures.,"pMEI,pMPR,ZEN,M11,M12","""I have seen planes leveled and all life rendered to dust. It brought no pleasure, even to a heart as dark as mine.""\n—Sorin Markov",normal,186309,,,Rare,,Sorcery
Devout Lightcaster,{W}{W}{W},3,W,Shelly Wan,10,Creature — Kor Cleric,"Protection from black\nWhen Devout Lightcaster enters the battlefield, exile target black permanent.",ZEN,"""Goddess, grant us light to banish the world's shadows.""\n—Prayer to Kamsa",normal,191374,2,2,Rare,"Kor,Cleric",Creature
Emeria Angel,{2}{W}{W},4,W,Jim Murray,11,Creature — Angel,"Flying\nLandfall — Whenever a land enters the battlefield under your control, you may put a 1/1 white Bird creature token with flying onto the battlefield.","pWPN,ZEN","When the earth shudders, the sky overflows.",normal,190399,3,3,Rare,Angel,Creature
Felidar Sovereign,{4}{W}{W},6,W,Zoltan Boros & Gabor Szikszai,12,Creature — Cat Beast,"Vigilance, lifelink\nAt the beginning of your upkeep, if you have 40 or more life, you win the game.","ZEN,BFZ","""If survival is a game, I've seen the winner.""\n—Hazir, Sejiri cartographer",normal,185743,4,6,Mythic Rare,"Cat,Beast",Creature
