name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
River Boa,{1}{G},2,,Steve White,1,Creature — Snake,Islandwalk (This creature can't be blocked as long as defending player controls an Island.)\n{G}: Regenerate River Boa.,"VIS,6ED,BRB,pFNM,ZEN,DPA,DDM","""But no one heard the snake's gentle hiss for peace over the elephant's trumpeting of war.""\n—Afari, Tales",normal,,2,1,Special,Snake,Creature
Terror,{1}{B},2,,Ron Spencer,2,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ATH,6ED,BRB,pFNM,S00,BTD,pMPR,MRD,10E,DPA,ME4",,normal,,,,Special,,Instant
Longbow Archer,{W}{W},2,,Eric Peterson,3,Creature — Human Soldier Archer,First strike; reach (This creature can block creatures with flying.),"VIS,6ED,pFNM,7ED","""If it bears wings, I will pin it to the skies over Tefemburu.""\n—Roya, Zhalfirin archer",normal,,2,2,Special,"Human,Soldier,Archer",Creature
Volcanic Geyser,{X}{R}{R},2,,David O'Connor,4,Instant,Volcanic Geyser deals X damage to target creature or player.,"MIR,6ED,pFNM,M13,M14",My thunder comes before the lightning; my lightning comes before the clouds; my rain dries all the land it touches. What am I? —Femeref riddle,normal,,,,Special,,Instant
Mind Warp,{X}{3}{B},4,,Liz Danforth,5,Sorcery,Look at target player's hand and choose X cards from it. That player discards those cards.,"ICE,5ED,6ED,pFNM",The hardest of wizards can have the softest of minds.,normal,,,,Special,,Sorcery
Shock,{R},1,,Randy Gallegos,6,Instant,Shock deals 2 damage to target creature or player.,"STH,6ED,pFNM,S00,BTD,7ED,ONS,8ED,9ED,10E,DPA,M12,M14,DDN",Lightning tethers souls to the world. —Kor saying,normal,,,,Special,,Instant
Staunch Defenders,{3}{W}{W},5,,Mark Poole,7,Creature — Human Soldier,"When Staunch Defenders enters the battlefield, you gain 4 life.","TMP,6ED,pFNM,7ED,8ED,TPR","""Hold your position! Leave doubt for the dying!""\n—Tahngarth of the Weatherlight",normal,,3,4,Special,"Human,Soldier",Creature
Giant Growth,{G},1,,Sandra Everingham,8,Instant,Target creature gets +3/+3 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,ATH,6ED,BRB,pSUS,pFNM,S00,BTD,7ED,pMPR,DKM,8ED,9ED,10E,EVG,ME2,M10,ME3,DDD,DPA,M11,ME4,RTR,M14,DD3_EVG,DD3_GVL",,normal,,,,Special,,Instant
Prodigal Sorcerer,{2}{U},3,,Douglas Shuler,9,Creature — Human Wizard,{T}: Prodigal Sorcerer deals 1 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,BRB,pFNM,S00,7ED,TSB,ME4,EMA",,normal,,1,1,Special,"Human,Wizard",Creature
Stone Rain,{2}{R},3,,Daniel Gelon,10,Sorcery,Destroy target land.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,MIR,5ED,POR,TMP,PO2,6ED,PTK,S99,MMQ,pFNM,S00,7ED,8ED,CHK,9ED",,normal,,,,Special,,Sorcery
Llanowar Elves,{G},1,,Anson Maddocks,11,Creature — Elf Druid,{T}: Add {G} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,BRB,pFNM,S00,BTD,7ED,9ED,pGTW,10E,EVG,M10,M11,M12,C14,DD3_EVG,EMA",,normal,,1,1,Special,"Elf,Druid",Creature
Swords to Plowshares,{W},1,,Jeff A. Menges,12,Instant,Exile target creature. Its controller gains life equal to its power.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pJGP,ATH,BRB,pFNM,CST,ME2,DDF,ME4,V13,CNS,VMA,EMA","""Peace hath her victories No less renownd than war."" - John Milton, ""To the Lord General Cromwell""",normal,,,,Special,,Instant
Ophidian,{2}{U},3,,Cliff Nielsen,13,Creature — Snake,"Whenever Ophidian attacks and isn't blocked, you may draw a card. If you do, Ophidian assigns no combat damage this turn.","WTH,pFNM,DD2,VMA,DD3_JVC","""I will ... tell thee more than thou hast wit to ask.""\n—Christopher Marlowe, Doctor Faustus",normal,,1,3,Special,Snake,Creature
Jackal Pup,{R},1,,Susan Van Camp,14,Creature — Hound,"Whenever Jackal Pup is dealt damage, it deals that much damage to you.","TMP,pFNM,PD2","""Cry havoc and let slip the dogs of war.""\n—William Shakespeare, Julius Caesar",normal,,2,1,Special,Hound,Creature
Quirion Ranger,{G},1,,Tom Kyffin,15,Creature — Elf,Return a Forest you control to its owner's hand: Untap target creature. Activate this ability only once each turn.,"VIS,pFNM","""I went to the woods because I wished to live deliberately.""\n—Henry David Thoreau, Walden",normal,,1,1,Special,Elf,Creature
Carnophage,{B},1,,Pete Venters,16,Creature — Zombie,"At the beginning of your upkeep, tap Carnophage unless you pay 1 life.","EXO,pFNM,VMA,TPR","""And in their blind and unattaining state their miserable lives have sunk so low that they must envy every other fate.""\n—Dante, Inferno, trans. Ciardi",normal,,2,2,Special,Zombie,Creature
Impulse,{1}{U},2,,Bryan Talbot,17,Instant,Look at the top four cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.,"VIS,pFNM,BTD,V13,DDN",,normal,,,,Special,,Instant
Fireblast,{4}{R}{R},6,,Michael Danza,18,Instant,You may sacrifice two Mountains rather than pay Fireblast's mana cost.\nFireblast deals 4 damage to target creature or player.,"VIS,pFNM,DD2,PD2,VMA,DD3_JVC",,normal,,,,Special,,Instant
Soltari Priest,{W}{W},2,,Janet Aulisio,19,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""Fire is the test of gold; adversity of strong men."" - Seneca, ""On Providence,"" trans. Basara",normal,,2,1,Special,"Soltari,Cleric",Creature
Albino Troll,{1}{G},2,,Paolo Parente,20,Creature — Troll,"Echo {1}{G} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{1}{G}: Regenerate Albino Troll.","USG,pFNM,DDD,DD3_GVL",,normal,,3,3,Special,Troll,Creature
