name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Wood Elves,{2}{G},3,G,Rebecca Guay,1,Creature — Elf Scout,"When Wood Elves enters the battlefield, search your library for a Forest card and put that card onto the battlefield. Then shuffle your library.","POR,EXO,S99,7ED,8ED,9ED,pGTW,EVG,C14,DD3_EVG,C15","Every branch a crossroads, every vine a swift steed.",normal,,1,1,Special,"Elf,Scout",Creature
Icatian Javelineers,{W},1,W,Michael Phillippi,2,Creature — Human Soldier,"Icatian Javelineers enters the battlefield with a javelin counter on it.\n{T}, Remove a javelin counter from Icatian Javelineers: Icatian Javelineers deals 1 damage to target creature or player.","FEM,ATH,pGTW,TSB,ME2,DDO",,normal,,1,1,Special,"Human,Soldier",Creature
Fiery Temper,{1}{R}{R},3,R,Ben Wootten,3,Instant,"Fiery Temper deals 3 damage to target creature or player.\nMadness {R} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)","TOR,pGTW,TSB,SOI",,normal,,,,Special,,Instant
Boomerang,{U}{U},2,U,Rebecca Guay,4,Instant,Return target permanent to its owner's hand.,"LEG,CHR,MIR,5ED,6ED,7ED,8ED,9ED,pGTW,10E,ME3,DPA","""Returne from whence ye came...""\n—Edmund Spenser, The Faerie Queene",normal,,,,Special,,Instant
Calciderm,{2}{W}{W},4,W,Dave Kendall,5,Creature — Beast,"Shroud (This creature can't be the target of spells or abilities.)\nVanishing 4 (This permanent enters the battlefield with four time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)","pGTW,PLC,EMA",,normal,,5,5,Special,Beast,Creature
Reckless Wurm,{3}{R}{R},5,R,Greg Staples,6,Creature — Wurm,"Trample\nMadness {2}{R} (If you discard this card, you may cast it for its madness cost instead of putting it into your graveyard.)","pGTW,PLC","Bred for battle in the Grand Coliseum, these wurms annihilated whole ecosystems when released into the wild.",normal,,4,4,Special,Wurm,Creature
Yixlid Jailer,{1}{B},2,B,Alex Horley-Orlandelli,7,Creature — Zombie Wizard,Cards in graveyards lose all abilities.,"pGTW,FUT",He holds the keys to a tombful of incarcerated secrets.,normal,,2,1,Special,"Zombie,Wizard",Creature
Zoetic Cavern,,,,Martina Pilcerova,8,Land,{T}: Add {C} to your mana pool.\nMorph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"pGTW,FUT,CMD,C14,C15","Nothing lives within it, yet there is life.",normal,,,,Special,,Land
Llanowar Elves,{G},1,G,Anson Maddocks,9,Creature — Elf Druid,{T}: Add {G} to your mana pool.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,ATH,6ED,BRB,pFNM,S00,BTD,7ED,9ED,pGTW,10E,EVG,M10,M11,M12,C14,DD3_EVG,EMA","Whenever the Llanowar elves gather the fruits of their forest, they leave one plant of each type untouched, considering that nature's portion.",normal,,1,1,Special,"Elf,Druid",Creature
Mogg Fanatic,{R},1,R,Nils Hamm,10,Creature — Goblin,Sacrifice Mogg Fanatic: Mogg Fanatic deals 1 damage to target creature or player.,"TMP,ATH,pFNM,pGTW,10E,EVG,PD2,DD3_EVG,TPR,EMA","""As if his chest had been a mortar, he burst his hot heart's shell upon it.""\n—Herman Melville, Moby Dick",normal,,1,1,Special,Goblin,Creature
Mind Stone,{2},2,,Martina Pilcerova,11,Artifact,"{T}: Add {C} to your mana pool.\n{1}, {T}, Sacrifice Mind Stone: Draw a card.","WTH,pGTW,10E,DD2,C14,DD3_JVC,DDP,C15","""Except our own thoughts, there is nothing absolutely in our power.""\n—Rene Descartes, Discourse on Method",normal,,,,Special,,Artifact
Dauntless Dourbark,{3}{G},4,G,Jeremy Jarvis,12,Creature — Treefolk Warrior,Dauntless Dourbark's power and toughness are each equal to the number of Forests you control plus the number of Treefolk you control.\nDauntless Dourbark has trample as long as you control another Treefolk.,"pGTW,LRW",,normal,,*,*,Special,"Treefolk,Warrior",Creature
Lava Axe,{4}{R},5,R,Ray Lago,13,Sorcery,Lava Axe deals 5 damage to target player.,"POR,PO2,ULG,S99,S00,BTD,7ED,8ED,9ED,pGTW,10E,M10,M11,M12,M14,M15","""Catch!""",normal,,,,Special,,Sorcery
Cenn's Tactician,{W},1,W,Steven Belledin,14,Creature — Kithkin Soldier,"{W}, {T}: Put a +1/+1 counter on target Soldier creature.\nEach creature you control with a +1/+1 counter on it can block an additional creature.","pGTW,MOR","""A well-trained force brings peace... which brings more time for training!""",normal,,1,1,Special,"Kithkin,Soldier",Creature
Oona's Blackguard,{1}{B},2,B,Darrell Riche,15,Creature — Faerie Rogue,"Flying\nEach other Rogue creature you control enters the battlefield with an additional +1/+1 counter on it.\nWhenever a creature you control with a +1/+1 counter on it deals combat damage to a player, that player discards a card.","pGTW,MOR",,normal,,1,1,Special,"Faerie,Rogue",Creature
Gravedigger,{3}{B},4,B,Tony Szczudlo,16,Creature — Zombie,"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand.","POR,TMP,6ED,S99,BTD,7ED,ODY,8ED,9ED,pGTW,10E,M10,HOP,M11,CMD,M12,M15,TPR,EMA",A full coffin is like a full coffer-both are attractive to thieves.,normal,,2,2,Special,Zombie,Creature
Boggart Ram-Gang,{R/G}{R/G}{R/G},3,"R,G",Lucio Parrillo,17,Creature — Goblin Warrior,Haste\nWither (This deals damage to creatures in the form of -1/-1 counters.),"pGTW,SHM,PD2","""We’re going to need a bigger gate."" —Bowen, Barrenton guardcaptain",normal,,3,3,Special,"Goblin,Warrior",Creature
Wilt-Leaf Cavaliers,{G/W}{G/W}{G/W},3,"W,G",Steven Belledin,18,Creature — Elf Knight,Vigilance,"pGTW,SHM,DDG","Every elf in Shadowmoor is charged from birth with a terrible duty: to strike back against the ugliness and darkness, even though they are all around and seemingly without end.",normal,,3,4,Special,"Elf,Knight",Creature
