name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Fruitcake Elemental,{1}{G}{G},3,G,Darrell Riche,1,Creature — Elemental,"Fruitcake Elemental is indestructible.\nAt the end of your turn, Fruitcake Elemental deals 7 damage to you.\n{3}: Target player gains control of Fruitcake Elemental.",pHHO,Experiments intended to create the perfect holiday emissary resulted in a substance harder than darksteel and a fraction as merry.,normal,,7,7,Special,Elemental,Creature
Gifts Given,{3}{U},4,U,Jason Chan,2,Instant,Search target opponent's library for four cards with different names and reveal them. That player chooses two of those cards. Put the chosen cards into the player's graveyard and the rest into your hand. Then that player shuffles his or her library.,pHHO,"""Thanks! You shouldn't have.""",normal,,,,Special,,Instant
Evil Presents,{2}{B}{B},4,B,Paul Bonner,3,Sorcery,Put a creature card from your hand into play under target opponent's control. That creature attacks each turn if able... and always attacks its controller.,pHHO,'Tis better to give than to receive.,normal,,,,Special,,Sorcery
Season's Beatings,{R}{R}{R}{R},4,R,Kev Walker,4,Sorcery,Family gathering - Each creature target player controls deals damage equal to its power to another random creature that player controls.,pHHO,"Arriving home, he suddenly longed for the bloodsoaked battlefields behind him.",normal,,,,Special,,Sorcery
Snow Mercy,{2}{W}{W},4,W,rk post,5,Snow Enchantment,"Whenever a creature deals damage to you, put a globe counter on it.\n{T}, {Q}, {T}, {Q}, {T}: Tap all creatures with globe counters on them.",pHHO,"WARNING: Shake gently. Contents may cause choking, hypothermia, and/or planar invasion.",normal,,,,Special,,Enchantment
Yule Ooze,{2}{R}{G},4,"R,G",Steve Prescott,6,Creature — Ooze,"At the beginning of your upkeep, destroy another nonland permanent chosen at random, then put a number of +1/+1 counters on Yule Ooze equal to that permanent's converted mana cost.\n{R}{G}, Eat some food: Regenerate Yule Ooze.",pHHO,It loves having family for dinner.,normal,,1,1,Special,Ooze,Creature
Naughty,{1}{B}{B},3,"W,B",Greg Staples,7a,Sorcery,Search another target player's library for a card and put that card into your hand. Then shuffle that player's library.,pHHO,,split,,,,Special,,Sorcery
Nice,{1}{W}{W},3,"W,B",Greg Staples,7b,Sorcery,Search your library for a card and put it into another target player's hand. Then shuffle your library.,pHHO,,split,,,,Special,,Sorcery
Stocking Tiger,{5},5,,Terese Nielsen,8,Artifact Creature — Cat Construct,"Stocking Tiger enters the battlefield with a sealed Magic booster pack under it.\nWhen Stocking Tiger deals combat damage to a player, unwrap the booster pack and put it in your hand.",pHHO,Just hope yours isn't full of coal golems.,normal,,3,3,Special,"Cat,Construct","Artifact,Creature"
Mishra's Toy Workshop,,,,Jung Park,9,Land,{T}: Add {C}{C}{C} to your mana pool. Spend this mana only on spells and abilities that put tokens onto the battlefield. Use toys to represent the tokens.,pHHO,"Even though Urza tried to apologize, Mishra continued to bear a grudge.",normal,,,,Special,,Land
