name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Lightning Bolt,{R},1,R,Christopher Rush,1,Instant,Lightning Bolt deals 3 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,ATH,BTD,pMPR,MED,M10,M11,PD2,MM2",,normal,,,,Special,,Instant
Stroke of Genius,{X}{2}{U},3,U,Stephen Daniele,2,Instant,Target player draws X cards.,"pJGP,USG,VMA,C14,C15","After a hundred failed experiments, Urza was stunned to find that common silver passed through the portal undamaged. He immediately designed a golem made of the metal.",normal,,,,Special,,Instant
Gaea's Cradle,,,G,Mark Zug,3,Legendary Land,{T}: Add {G} to your mana pool for each creature you control.,"pJGP,USG",""Here sprouted the first seedling of Argoth. Here the last tree will fall."\n—Gamelon, Citanul elder",normal,,,,Special,,Land
Memory Lapse,{1}{U},2,U,Mark Tedin,4,Instant,"Counter target spell. If that spell is countered this way, put it on top of its owner's library instead of into that player's graveyard.","HML,MIR,5ED,pJGP,6ED,7ED,DDM",""Um...oh...what was I saying?"\n—Reveka, wizard savant",normal,,,,Special,,Instant
Counterspell,{U}{U},2,U,Dom!,5,Instant,Counter target spell.,"LEA,LEB,2ED,CED,CEI,3ED,pLGM,4ED,ICE,5ED,TMP,pJGP,6ED,S99,MMQ,BRB,pFNM,S00,BTD,7ED,ME2,DD2,ME4,VMA,DD3_JVC,TPR",,normal,,,,Special,,Instant
Vampiric Tutor,{B},1,B,Gary Leach,6,Instant,"Search your library for a card, then shuffle your library and put that card on top of it. You lose 2 life.","VIS,pJGP,6ED,VMA",,normal,,,,Special,,Instant
Ball Lightning,{R}{R}{R},3,R,Quinton Hoover,7,Creature — Elemental,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nHaste (This creature can attack and {T} as soon as it comes under your control.)
At the beginning of the end step, sacrifice Ball Lightning.","DRK,4ED,5ED,pJGP,BTD,MED,M10,PD2",""Life, struck sharp on death, Makes awful lightning." - Elizabeth Barrett Browning, "Aurora Leigh"",normal,,6,1,Special,Elemental,Creature
Oath of Druids,{1}{G},2,G,Daren Bader,8,Enchantment,"At the beginning of each player's upkeep, that player chooses target player who controls more creatures than he or she does and is his or her opponent. The first player may reveal cards from the top of his or her library until he or she reveals a creature card. If he or she does, that player puts that card onto the battlefield and all other cards revealed this way into his or her graveyard.","pJGP,EXO,VMA,TPR",,normal,,,,Special,,Enchantment
Hammer of Bogardan,{1}{R}{R},3,R,Ron Spencer,9,Sorcery,Hammer of Bogardan deals 3 damage to target creature or player.\n{2}{R}{R}{R}: Return Hammer of Bogardan from your graveyard to your hand. Activate this ability only during your upkeep.,"MIR,pJGP,6ED,8ED,PD2",,normal,,,,Special,,Sorcery
Tradewind Rider,{3}{U},4,U,John Matson,10,Creature — Spirit,"Flying\n{T}, Tap two untapped creatures you control: Return target permanent to its owner's hand.","TMP,pJGP,VMA,TPR",""'Tis a shame, in such a tempest, to have but one anchor."\n—Laurence Sterne, Tristram Shandy",normal,,1,4,Special,Spirit,Creature
Intuition,{2}{U},3,U,April Lee,11,Instant,Search your library for three cards and reveal them. Target opponent chooses one. Put that card into your hand and the rest into your graveyard. Then shuffle your library.,"TMP,pJGP,TPR",,normal,,,,Special,,Instant
Argothian Enchantress,{1}{G},2,G,Daren Bader,12,Creature — Human Druid,"Shroud (This creature can't be the target of spells or abilities.)\nWhenever you cast an enchantment spell, draw a card.","pJGP,USG",,normal,,0,1,Special,"Human,Druid",Creature
Living Death,{3}{B}{B},5,B,Charles Gillespie,13,Sorcery,"Each player exiles all creature cards from his or her graveyard, then sacrifices all creatures he or she controls, then puts all cards he or she exiled this way onto the battlefield.","TMP,pJGP,BRB,DDE,CMD,VMA,V14,TPR",,normal,,,,Special,,Sorcery
Armageddon,{3}{W},4,W,John Avon,14,Sorcery,Destroy all lands.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,PO2,pJGP,ATH,6ED,S99,MED,ME4,VMA,V14",""'O miserable of happy! Is this the end/ Of this new glorious world... ?'"\n—John Milton, Paradise Lost",normal,,,,Special,,Sorcery
