name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Earwig Squad,{3}{B}{B},5,B,Warren Mahy,1,Creature — Goblin Rogue,"Prowl {2}{B} (You may cast this for its prowl cost if you dealt combat damage to a player this turn with a Goblin or Rogue.)\nWhen Earwig Squad enters the battlefield, if its prowl cost was paid, search target opponent's library for three cards and exile them. Then that player shuffles his or her library.","MOR,pLPA,MMA",,normal,,5,3,Special,"Goblin,Rogue",Creature
Vexing Shusher,{R/G}{R/G},2,"R,G",Cyril Van Der Haegen,2,Creature — Goblin Shaman,Vexing Shusher can't be countered.\n{R/G}: Target spell can't be countered by spells or abilities.,"pLPA,SHM","The stench of bloodcap mushrooms on the breath is enough to ward off even the most potent magics, especially when combined with a special chant: ""Hushhh.""",normal,,2,2,Special,"Goblin,Shaman",Creature
Figure of Destiny,{R/W},1,"W,R",Scott M. Fischer,3,Creature — Kithkin,"{R/W}: Figure of Destiny becomes a Kithkin Spirit with base power and toughness 2/2.\n{R/W}{R/W}{R/W}: If Figure of Destiny is a Spirit, it becomes a Kithkin Spirit Warrior with base power and toughness 4/4.\n{R/W}{R/W}{R/W}{R/W}{R/W}{R/W}: If Figure of Destiny is a Warrior, it becomes a Kithkin Spirit Warrior Avatar with base power and toughness 8/8, flying, and first strike.","pLPA,EVE,PD2,MMA,DDL",,normal,,1,1,Special,Kithkin,Creature
Ajani Vengeant,{2}{R}{W},4,"W,R",Jason Chan,4,Planeswalker — Ajani,+1: Target permanent doesn't untap during its controller's next untap step.\n−2: Ajani Vengeant deals 3 damage to target creature or player and you gain 3 life.\n−7: Destroy all lands target player controls.,"pPRE,pLPA,ALA,DDH",,normal,,,,Special,Ajani,Planeswalker
Obelisk of Alara,{6},6,"W,U,B,R,G",John Avon,5,Artifact,"{1}{W}, {T}: You gain 5 life.\n{1}{U}, {T}: Draw a card, then discard a card.\n{1}{B}, {T}: Target creature gets -2/-2 until end of turn.\n{1}{R}, {T}: Obelisk of Alara deals 3 damage to target player.\n{1}{G}, {T}: Target creature gets +4/+4 until end of turn.","pLPA,CON",,normal,,,,Special,,Artifact
Knight of New Alara,{2}{G}{W},4,"W,G",David Palumbo,6,Creature — Human Knight,Each other multicolored creature you control gets +1/+1 for each of its colors.,"pLPA,ARB","""I embrace all of Alara, Grixis as much as Bant. Let my former home call me traitor. I do this not for accolades, but because it is right.""",normal,,2,2,Special,"Human,Knight",Creature
Ant Queen,{3}{G}{G},5,G,Ron Spencer,7,Creature — Insect,{1}{G}: Put a 1/1 green Insect creature token onto the battlefield.,"pLPA,M10,MM2","""Kill the queen first, or we'll be fighting her drones forever. It is not in a queen's nature to have enough servants.""\n—Borzard, exterminator captain",normal,,5,5,Special,Insect,Creature
"Valakut, the Molten Pinnacle",,,R,James Paick,8,Land,"Valakut, the Molten Pinnacle enters the battlefield tapped.\nWhenever a Mountain enters the battlefield under your control, if you control at least five other Mountains, you may have Valakut, the Molten Pinnacle deal 3 damage to target creature or player.\n{T}: Add {R} to your mana pool.","pLPA,ZEN",,normal,,,,Special,,Land
Joraga Warcaller,{G},1,G,Kev Walker,9,Creature — Elf Warrior,Multikicker {1}{G} (You may pay an additional {1}{G} any number of times as you cast this spell.)\nJoraga Warcaller enters the battlefield with a +1/+1 counter on it for each time it was kicked.\nOther Elf creatures you control get +1/+1 for each +1/+1 counter on Joraga Warcaller.,"pLPA,WWK,C14",,normal,,1,1,Special,"Elf,Warrior",Creature
Lord of Shatterskull Pass,{3}{R},4,R,Igor Kieryluk,10,Creature — Minotaur Shaman,"Level up {1}{R} ({1}{R}: Put a level counter on this. Level up only as a sorcery.)\nLEVEL 1-5\n6/6\nLEVEL 6+\n6/6\nWhenever Lord of Shatterskull Pass attacks, it deals 6 damage to each creature defending player controls.","pLPA,ROE",,leveler,,3,3,Special,"Minotaur,Shaman",Creature
