name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Arena,,,,Rob Alexander,1,Land,"{3}, {T}: Tap target creature you control and target creature of an opponent's choice he or she controls. Those creatures fight each other. (Each deals damage equal to its power to the other.)","pMEI,TSB",,normal,97042,,,Special,,Land
Sewers of Estark,{2}{B}{B},4,,Melissa A. Benson,2,Instant,"Choose target creature. If it's attacking, it can't be blocked this turn. If it's blocking, prevent all combat damage that would be dealt this combat by it and each creature it's blocking.",pMEI,,normal,97054,,,Special,,Instant
Nalathni Dragon,{2}{R}{R},4,,Michael Whelan,3,Creature — Dragon,"Flying; banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)\n{R}: Nalathni Dragon gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Nalathni Dragon at the beginning of the next end step.","pDRC,pMEI",These small but intelligent Dragons and their Olesian allies held back the tide of Pashalik Mons's hordes of Goblin Raiders.\nDragonCon 1994,normal,97050,1,1,Special,Dragon,Creature
Fireball,{X}{R},1,,Mark Tedin,4,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC",,normal,,,,Special,,Sorcery
Blue Elemental Blast,{U},1,,Richard Thomas,5,Instant,Choose one —\n• Counter target red spell.\n• Destroy target red permanent.,"LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,ME4",,normal,,,,Special,,Instant
Mana Crypt,{0},,,Mark Tedin,6,Artifact,"At the beginning of your upkeep, flip a coin. If you lose the flip, Mana Crypt deals 3 damage to you.\n{T}: Add {C}{C} to your mana pool.","pMEI,pJGP,ME2,VMA,EMA",,normal,97048,,,Special,,Artifact
Windseeker Centaur,{1}{R}{R},3,,Anson Maddocks,7,Creature — Centaur,Vigilance,pMEI,"Loyal and passionate in battle, the Windseeker tribe roams the Green Lands near the Honeyed Sea.",normal,97057,2,2,Special,Centaur,Creature
Giant Badger,{1}{G}{G},3,,Liz Danforth,8,Creature — Badger,"Whenever Giant Badger blocks, it gets +2/+2 until end of turn.","pMEI,8ED",The wizard Greensleeves called a Giant Badger to her aid in an battle with the desert mage Karli.,normal,97045,2,2,Special,Badger,Creature
Scent of Cinder,{1}{R},2,,Carl Critchlow,9,Sorcery,"Reveal any number of red cards in your hand. Scent of Cinder deals X damage to target creature or player, where X is the number of cards revealed this way.","pMEI,UDS",,normal,,,,Special,,Sorcery
Lightning Hounds,{2}{R}{R},4,,Andrew Robinson,10,Creature — Hound,First strike,"pMEI,MMQ","Quick enough to avoid jhovalls when alone and fierce enough to attack them in packs, the hounds were as at home in the mountains as the Mercadians were atop theirs.",normal,,3,2,Special,Hound,Creature
Spined Wurm,{4}{G},5,,Keith Parkinson,11,Creature — Wurm,,"pMEI,POR,STH,S00,7ED,8ED,9ED,10E,DPA,M11,TPR","""As it moved, the wurm's spines gathered up bits of flowstone, which took the shapes of dead villagers' heads. Each head spoke a single sound, but if taken together, they said, 'Alas for the living.'""\n—Dal myth of the wurm",normal,,5,4,Special,Wurm,Creature
Warmonger,{3}{R},4,,Heather Hudson,12,Creature — Minotaur Monger,{2}: Warmonger deals 1 damage to each creature without flying and each player. Any player may activate this ability.,"pMEI,MMQ",Funny how money and war travel so well together.,normal,,3,3,Special,"Minotaur,Monger",Creature
Silver Drake,{1}{W}{U},3,,Allan Pollack,13,Creature — Drake,"Flying\nWhen Silver Drake enters the battlefield, return a white or blue creature you control to its owner's hand.","pMEI,PLS",,normal,,3,3,Special,Drake,Creature
Phyrexian Rager,{2}{B},3,,Mark Tedin,14,Creature — Horror,"When Phyrexian Rager enters the battlefield, you draw a card and you lose 1 life.","pMEI,APC,10E,DDD,MBS,DD3_GVL,C15,EMA","It takes no prisoners, but it keeps the choicest bits for Phyrexia.",normal,,2,2,Special,Horror,Creature
Jace Beleren,{1}{U}{U},3,,Aleksi Briclot,15,Planeswalker — Jace,+2: Each player draws a card.\n−1: Target player draws a card.\n−10: Target player puts the top twenty cards of his or her library into his or her graveyard.,"pMEI,LRW,DD2,M10,M11,DD3_JVC",,normal,,,,Special,Jace,Planeswalker
Garruk Wildspeaker,{2}{G}{G},4,,Nils Hamm,16,Planeswalker — Garruk,+1: Untap two target lands.\n−1: Put a 3/3 green Beast creature token onto the battlefield.\n−4: Creatures you control get +3/+3 and gain trample until end of turn.,"pMEI,LRW,M10,DDD,M11,CMD,DD3_GVL",,normal,,,,Special,Garruk,Planeswalker
Brion Stoutarm,{2}{R}{W},4,,Zoltan Boros & Gabor Szikszai,17,Legendary Creature — Giant Warrior,"Lifelink\n{R}, {T}, Sacrifice a creature other than Brion Stoutarm: Brion Stoutarm deals damage equal to the sacrificed creature's power to target player.","pMEI,LRW,CMD",,normal,,4,4,Special,"Giant,Warrior",Creature
"Jaya Ballard, Task Mage",{1}{R}{R},3,,Matt Cavotta,18,Legendary Creature — Human Spellshaper,"{R}, {T}, Discard a card: Destroy target blue permanent.\n{1}{R}, {T}, Discard a card: Jaya Ballard, Task Mage deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.\n{5}{R}{R}, {T}, Discard a card: Jaya Ballard deals 6 damage to each creature and each player.","pMEI,TSP,PD2",,normal,,2,2,Special,"Human,Spellshaper",Creature
Broodmate Dragon,{3}{B}{R}{G},6,,Vance Kovacs,19,Creature — Dragon,"Flying\nWhen Broodmate Dragon enters the battlefield, put a 4/4 red Dragon creature token with flying onto the battlefield.","pMEI,ALA","Frozen in fear, the goblins stared upward at the circling hunter—and were promptly eaten by its diving mate.",normal,,4,4,Special,Dragon,Creature
Honor of the Pure,{1}{W},2,,Ralph Horsley,20,Enchantment,White creatures you control get +1/+1.,"pMEI,M10,M11,M12,MD1","Together the soldiers were like a golden blade, cutting down their enemies and scarring the darkness.",normal,,,,Special,,Enchantment
Steward of Valeron,{G}{W},2,,Greg Staples,21,Creature — Human Druid Knight,Vigilance\n{T}: Add {G} to your mana pool.,"pMEI,ALA,DDG",www.MagicTheGathering.com,normal,,2,2,Special,"Human,Druid,Knight",Creature
Day of Judgment,{2}{W}{W},4,,Kev Walker,22,Sorcery,Destroy all creatures.,"pMEI,pMPR,ZEN,M11,M12","""I have seen planes leveled and all life rendered to dust. It brought no pleasure, even to a heart as dark as mine.""\n—Sorin Markov",normal,,,,Special,,Sorcery
