name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Reya Dawnbringer,{6}{W}{W}{W},9,,Matthew D. Wilson,1,Legendary Creature — Angel,"Flying\nAt the beginning of your upkeep, you may return target creature card from your graveyard to the battlefield.","INV,10E,pMGD,DDC,CNS,DD3_DVD","""You have not died until I consent.""",normal,,4,6,Special,Angel,Creature
Liliana's Specter,{1}{B}{B},3,,Jaime Jones,2,Creature — Specter,"Flying\nWhen Liliana's Specter enters the battlefield, each opponent discards a card.","pMGD,M11,PC2,CNS",,normal,,2,1,Special,Specter,Creature
Mitotic Slime,{4}{G},5,,Ron Spencer,3,Creature — Ooze,"When Mitotic Slime dies, put two 2/2 green Ooze creature tokens onto the battlefield. They have ""When this creature dies, put two 1/1 green Ooze creature tokens onto the battlefield.""","pMGD,M11,PC2",,normal,,4,4,Special,Ooze,Creature
Memnite,{0},,,rk post,4,Artifact Creature — Construct,,"pMGD,SOM","Reminders of Memnarch's reign still skirr across Mirrodin, reminiscent of his form if not his power.",normal,,1,1,Special,Construct,"Artifact,Creature"
Tempered Steel,{1}{W}{W},3,,jD,5,Enchantment,Artifact creatures you control get +2/+2.,"pMGD,SOM",,normal,,,,Special,,Enchantment
Treasure Mage,{2}{U},3,,Greg Staples,6,Creature — Human Wizard,"When Treasure Mage enters the battlefield, you may search your library for an artifact card with converted mana cost 6 or greater, reveal that card, and put it into your hand. If you do, shuffle your library.","pMGD,MBS",,normal,,2,2,Special,"Human,Wizard",Creature
Black Sun's Zenith,{X}{B}{B},2,,James Paick,7,Sorcery,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,"pMGD,MBS,C14",,normal,,,,Special,,Sorcery
Myr Superion,{2},2,,Greg Staples,8,Artifact Creature — Myr,Spend only mana produced by creatures to cast Myr Superion.,"pMGD,NPH",,normal,,5,6,Special,Myr,"Artifact,Creature"
Priest of Urabrask,{2}{R},3,,Clint Cearley,9,Creature — Human Cleric,"When Priest of Urabrask enters the battlefield, add {R}{R}{R} to your mana pool.","pMGD,NPH",,normal,,2,1,Special,"Human,Cleric",Creature
Stormblood Berserker,{1}{R},2,,Greg Staples,10,Creature — Human Berserker,"Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)\nMenace (This creature can't be blocked except by two or more creatures.)","pMGD,M12,MM2",,normal,,1,1,Special,"Human,Berserker",Creature
Dungrove Elder,{2}{G},3,,Scott Chou,11,Creature — Treefolk,Hexproof (This creature can't be the target of spells or abilities your opponents control.)\nDungrove Elder's power and toughness are each equal to the number of Forests you control.,"pMGD,M12",,normal,,*,*,Special,Treefolk,Creature
Diregraf Ghoul,{B},1,,Austin Hsu,12,Creature — Zombie,Diregraf Ghoul enters the battlefield tapped.,"pMGD,ISD,DDQ",,normal,,2,2,Special,Zombie,Creature
Elite Inquisitor,{W}{W},2,,Igor Kieryluk,13,Creature — Human Soldier,"First strike, vigilance\nProtection from Vampires, from Werewolves, and from Zombies","pMGD,ISD",,normal,,2,2,Special,"Human,Soldier",Creature
Zombie Apocalypse,{3}{B}{B}{B},6,,Volkan Baga,14,Sorcery,"Return all Zombie creature cards from your graveyard to the battlefield tapped, then destroy all Humans.","pMGD,DKA",,normal,,,,Special,,Sorcery
Strangleroot Geist,{G}{G},2,,Erica Yang,15,Creature — Spirit,"Haste\nUndying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner's control with a +1/+1 counter on it.)","pMGD,DKA",,normal,,2,1,Special,Spirit,Creature
Suture Priest,{1}{W},2,,Igor Kieryluk,16,Creature — Cleric,"Whenever another creature enters the battlefield under your control, you may gain 1 life.\nWhenever a creature enters the battlefield under an opponent's control, you may have that player lose 1 life.","pMGD,NPH",,normal,,1,1,Special,Cleric,Creature
Pristine Talisman,{3},3,,Matt Cavotta,17,Artifact,{T}: Add {C} to your mana pool. You gain 1 life.,"pMGD,NPH,C13,C14","""Tools and artisans can be destroyed, but the act of creation is inviolate.""\n—Elspeth Tirel",normal,,,,Special,,Artifact
Latch Seeker,{1}{U}{U},3,,Eytan Zana,18,Creature — Spirit,Latch Seeker can't be blocked.,"pMGD,AVR",,normal,,3,1,Special,Spirit,Creature
Killing Wave,{X}{B},1,,Michael Komarck,19,Sorcery,"For each creature, its controller sacrifices it unless he or she pays X life.","pMGD,AVR",,normal,,,,Special,,Sorcery
Magmaquake,{X}{R}{R},2,,Sam Burley,20,Instant,Magmaquake deals X damage to each creature without flying and each planeswalker.,"pMGD,M13,C14,C15",,normal,,,,Special,,Instant
