name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Wasteland,,,,Una Fricker,1,Land,"{T}: Add {C} to your mana pool.\n{T}, Sacrifice Wasteland: Destroy target nonbasic land.","TMP,pJGP,pMPR,TPR,EXP,EMA","""I will show you fear in a handful of dust."" - T. S. Eliot, ""The Waste Land""",normal,,,,Special,,Land
Voidmage Prodigy,{U}{U},2,,Christopher Moeller,2,Creature — Human Wizard,"{U}{U}, Sacrifice a Wizard: Counter target spell.\nMorph {U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","pMPR,ONS,TSB",,normal,,2,1,Special,"Human,Wizard",Creature
Powder Keg,{2},2,,Dan Frazier,3,Artifact,"At the beginning of your upkeep, you may put a fuse counter on Powder Keg.\n{T}, Sacrifice Powder Keg: Destroy each artifact and creature with converted mana cost equal to the number of fuse counters on Powder Keg.","UDS,pMPR",,normal,,,,Special,,Artifact
Psychatog,{1}{U}{B},3,,"Edward P. Beard, Jr.",4,Creature — Atog,Discard a card: Psychatog gets +1/+1 until end of turn.\nExile two cards from your graveyard: Psychatog gets +1/+1 until end of turn.,"pMPR,ODY,VMA",,normal,,1,2,Special,Atog,Creature
Terror,{1}{B},2,,Ron Spencer,5,Instant,"Destroy target nonartifact, nonblack creature. It can't be regenerated.","LEA,LEB,2ED,CED,CEI,3ED,4ED,RQS,ITP,5ED,ATH,6ED,BRB,pFNM,S00,BTD,pMPR,MRD,10E,DPA,ME4",,normal,,,,Special,,Instant
Fireball,{X}{R},1,,Mark Tedin,6,Sorcery,"Fireball deals X damage divided evenly, rounded down, among any number of target creatures and/or players.\nFireball costs {1} more to cast for each target beyond the first.","LEA,LEB,2ED,CED,CEI,3ED,pMEI,4ED,RQS,pARL,ITP,5ED,ATH,BTD,pMPR,DST,DD2,M10,ARC,M11,PD2,ME4,M12,C13,DD3_JVC",,normal,,,,Special,,Sorcery
Oxidize,{G},1,,Scott M. Fischer,7,Instant,Destroy target artifact. It can't be regenerated.,"pMPR,DST",,normal,,,,Special,,Instant
Mana Leak,{1}{U},2,,Christopher Rush,8,Instant,Counter target spell unless its controller pays {3}.,"pARL,STH,BRB,pMPR,8ED,9ED,M11,M12,DDN,TPR,MM2",,normal,,,,Special,,Instant
Reciprocate,{W},1,,Jim Murray,9,Instant,Exile target creature that dealt damage to you this turn.,"pMPR,CHK,DDG",,normal,,,,Special,,Instant
Hypnotic Specter,{1}{B}{B},3,,Douglas Shuler,10,Creature — Specter,"Flying\nWhenever Hypnotic Specter deals damage to an opponent, that player discards a card at random.","LEA,LEB,2ED,CED,CEI,3ED,4ED,ATH,pMPR,9ED,10E,M10","""There was no trace\nOf aught on that illumined face..."" -Samuel Taylor Coleridge, ""Phantom""",normal,,2,2,Special,Specter,Creature
Hinder,{1}{U}{U},3,,Anthony S. Waters,11,Instant,"Counter target spell. If that spell is countered this way, put that card on the top or bottom of its owner's library instead of into that player's graveyard.","pMPR,CHK",,normal,,,,Special,,Instant
Pyroclasm,{1}{R},2,,Dave Dorman,12,Sorcery,Pyroclasm deals 2 damage to each creature.,"ICE,POR,7ED,pMPR,DKM,8ED,9ED,10E,M10,M11,DDK,DDL",,normal,,,,Special,,Sorcery
Giant Growth,{G},1,,Joel Thomas,13,Instant,Target creature gets +3/+3 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,ATH,6ED,BRB,pSUS,pFNM,S00,BTD,7ED,pMPR,DKM,8ED,9ED,10E,EVG,ME2,M10,ME3,DDD,DPA,M11,ME4,RTR,M14,DD3_EVG,DD3_GVL",,normal,,,,Special,,Instant
Putrefy,{1}{B}{G},3,,Richard Sardinha,14,Instant,Destroy target artifact or creature. It can't be regenerated.,"pMPR,RAV,DDJ,DGM,C15",,normal,,,,Special,,Instant
Zombify,{3}{B},4,,Allan Pollack,15,Sorcery,Return target creature card from your graveyard to the battlefield.,"pMPR,ODY,8ED,9ED,ARC",,normal,,,,Special,,Sorcery
Lightning Helix,{R}{W},2,,Kev Walker,16,Instant,Lightning Helix deals 3 damage to target creature or player and you gain 3 life.,"pMPR,RAV,HOP,DDH,MMA,DDN",,normal,,,,Special,,Instant
Wrath of God,{2}{W}{W},4,,Ron Spencer,17,Sorcery,Destroy all creatures. They can't be regenerated.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,POR,6ED,BRB,7ED,pMPR,8ED,9ED,10E,C13,V14,EMA",,normal,,,,Special,,Sorcery
Condemn,{W},1,,Kev Walker,18,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.,"pMPR,DIS,10E,M11,DDL,C14",,normal,,,,Special,,Instant
Mortify,{1}{W}{B},3,,Brian Snõddy,19,Instant,Destroy target creature or enchantment.,"pMPR,GPT,CMD,DDK,CNS",,normal,,,,Special,,Instant
Psionic Blast,{2}{U},3,,Aleksi Briclot,20,Instant,Psionic Blast deals 4 damage to target creature or player and 2 damage to you.,"LEA,LEB,2ED,CED,CEI,pMPR,TSB",,normal,,,,Special,,Instant
Cruel Edict,{1}{B},2,,Steve Ellis,21,Sorcery,Target opponent sacrifices a creature.,"PO2,pMPR,9ED,10E,DDC,DD3_DVD",,normal,,,,Special,,Sorcery
Disenchant,{1}{W},2,,Heather Hudson,22,Instant,Destroy target artifact or enchantment.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,pARL,MIR,5ED,TMP,USG,ATH,6ED,MMQ,BRB,pFNM,S00,7ED,pMPR,CST,TSB,ME2,ME3,TPR",,normal,,,,Special,,Instant
Recollect,{2}{G},3,,Michael Sutfin,23,Sorcery,Return target card from your graveyard to your hand.,"pMPR,RAV,10E",,normal,,,,Special,,Sorcery
Damnation,{2}{B}{B},4,,Ron Spencer,24,Sorcery,Destroy all creatures. They can't be regenerated.,"pMPR,PLC",,normal,,,,Special,,Sorcery
Tidings,{3}{U}{U},5,,Michael Komarck,25,Sorcery,Draw four cards.,"S99,pMPR,9ED,10E",,normal,,,,Special,,Sorcery
Incinerate,{1}{R},2,,Zoltan Boros & Gabor Szikszai,26,Instant,Incinerate deals 3 damage to target creature or player. A creature dealt damage this way can't be regenerated this turn.,"pLGM,ICE,MIR,5ED,pMPR,DKM,CST,10E,ME2,DD2,DPA,M12,DD3_JVC",,normal,,,,Special,,Instant
Mana Tithe,{W},1,,Donato Giancola,27,Instant,Counter target spell unless its controller pays {1}.,"pMPR,PLC",,normal,,,,Special,,Instant
Harmonize,{2}{G}{G},4,,Vance Kovacs,28,Sorcery,Draw three cards.,"pMPR,PLC,EVG,DDD,ARC,CMD,C13,DD3_EVG,DD3_GVL,EMA",,normal,,,,Special,,Sorcery
Ponder,{U},1,,Steve Argyle,29,Sorcery,"Look at the top three cards of your library, then put them back in any order. You may shuffle your library.\nDraw a card.","pMPR,LRW,M10,M12",,normal,,,,Special,,Sorcery
Corrupt,{5}{B},6,,Philip Straub,30,Sorcery,Corrupt deals damage equal to the number of Swamps you control to target creature or player. You gain life equal to the damage dealt this way.,"pMEI,USG,7ED,pMPR,SHM,DDC,DDD,M11,M14,DD3_DVD,DD3_GVL",,normal,,,,Special,,Sorcery
Cryptic Command,{1}{U}{U}{U},4,,Wayne England,31,Instant,Choose two —\n• Counter target spell.\n• Return target permanent to its owner's hand.\n• Tap all creatures your opponents control.\n• Draw a card.,"pMPR,LRW,MMA,MM2",,normal,,,,Special,,Instant
Flame Javelin,{2/R}{2/R}{2/R},6,,Zoltan Boros & Gabor Szikszai,32,Instant,({2/R} can be paid with any two mana or with {R}. This card's converted mana cost is 6.)\nFlame Javelin deals 4 damage to target creature or player.,"pMPR,SHM,DD2,DDK,DD3_JVC",,normal,,,,Special,,Instant
Unmake,{W/B}{W/B}{W/B},3,,Chris Rahn,33,Instant,Exile target creature.,"pMPR,EVE,ARC,DDK",,normal,,,,Special,,Instant
Nameless Inversion,{1}{B},2,,Jesper Ejsing,34,Tribal Instant — Shapeshifter,Changeling (This card is every creature type.)\nTarget creature gets +3/-3 and loses all creature types until end of turn.,"pMPR,LRW,MM2",,normal,,,,Special,Shapeshifter,"Tribal,Instant"
Remove Soul,{1}{U},2,,Mike Dringenberg,35,Instant,Counter target creature spell.,"LEG,CHR,5ED,6ED,S99,7ED,pMPR,8ED,9ED,10E,ME3",,normal,,,,Special,,Instant
Blightning,{1}{B}{R},3,,Jim Pavelec,36,Sorcery,Blightning deals 3 damage to target player. That player discards two cards.,"pMPR,ALA,DDK",,normal,,,,Special,,Sorcery
Rampant Growth,{1}{G},2,,Terese Nielsen,37,Sorcery,Search your library for a basic land card and put that card onto the battlefield tapped. Then shuffle your library.,"MIR,TMP,6ED,BTD,7ED,pMPR,8ED,9ED,10E,M10,HOP,DPA,M12,TPR,MM2,C15",,normal,,,,Special,,Sorcery
Negate,{1}{U},2,,Ralph Horsley,38,Instant,Counter target noncreature spell.,"pMPR,MOR,M10,DPA,M11,M12,M13,M14,M15,DTK,ORI,OGW",,normal,,,,Special,,Instant
Terminate,{B}{R},2,,Thomas M. Baxa,39,Instant,Destroy target creature. It can't be regenerated.,"pFNM,PLS,pMPR,ARB,ARC,CMD,DDK",,normal,,,,Special,,Instant
Lightning Bolt,{R},1,,Véronique Meignaud,40,Instant,Lightning Bolt deals 3 damage to target creature or player.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pJGP,ATH,BTD,pMPR,MED,M10,M11,PD2,MM2",,normal,,,,Special,,Instant
Cancel,{1}{U}{U},3,,Izzy,41,Instant,Counter target spell.,"pMPR,TSP,10E,ALA,M10,ZEN,DPA,M11,M12,PC2,RTR,M14,M15,KTK",,normal,,,,Special,,Instant
Sign in Blood,{B}{B},2,,Alan Pollack,42,Sorcery,Target player draws two cards and loses 2 life.,"pMPR,M10,DDD,ARC,M11,CMD,M13,M15,C14,DD3_GVL,MM2",,normal,,,,Special,,Sorcery
Infest,{1}{B}{B},3,,Pete Venters,43,Sorcery,All creatures get -2/-2 until end of turn.,"pMPR,ONS,ALA,ARC,C13",,normal,,,,Special,,Sorcery
Volcanic Fallout,{1}{R}{R},3,,Jim Pavelec,44,Instant,Volcanic Fallout can't be countered.\nVolcanic Fallout deals 2 damage to each creature and each player.,"pMPR,CON,ARC,CNS",,normal,,,,Special,,Instant
Celestial Purge,{1}{W},2,,Nils Hamm,45,Instant,Exile target black or red permanent.,"pMPR,CON,M10,M11,M12,MM2",,normal,,,,Special,,Instant
