name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Dirtcowl Wurm,{4}{G},5,,Dan Frazier,1,Creature — Wurm,"Whenever an opponent plays a land, put a +1/+1 counter on Dirtcowl Wurm.","pPRE,TMP,BRB","Few of Rath's rivers follow a steady course, so many new channels are carved for them.",normal,,3,4,Special,Wurm,Creature
Revenant,{4}{B},5,,Terese Nielsen,2,Creature — Spirit,Flying\nRevenant's power and toughness are each equal to the number of creature cards in your graveyard.,"pPRE,STH,7ED,TPR,ORI","""Not again.""\n—Hans",normal,,*,*,Special,Spirit,Creature
Monstrous Hound,{3}{R},4,,Dermot Power,3,Creature — Hound,Monstrous Hound can't attack unless you control more lands than defending player.\nMonstrous Hound can't block unless you control more lands than attacking player.,"pPRE,EXO","""Stay.""",normal,,4,4,Special,Hound,Creature
Lightning Dragon,{2}{R}{R},4,,Ron Spencer,4,Creature — Dragon,"Flying\nEcho {2}{R}{R} (At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)\n{R}: Lightning Dragon gets +1/+0 until end of turn.","pPRE,USG,VMA",,normal,,4,4,Special,Dragon,Creature
Beast of Burden,{6},6,,Ron Spears,5,Artifact Creature — Golem,Beast of Burden's power and toughness are each equal to the number of creatures on the battlefield.,"pPRE,ULG,7ED,8ED,9ED","""If it is meant to be nothing but a machine,"" Karn finally asked Jhoira, ""why did Urza build it to be like me?""",normal,,*,*,Special,Golem,"Artifact,Creature"
"Lu Bu, Master-at-Arms",{5}{R},6,,Gao Jianzhang,6,Legendary Creature — Human Soldier Warrior,Haste; horsemanship (This creature can't be blocked except by creatures with horsemanship.),"pPRE,PTK,ME3","""Dong Zhuo's man, Lu Bu, warrior without peer, / Far surpassed the champions of his sphere.""",normal,,4,3,Special,"Human,Soldier,Warrior",Creature
False Prophet,{2}{W}{W},4,,Eric Peterson,7,Creature — Human Cleric,"When False Prophet dies, exile all creatures.","pPRE,UDS,CMD","""You lived for Serra's love. Will you not die for it?""",normal,,2,2,Special,"Human,Cleric",Creature
"Lu Bu, Master-at-Arms",{5}{R},6,,Gao Jianzhang,8,Legendary Creature — Human Soldier Warrior,Haste; horsemanship (This creature can't be blocked except by creatures with horsemanship.),"pPRE,PTK,ME3","""Dong Zhuo's man, Lu Bu, warrior without peer, / Far surpassed the champions of his sphere.""",normal,,4,3,Special,"Human,Soldier,Warrior",Creature
Overtaker,{1}{U},2,,Clyde Caldwell,9,Creature — Merfolk Spellshaper,"{3}{U}, {T}, Discard a card: Untap target creature and gain control of it until end of turn. That creature gains haste until end of turn.","pPRE,MMQ",,normal,,1,1,Special,"Merfolk,Spellshaper",Creature
Rathi Assassin,{2}{B}{B},4,,Dana Knutson,10,Creature — Zombie Mercenary Assassin,"{1}{B}{B}, {T}: Destroy target tapped nonblack creature.\n{3}, {T}: Search your library for a Mercenary permanent card with converted mana cost 3 or less and put it onto the battlefield. Then shuffle your library.","pPRE,NMS",,normal,,2,2,Special,"Zombie,Mercenary,Assassin",Creature
Avatar of Hope,{6}{W}{W},8,,rk post,11,Creature — Avatar,"If you have 3 or less life, Avatar of Hope costs {6} less to cast.\nFlying\nAvatar of Hope can block any number of creatures.","pPRE,PCY,8ED",,normal,,4,9,Special,Avatar,Creature
Raging Kavu,{1}{R}{G},3,,Arnie Swekel,12,Creature — Kavu,Flash\nHaste,"pPRE,INV","It took Yavimaya a thousand years to breed them, but it took only seconds for them to prove their worth.",normal,,3,1,Special,Kavu,Creature
Questing Phelddagrif,{1}{G}{W}{U},4,,Matt Cavotta,13,Creature — Phelddagrif,{G}: Questing Phelddagrif gets +1/+1 until end of turn. Target opponent puts a 1/1 green Hippo creature token onto the battlefield.\n{W}: Questing Phelddagrif gains protection from black and from red until end of turn. Target opponent gains 2 life.\n{U}: Questing Phelddagrif gains flying until end of turn. Target opponent may draw a card.,"pPRE,PLS",,normal,,4,4,Special,Phelddagrif,Creature
Fungal Shambler,{4}{G}{U}{B},7,,Jim Nelson,14,Creature — Fungus Beast,"Trample\nWhenever Fungal Shambler deals damage to an opponent, you draw a card and that opponent discards a card.","pPRE,APC",,normal,,6,4,Special,"Fungus,Beast",Creature
Stone-Tongue Basilisk,{4}{G}{G}{G},7,,Wayne England,15,Creature — Basilisk,"Whenever Stone-Tongue Basilisk deals combat damage to a creature, destroy that creature at end of combat.\nThreshold — As long as seven or more cards are in your graveyard, all creatures able to block Stone-Tongue Basilisk do so.","pPRE,ODY",,normal,,4,5,Special,Basilisk,Creature
Laquatus's Champion,{4}{B}{B},6,,Greg Staples,16,Creature — Nightmare Horror,"When Laquatus's Champion enters the battlefield, target player loses 6 life.\nWhen Laquatus's Champion leaves the battlefield, that player gains 6 life.\n{B}: Regenerate Laquatus's Champion.","pPRE,TOR,VMA",Chainer's dark gift to a darker soul.,normal,,6,3,Special,"Nightmare,Horror",Creature
Glory,{3}{W}{W},5,,Donato Giancola,17,Creature — Incarnation,Flying\n{2}{W}: Choose a color. Creatures you control gain protection from the chosen color until end of turn. Activate this ability only if Glory is in your graveyard.,"pPRE,JUD","""Glory was gone; Glory was everywhere.""\n—Scroll of Beginnings",normal,,3,3,Special,Incarnation,Creature
Silent Specter,{4}{B}{B},6,,Daren Bader,18,Creature — Specter,"Flying\nWhenever Silent Specter deals combat damage to a player, that player discards two cards.\nMorph {3}{B}{B} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)","pPRE,ONS",,normal,,4,4,Special,Specter,Creature
