name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Rukh Egg,{3}{R},4,R,Mark Zug,1,Creature — Bird,"When Rukh Egg dies, put a 4/4 red Bird creature token with flying onto the battlefield at the beginning of the next end step.","ARN,pREL,8ED,9ED","Called ""stonefeathers"" by many lowlanders, rukhs are thought to descend from a phoenix that sacrificed its flame for a body of stone.",normal,,0,3,Special,Bird,Creature
Ass Whuppin',{1}{W}{B},3,"W,B",Don Hazeltine,2,Sorcery,Destroy target silver-bordered permanent in any game you can see from your seat.,"pREL,UNH","Asses to ashes,\nDonkeys to dust.",normal,,,,Special,,Sorcery
Budoka Pupil,{1}{G}{G},3,G,Shishizaru,3a,Creature — Human Monk,"Whenever you cast a Spirit or Arcane spell, you may put a ki counter on Budoka Pupil.\nAt the beginning of the end step, if there are two or more ki counters on Budoka Pupil, you may flip it.","pREL,BOK",,flip,,2,2,Special,"Human,Monk",Creature
"Ichiga, Who Topples Oaks",{1}{G}{G},3,G,Shishizaru,3b,Legendary Creature — Spirit,"Trample\nRemove a ki counter from Ichiga, Who Topples Oaks: Target creature gets +2/+2 until end of turn.","pREL,BOK",,flip,,4,3,Special,Spirit,Creature
Ghost-Lit Raider,{2}{R},3,R,Ittoku,4,Creature — Spirit,"{2}{R}, {T}: Ghost-Lit Raider deals 2 damage to target creature.\nChannel — {3}{R}, Discard Ghost-Lit Raider: Ghost-Lit Raider deals 4 damage to target creature.","pREL,SOK",,normal,,2,1,Special,Spirit,Creature
Force of Nature,{2}{G}{G}{G}{G},6,G,Greg Staples,5,Creature — Elemental,"Trample (If this creature would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)\nAt the beginning of your upkeep, Force of Nature deals 8 damage to you unless you pay {G}{G}{G}{G}.","LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,pREL,9ED,ME4",,normal,,8,8,Special,Elemental,Creature
Shivan Dragon,{4}{R}{R},6,R,Donato Giancola,6,Creature — Dragon,Flying (This creature can't be blocked except by creatures with flying or reach.)\n{R}: Shivan Dragon gets +1/+0 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,BTD,7ED,pREL,8ED,9ED,10E,DRB,M10,DPA,ME4,M14,M15,ORI,W16",The undisputed master of the mountains of Shiv.,normal,,5,5,Special,Dragon,Creature
Dimir Guildmage,{U/B}{U/B},2,"U,B",Adam Rex,7,Creature — Human Wizard,({U/B} can be paid with either {U} or {B}.)\n{3}{U}: Target player draws a card. Activate this ability only any time you could cast a sorcery.\n{3}{B}: Target player discards a card. Activate this ability only any time you could cast a sorcery.,"pREL,RAV,MM2",,normal,,2,2,Special,"Human,Wizard",Creature
Gruul Guildmage,{R/G}{R/G},2,"R,G",Paolo Parente,8,Creature — Human Shaman,"({R/G} can be paid with either {R} or {G}.)\n{3}{R}, Sacrifice a land: Gruul Guildmage deals 2 damage to target player.\n{3}{G}: Target creature gets +2/+2 until end of turn.","pREL,GPT",,normal,,2,2,Special,"Human,Shaman",Creature
Azorius Guildmage,{W/U}{W/U},2,"W,U",Christopher Moeller,9,Creature — Vedalken Wizard,{2}{W}: Tap target creature.\n{2}{U}: Counter target activated ability. (Mana abilities can't be targeted.),"pREL,DIS,CMD",,normal,,2,2,Special,"Vedalken,Wizard",Creature
Sudden Shock,{1}{R},2,R,Vance Kovacs,10,Instant,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)\nSudden Shock deals 2 damage to target creature or player.","pREL,TSP,MMA",Arc mages aren't known for their patience.,normal,,,,Special,,Instant
Hedge Troll,{2}{G},3,"G,W",Paolo Parente,11,Creature — Troll Cleric,Hedge Troll gets +1/+1 as long as you control a Plains.\n{W}: Regenerate Hedge Troll.,"pREL,PLC","His abode was clean and bare, not a morsel in sight. I asked him what he ate, fearing the answer. He smiled and said his faith alone sustained him.",normal,,2,2,Special,"Troll,Cleric",Creature
Storm Entity,{1}{R},2,R,Lucio Parrillo,12,Creature — Elemental,Haste\nStorm Entity enters the battlefield with a +1/+1 counter on it for each other spell cast this turn.,"pREL,FUT",Dweldian magi don't enter the Realm of Thrones when they die. Instead their souls are drawn to great works of magic.,normal,,1,1,Special,Elemental,Creature
Shriekmaw,{4}{B},5,B,Steve Prescott,13,Creature — Elemental,"Fear (This creature can't be blocked except by artifact creatures and/or black creatures.)\nWhen Shriekmaw enters the battlefield, destroy target nonartifact, nonblack creature.\nEvoke {1}{B} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)","pREL,LRW,ARC,CMD,DDH,C14,C15",,normal,,3,2,Special,Elemental,Creature
