name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Thran Quarry,,,,Michael Sutfin,1,Land,"At the beginning of the end step, if you control no creatures, sacrifice Thran Quarry.\n{T}: Add one mana of any color to your mana pool.","USG,pSUS",,normal,,,,Special,,Land
Serra Avatar,{4}{W}{W}{W},7,,Dermot Power,2,Creature — Avatar,"Serra Avatar's power and toughness are each equal to your life total.\nWhen Serra Avatar is put into a graveyard from anywhere, shuffle it into its owner's library.","pMEI,USG,pSUS,M13,C13,C14",,normal,,*,*,Special,Avatar,Creature
Lord of Atlantis,{U}{U},2,,Melissa A. Benson,3,Creature — Merfolk,Other Merfolk creatures get +1/+1 and have islandwalk. (They can't be blocked as long as defending player controls an Island.),"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,pSUS,7ED,TSB","A master of tactics, the Lord of Atlantis makes his people bold in battle merely by arriving to lead them.",normal,,2,2,Special,Merfolk,Creature
Crusade,{W}{W},2,,Mark Poole,4,Enchantment,White creatures get +1/+1.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,5ED,6ED,pSUS,MED,DDF",,normal,,,,Special,,Enchantment
Elvish Lyrist,{G},1,,Rebecca Guay,5,Creature — Elf,"{G}, {T}, Sacrifice Elvish Lyrist: Destroy target enchantment.","USG,BRB,pSUS,7ED,8ED","""Make me thy lyre, even as the forest is: What if my leaves are falling like its own!"" - Percy Bysshe Shelley, ""Ode to the West Wind""",normal,,1,1,Special,Elf,Creature
City of Brass,,,,Mark Tedin,6,Land,"Whenever City of Brass becomes tapped, it deals 1 damage to you.\n{T}: Add one mana of any color to your mana pool.","ARN,CHR,5ED,6ED,pSUS,7ED,8ED,ME4,MMA,MD1","""Enter this palace-gate and ask the news Of greatness fallen into dust and clay.""\n—The Arabian Nights, trans. Burton",normal,,,,Special,,Land
Volcanic Hammer,{1}{R},2,,Christopher Rush,7,Sorcery,Volcanic Hammer deals 3 damage to target creature or player.,"POR,PO2,S99,pSUS,7ED,8ED,9ED","Cast the weight as though it were a die, to see a rival's fate.",normal,,,,Special,,Sorcery
Giant Growth,{G},1,,Terese Nielsen,8,Instant,Target creature gets +3/+3 until end of turn.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,ICE,5ED,ATH,6ED,BRB,pSUS,pFNM,S00,BTD,7ED,pMPR,DKM,8ED,9ED,10E,EVG,ME2,M10,ME3,DDD,DPA,M11,ME4,RTR,M14,DD3_EVG,DD3_GVL",,normal,,,,Special,,Instant
Two-Headed Dragon,{4}{R}{R},6,,Sam Wood,9,Creature — Dragon,Flying\nMenace (This creature can't be blocked except by two or more creatures.)\nTwo-Headed Dragon can block an additional creature each combat.\n{1}{R}: Two-Headed Dragon gets +2/+0 until end of turn.,"MMQ,pSUS,8ED,DRB,ARC",,normal,,4,4,Special,Dragon,Creature
Slith Firewalker,{R}{R},2,,Justin Sweet,10,Creature — Slith,"Haste\nWhenever Slith Firewalker deals combat damage to a player, put a +1/+1 counter on it.","pSUS,MRD,DD2,DD3_JVC","The Sligh incubate in the Great Furnace’s heat, emerging on Mirrodin’s surface only when the four suns have aligned overhead.",normal,,1,1,Special,Slith,Creature
Royal Assassin,{1}{B}{B},3,,Tom Wänerstrand,11,Creature — Human Assassin,{T}: Destroy target tapped creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pSUS,8ED,9ED,10E,M10,M11,M12","Trained in the arts of stealth, royal assassins choose their victims carefully, relying on timing and precision rather than brute force.",normal,,1,1,Special,"Human,Assassin",Creature
Sakura-Tribe Elder,{1}{G},2,,Carl Critchlow,12,Creature — Snake Shaman,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.","pSUS,pFNM,CHK,ARC,CMD,C13,CNS,C15","There were no tombstones in orochi territory. Slain warriors were buried with a tree sapling, so they would become part of the forest after death.",normal,,1,1,Special,"Snake,Shaman",Creature
Shard Phoenix,{4}{R},5,,Ron Spencer,13,Creature — Phoenix,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Shard Phoenix: Shard Phoenix deals 2 damage to each creature without flying.\n{R}{R}{R}: Return Shard Phoenix from your graveyard to your hand. Activate this ability only during your upkeep.,"STH,pSUS,9ED,TPR",,normal,,2,2,Special,Phoenix,Creature
Soltari Priest,{W}{W},2,,Dany Orizio,14,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""In Rath,"" the priest said, ""there is even greater need for prayer.""",normal,,2,1,Special,"Soltari,Cleric",Creature
Whirling Dervish,{G}{G},2,,Alex Horley-Orlandelli,15,Creature — Human Monk,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it.","LEG,4ED,RQS,ITP,5ED,pSUS,TSB","Amid this whirling hurricane of blades, there is no calm eye in which the hapless can find shelter.",normal,,1,1,Special,"Human,Monk",Creature
Glorious Anthem,{1}{W}{W},3,,Raymond Swanland,16,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E","Once heard, the battle song of an angel becomes part of the listener forever.",normal,,,,Special,,Enchantment
Elvish Champion,{1}{G}{G},3,,Matt Cavotta,17,Creature — Elf,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.),"pSUS,INV,7ED,8ED,9ED,10E,DPA","""We've endured your slights to Gaea with the grace of tolerance. Now behold the grace of our ferocity.""",normal,,2,2,Special,Elf,Creature
Mad Auntie,{2}{B},3,,Wayne Reynolds,18,Creature — Goblin Shaman,Other Goblin creatures you control get +1/+1.\n{T}: Regenerate another target Goblin.,"pSUS,LRW,MMA","One part cunning, one part wise, and many, many parts demented.",normal,,2,2,Special,"Goblin,Shaman",Creature
Slith Firewalker,{R}{R},2,,Justin Sweet,19,Creature — Slith,"Haste\nWhenever Slith Firewalker deals combat damage to a player, put a +1/+1 counter on it.","pSUS,MRD,DD2,DD3_JVC","The Sligh incubate in the Great Furnace's heat, emerging on Mirrodin's surface only when the four suns have aligned overhead.",normal,,1,1,Special,Slith,Creature
Royal Assassin,{1}{B}{B},3,,Tom Wänerstrand,20,Creature — Human Assassin,{T}: Destroy target tapped creature.,"LEA,LEB,2ED,CED,CEI,3ED,4ED,pSUS,8ED,9ED,10E,M10,M11,M12","Trained in the arts of stealth, royal assassins choose their victims carefully, relying on timing and precision rather than brute force..",normal,,1,1,Special,"Human,Assassin",Creature
Sakura-Tribe Elder,{1}{G},2,,Carl Critchlow,21,Creature — Snake Shaman,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.","pSUS,pFNM,CHK,ARC,CMD,C13,CNS,C15","There were no tombstones in orochi territory. Slain warriors were buried with a tree sapling, so they would become part of the forest after death.",normal,,1,1,Special,"Snake,Shaman",Creature
Shard Phoenix,{4}{R},5,,Ron Spencer,22,Creature — Phoenix,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Shard Phoenix: Shard Phoenix deals 2 damage to each creature without flying.\n{R}{R}{R}: Return Shard Phoenix from your graveyard to your hand. Activate this ability only during your upkeep.,"STH,pSUS,9ED,TPR",,normal,,2,2,Special,Phoenix,Creature
Soltari Priest,{W}{W},2,,Dany Orizio,23,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""In Rath,"" the priest said, ""there is even greater need for prayer.""",normal,,2,1,Special,"Soltari,Cleric",Creature
Whirling Dervish,{G}{G},2,,Alex Horley-Orlandelli,24,Creature — Human Monk,"Protection from black\nAt the beginning of each end step, if Whirling Dervish dealt damage to an opponent this turn, put a +1/+1 counter on it.","LEG,4ED,RQS,ITP,5ED,pSUS,TSB","Amid this whirling hurricane of blades, there is no calm eye in which the hapless can find shelter.",normal,,1,1,Special,"Human,Monk",Creature
Glorious Anthem,{1}{W}{W},3,,Raymond Swanland,25,Enchantment,Creatures you control get +1/+1.,"USG,pSUS,7ED,8ED,9ED,10E","Once heard, the battle song of an angel becomes part of the listener forever.",normal,,,,Special,,Enchantment
Elvish Champion,{1}{G}{G},3,,Matt Cavotta,26,Creature — Elf,Other Elf creatures get +1/+1 and have forestwalk. (They can't be blocked as long as defending player controls a Forest.),"pSUS,INV,7ED,8ED,9ED,10E,DPA","""We've endured your slights to Gaea with the grace of tolerance. Now behold the grace of our ferocity.""",normal,,2,2,Special,Elf,Creature
Sakura-Tribe Elder,{1}{G},2,,Carl Critchlow,27,Creature — Snake Shaman,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle your library.","pSUS,pFNM,CHK,ARC,CMD,C13,CNS,C15","There were no tombstones in orochi territory. Slain warriors were buried with a tree sapling, so they would become part of the forest after death.",normal,,1,1,Special,"Snake,Shaman",Creature
Shard Phoenix,{4}{R},5,,Ron Spencer,28,Creature — Phoenix,Flying (This creature can't be blocked except by creatures with flying or reach.)\nSacrifice Shard Phoenix: Shard Phoenix deals 2 damage to each creature without flying.\n{R}{R}{R}: Return Shard Phoenix from your graveyard to your hand. Activate this ability only during your upkeep.,"STH,pSUS,9ED,TPR",,normal,,2,2,Special,Phoenix,Creature
Soltari Priest,{W}{W},2,,Dany Orizio,29,Creature — Soltari Cleric,Protection from red\nShadow (This creature can block or be blocked by only creatures with shadow.),"TMP,pSUS,pFNM,TSB,TPR","""In Rath,"" the priest said, ""there is even greater need for prayer.""",normal,,2,1,Special,"Soltari,Cleric",Creature
