name,manaCost,cmc,colorIdentity,artist,number,type,text,printings,flavor,layout,multiverseid,power,toughness,rarity,subtypes,types
Sprouting Thrinax,{B}{R}{G},3,"B,R,G",Jaime Jones,21,Creature — Lizard,"When Sprouting Thrinax dies, put three 1/1 green Saproling creature tokens onto the battlefield.","pWPN,ALA,C13",The vast network of predation on Jund has actually caused some strange creatures to adapt to being eaten.,normal,,3,3,Special,Lizard,Creature
Woolly Thoctar,{R}{G}{W},3,"W,R,G",Steve Argyle,22,Creature — Beast,,"pWPN,ALA,DDH","One of the most ferocious and deadly gargantuans, the thoctar never sees its worshippers, but it often awakens surrounded by gifts and sacrifices.",normal,,5,4,Special,Beast,Creature
Path to Exile,{W},1,W,Rebecca Guay,24,Instant,"Exile target creature. Its controller may search his or her library for a basic land card, put that card onto the battlefield tapped, then shuffle his or her library.","pWPN,CON,ARC,CMD,DDI,MMA,MD1",,normal,,,,Special,,Instant
Hellspark Elemental,{1}{R},2,R,Nils Hamm,25,Creature — Elemental,"Trample, haste\nAt the beginning of the end step, sacrifice Hellspark Elemental.\nUnearth {1}{R} ({1}{R}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)","pWPN,CON,PD2,DDK",,normal,,3,1,Special,Elemental,Creature
Marisi's Twinclaws,{2}{R/W}{G},4,"W,R,G",Dominick Domingo,26,Creature — Cat Warrior,Double strike,"pWPN,ARB,DDH","""Looks like we're completely outnumbered.""\n""Lucky for us. I thought we'd be bored.""",normal,,2,4,Special,"Cat,Warrior",Creature
Slave of Bolas,{3}{U/R}{B},5,"U,B,R",Karl Kopinski,27,Sorcery,Gain control of target creature. Untap that creature. It gains haste until end of turn. Sacrifice it at the beginning of the next end step.,"pWPN,ARB,DDH",Nicol Bolas doesn't distinguish between servants and victims.,normal,,,,Special,,Sorcery
Mycoid Shepherd,{1}{G}{G}{W},4,"W,G",Jarreau Wimberly,28,Creature — Fungus,"Whenever Mycoid Shepherd or another creature you control with power 5 or greater dies, you may gain 5 life.","pWPN,ARB",,normal,,5,4,Special,Fungus,Creature
Naya Sojourners,{2}{R}{G}{W},5,"W,R,G",Michael Bruinsma,29,Creature — Elf Shaman,"When you cycle Naya Sojourners or it dies, you may put a +1/+1 counter on target creature.\nCycling {2}{G} ({2}{G}, Discard this card: Draw a card.)","pWPN,ARB",The elves had entered a land like an open grave-an act of fortitude or folly?,normal,,5,3,Special,"Elf,Shaman",Creature
Mind Control,{3}{U}{U},5,U,Keith Garletts,30,Enchantment — Aura,Enchant creature\nYou control enchanted creature.,"pWPN,M10,DPA,M11,M12","""Why fight the body when you can dominate the mind that rules it?""\n—Jace Beleren",normal,,,,Special,Aura,Enchantment
Rise from the Grave,{4}{B},5,B,Thomas M. Baxa,31,Sorcery,Put target creature card from a graveyard onto the battlefield under your control. That creature is a black Zombie in addition to its other colors and types.,"pWPN,M10,DDD,M11,CMD,M13,DD3_GVL,C15","""Death is no excuse for disobedience.""\n—Liliana Vess",normal,,,,Special,,Sorcery
